match,PSW,win0,confidence0,date,winner,,
56735,1.26,0,2.876869421,10/6/2022,Tiafoe F.,-1,-100
57455,1.21,0,2.830677071,2/22/2023,Auger-Aliassime F.,-1,-100
47141,3.31,1,2.273705868,7/18/2018,Laaksonen H.,2.31,231
42675,3.4,1,2.15952569,10/19/2016,Bublik A.,2.4,240
34478,3.14,1,2.112749836,8/16/2013,Berdych T.,2.14,214
43716,2.7,1,2.110447891,4/18/2017,Muller G.,1.7,170
41734,3.56,1,2.092836489,6/23/2016,Cuevas P.,2.56,256
38774,1.33,0,2.080172114,5/17/2015,Djokovic N.,-1,-100
42764,1.38,0,2.006301365,10/27/2016,Ferrer D.,-1,-100
42925,1.46,0,1.999157482,1/7/2017,Bautista Agut R.,-1,-100
42983,1.43,0,1.98876876,1/14/2017,Sock J.,-1,-100
43421,1.38,0,1.969152579,3/2/2017,Cuevas P.,-1,-100
34310,1.46,0,1.958810175,7/29/2013,Gimeno-Traver D.,-1,-100
49479,1.4,0,1.941750086,6/18/2019,Tsonga J.W.,-1,-100
43761,2.94,1,1.907499708,4/25/2017,Haase R.,1.94,194
32383,2.72,1,1.899592177,10/24/2012,Gasquet R.,1.72,172
42188,2.86,1,1.893895761,8/15/2016,Cuevas P.,1.86,186
46862,1.38,0,1.886542063,6/16/2018,Federer R.,-1,-100
38023,1.53,0,1.886523095,2/14/2015,Anderson K.,-1,-100
52837,2.6,1,1.884201956,4/29/2021,Moutet C.,1.6,160
42539,1.52,0,1.882315546,10/4/2016,Simon G.,-1,-100
41131,1.41,0,1.879604225,4/16/2016,Nadal R.,-1,-100
34428,3.03,1,1.878802785,8/11/2013,Nadal R.,2.03,203
40634,2.74,1,1.876385102,2/12/2016,Kohlschreiber P.,1.74,174
48196,1.61,0,1.872730587,1/9/2019,Kohlschreiber P.,-1,-100
49321,2.76,1,1.87264502,5/28/2019,Thompson J.,1.76,176
42799,1.57,0,1.860847578,11/1/2016,Troicki V.,-1,-100
43952,1.45,0,1.85708427,5/13/2017,Nadal R.,-1,-100
46888,1.47,0,1.857016635,6/19/2018,Kohlschreiber P.,-1,-100
44085,2.73,1,1.853517423,5/29/2017,Estrella Burgos V.,1.73,173
55869,1.51,0,1.851197061,6/22/2022,Bublik A.,-1,-100
47336,2.74,1,1.850332262,8/2/2018,Istomin D.,1.74,174
39569,1.5,0,1.842319837,8/17/2015,Pospisil V.,-1,-100
48122,1.6,0,1.833562537,1/2/2019,Paire B.,-1,-100
40649,1.5,0,1.828289598,2/13/2016,Monfils G.,-1,-100
49753,1.58,0,1.811471008,7/18/2019,Gasquet R.,-1,-100
49224,1.57,0,1.809469686,5/19/2019,Nadal R.,-1,-100
38347,1.52,0,1.805432607,3/28/2015,Goffin D.,-1,-100
38308,2.81,1,1.798458497,3/25/2015,Krajicek A.,1.81,181
43449,1.53,0,1.782012444,3/5/2017,Cuevas P.,-1,-100
44692,2.44,1,1.779931414,8/2/2017,Tursunov D.,1.44,144
41222,1.47,0,1.779043177,4/26/2016,Dutra Silva R.,-1,-100
56535,1.55,0,1.775321753,9/3/2022,Rublev A.,-1,-100
34716,3.05,1,1.77337978,9/23/2013,Sijsling I.,2.05,205
56325,2.51,1,1.770191675,8/12/2022,Ruud C.,1.51,151
49172,2.71,1,1.765869526,5/12/2019,Basilashvili N.,1.71,171
54399,3.09,1,1.765198507,11/20/2021,Zverev A.,2.09,209
35170,1.43,0,1.763266827,1/13/2014,Pospisil V.,-1,-100
34101,2.67,1,1.762045143,7/10/2013,Ramos A.,1.67,167
47932,1.56,0,1.76002686,10/18/2018,Schwartzman D.,-1,-100
47926,1.53,0,1.759320753,10/18/2018,Monfils G.,-1,-100
39373,1.51,0,1.758860227,7/28/2015,Robredo T.,-1,-100
29904,2.62,1,1.758703788,1/6/2012,Tsonga J.W.,1.62,162
52998,2.83,1,1.755462649,5/20/2021,Nishioka Y.,1.83,183
47731,1.59,0,1.746748699,9/26/2018,Sousa J.,-1,-100
53968,1.5,0,1.744891213,9/2/2021,Schwartzman D.,-1,-100
54306,2.85,1,1.744815715,10/29/2021,Struff J.L.,1.85,185
31768,1.53,0,1.744316173,8/14/2012,Haas T.,-1,-100
39570,2.8,1,1.744303558,8/17/2015,Paire B.,1.8,180
42488,1.54,0,1.73993064,9/27/2016,Bellucci T.,-1,-100
34131,2.54,1,1.737438704,7/12/2013,Dimitrov G.,1.54,154
35020,1.56,0,1.737316545,11/8/2013,Wawrinka S.,-1,-100
46413,1.57,0,1.734868769,4/25/2018,Carreno Busta P.,-1,-100
52846,2.45,1,1.734630312,5/1/2021,Ramos-Vinolas A.,1.45,145
42060,2.85,1,1.734522527,7/22/2016,Johnson S.,1.85,185
38958,1.56,0,1.734238924,6/9/2015,Troicki V.,-1,-100
49745,2.6,1,1.729698851,7/17/2019,Ramos-Vinolas A.,1.6,160
38506,1.4,0,1.726605318,4/18/2015,Djokovic N.,-1,-100
41341,2.67,1,1.72593748,5/7/2016,Murray A.,1.67,167
41707,1.43,0,1.724729161,6/20/2016,Youzhny M.,-1,-100
54089,2.52,1,1.724271326,9/30/2021,Giron M.,1.52,152
30859,2.71,1,1.723207403,5/2/2012,Reynolds B.,1.71,171
35206,2.91,1,1.72301983,1/14/2014,Simon G.,1.91,191
41668,1.45,0,1.722385216,6/15/2016,Baghdatis M.,-1,-100
43172,1.56,0,1.720230127,2/10/2017,Bautista Agut R.,-1,-100
49730,1.43,0,1.718984415,7/16/2019,Londero J.I.,-1,-100
46455,1.51,0,1.718748901,5/1/2018,Dutra Silva R.,-1,-100
43569,1.51,0,1.717937924,3/23/2017,Coric B.,-1,-100
39565,2.98,1,1.716230119,8/16/2015,Murray A.,1.98,198
41317,2.52,1,1.714803514,5/4/2016,Sock J.,1.52,152
55151,1.59,0,1.714708647,3/27/2022,Sinner J.,-1,-100
32296,3.26,1,1.713525188,10/16/2012,Bogomolov A.,2.26,226
55570,2.58,1,1.711509038,5/18/2022,Sousa J.,1.58,158
32831,1.48,0,1.708848886,2/12/2013,Hewitt L.,-1,-100
38677,1.56,0,1.707459557,5/5/2015,Kohlschreiber P.,-1,-100
40250,1.52,0,1.706489114,1/5/2016,Mayer L.,-1,-100
38494,2.55,1,1.704813876,4/16/2015,Cilic M.,1.55,155
55086,2.72,1,1.704353796,3/19/2022,Fritz T.,1.72,172
54874,2.36,1,1.702677495,2/17/2022,Basilashvili N.,1.36,136
38014,2.71,1,1.700644702,2/13/2015,Souza J.,1.71,171
38685,1.49,0,1.700543787,5/5/2015,Mayer L.,-1,-100
55690,2.46,1,1.699577998,5/27/2022,Schwartzman D.,1.46,146
35672,1.54,0,1.699211015,3/9/2014,Robredo T.,-1,-100
47199,2.63,1,1.699129873,7/24/2018,Monteiro T.,1.63,163
38403,2.67,1,1.698869892,4/6/2015,Kukushkin M.,1.67,167
52239,1.44,0,1.698524442,2/23/2021,Cecchinato M.,-1,-100
51549,1.53,0,1.698250841,9/28/2020,Sock J.,-1,-100
49952,1.62,0,1.696935516,8/2/2019,Fritz T.,-1,-100
57107,2.58,1,1.694244303,1/11/2023,Kwon S.W.,1.58,158
34444,2.8,1,1.691363227,8/13/2013,Davydenko N.,1.8,180
31491,1.51,0,1.690665964,7/11/2012,Van Der Merwe I.,-1,-100
50065,2.37,1,1.689987378,8/15/2019,Khachanov K.,1.37,137
34745,1.45,0,1.685760384,9/26/2013,Youzhny M.,-1,-100
