match,PSW,win0,confidence0,date,winner,,
56726,1.26,0,2.797804793,10/6/2022,Tiafoe F.,-1,-100
42678,3.4,1,2.280738291,10/19/2016,Bublik A.,2.4,240
43766,2.94,1,2.200978383,4/25/2017,Haase R.,1.94,194
43398,1.4,0,2.121157268,3/1/2017,Sousa J.,-1,-100
41057,1.31,0,2.092252055,4/7/2016,Carreno Busta P.,-1,-100
43338,3.14,1,2.090245139,2/24/2017,Monteiro T.,2.14,214
42192,2.86,1,2.071709902,8/15/2016,Cuevas P.,1.86,186
40648,1.5,0,2.050702165,2/13/2016,Monfils G.,-1,-100
35730,3.11,1,2.047284167,3/19/2014,Mannarino A.,2.11,211
36419,1.53,0,2.014505091,6/15/2014,Dimitrov G.,-1,-100
42983,1.43,0,1.964375498,1/14/2017,Sock J.,-1,-100
34440,2.8,1,1.949109322,8/13/2013,Davydenko N.,1.8,180
57112,2.58,1,1.947744439,1/11/2023,Kwon S.W.,1.58,158
37308,2.76,1,1.934708235,9/30/2014,Andujar P.,1.76,176
38758,1.43,0,1.933609529,5/14/2015,Wawrinka S.,-1,-100
43901,1.36,0,1.901060335,5/7/2017,Carreno Busta P.,-1,-100
34426,3.03,1,1.898616707,8/11/2013,Nadal R.,2.03,203
48838,1.55,0,1.898577682,3/23/2019,Shapovalov D.,-1,-100
47463,2.55,1,1.898411458,8/16/2018,Kyrgios N.,1.55,155
49328,2.76,1,1.898325505,5/28/2019,Thompson J.,1.76,176
43717,2.7,1,1.897234073,4/18/2017,Muller G.,1.7,170
47930,1.53,0,1.874136476,10/18/2018,Monfils G.,-1,-100
49017,1.36,0,1.87253097,4/23/2019,Pella G.,-1,-100
54399,3.09,1,1.870931884,11/20/2021,Zverev A.,2.09,209
32378,2.72,1,1.870150452,10/24/2012,Gasquet R.,1.72,172
47253,1.54,0,1.852201572,7/27/2018,Kovalik J.,-1,-100
48777,1.47,0,1.848906745,3/16/2019,Federer R.,-1,-100
42316,1.54,0,1.84275529,8/29/2016,Seppi A.,-1,-100
33541,1.58,0,1.841001514,5/8/2013,Haas T.,-1,-100
41131,1.41,0,1.825415341,4/16/2016,Nadal R.,-1,-100
44777,1.47,0,1.819592716,8/9/2017,Anderson K.,-1,-100
40773,1.41,0,1.817103007,2/23/2016,Schwartzman D.,-1,-100
37168,2.58,1,1.814921246,8/30/2014,Kohlschreiber P.,1.58,158
32234,1.57,0,1.81417203,10/9/2012,Isner J.,-1,-100
43952,1.45,0,1.813497091,5/13/2017,Nadal R.,-1,-100
47353,2.58,1,1.806581424,8/3/2018,Istomin D.,1.58,158
32106,1.52,0,1.80506518,10/1/2012,Mayer F.,-1,-100
38823,1.53,0,1.797881386,5/22/2015,Bellucci T.,-1,-100
46458,1.51,0,1.7931247,5/1/2018,Dutra Silva R.,-1,-100
38980,1.56,0,1.78991536,6/10/2015,Muller G.,-1,-100
36936,2.74,1,1.78884978,8/5/2014,Lopez F.,1.74,174
