match,PSW,win0,confidence0,date,winner,,
43403,19.17,1,13.52600532,3/1/2017,Donskoy E.,18.17,1817
47069,18.03,1,12.01428019,7/5/2018,Pella G.,17.03,1703
31376,1.03,0,10.66921449,6/28/2012,Tsonga J.W.,-1,-100
34641,14.8,1,9.469802608,9/2/2013,Robredo T.,13.8,1380
42367,1.07,0,7.523571326,8/31/2016,Djokovic N.,-1,-100
42803,1.11,0,5.335262394,11/2/2016,Djokovic N.,-1,-100
44160,8.16,1,4.857712945,6/2/2017,Zeballos H.,7.16,716
30619,1.13,0,4.757393907,3/27/2012,Murray A.,-1,-100
38184,1.13,0,4.698032108,2/26/2015,Berdych T.,-1,-100
39783,6.12,1,4.396280145,9/7/2015,Anderson K.,5.12,512
57206,1.19,0,4.328626951,1/18/2023,Kokkinakis T.,-1,-100
57221,1.23,0,4.146852965,1/19/2023,Rublev A.,-1,-100
54963,1.17,0,4.13580218,2/24/2022,Tsitsipas S.,-1,-100
48660,1.2,0,4.1131919,2/28/2019,Zverev A.,-1,-100
32446,1.21,0,3.979402483,11/1/2012,Tsonga J.W.,-1,-100
43707,6.1,1,3.940391833,4/18/2017,Mannarino A.,5.1,510
56704,1.2,0,3.901630626,10/4/2022,Mcdonald M.,-1,-100
51869,4.93,1,3.896726082,11/4/2020,Thompson J.,3.93,393
39712,4.65,1,3.765893463,9/1/2015,Mahut N.,3.65,365
46407,4.85,1,3.704501277,4/25/2018,Garcia-Lopez G.,3.85,385
55960,1.21,0,3.704090192,6/29/2022,Bublik A.,-1,-100
46132,5.8,1,3.693376252,3/12/2018,Sousa J.,4.8,480
53112,5.34,1,3.67777899,5/31/2021,Johnson S.,4.34,434
49820,1.18,0,3.67426689,7/24/2019,Thiem D.,-1,-100
31791,1.16,0,3.620951604,8/16/2012,Cilic M.,-1,-100
33365,1.22,0,3.62055909,4/18/2013,Tsonga J.W.,-1,-100
47839,4.93,1,3.588785704,10/9/2018,Ebden M.,3.93,393
46363,1.18,0,3.566895802,4/20/2018,Nadal R.,-1,-100
33025,4.59,1,3.533740157,2/26/2013,Llodra M.,3.59,359
45510,1.18,0,3.526565545,1/3/2018,Kyrgios N.,-1,-100
46239,1.23,0,3.51294647,3/27/2018,Del Potro J.M.,-1,-100
36389,1.19,0,3.502157386,6/11/2014,Mannarino A.,-1,-100
41189,5.35,1,3.484862977,4/21/2016,Jaziri M.,4.35,435
33945,1.25,0,3.474868717,6/24/2013,Mannarino A.,-1,-100
49630,1.17,0,3.460886505,7/2/2019,Berrettini M.,-1,-100
52795,1.19,0,3.442534837,4/24/2021,Nadal R.,-1,-100
43664,1.17,0,3.439189382,4/13/2017,Verdasco F.,-1,-100
45024,1.15,0,3.429912148,9/4/2017,Nadal R.,-1,-100
35071,1.2,0,3.415056758,1/1/2014,Gulbis E.,-1,-100
39246,5.86,1,3.411297911,7/13/2015,Smith J.P.,4.86,486
45864,4.65,1,3.408611125,2/15/2018,Albot R.,3.65,365
39063,4.4,1,3.399692273,6/20/2015,Seppi A.,3.4,340
47455,5.67,1,3.378587987,8/15/2018,Haase R.,4.67,467
52981,1.2,0,3.376505333,5/18/2021,Ivashka I.,-1,-100
49016,5.31,1,3.372595783,4/23/2019,Jarry N.,4.31,431
44786,5.31,1,3.366536265,8/9/2017,Shapovalov D.,4.31,431
41834,1.28,0,3.345377949,7/1/2016,Lopez F.,-1,-100
43873,1.19,0,3.344026394,5/4/2017,Ferrer D.,-1,-100
40541,1.26,0,3.316655165,2/4/2016,Ramos-Vinolas A.,-1,-100
47837,5.28,1,3.304965723,10/9/2018,Jarry N.,4.28,428
41993,1.21,0,3.296484053,7/19/2016,Mathieu P.H.,-1,-100
42632,4,1,3.289831332,10/13/2016,Simon G.,3,300
35530,4.76,1,3.282158251,2/22/2014,Dolgopolov O.,3.76,376
56304,4.49,1,3.270249677,8/10/2022,Paul T.,3.49,349
34348,4.58,1,3.264249032,8/1/2013,Matosevic M.,3.58,358
38367,1.22,0,3.259037965,3/29/2015,Berdych T.,-1,-100
45690,1.17,0,3.256555324,1/18/2018,Berdych T.,-1,-100
55811,1.21,0,3.2214612,6/16/2022,Berrettini M.,-1,-100
51878,5.11,1,3.218952831,11/5/2020,Wawrinka S.,4.11,411
43051,1.32,0,3.218270778,1/18/2017,Sock J.,-1,-100
42737,3.98,1,3.203650195,10/25/2016,Melzer J.,2.98,298
42395,1.28,0,3.200356255,9/3/2016,Del Potro J.M.,-1,-100
35912,4.47,1,3.190930022,4/17/2014,Garcia-Lopez G.,3.47,347
34599,4.46,1,3.180693997,8/29/2013,Mannarino A.,3.46,346
