match,PSW,win0,confidence0,date,winner,,
42623,1.3,0,2.297448281,10/12/2016,Goffin D.,-1,-100
52244,3.06,1,2.115917434,2/23/2021,Cerundolo J.M.,2.06,206
42677,3.4,1,2.069405031,10/19/2016,Bublik A.,2.4,240
47248,1.54,0,1.988027696,7/27/2018,Kovalik J.,-1,-100
43763,2.94,1,1.943244067,4/25/2017,Haase R.,1.94,194
52839,2.6,1,1.931129006,4/29/2021,Moutet C.,1.6,160
43952,1.45,0,1.923933513,5/13/2017,Nadal R.,-1,-100
46704,1.43,0,1.903937715,5/28/2018,Giraldo S.,-1,-100
51707,1.51,0,1.902695141,10/16/2020,Shapovalov D.,-1,-100
54399,3.09,1,1.87065701,11/20/2021,Zverev A.,2.09,209
42192,2.86,1,1.865908005,8/15/2016,Cuevas P.,1.86,186
49067,1.37,0,1.857521421,4/30/2019,Berrettini M.,-1,-100
38762,1.43,0,1.857041143,5/14/2015,Wawrinka S.,-1,-100
38754,1.51,0,1.853980169,5/13/2015,Isner J.,-1,-100
42531,1.47,0,1.848675964,10/4/2016,Baghdatis M.,-1,-100
34443,3.15,1,1.844724431,8/13/2013,Lopez F.,2.15,215
51210,2.72,1,1.837764791,2/28/2020,Dimitrov G.,1.72,172
43840,1.53,0,1.833964806,5/2/2017,Daniel T.,-1,-100
32381,2.72,1,1.826513402,10/24/2012,Gasquet R.,1.72,172
38958,1.56,0,1.818681782,6/9/2015,Troicki V.,-1,-100
44508,2.79,1,1.816757982,7/18/2017,Brown D.,1.79,179
56506,2.66,1,1.812246543,8/31/2022,Moutet C.,1.66,166
49803,1.47,0,1.796696276,7/23/2019,Zverev A.,-1,-100
35653,1.56,0,1.796203281,3/8/2014,Raonic M.,-1,-100
38010,3.13,1,1.789586455,2/13/2015,Souza J.,2.13,213
50334,2.64,1,1.778182542,9/26/2019,Garin C.,1.64,164
46480,1.54,0,1.768603643,5/2/2018,Dutra Silva R.,-1,-100
31419,1.54,0,1.767255753,7/4/2012,Murray A.,-1,-100
39134,1.54,0,1.766631547,6/29/2015,Berankis R.,-1,-100
41131,1.41,0,1.765586408,4/16/2016,Nadal R.,-1,-100
34426,3.03,1,1.763920768,8/11/2013,Nadal R.,2.03,203
43716,2.7,1,1.763555018,4/18/2017,Muller G.,1.7,170
42340,1.57,0,1.753160557,8/30/2016,Evans D.,-1,-100
34717,1.53,0,1.747176719,9/23/2013,Haase R.,-1,-100
47499,1.56,0,1.746381407,8/21/2018,Gojowczyk P.,-1,-100
43085,1.54,0,1.735262322,1/20/2017,Tsonga J.W.,-1,-100
42926,1.46,0,1.732796484,1/7/2017,Bautista Agut R.,-1,-100
43942,1.54,0,1.72994746,5/11/2017,Thiem D.,-1,-100
43654,1.47,0,1.725137769,4/12/2017,Chardy J.,-1,-100
48838,1.55,0,1.723946528,3/23/2019,Shapovalov D.,-1,-100
47461,2.55,1,1.722606449,8/16/2018,Kyrgios N.,1.55,155
34444,2.8,1,1.722429901,8/13/2013,Davydenko N.,1.8,180
43686,2.94,1,1.72140663,4/15/2017,Johnson S.,1.94,194
50924,2.69,1,1.720374911,2/5/2020,Moutet C.,1.69,169
41852,1.44,0,1.718468531,7/3/2016,Vesely J.,-1,-100
31770,1.53,0,1.717443556,8/14/2012,Haas T.,-1,-100
47460,1.54,0,1.714095014,8/16/2018,Fucsovics M.,-1,-100
51101,2.11,1,1.712323329,2/20/2020,Humbert U.,1.11,111
41231,1.47,0,1.710727703,4/26/2016,Dutra Silva R.,-1,-100
47265,1.55,0,1.709613519,7/28/2018,Mayer L.,-1,-100
39421,1.58,0,1.704654994,7/31/2015,Fognini F.,-1,-100
48567,1.52,0,1.703459995,2/21/2019,Mcdonald M.,-1,-100
35021,1.56,0,1.703410618,11/8/2013,Wawrinka S.,-1,-100
43580,2.84,1,1.700697279,3/24/2017,Vesely J.,1.84,184
38026,1.53,0,1.700255083,2/14/2015,Anderson K.,-1,-100
44084,2.73,1,1.696153844,5/29/2017,Estrella Burgos V.,1.73,173
37048,1.46,0,1.694810092,8/19/2014,Goffin D.,-1,-100
39694,1.51,0,1.693703046,8/31/2015,Gabashvili T.,-1,-100
42093,2.5,1,1.693405633,7/26/2016,Young D.,1.5,150
47148,3.23,1,1.689054021,7/18/2018,Sela D.,2.23,223
48190,1.58,0,1.686992593,1/9/2019,Schwartzman D.,-1,-100
36105,2.63,1,1.686751522,5/11/2014,Melzer J.,1.63,163
47359,2.58,1,1.685657224,8/3/2018,Istomin D.,1.58,158
36639,1.56,0,1.681549272,7/9/2014,Sock J.,-1,-100
52607,1.56,0,1.680592854,3/30/2021,Bautista Agut R.,-1,-100
41039,2.71,1,1.676802542,4/5/2016,Baghdatis M.,1.71,171
42949,1.54,0,1.676439614,1/10/2017,Muller G.,-1,-100
37045,2.49,1,1.676080703,8/19/2014,Andujar P.,1.49,149
30810,1.56,0,1.670707809,4/27/2012,Verdasco F.,-1,-100
50528,1.76,0,1.669368701,10/17/2019,Chardy J.,-1,-100
53007,1.5,0,1.668188625,5/21/2021,Shapovalov D.,-1,-100
34621,1.55,0,1.667811863,8/30/2013,Benneteau J.,-1,-100
41344,2.92,1,1.664701208,5/8/2016,Anderson K.,1.92,192
43326,1.47,0,1.664590364,2/23/2017,Dolgopolov O.,-1,-100
51040,1.62,0,1.657240596,2/16/2020,Monfils G.,-1,-100
46977,1.56,0,1.656294344,6/29/2018,Zverev M.,-1,-100
45950,1.58,0,1.656004782,2/22/2018,Fritz T.,-1,-100
48120,1.6,0,1.655623801,1/2/2019,Paire B.,-1,-100
47895,1.56,0,1.654265905,10/16/2018,Verdasco F.,-1,-100
54117,2.75,1,1.652348772,10/7/2021,Daniel T.,1.75,175
42527,1.54,0,1.649509566,10/3/2016,Sousa J.,-1,-100
50963,1.74,0,1.647910886,2/10/2020,Ruud C.,-1,-100
31153,1.48,0,1.643422929,6/6/2012,Ferrer D.,-1,-100
41960,1.64,0,1.64333476,7/18/2016,Ymer E.,-1,-100
54192,1.58,0,1.642654852,10/13/2021,Hurkacz H.,-1,-100
50467,2.35,1,1.642540547,10/11/2019,Berrettini M.,1.35,135
35512,1.6,0,1.637334134,2/20/2014,Mahut N.,-1,-100
43401,1.56,0,1.637124638,3/1/2017,Thiem D.,-1,-100
52401,1.51,0,1.63666418,3/10/2021,Shapovalov D.,-1,-100
38436,1.59,0,1.635488759,4/9/2015,Vesely J.,-1,-100
41780,1.46,0,1.632536711,6/28/2016,Kukushkin M.,-1,-100
57398,2.46,1,1.632460435,2/16/2023,Mannarino A.,1.46,146
52983,1.5,0,1.630959682,5/18/2021,Fognini F.,-1,-100
52989,2.46,1,1.630823029,5/19/2021,Bedene A.,1.46,146
41037,1.53,0,1.630642396,4/5/2016,Istomin D.,-1,-100
49993,1.6,0,1.630569813,8/7/2019,Medvedev D.,-1,-100
48495,1.58,0,1.628194091,2/15/2019,Opelka R.,-1,-100
37978,2.62,1,1.625754848,2/10/2015,Souza J.,1.62,162
56225,1.61,0,1.624067816,8/3/2022,Dimitrov G.,-1,-100
33119,1.55,0,1.62252241,3/9/2013,Llodra M.,-1,-100
55251,1.53,0,1.622055052,4/11/2022,Schwartzman D.,-1,-100
48688,1.6,0,1.620679841,3/7/2019,Thompson J.,-1,-100
34397,1.69,0,1.620164197,8/7/2013,Raonic M.,-1,-100
41257,1.53,0,1.619832499,4/28/2016,Almagro N.,-1,-100
37888,1.47,0,1.619334034,2/3/2015,Pouille L.,-1,-100
35636,2.37,1,1.614266027,3/7/2014,Gabashvili T.,1.37,137
50589,1.65,0,1.613898226,10/24/2019,Bedene A.,-1,-100
34787,2.44,1,1.613893246,10/8/2013,Seppi A.,1.44,144
46105,1.56,0,1.613273714,3/10/2018,Sandgren T.,-1,-100
54492,1.61,0,1.611538744,1/12/2022,Opelka R.,-1,-100
48537,1.69,0,1.610644994,2/19/2019,Seppi A.,-1,-100
35198,2.21,1,1.605183761,1/14/2014,Young D.,1.21,121
45976,2.59,1,1.604277865,2/25/2018,Tiafoe F.,1.59,159
35984,1.61,0,1.60304971,4/25/2014,Nishikori K.,-1,-100
50451,1.48,0,1.601414343,10/9/2019,Isner J.,-1,-100
