match,PSW,win0,confidence0,date,winner,,
31156,1.27,0,2.560233129,6/10/2012,Nadal R.,-1,-100
49081,1.36,0,2.128148234,4/30/2019,Cuevas P.,-1,-100
56225,1.61,0,1.999041479,8/3/2022,Dimitrov G.,-1,-100
51707,1.51,0,1.992415354,10/16/2020,Shapovalov D.,-1,-100
34921,2.7,1,1.989850563,10/22/2013,Brands D.,1.7,170
54399,3.09,1,1.985219256,11/20/2021,Zverev A.,2.09,209
31770,1.53,0,1.983928889,8/14/2012,Haas T.,-1,-100
42531,1.47,0,1.974438034,10/4/2016,Baghdatis M.,-1,-100
43763,2.94,1,1.971608502,4/25/2017,Haase R.,1.94,194
47248,1.54,0,1.960501486,7/27/2018,Kovalik J.,-1,-100
52839,2.6,1,1.934348621,4/29/2021,Moutet C.,1.6,160
43840,1.53,0,1.933702087,5/2/2017,Daniel T.,-1,-100
47336,2.74,1,1.927237406,8/2/2018,Istomin D.,1.74,174
42192,2.86,1,1.897431934,8/15/2016,Cuevas P.,1.86,186
31669,1.56,0,1.872793888,7/28/2012,Querrey S.,-1,-100
43952,1.45,0,1.870237922,5/13/2017,Nadal R.,-1,-100
43716,2.7,1,1.869481525,4/18/2017,Muller G.,1.7,170
35944,1.4,0,1.859501317,4/22/2014,Ramos A.,-1,-100
36226,1.52,0,1.846276515,5/26/2014,Lopez F.,-1,-100
38675,1.52,0,1.842064246,5/5/2015,Raonic M.,-1,-100
32381,2.72,1,1.83355101,10/24/2012,Gasquet R.,1.72,172
47265,1.55,0,1.833530734,7/28/2018,Mayer L.,-1,-100
49416,1.64,0,1.831115931,6/11/2019,Auger-Aliassime F.,-1,-100
35315,2.87,1,1.823232917,2/5/2014,Davydenko N.,1.87,187
40743,2.83,1,1.8150628,2/21/2016,Querrey S.,1.83,183
43654,1.47,0,1.810299212,4/12/2017,Chardy J.,-1,-100
46480,1.54,0,1.809988206,5/2/2018,Dutra Silva R.,-1,-100
32294,1.52,0,1.805466493,10/16/2012,Lopez F.,-1,-100
37771,1.56,0,1.803697578,1/19/2015,Baghdatis M.,-1,-100
48190,1.58,0,1.801471844,1/9/2019,Schwartzman D.,-1,-100
43942,1.54,0,1.791574976,5/11/2017,Thiem D.,-1,-100
41231,1.47,0,1.789116422,4/26/2016,Dutra Silva R.,-1,-100
41257,1.53,0,1.788229649,4/28/2016,Almagro N.,-1,-100
47731,1.56,0,1.787196527,9/26/2018,Ramos-Vinolas A.,-1,-100
48906,1.65,0,1.785985884,4/10/2019,Simon G.,-1,-100
41817,1.45,0,1.784297839,6/30/2016,Istomin D.,-1,-100
47743,1.53,0,1.783291117,9/27/2018,Querrey S.,-1,-100
41037,1.53,0,1.777246377,4/5/2016,Istomin D.,-1,-100
30309,2.63,1,1.774381674,2/23/2012,Kubot L.,1.63,163
30501,1.52,0,1.773545856,3/12/2012,Almagro N.,-1,-100
35021,1.56,0,1.770781082,11/8/2013,Wawrinka S.,-1,-100
