match,PSW,win0,confidence0,date,winner,,
41123,1.28,0,2.384488481,4/14/2016,Monfils G.,-1,-100
36465,1.35,0,2.041981977,6/19/2014,Gasquet R.,-1,-100
43763,2.94,1,2.014111309,4/25/2017,Haase R.,1.94,194
47248,1.54,0,1.998470773,7/27/2018,Kovalik J.,-1,-100
41257,1.53,0,1.994022031,4/28/2016,Almagro N.,-1,-100
53888,1.38,0,1.983400275,8/30/2021,Molcan A.,-1,-100
42192,2.86,1,1.969343052,8/15/2016,Cuevas P.,1.86,186
43952,1.45,0,1.951987559,5/13/2017,Nadal R.,-1,-100
49980,1.37,0,1.93882021,8/6/2019,Coric B.,-1,-100
43984,1.49,0,1.916494234,5/16/2017,Paire B.,-1,-100
49954,1.62,0,1.901797743,8/2/2019,Fritz T.,-1,-100
55876,2.75,1,1.888246011,6/23/2022,Cressy M.,1.75,175
41886,2.61,1,1.88461719,7/12/2016,Robert S.,1.61,161
47336,2.74,1,1.875536067,8/2/2018,Istomin D.,1.74,174
54399,3.09,1,1.874795421,11/20/2021,Zverev A.,2.09,209
39741,1.45,0,1.868844554,9/2/2015,Chardy J.,-1,-100
52839,2.6,1,1.854217927,4/29/2021,Moutet C.,1.6,160
37544,1.45,0,1.849987934,10/27/2014,Kohlschreiber P.,-1,-100
34444,2.8,1,1.836691003,8/13/2013,Davydenko N.,1.8,180
36672,1.5,0,1.815129596,7/11/2014,Bautista R.,-1,-100
50792,1.52,0,1.796863337,1/21/2020,Mmoh M.,-1,-100
38657,1.55,0,1.793453134,5/2/2015,Gasquet R.,-1,-100
35944,1.4,0,1.792417629,4/22/2014,Ramos A.,-1,-100
38312,1.52,0,1.790390789,3/25/2015,Haase R.,-1,-100
57321,1.4,0,1.782707487,2/10/2023,Baez S.,-1,-100
50294,1.53,0,1.777513319,9/20/2019,Tsonga J.W.,-1,-100
53045,2.69,1,1.774434224,5/26/2021,Korda S.,1.69,169
55868,1.51,0,1.773752037,6/22/2022,Bublik A.,-1,-100
52989,2.46,1,1.772609579,5/19/2021,Bedene A.,1.46,146
43716,2.7,1,1.772393479,4/18/2017,Muller G.,1.7,170
55860,1.35,0,1.768561649,6/22/2022,Fritz T.,-1,-100
51890,1.56,0,1.766111572,11/7/2020,Medvedev D.,-1,-100
57258,2.58,1,1.765119521,2/6/2023,Zapata Miralles B.,1.58,158
38404,2.67,1,1.764075682,4/6/2015,Kukushkin M.,1.67,167
42531,1.47,0,1.762560886,10/4/2016,Baghdatis M.,-1,-100
36927,2.74,1,1.762454798,8/5/2014,Lopez F.,1.74,174
47743,1.53,0,1.760472441,9/27/2018,Querrey S.,-1,-100
53002,2.58,1,1.757143569,5/20/2021,Cuevas P.,1.58,158
42188,1.52,0,1.748909765,8/15/2016,Coric B.,-1,-100
56127,2.46,1,1.747814426,7/25/2022,Zeppieri G.,1.46,146
55339,1.51,0,1.746755266,4/20/2022,Auger-Aliassime F.,-1,-100
50636,1.59,0,1.744592495,10/30/2019,Wawrinka S.,-1,-100
41346,1.56,0,1.738877124,5/8/2016,Ramos-Vinolas A.,-1,-100
51886,1.49,0,1.737905039,11/6/2020,Zverev A.,-1,-100
43762,2.76,1,1.736346798,4/25/2017,Vesely J.,1.76,176
34772,2.7,1,1.735890001,10/7/2013,Granollers M.,1.7,170
34505,2.71,1,1.733025741,8/20/2013,Nieminen J.,1.71,171
41131,1.41,0,1.730619183,4/16/2016,Nadal R.,-1,-100
52086,1.54,0,1.72996379,2/5/2021,Auger-Aliassime F.,-1,-100
52850,2.45,1,1.722626168,5/1/2021,Ramos-Vinolas A.,1.45,145
40743,2.83,1,1.720354452,2/21/2016,Querrey S.,1.83,183
37366,1.6,0,1.717763096,10/7/2014,Klizan M.,-1,-100
51075,1.53,0,1.71718719,2/18/2020,Kecmanovic M.,-1,-100
49723,1.65,0,1.715346056,7/16/2019,Novak D.,-1,-100
39313,1.57,0,1.714815975,7/23/2015,Thiem D.,-1,-100
41640,1.56,0,1.714796313,6/14/2016,Mannarino A.,-1,-100
55752,1.61,0,1.713137024,6/9/2022,Ivashka I.,-1,-100
33098,1.65,0,1.711680257,3/8/2013,Gulbis E.,-1,-100
34426,3.03,1,1.710483685,8/11/2013,Nadal R.,2.03,203
42527,1.54,0,1.710014424,10/3/2016,Sousa J.,-1,-100
33228,1.52,0,1.708938695,3/23/2013,Nieminen J.,-1,-100
41048,1.55,0,1.707495244,4/6/2016,Verdasco F.,-1,-100
50329,1.55,0,1.704063265,9/26/2019,Carreno Busta P.,-1,-100
52196,2.57,1,1.703866403,2/12/2021,Auger-Aliassime F.,1.57,157
45513,1.6,0,1.702031394,1/3/2018,Gojowczyk P.,-1,-100
41094,1.45,0,1.701951027,4/12/2016,Bautista Agut R.,-1,-100
48351,1.59,0,1.700599715,2/5/2019,Hoang A.,-1,-100
55386,2.7,1,1.69672409,4/26/2022,Bonzi B.,1.7,170
43085,1.54,0,1.691358408,1/20/2017,Tsonga J.W.,-1,-100
32520,1.52,0,1.68988571,1/2/2013,Baghdatis M.,-1,-100
43865,2.5,1,1.689609945,5/3/2017,Tomic B.,1.5,150
35526,2.65,1,1.68956746,2/21/2014,Dolgopolov O.,1.65,165
53538,1.51,0,1.687506742,7/17/2021,Carreno Busta P.,-1,-100
34600,1.49,0,1.686481992,8/29/2013,Wawrinka S.,-1,-100
32812,2.6,1,1.685181914,2/9/2013,Paire B.,1.6,160
49757,1.58,0,1.684725063,7/18/2019,Gasquet R.,-1,-100
50451,1.48,0,1.68223388,10/9/2019,Isner J.,-1,-100
46455,1.51,0,1.681901596,5/1/2018,Dutra Silva R.,-1,-100
39289,1.57,0,1.679327108,7/21/2015,Coric B.,-1,-100
37146,1.54,0,1.677695274,8/28/2014,Querrey S.,-1,-100
41817,1.45,0,1.676207751,6/30/2016,Istomin D.,-1,-100
47359,2.58,1,1.675621619,8/3/2018,Istomin D.,1.58,158
32839,1.41,0,1.673771916,2/12/2013,Berlocq C.,-1,-100
48554,2.59,1,1.672457266,2/20/2019,Dellien H.,1.59,159
44084,2.73,1,1.670825871,5/29/2017,Estrella Burgos V.,1.73,173
36204,1.48,0,1.668809711,5/23/2014,Kohlschreiber P.,-1,-100
52878,1.64,0,1.66741224,5/4/2021,Davidovich Fokina A.,-1,-100
32772,1.49,0,1.667010492,2/6/2013,Gimeno-Traver D.,-1,-100
36920,2.93,1,1.666909604,8/4/2014,Benneteau J.,1.93,193
45506,2.38,1,1.666047154,1/3/2018,Herbert P.H.,1.38,138
53284,2.45,1,1.665002185,6/20/2021,Mannarino A.,1.45,145
43580,2.84,1,1.662135914,3/24/2017,Vesely J.,1.84,184
35984,1.61,0,1.661086654,4/25/2014,Nishikori K.,-1,-100
44254,1.55,0,1.660867422,6/20/2017,Cilic M.,-1,-100
47888,1.53,0,1.660695781,10/16/2018,Paire B.,-1,-100
46011,2.24,1,1.660167751,2/27/2018,Harrison R.,1.24,124
33500,1.54,0,1.659021056,5/4/2013,Kohlschreiber P.,-1,-100
53007,1.5,0,1.658363912,5/21/2021,Shapovalov D.,-1,-100
52896,2.36,1,1.656469496,5/6/2021,Garin C.,1.36,136
38207,2.63,1,1.656392241,2/28/2015,Monaco J.,1.63,163
48313,2.74,1,1.655483572,1/18/2019,Bautista Agut R.,1.74,174
33330,1.51,0,1.655041572,4/15/2013,Paire B.,-1,-100
37771,1.56,0,1.653146099,1/19/2015,Baghdatis M.,-1,-100
47939,2.37,1,1.650631222,10/19/2018,Fognini F.,1.37,137
54188,1.51,0,1.647341968,10/13/2021,Monfils G.,-1,-100
43840,1.53,0,1.647219473,5/2/2017,Daniel T.,-1,-100
40053,2.27,1,1.646414029,10/21/2015,Gabashvili T.,1.27,127
47363,1.63,0,1.645996289,8/4/2018,Zverev A.,-1,-100
41703,1.51,0,1.643752322,6/20/2016,Sela D.,-1,-100
52087,1.57,0,1.642728439,2/5/2021,Evans D.,-1,-100
42929,1.68,0,1.64217801,1/8/2017,Mahut N.,-1,-100
46080,1.64,0,1.64215246,3/9/2018,Sousa J.,-1,-100
48711,2.56,1,1.642027054,3/9/2019,Kohlschreiber P.,1.56,156
47496,2.58,1,1.640377666,8/21/2018,Carballes Baena R.,1.58,158
48023,1.67,0,1.637964665,10/29/2018,Kohlschreiber P.,-1,-100
33568,2.71,1,1.637695354,5/13/2013,Kohlschreiber P.,1.71,171
47396,1.67,0,1.636559112,8/8/2018,Shapovalov D.,-1,-100
32588,1.63,0,1.635619133,1/9/2013,Granollers M.,-1,-100
54405,1.5,0,1.634687098,1/4/2022,Van De Zandschulp B.,-1,-100
40482,1.55,0,1.634659662,1/25/2016,Ferrer D.,-1,-100
47993,1.61,0,1.634586651,10/25/2018,Nishikori K.,-1,-100
56178,2.56,1,1.634290634,7/28/2022,Bagnis F.,1.56,156
48146,1.64,0,1.634112971,1/3/2019,Chardy J.,-1,-100
38350,1.63,0,1.632910109,3/28/2015,Dolgopolov O.,-1,-100
43136,2.71,1,1.632456625,2/8/2017,Olivo R.,1.71,171
53790,1.49,0,1.632176573,8/17/2021,Hurkacz H.,-1,-100
57043,1.62,0,1.631882572,1/3/2023,Korda S.,-1,-100
45574,2.19,1,1.62964442,1/10/2018,Lorenzi P.,1.19,119
42888,2.54,1,1.628236559,1/4/2017,Almagro N.,1.54,154
47218,1.66,0,1.627632439,7/24/2018,Gasquet R.,-1,-100
38645,2.39,1,1.626971375,5/1/2015,Gasquet R.,1.39,139
43654,1.47,0,1.626705898,4/12/2017,Chardy J.,-1,-100
55251,1.53,0,1.625849665,4/11/2022,Schwartzman D.,-1,-100
39998,1.53,0,1.625522706,10/14/2015,Raonic M.,-1,-100
49223,1.57,0,1.624349598,5/19/2019,Nadal R.,-1,-100
54492,1.61,0,1.624151038,1/12/2022,Opelka R.,-1,-100
35021,1.56,0,1.623279144,11/8/2013,Wawrinka S.,-1,-100
53056,1.65,0,1.6212831,5/26/2021,Delbonis F.,-1,-100
55457,2.4,1,1.62086513,5/4/2022,Dimitrov G.,1.4,140
38750,2.6,1,1.620492728,5/13/2015,Fognini F.,1.6,160
39136,1.6,0,1.620459706,6/29/2015,Granollers M.,-1,-100
51083,1.56,0,1.620065936,2/19/2020,Garin C.,-1,-100
53911,2.68,1,1.619756242,8/31/2021,Pospisil V.,1.68,168
54085,2.52,1,1.615388671,9/30/2021,Giron M.,1.52,152
43448,1.53,0,1.613761209,3/5/2017,Cuevas P.,-1,-100
32810,1.61,0,1.61339263,2/9/2013,Cilic M.,-1,-100
56787,1.53,0,1.612922306,10/13/2022,Musetti L.,-1,-100
50924,2.69,1,1.612540136,2/5/2020,Moutet C.,1.69,169
43277,2.57,1,1.612438754,2/20/2017,Jaziri M.,1.57,157
36092,1.63,0,1.611958277,5/8/2014,Gulbis E.,-1,-100
33869,2.65,1,1.611786662,6/15/2013,Youzhny M.,1.65,165
43783,2.73,1,1.610784901,4/26/2017,Karlovic I.,1.73,173
47461,2.55,1,1.609209425,8/16/2018,Kyrgios N.,1.55,155
54878,2.63,1,1.608489866,2/17/2022,Safiullin R.,1.63,163
36994,2.12,1,1.607615979,8/12/2014,Pospisil V.,1.12,112
43569,1.51,0,1.605523598,3/23/2017,Coric B.,-1,-100
32971,2.26,1,1.604338329,2/22/2013,Nishikori K.,1.26,126
53725,1.58,0,1.602628097,8/7/2021,Sinner J.,-1,-100
48622,1.65,0,1.602119261,2/26/2019,Schwartzman D.,-1,-100
39112,2.52,1,1.601668743,6/26/2015,Istomin D.,1.52,152
54697,1.68,0,1.601579966,2/4/2022,Tabilo A.,-1,-100
56281,1.57,0,1.601254097,8/9/2022,Nishioka Y.,-1,-100
54118,2.33,1,1.600633331,10/7/2021,Taberner C.,1.33,133
34504,1.46,0,1.599330454,8/20/2013,Monaco J.,-1,-100
33260,2.64,1,1.599314069,3/26/2013,Cilic M.,1.64,164
44780,1.47,0,1.599233139,8/9/2017,Anderson K.,-1,-100
47214,2.63,1,1.598927426,7/24/2018,Monteiro T.,1.63,163
42403,1.73,0,1.597927838,9/4/2016,Tsonga J.W.,-1,-100
47799,1.43,0,1.59788778,10/4/2018,Anderson K.,-1,-100
37425,1.64,0,1.595701071,10/15/2014,Karlovic I.,-1,-100
55150,1.59,0,1.594479598,3/27/2022,Sinner J.,-1,-100
33605,2.31,1,1.594030769,5/16/2013,Granollers M.,1.31,131
48982,1.74,0,1.592777176,4/19/2019,Lajovic D.,-1,-100
48072,2.57,1,1.591208287,11/15/2018,Thiem D.,1.57,157
54636,1.53,0,1.590743104,1/31/2022,Bhambri Y.,-1,-100
41417,1.67,0,1.589891285,5/17/2016,Mayer L.,-1,-100
38839,2.27,1,1.589702125,5/24/2015,Dzumhur D.,1.27,127
42675,2.44,1,1.588902686,10/19/2016,Robert S.,1.44,144
47906,1.58,0,1.588282565,10/17/2018,Caruso S.,-1,-100
38566,1.51,0,1.586942945,4/23/2015,Bautista R.,-1,-100
52842,1.63,0,1.585993563,4/30/2021,Ramos-Vinolas A.,-1,-100
36684,2.3,1,1.585727176,7/12/2014,Rosol L.,1.3,130
53872,1.56,0,1.585321916,8/27/2021,Alcaraz C.,-1,-100
34068,1.53,0,1.58503161,7/8/2013,Isner J.,-1,-100
38012,2.71,1,1.583032505,2/13/2015,Souza J.,1.71,171
38754,1.51,0,1.58199909,5/13/2015,Isner J.,-1,-100
41400,2.72,1,1.581752169,5/15/2016,Mannarino A.,1.72,172
33250,1.57,0,1.581582713,3/25/2013,Cilic M.,-1,-100
37045,2.49,1,1.580918596,8/19/2014,Andujar P.,1.49,149
38026,1.53,0,1.580215493,2/14/2015,Anderson K.,-1,-100
50342,1.57,0,1.579758827,9/27/2019,Shapovalov D.,-1,-100
51246,2.55,1,1.579736314,8/24/2020,Struff J.L.,1.55,155
44765,2.52,1,1.57910369,8/8/2017,Carreno Busta P.,1.52,152
45309,2.55,1,1.57878646,10/19/2017,Medvedev D.,1.55,155
54461,2.35,1,1.576894732,1/10/2022,Munar J.,1.35,135
36157,1.57,0,1.576863009,5/18/2014,Delbonis F.,-1,-100
34621,1.55,0,1.576844307,8/30/2013,Benneteau J.,-1,-100
46530,2.6,1,1.575407091,5/7/2018,Lajovic D.,1.6,160
33436,1.56,0,1.575295569,4/26/2013,Raonic M.,-1,-100
55622,2.17,1,1.575188598,5/23/2022,Krajinovic F.,1.17,117
52781,1.77,0,1.57518774,4/22/2021,Sinner J.,-1,-100
50051,1.68,0,1.574959647,8/14/2019,Schwartzman D.,-1,-100
49510,1.69,0,1.574378952,6/21/2019,Berrettini M.,-1,-100
51128,1.61,0,1.573817987,2/23/2020,Garin C.,-1,-100
54886,1.58,0,1.571732259,2/18/2022,Bautista Agut R.,-1,-100
36471,1.71,0,1.571470156,6/20/2014,Lopez F.,-1,-100
44872,1.73,0,1.571188938,8/21/2017,Baghdatis M.,-1,-100
35267,1.48,0,1.570514803,1/18/2014,Bautista R.,-1,-100
51094,2.31,1,1.570216665,2/19/2020,Bublik A.,1.31,131
47327,2.54,1,1.569805768,8/2/2018,De Minaur A.,1.54,154
44642,1.66,0,1.568426645,7/29/2017,Isner J.,-1,-100
42532,1.52,0,1.566184545,10/4/2016,Simon G.,-1,-100
51767,1.76,0,1.566048093,10/23/2020,Evans D.,-1,-100
48769,2.34,1,1.565236038,3/13/2019,Kecmanovic M.,1.34,134
34727,2.43,1,1.565198265,9/24/2013,Carreno-Busta P.,1.43,143
43593,1.71,0,1.564697278,3/25/2017,Jaziri M.,-1,-100
51747,1.78,0,1.564557305,10/21/2020,Evans D.,-1,-100
36383,1.57,0,1.564212824,6/11/2014,Stepanek R.,-1,-100
38417,2.29,1,1.563777318,4/7/2015,Dzumhur D.,1.29,129
51551,1.53,0,1.563700583,9/28/2020,Sock J.,-1,-100
40105,1.59,0,1.561372528,10/26/2015,Thiem D.,-1,-100
48114,2.23,1,1.560849852,1/1/2019,Chardy J.,1.23,123
40954,1.55,0,1.559959844,3/24/2016,Mannarino A.,-1,-100
41327,1.58,0,1.55875339,5/4/2016,Bautista Agut R.,-1,-100
35363,1.53,0,1.557779163,2/9/2014,Cilic M.,-1,-100
49416,1.64,0,1.557751895,6/11/2019,Auger-Aliassime F.,-1,-100
42646,1.57,0,1.557599239,10/17/2016,Seppi A.,-1,-100
39421,1.58,0,1.557299138,7/31/2015,Fognini F.,-1,-100
44301,2.28,1,1.556633685,6/24/2017,Lopez F.,1.28,128
46105,1.56,0,1.55658872,3/10/2018,Sandgren T.,-1,-100
47392,1.57,0,1.555845879,8/7/2018,Carreno Busta P.,-1,-100
56771,2.3,1,1.554903247,10/12/2022,Wolf J.J.,1.3,130
47265,1.55,0,1.554761954,7/28/2018,Mayer L.,-1,-100
39715,2.41,1,1.554395979,9/1/2015,Bedene A.,1.41,141
40098,1.76,0,1.553702443,10/24/2015,Bautista R.,-1,-100
55404,2.48,1,1.553443012,4/28/2022,Otte O.,1.48,148
49936,1.68,0,1.553431167,8/1/2019,Ramos-Vinolas A.,-1,-100
39057,2.21,1,1.553421309,6/19/2015,Troicki V.,1.21,121
49201,1.53,0,1.552825759,5/16/2019,Federer R.,-1,-100
45455,1.57,0,1.552260294,11/15/2017,Dimitrov G.,-1,-100
45264,2.67,1,1.551865042,10/16/2017,Sela D.,1.67,167
46480,1.54,0,1.551533976,5/2/2018,Dutra Silva R.,-1,-100
44664,1.69,0,1.550201967,8/1/2017,Santillan A.,-1,-100
32989,2.15,1,1.548769602,2/24/2013,Tsonga J.W.,1.15,115
49144,1.75,0,1.548538879,5/8/2019,Hurkacz H.,-1,-100
53026,2.73,1,1.548324841,5/24/2021,Moraing M.,1.73,173
38574,1.65,0,1.548284512,4/24/2015,Vesely J.,-1,-100
46801,1.69,0,1.548126384,6/3/2018,Thiem D.,-1,-100
47679,2.37,1,1.548008426,9/20/2018,Cecchinato M.,1.37,137
53657,2.4,1,1.547688021,7/28/2021,Mager G.,1.4,140
33688,2.4,1,1.546816134,5/27/2013,Isner J.,1.4,140
37271,2.42,1,1.546128797,9/26/2014,Giraldo S.,1.42,142
56753,1.63,0,1.546119097,10/10/2022,Lestienne C.,-1,-100
42073,1.64,0,1.54519262,7/23/2016,Lopez F.,-1,-100
47375,2.59,1,1.545190516,8/6/2018,Polansky P.,1.59,159
36604,1.68,0,1.544611034,7/7/2014,Delbonis F.,-1,-100
50724,2.62,1,1.544584584,1/15/2020,Millman J.,1.62,162
48580,1.49,0,1.544337888,2/22/2019,Humbert U.,-1,-100
49247,1.51,0,1.54420324,5/21/2019,Dzumhur D.,-1,-100
50439,1.58,0,1.543424053,10/8/2019,Berrettini M.,-1,-100
32566,1.6,0,1.543065484,1/7/2013,Lacko L.,-1,-100
47113,1.61,0,1.542558699,7/16/2018,Thompson J.,-1,-100
40659,1.53,0,1.541541145,2/15/2016,Paire B.,-1,-100
55499,1.68,0,1.541445005,5/10/2022,Shapovalov D.,-1,-100
41987,2.08,1,1.541014061,7/19/2016,Nishioka Y.,1.08,108
43836,1.68,0,1.539946387,5/2/2017,Khachanov K.,-1,-100
48986,1.68,0,1.539525729,4/21/2019,Fognini F.,-1,-100
50428,1.61,0,1.539258755,10/7/2019,Shapovalov D.,-1,-100
49699,1.55,0,1.539147223,7/14/2019,Djokovic N.,-1,-100
49186,2.34,1,1.537210027,5/14/2019,Berrettini M.,1.34,134
44549,2.43,1,1.537097408,7/21/2017,Giannessi A.,1.43,143
47740,2.34,1,1.53699512,9/27/2018,Ebden M.,1.34,134
34589,1.65,0,1.536839249,8/29/2013,Dodig I.,-1,-100
42257,1.57,0,1.536748897,8/23/2016,Lu Y.H.,-1,-100
52052,2.14,1,1.536169288,2/3/2021,Vesely J.,1.14,114
38493,2.55,1,1.53531552,4/16/2015,Cilic M.,1.55,155
41501,1.68,0,1.535313822,5/24/2016,Jaziri M.,-1,-100
51101,2.11,1,1.53491915,2/20/2020,Humbert U.,1.11,111
53277,2.41,1,1.533886786,6/19/2021,Humbert U.,1.41,141
48845,2.17,1,1.533622336,3/24/2019,Auger-Aliassime F.,1.17,117
54494,1.71,0,1.533135751,1/13/2022,Karatsev A.,-1,-100
