match,PSW,win0,confidence0,date,winner,,,pred correct?
33859,1.22,0,3.220512993,6/13/2013,Tsonga J.W.,-1,,
56730,1.26,0,2.369852813,10/6/2022,Tiafoe F.,-1,,
43421,1.38,0,2.279838749,3/2/2017,Cuevas P.,-1,,
41055,1.31,0,2.194796884,4/7/2016,Carreno Busta P.,-1,,
42683,3.4,1,2.137292796,10/19/2016,Bublik A.,2.4,,
47249,1.54,0,2.100808784,7/27/2018,Kovalik J.,-1,,
31893,1.3,0,2.052145509,8/28/2012,Ramirez-Hidalgo R.,-1,,
55862,1.51,0,2.051408023,6/22/2022,Bublik A.,-1,,
42925,1.46,0,2.024228123,1/7/2017,Bautista Agut R.,-1,,
43761,2.94,1,1.999577413,4/25/2017,Haase R.,1.94,,
43716,2.7,1,1.974497947,4/18/2017,Muller G.,1.7,,
55264,1.41,0,1.973920682,4/12/2022,Sonego L.,-1,,
49472,1.4,0,1.937134523,6/18/2019,Tsonga J.W.,-1,,
32116,3.18,1,1.936957757,10/2/2012,Davydenko N.,2.18,,
43952,1.45,0,1.928531818,5/13/2017,Nadal R.,-1,,
31770,1.53,0,1.926583179,8/14/2012,Haas T.,-1,,
38466,2.64,1,1.919787705,4/13/2015,Stakhovsky S.,1.64,,
38985,1.45,0,1.917858473,6/11/2015,Tomic B.,-1,,
43512,2.88,1,1.912636299,3/13/2017,Carreno Busta P.,1.88,,
36419,1.53,0,1.90540117,6/15/2014,Dimitrov G.,-1,,
39565,2.98,1,1.903845782,8/16/2015,Murray A.,1.98,,
38506,1.4,0,1.889163643,4/18/2015,Djokovic N.,-1,,
39909,1.45,0,1.884017933,10/5/2015,Goffin D.,-1,,
48834,1.55,0,1.882967249,3/23/2019,Shapovalov D.,-1,,
52596,3.06,1,1.88042944,3/29/2021,Hurkacz H.,2.06,,
39567,2.8,1,1.879730884,8/17/2015,Paire B.,1.8,,
47208,1.38,0,1.8616862,7/24/2018,Bedene A.,-1,,
31419,1.54,0,1.859721218,7/4/2012,Murray A.,-1,,
51708,1.51,0,1.857483911,10/16/2020,Shapovalov D.,-1,,
41131,1.41,0,1.856277529,4/16/2016,Nadal R.,-1,,
43687,2.94,1,1.855360572,4/15/2017,Johnson S.,1.94,,
35935,1.4,0,1.853933959,4/22/2014,Ungur A.,-1,,
54399,3.09,1,1.851270121,11/20/2021,Zverev A.,2.09,,
42423,2.71,1,1.846283908,9/20/2016,Lorenzi P.,1.71,,
34613,1.55,0,1.844138079,8/30/2013,Benneteau J.,-1,,
50295,1.53,0,1.829345022,9/20/2019,Tsonga J.W.,-1,,
51511,1.39,0,1.828831232,9/25/2020,Tsitsipas S.,-1,,
48313,2.74,1,1.824923772,1/18/2019,Bautista Agut R.,1.74,,
31153,1.48,0,1.822490844,6/6/2012,Ferrer D.,-1,,
53853,1.51,0,1.821804157,8/24/2021,Gasquet R.,-1,,
48566,1.52,0,1.818293799,2/21/2019,Mcdonald M.,-1,,
43184,2.75,1,1.816213273,2/11/2017,Estrella Burgos V.,1.75,,
40354,1.53,0,1.813695087,1/15/2016,Dimitrov G.,-1,,
35549,2.55,1,1.809404814,2/25/2014,Rosol L.,1.55,,
38013,2.71,1,1.808377308,2/13/2015,Souza J.,1.71,,
47327,2.74,1,1.805078346,8/2/2018,Istomin D.,1.74,,
53218,1.47,0,1.800010991,6/12/2021,Auger-Aliassime F.,-1,,
45976,2.59,1,1.798812735,2/25/2018,Tiafoe F.,1.59,,
35585,2.81,1,1.798582293,2/26/2014,Rosol L.,1.81,,
57107,2.58,1,1.797352679,1/11/2023,Kwon S.W.,1.58,158,
47463,2.55,1,1.797059428,8/16/2018,Kyrgios N.,1.55,,
38307,2.81,1,1.795836498,3/25/2015,Krajicek A.,1.81,,
38823,1.53,0,1.792857715,5/22/2015,Bellucci T.,-1,,
52191,2.58,1,1.783523948,2/11/2021,Ymer M.,1.58,,
53568,2.57,1,1.776090055,7/20/2021,Donskoy E.,1.57,,
41091,1.49,0,1.775769788,4/11/2016,Bautista Agut R.,-1,,
32003,1.54,0,1.775263709,9/19/2012,Seppi A.,-1,,
41364,1.5,0,1.770128906,5/10/2016,Goffin D.,-1,,
37708,1.53,0,1.769426477,1/13/2015,Young D.,-1,,
33540,2.73,1,1.765073933,5/8/2013,Anderson K.,1.73,,
49669,1.52,0,1.764566596,7/5/2019,Bautista Agut R.,-1,,
52838,2.6,1,1.764070967,4/29/2021,Moutet C.,1.6,,
32380,2.72,1,1.761992393,10/24/2012,Gasquet R.,1.72,,
43665,1.55,0,1.761713019,4/13/2017,Vesely J.,-1,,
47732,1.59,0,1.756454862,9/26/2018,Sousa J.,-1,,
51890,1.56,0,1.754896987,11/7/2020,Medvedev D.,-1,,
46679,1.54,0,1.754389599,5/24/2018,Lajovic D.,-1,,
42188,1.52,0,1.74974296,8/15/2016,Coric B.,-1,,
47929,1.53,0,1.746093152,10/18/2018,Monfils G.,-1,,
41365,1.56,0,1.745286962,5/10/2016,Monaco J.,-1,,
41348,2.92,1,1.743167214,5/8/2016,Anderson K.,1.92,,
52078,1.54,0,1.741215145,2/5/2021,Auger-Aliassime F.,-1,,
32173,2.62,1,1.74107423,10/4/2012,Baghdatis M.,1.62,,
52806,1.53,0,1.741067404,4/26/2021,Borges N.,-1,,
53292,1.6,0,1.740879123,6/21/2021,Travaglia S.,-1,,
30111,1.5,0,1.735499282,1/31/2012,Youzhny M.,-1,,
52247,1.49,0,1.733788043,2/23/2021,Albot R.,-1,,
46409,1.57,0,1.733149962,4/25/2018,Carreno Busta P.,-1,,
41094,1.45,0,1.731317747,4/12/2016,Bautista Agut R.,-1,,
49224,1.57,0,1.731014037,5/19/2019,Nadal R.,-1,,
44232,2.7,1,1.729494984,6/16/2017,Pouille L.,1.7,,
36684,2.74,1,1.727862404,7/12/2014,Bautista R.,1.74,,
55376,1.6,0,1.72747235,4/25/2022,Kwon S.W.,-1,,
43689,1.63,0,1.722784904,4/16/2017,Johnson S.,-1,,
49261,1.54,0,1.72032312,5/22/2019,Fritz T.,-1,,
54302,2.51,1,1.718997269,10/28/2021,Cilic M.,1.51,,
33806,1.53,0,1.71638143,6/10/2013,Evans D.,-1,,
30501,1.52,0,1.714993955,3/12/2012,Almagro N.,-1,,
38404,2.67,1,1.713751231,4/6/2015,Kukushkin M.,1.67,,
48620,1.65,0,1.712349112,2/26/2019,Schwartzman D.,-1,,
55494,3.45,1,1.712196587,5/9/2022,Wawrinka S.,2.45,,
53872,1.56,0,1.711901191,8/27/2021,Alcaraz C.,-1,,
31293,2.58,1,1.711505829,6/22/2012,Harrison R.,1.58,,
45317,2.71,1,1.710978284,10/19/2017,Berankis R.,1.71,,
46072,1.39,0,1.702018325,3/8/2018,Fritz T.,-1,,
40646,1.5,0,1.701700118,2/13/2016,Monfils G.,-1,,
51256,1.61,0,1.700672436,8/24/2020,Raonic M.,-1,,
51946,1.52,0,1.700394258,1/8/2021,Fratangelo B.,-1,,
56194,1.63,0,1.70023736,7/30/2022,De Minaur A.,-1,,
37968,2.62,1,1.698387863,2/10/2015,Souza J.,1.62,,
41056,2.73,1,1.698036796,4/7/2016,Garcia-Lopez G.,1.73,,
43649,1.47,0,1.696973034,4/12/2017,Chardy J.,-1,,
56124,1.51,0,1.696461171,7/25/2022,Misolic F.,-1,,
56739,1.59,0,1.695158195,10/7/2022,Tiafoe F.,-1,,
51093,1.56,0,1.694931013,2/19/2020,Garin C.,-1,,
44058,2.71,1,1.694861054,5/26/2017,Berdych T.,1.71,,
33830,2.73,1,1.693289501,6/11/2013,Monfils G.,1.73,,
48576,1.49,0,1.691150705,2/22/2019,Humbert U.,-1,,
49785,1.51,0,1.690379954,7/22/2019,Travaglia S.,-1,,
30307,2.63,1,1.689710841,2/23/2012,Kubot L.,1.63,,
45796,2.61,1,1.689490163,2/9/2018,Basic M.,1.61,,
47354,2.58,1,1.686156877,8/3/2018,Istomin D.,1.58,,
46315,2.38,1,1.686068144,4/15/2018,Zverev M.,1.38,,
57444,1.67,0,1.68404122,2/21/2023,Van De Zandschulp B.,-1,-100,
43837,1.68,0,1.683315267,5/2/2017,Khachanov K.,-1,,
49519,1.66,0,1.68265449,6/23/2019,Kecmanovic M.,-1,,
56234,1.61,0,1.682604086,8/3/2022,Dimitrov G.,-1,,
47894,1.56,0,1.681000755,10/16/2018,Verdasco F.,-1,,
52950,2.5,1,1.680970192,5/13/2021,Delbonis F.,1.5,,
46025,1.52,0,1.67962912,2/28/2018,Coric B.,-1,,
37939,2.67,1,1.679499289,2/7/2015,Lopez F.,1.67,,
51781,1.56,0,1.677595017,10/26/2020,Carreno Busta P.,-1,,
40742,2.83,1,1.675277994,2/21/2016,Querrey S.,1.83,,
53216,2.8,1,1.675273373,6/11/2021,Djokovic N.,1.8,,
52401,1.57,0,1.674223026,3/10/2021,Delbonis F.,-1,,
46291,1.38,0,1.671671823,4/12/2018,Sousa J.,-1,,
42094,2.5,1,1.671186555,7/26/2016,Young D.,1.5,,
36516,1.54,0,1.669686125,6/24/2014,Istomin D.,-1,,
35021,1.56,0,1.669147398,11/8/2013,Wawrinka S.,-1,,
51104,2.11,1,1.666813213,2/20/2020,Humbert U.,1.11,,
47150,1.57,0,1.666625802,7/18/2018,Lajovic D.,-1,,
55020,1.45,0,1.662750671,3/12/2022,Shapovalov D.,-1,,
32106,1.52,0,1.661633602,10/1/2012,Mayer F.,-1,,
50542,1.63,0,1.658045807,10/19/2019,Rublev A.,-1,,
43700,2.6,1,1.657363206,4/17/2017,Almagro N.,1.6,,
48123,1.6,0,1.656660941,1/2/2019,Paire B.,-1,,
55566,2.59,1,1.653677229,5/18/2022,Molcan A.,1.59,,
57075,1.65,0,1.652675417,1/8/2023,Lestienne C.,-1,-100,
56499,2.59,1,1.651509088,8/31/2022,Cachin P.,1.59,,
34582,1.46,0,1.650471106,8/28/2013,Seppi A.,-1,,
54554,1.58,0,1.65015419,1/18/2022,Baez S.,-1,,
40662,1.53,0,1.649453284,2/15/2016,Paire B.,-1,,
31669,1.56,0,1.649114189,7/28/2012,Querrey S.,-1,,
51370,1.58,0,1.643461876,9/4/2020,Auger-Aliassime F.,-1,,
38979,1.56,0,1.642711264,6/10/2015,Muller G.,-1,,
31228,1.55,0,1.642250468,6/15/2012,Youzhny M.,-1,,
48206,1.56,0,1.642242923,1/10/2019,Kohlschreiber P.,-1,,
32608,1.53,0,1.641828303,1/11/2013,Tomic B.,-1,,
42799,1.57,0,1.639298623,11/1/2016,Troicki V.,-1,,
43226,2.55,1,1.636716859,2/15/2017,Thiem D.,1.55,,
55047,2.43,1,1.636145602,3/13/2022,Kecmanovic M.,1.43,,
34869,2.53,1,1.632804099,10/17/2013,Haase R.,1.53,,
41708,1.43,0,1.631954735,6/20/2016,Youzhny M.,-1,,
39379,1.53,0,1.631870039,7/28/2015,Fognini F.,-1,,
38154,1.56,0,1.630275928,2/24/2015,Becker B.,-1,,
44084,2.73,1,1.629737597,5/29/2017,Estrella Burgos V.,1.73,,
41266,1.66,0,1.62949751,4/28/2016,Schwartzman D.,-1,,
34430,2.29,1,1.629258401,8/12/2013,Harrison R.,1.29,,
33606,2.31,1,1.628073664,5/16/2013,Granollers M.,1.31,,
39323,2.8,1,1.627145845,7/23/2015,Istomin D.,1.8,,
54855,1.62,0,1.627043646,2/16/2022,Khachanov K.,-1,,
38446,2.23,1,1.626199295,4/11/2015,Sock J.,1.23,,
43085,1.54,0,1.625060485,1/20/2017,Tsonga J.W.,-1,,
42550,1.45,0,1.624861504,10/5/2016,Gasquet R.,-1,,
55807,1.66,0,1.624842949,6/15/2022,Kyrgios N.,-1,,
40904,1.75,0,1.622457235,3/15/2016,Thiem D.,-1,,
39735,1.73,0,1.622421913,9/2/2015,Fognini F.,-1,,
42360,1.64,0,1.62185956,8/31/2016,Baghdatis M.,-1,,
30132,1.61,0,1.621239585,2/1/2012,Melzer J.,-1,,
32813,2.6,1,1.620127659,2/9/2013,Paire B.,1.6,,
52990,2.46,1,1.618897833,5/19/2021,Bedene A.,1.46,,
30858,2.71,1,1.618724696,5/2/2012,Reynolds B.,1.71,,
43861,2.5,1,1.618488835,5/3/2017,Tomic B.,1.5,,
30530,1.49,0,1.617176908,3/16/2012,Federer R.,-1,,
56538,1.55,0,1.617160299,9/3/2022,Rublev A.,-1,,
44494,1.61,0,1.616377752,7/17/2017,Laaksonen H.,-1,,
40757,1.52,0,1.615712975,2/22/2016,Marchenko I.,-1,,
50325,2.33,1,1.61529243,9/25/2019,Sousa J.,1.33,,
35003,2.06,1,1.614205963,10/31/2013,Berdych T.,1.06,,
42482,1.54,0,1.614035553,9/27/2016,Bellucci T.,-1,,
53527,1.57,0,1.612528197,7/16/2021,Djere L.,-1,,
42709,1.71,0,1.612309357,10/21/2016,Kohlschreiber P.,-1,,
49699,1.55,0,1.611052354,7/14/2019,Djokovic N.,-1,,
53056,1.65,0,1.610398619,5/26/2021,Delbonis F.,-1,,
46408,1.69,0,1.610396081,4/25/2018,Khachanov K.,-1,,
46890,1.63,0,1.608427038,6/19/2018,Seppi A.,-1,,
36185,1.53,0,1.606537404,5/21/2014,Gulbis E.,-1,,
47364,1.63,0,1.605834304,8/4/2018,Zverev A.,-1,,
50483,1.57,0,1.604746705,10/15/2019,Krajinovic F.,-1,,
55212,1.68,0,1.604366268,4/6/2022,Kyrgios N.,-1,,
