match,PSW,win0,confidence0,date,winner,,,correct prediction?,roi,net,,,,,,,,,,,,,,,,,,,,,,,,,
43403,19.17,1,13.52600532,3/1/2017,Donskoy E.,18.17,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51291,1.02,0,12.28788947,8/31/2020,Tsitsipas S.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31376,1.03,0,10.66921449,6/28/2012,Tsonga J.W.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34641,14.8,1,9.469802608,9/2/2013,Robredo T.,13.8,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42367,1.07,0,7.523571326,8/31/2016,Djokovic N.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44160,8.16,1,5.522503767,6/2/2017,Zeballos H.,7.16,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42803,1.11,0,5.335262394,11/2/2016,Djokovic N.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44799,1.13,0,4.861422359,8/11/2017,Federer R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30619,1.13,0,4.757393907,3/27/2012,Murray A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38184,1.13,0,4.698032108,2/26/2015,Berdych T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55188,6.93,1,4.45857983,4/5/2022,Jaziri M.,5.93,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39783,6.12,1,4.396280145,9/7/2015,Anderson K.,5.12,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47456,5.67,1,4.373289641,8/15/2018,Haase R.,4.67,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56021,6.57,1,4.247508925,7/12/2022,Krueger M.,5.57,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49671,6.76,1,4.131399965,7/5/2019,Pella G.,5.76,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53094,6.75,1,4.093953493,5/31/2021,Harris L.,5.75,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32446,1.21,0,3.979402483,11/1/2012,Tsonga J.W.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46735,1.17,0,3.966905056,5/29/2018,Ymer E.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57206,1.19,0,3.891528917,1/18/2023,Kokkinakis T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39712,4.65,1,3.765893463,9/1/2015,Mahut N.,3.65,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52999,6.17,1,3.752597578,5/20/2021,Rinderknech A.,5.17,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47332,5.31,1,3.634257304,8/2/2018,Rubin N.,4.31,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45609,5.39,1,3.632662232,1/15/2018,Bemelmans R.,4.39,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31791,1.16,0,3.620951604,8/16/2012,Cilic M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33365,1.22,0,3.62055909,4/18/2013,Tsonga J.W.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33025,4.59,1,3.533740157,2/26/2013,Llodra M.,3.59,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36389,1.19,0,3.502157386,6/11/2014,Mannarino A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47408,4.54,1,3.48646476,8/9/2018,Tsitsipas S.,3.54,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41189,5.35,1,3.484862977,4/21/2016,Jaziri M.,4.35,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33945,1.25,0,3.474868717,6/24/2013,Mannarino A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56982,1.21,0,3.472217462,11/2/2022,Auger-Aliassime F.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51354,5.83,1,3.420591266,9/3/2020,Pospisil V.,4.83,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35071,1.2,0,3.415056758,1/1/2014,Gulbis E.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39246,5.86,1,3.411297911,7/13/2015,Smith J.P.,4.86,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39063,4.4,1,3.399692273,6/20/2015,Seppi A.,3.4,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41834,1.28,0,3.345377949,7/1/2016,Lopez F.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53770,4.73,1,3.32873301,8/14/2021,Opelka R.,3.73,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40541,1.26,0,3.316655165,2/4/2016,Ramos-Vinolas A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51460,1.21,0,3.310027271,9/16/2020,Berrettini M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41993,1.21,0,3.296484053,7/19/2016,Mathieu P.H.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55960,1.21,0,3.295476711,6/29/2022,Bublik A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42632,4,1,3.289831332,10/13/2016,Simon G.,3,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45582,1.2,0,3.286726461,1/10/2018,Bautista Agut R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35530,4.76,1,3.282158251,2/22/2014,Dolgopolov O.,3.76,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53602,1.24,0,3.271512689,7/22/2021,Norrie C.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45237,1.18,0,3.27144221,10/11/2017,Zverev A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34348,4.58,1,3.264249032,8/1/2013,Matosevic M.,3.58,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46927,5.77,1,3.259532302,6/24/2018,Coric B.,4.77,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38367,1.22,0,3.259037965,3/29/2015,Berdych T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48288,1.19,0,3.258767208,1/16/2019,Schwartzman D.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46567,1.25,0,3.221349654,5/10/2018,Zverev A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43051,1.32,0,3.218270778,1/18/2017,Sock J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45241,4.85,1,3.210455207,10/11/2017,Struff J.L.,3.85,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44536,4.85,1,3.205775626,7/20/2017,Dutra Silva R.,3.85,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42737,3.98,1,3.203650195,10/25/2016,Melzer J.,2.98,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42395,1.28,0,3.200356255,9/3/2016,Del Potro J.M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35912,4.47,1,3.190930022,4/17/2014,Garcia-Lopez G.,3.47,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34599,4.46,1,3.180693997,8/29/2013,Mannarino A.,3.46,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40978,1.25,0,3.176167672,3/26/2016,Bautista R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37086,4.14,1,3.175418047,8/25/2014,Bolelli S.,3.14,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53112,5.34,1,3.156451759,5/31/2021,Johnson S.,4.34,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54552,1.2,0,3.148609229,1/18/2022,Tsitsipas S.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31907,3.56,1,3.1468337,8/29/2012,Paire B.,2.56,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39689,1.21,0,3.145097621,8/31/2015,Seppi A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30496,1.34,0,3.142585018,3/11/2012,Istomin D.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44463,4.48,1,3.111377487,7/8/2017,Mannarino A.,3.48,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51869,4.93,1,3.103086158,11/4/2020,Thompson J.,3.93,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56045,1.27,0,3.096000186,7/13/2022,Isner J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48442,1.25,0,3.087020711,2/12/2019,Raonic M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43734,1.21,0,3.083987813,4/20/2017,Pouille L.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32308,4.25,1,3.082838018,10/17/2012,Thiem D.,3.25,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32623,3.89,1,3.078599024,1/14/2013,Ito T.,2.89,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48953,1.21,0,3.072603762,4/16/2019,Djokovic N.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47923,4.55,1,3.06794942,10/18/2018,Basic M.,3.55,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44400,4.93,1,3.066713784,7/4/2017,Mannarino A.,3.93,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38163,4.3,1,3.065252877,2/25/2015,Ilhan M.,3.3,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56981,5.33,1,3.056396761,11/2/2022,De Minaur A.,4.33,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48640,1.26,0,3.038045994,2/27/2019,Tsitsipas S.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34663,4.81,1,3.03345945,9/17/2013,Fucsovics M.,3.81,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50812,1.14,0,3.033377031,1/21/2020,Wawrinka S.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42224,3.62,1,3.022566793,8/18/2016,Tomic B.,2.62,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41119,4.76,1,3.014686975,4/14/2016,Granollers M.,3.76,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54589,3.7,1,3.006488999,1/20/2022,Daniel T.,2.7,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42509,4.57,1,3.005262403,9/30/2016,Ramos-Vinolas A.,3.57,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46612,1.27,0,2.980425734,5/16/2018,Cilic M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
