match,PSW,win0,confidence0,date,
43952,1.45,0,2.096948102,5/13/2017,-1
53853,1.51,0,1.969477944,8/24/2021,-1
52837,2.6,1,1.887785818,4/29/2021,1.6
52976,1.5,0,1.853631857,5/18/2021,-1
51769,2.73,1,1.845897945,10/23/2020,1.73
54915,3.06,1,1.840126287,2/22/2022,2.06
54710,3.25,1,1.831361979,2/5/2022,2.25
56115,1.51,0,1.822856805,7/22/2022,-1
52404,2.75,1,1.815236074,3/10/2021,1.75
52093,1.57,0,1.815060635,2/5/2021,-1
47910,1.62,0,1.795905517,10/17/2018,-1
51683,2.33,1,1.795386251,10/14/2020,1.33
46808,1.54,0,1.794006081,6/7/2018,-1
52198,2.57,1,1.782711079,2/12/2021,1.57
49433,2.8,1,1.781680256,6/12/2019,1.8
47359,2.58,1,1.780388005,8/3/2018,1.58
55200,1.5,0,1.773490958,4/5/2022,-1
54041,2.6,1,1.753945889,9/23/2021,1.6
50294,1.53,0,1.747657857,9/20/2019,-1
51708,1.51,0,1.735210915,10/16/2020,-1
44592,1.56,0,1.734450912,7/25/2017,-1
47138,1.54,0,1.733207319,7/17/2018,-1
47334,2.74,1,1.732945948,8/2/2018,1.74
47495,2.58,1,1.731980319,8/21/2018,1.58
54105,1.51,0,1.72984896,10/2/2021,-1
47135,1.51,0,1.725643498,7/17/2018,-1
49641,2.73,1,1.723624785,7/3/2019,1.73
43848,1.53,0,1.710257884,5/2/2017,-1
54030,1.5,0,1.702575923,9/22/2021,-1
50752,2.73,1,1.697158405,1/17/2020,1.73
47472,1.5,0,1.697125024,8/17/2018,-1
43780,2.73,1,1.69595968,4/26/2017,1.73
53872,1.56,0,1.693918887,8/27/2021,-1
47401,1.66,0,1.691336572,8/8/2018,-1
48973,2.57,1,1.677198902,4/18/2019,1.57
51190,1.63,0,1.676981862,2/26/2020,-1
44237,2.7,1,1.673957462,6/16/2017,1.7
52764,2.56,1,1.673594238,4/21/2021,1.56
51592,1.56,0,1.670352224,9/30/2020,-1
49110,1.55,0,1.667575634,5/4/2019,-1
52916,1.54,0,1.664824473,5/10/2021,-1
50348,1.57,0,1.664107746,9/27/2019,-1
51700,2.58,1,1.663096598,10/15/2020,1.58
54093,2.52,1,1.661814812,9/30/2021,1.52
43688,1.56,0,1.661622827,4/15/2017,-1
50342,2.67,1,1.656760936,9/27/2019,1.67
56523,1.63,0,1.655168395,9/2/2022,-1
54481,1.61,0,1.652987115,1/12/2022,-1
49201,1.53,0,1.652649036,5/16/2019,-1
53448,1.68,0,1.652502151,7/3/2021,-1
45109,2.52,1,1.649399825,9/27/2017,1.52
51766,1.56,0,1.645095942,10/23/2020,-1
55966,2.43,1,1.643720837,6/30/2022,1.43
54827,1.75,0,1.642418395,2/15/2022,-1
54685,1.62,0,1.639132977,2/3/2022,-1
49885,2.44,1,1.636980844,7/30/2019,1.44
43108,1.54,0,1.636928972,1/26/2017,-1
51216,1.6,0,1.634741191,2/29/2020,-1
50051,1.68,0,1.633765376,8/14/2019,-1
52862,2.82,1,1.633151857,5/3/2021,1.82
56153,2.43,1,1.632440439,7/26/2022,1.43
52598,1.55,0,1.631921376,3/29/2021,-1
52587,1.66,0,1.631103443,3/28/2021,-1
53772,1.53,0,1.630128216,8/14/2021,-1
46265,2.68,1,1.62941359,4/10/2018,1.68
50590,1.65,0,1.625971744,10/24/2019,-1
48688,1.6,0,1.621904304,3/7/2019,-1
43085,1.54,0,1.62146834,1/20/2017,-1
49956,1.62,0,1.617527474,8/2/2019,-1
51097,2.84,1,1.613382306,2/20/2020,1.84
52401,1.51,0,1.609037562,3/10/2021,-1
52221,1.68,0,1.608866854,2/16/2021,-1
49507,1.69,0,1.607850527,6/21/2019,-1
47166,2.24,1,1.607341828,7/19/2018,1.24
47831,1.59,0,1.603970464,10/8/2018,-1
47821,1.61,0,1.60284503,10/7/2018,-1
52805,2.2,1,1.599671042,4/26/2021,1.2
48777,1.47,0,1.599251527,3/16/2019,-1
55369,1.61,0,1.597181416,4/24/2022,-1
53008,1.5,0,1.594408263,5/21/2021,-1
54206,1.56,0,1.59379855,10/18/2021,-1
43083,1.56,0,1.59361676,1/20/2017,-1
55676,1.51,0,1.592264973,5/26/2022,-1
43449,1.53,0,1.584599735,3/5/2017,-1
57243,1.64,0,1.581973499,1/22/2023,-1
51250,1.61,0,1.579707917,8/24/2020,-1
54826,2.34,1,1.57886744,2/15/2022,1.34
48280,2.46,1,1.577851516,1/16/2019,1.46
51857,1.74,0,1.576117701,11/3/2020,-1
54184,1.49,0,1.574626786,10/12/2021,-1
43194,1.57,0,1.574610868,2/13/2017,-1
50339,2.5,1,1.574299516,9/26/2019,1.5
54870,2.75,1,1.570712867,2/17/2022,1.75
55044,2.43,1,1.569692671,3/13/2022,1.43
52085,2.36,1,1.569299952,2/5/2021,1.36
44058,2.71,1,1.568963371,5/26/2017,1.71
49046,1.75,0,1.568508596,4/26/2019,-1
50861,1.61,0,1.566989462,1/25/2020,-1
47752,2.6,1,1.564981531,9/28/2018,1.6
55514,1.66,0,1.563710916,5/11/2022,-1
51131,1.58,0,1.563198043,2/23/2020,-1
54177,1.63,0,1.560033301,10/11/2021,-1
52547,2.48,1,1.559043155,3/25/2021,1.48
53735,1.72,0,1.552735916,8/10/2021,-1
47842,2.56,1,1.552576637,10/9/2018,1.56
50452,1.48,0,1.551761015,10/9/2019,-1
48156,1.5,0,1.55160069,1/4/2019,-1
48656,1.68,0,1.548561253,2/28/2019,-1
44773,2.75,1,1.546556452,8/8/2017,1.75
44768,2.28,1,1.545074456,8/8/2017,1.28
51421,2.62,1,1.544815824,9/11/2020,1.62
49170,1.4,0,1.544727104,5/12/2019,-1
48494,1.58,0,1.544684513,2/15/2019,-1
48072,2.57,1,1.543166838,11/15/2018,1.57
57463,2.29,1,1.543121386,2/22/2023,1.29
53288,1.68,0,1.541127976,6/21/2021,-1
46598,2.48,1,1.540904754,5/15/2018,1.48
48728,1.7,0,1.540659023,3/10/2019,-1
51504,1.58,0,1.540539965,9/24/2020,-1
53310,1.56,0,1.539767024,6/22/2021,-1
47749,2.65,1,1.539539691,9/28/2018,1.65
50556,1.56,0,1.539259775,10/21/2019,-1
43661,2.45,1,1.535642989,4/12/2017,1.45
46921,1.76,0,1.534774045,6/23/2018,-1
46485,2.37,1,1.534015571,5/2/2018,1.37
49172,2.71,1,1.533775136,5/12/2019,1.71
51720,2.3,1,1.533719563,10/17/2020,1.3
47932,2.08,1,1.533573187,10/18/2018,1.08
55866,1.64,0,1.530669463,6/22/2022,-1
52067,2.22,1,1.530398664,2/3/2021,1.22
50285,2.34,1,1.530239596,9/19/2019,1.34
54118,2.33,1,1.529984679,10/7/2021,1.33
43863,2.44,1,1.529615196,5/3/2017,1.44
47392,1.57,0,1.529292075,8/7/2018,-1
48748,1.64,0,1.528306472,3/11/2019,-1
48951,2.55,1,1.526593544,4/16/2019,1.55
56742,1.59,0,1.5259381,10/7/2022,-1
50999,2.57,1,1.525638393,2/12/2020,1.57
47453,1.66,0,1.524625707,8/15/2018,-1
52989,2.46,1,1.52385274,5/19/2021,1.46
48109,1.78,0,1.523750258,1/1/2019,-1
52004,1.76,0,1.522618732,2/1/2021,-1
47848,1.63,0,1.522544324,10/9/2018,-1
46315,2.38,1,1.522472064,4/15/2018,1.38
48055,1.56,0,1.520750409,11/1/2018,-1
52920,2.14,1,1.518698389,5/10/2021,1.14
47938,2.37,1,1.518622299,10/19/2018,1.37
44571,1.87,0,1.517969373,7/24/2017,-1
56773,2.3,1,1.517364782,10/12/2022,1.3
51927,2.29,1,1.516886579,11/19/2020,1.29
49432,2.44,1,1.516745636,6/12/2019,1.44
46615,1.68,0,1.516737031,5/16/2018,-1
44510,1.65,0,1.516668639,7/18/2017,-1
54846,2.37,1,1.516606831,2/16/2022,1.37
44621,1.75,0,1.51504136,7/27/2017,-1
46806,1.63,0,1.514718277,6/5/2018,-1
51488,2.51,1,1.513257216,9/22/2020,1.51
47291,1.66,0,1.51068635,7/31/2018,-1
54037,1.66,0,1.510460945,9/23/2021,-1
55046,2.43,1,1.509617847,3/13/2022,1.43
50966,1.74,0,1.508786097,2/10/2020,-1
43581,2.84,1,1.507910491,3/24/2017,1.84
49047,1.65,0,1.507679607,4/26/2019,-1
48913,1.77,0,1.507667115,4/11/2019,-1
49993,1.75,0,1.507572992,8/7/2019,-1
45863,1.58,0,1.507320442,2/15/2018,-1
50867,1.56,0,1.506795825,1/26/2020,-1
48163,1.67,0,1.50625511,1/6/2019,-1
55075,1.71,0,1.506220586,3/16/2022,-1
43288,2.33,1,1.505866924,2/21/2017,1.33
57229,1.61,0,1.505673884,1/20/2023,-1
54363,2.75,1,1.505375417,11/8/2021,1.75
54461,1.68,0,1.505261964,1/10/2022,-1
49707,1.65,0,1.504286333,7/15/2019,-1
47687,1.68,0,1.504065053,9/20/2018,-1
47756,1.69,0,1.503035501,9/29/2018,-1
51104,2.11,1,1.503028932,2/20/2020,1.11
49185,2.28,1,1.502471755,5/14/2019,1.28
51093,1.56,0,1.501883499,2/19/2020,-1
50140,1.75,0,1.50125024,8/26/2019,-1
49217,1.72,0,1.499074448,5/17/2019,-1
57344,2.3,1,1.49902174,2/13/2023,1.3
53656,2.4,1,1.494304037,7/28/2021,1.4
47948,1.69,0,1.492895723,10/20/2018,-1
51995,2.31,1,1.491721296,2/1/2021,1.31
54338,1.67,0,1.491624036,11/2/2021,-1
49823,2.07,1,1.490493274,7/24/2019,1.07
57071,1.62,0,1.490411267,1/7/2023,-1
48154,2.16,1,1.489328678,1/4/2019,1.16
51486,1.66,0,1.488711163,9/21/2020,-1
50543,1.61,0,1.488610506,10/19/2019,-1
53769,2.19,1,1.488317265,8/13/2021,1.19
54704,1.68,0,1.487757878,2/4/2022,-1
50931,1.71,0,1.48730512,2/6/2020,-1
46191,2.19,1,1.485874201,3/22/2018,1.19
56016,1.49,0,1.485348323,7/11/2022,-1
50718,1.94,1,1.484800292,1/14/2020,0.94
48695,2.18,1,1.484542587,3/8/2019,1.18
50803,2.19,1,1.484237933,1/21/2020,1.19
46025,1.52,0,1.484056233,2/28/2018,-1
54862,1.62,0,1.483794489,2/16/2022,-1
53797,1.84,0,1.483024923,8/18/2021,-1
43260,2.27,1,1.482571917,2/17/2017,1.27
52202,1.85,0,1.482220691,2/12/2021,-1
46173,1.67,0,1.481011649,3/21/2018,-1
52844,1.85,0,1.480454254,4/30/2021,-1
47798,1.78,0,1.47977382,10/4/2018,-1
50691,2.4,1,1.479737556,1/8/2020,1.4
45503,2.38,1,1.479181196,1/3/2018,1.38
52072,2.41,1,1.478704884,2/4/2021,1.41
53056,1.65,0,1.478254332,5/26/2021,-1
50975,2.06,0,1.478188116,2/11/2020,-1
50017,2.56,1,1.476834857,8/10/2019,1.56
48198,2.76,1,1.476223573,1/9/2019,1.76
47284,1.56,0,1.475724213,7/31/2018,-1
54759,1.68,0,1.475509724,2/9/2022,-1
