match,PSW,win0,confidence0,date,
50943,1.33,0,2.186412276,2/7/2020,-1
47431,3.45,1,2.068460691,8/13/2018,2.45
54915,3.06,1,2.048135759,2/22/2022,2.06
54710,3.25,1,1.946928725,2/5/2022,2.25
49257,1.5,0,1.936894467,5/22/2019,-1
54105,1.51,0,1.910411403,10/2/2021,-1
43952,1.45,0,1.893857512,5/13/2017,-1
52093,1.57,0,1.87894898,2/5/2021,-1
54870,2.75,1,1.859540769,2/17/2022,1.75
52404,2.75,1,1.846244043,3/10/2021,1.75
52837,2.6,1,1.841231055,4/29/2021,1.6
47138,1.54,0,1.839780932,7/17/2018,-1
51766,1.56,0,1.819544123,10/23/2020,-1
48777,1.47,0,1.819122608,3/16/2019,-1
49170,1.4,0,1.816827138,5/12/2019,-1
44778,1.47,0,1.813163638,8/9/2017,-1
52764,2.56,1,1.799453837,4/21/2021,1.56
51708,1.51,0,1.797538233,10/16/2020,-1
52084,1.54,0,1.790812206,2/5/2021,-1
49171,1.51,0,1.788213749,5/12/2019,-1
43848,1.53,0,1.787950112,5/2/2017,-1
43137,2.71,1,1.778620148,2/8/2017,1.71
47135,1.51,0,1.772941141,7/17/2018,-1
54481,1.61,0,1.770756959,1/12/2022,-1
51216,1.6,0,1.761075645,2/29/2020,-1
51995,2.31,1,1.754635379,2/1/2021,1.31
48500,2.89,1,1.749387451,2/16/2019,1.89
52916,1.54,0,1.746667303,5/10/2021,-1
55567,2.58,1,1.737206532,5/18/2022,1.58
49956,1.62,0,1.734985177,8/2/2019,-1
53505,1.43,0,1.733409355,7/14/2021,-1
46455,1.51,0,1.733389084,5/1/2018,-1
47883,1.44,0,1.727659196,10/15/2018,-1
53872,1.56,0,1.727340525,8/27/2021,-1
51683,2.33,1,1.726023005,10/14/2020,1.33
52976,1.5,0,1.721862142,5/18/2021,-1
54493,1.56,0,1.715693893,1/13/2022,-1
49258,1.54,0,1.708775271,5/22/2019,-1
47250,1.54,0,1.707171023,7/27/2018,-1
50958,3.28,1,1.703835912,2/9/2020,2.28
54363,2.75,1,1.700530767,11/8/2021,1.75
50946,1.57,0,1.700202873,2/7/2020,-1
47938,2.37,1,1.699362405,10/19/2018,1.37
51592,1.56,0,1.695463912,9/30/2020,-1
51190,1.63,0,1.683253297,2/26/2020,-1
55252,1.53,0,1.68319058,4/11/2022,-1
49433,2.8,1,1.680404866,6/12/2019,1.8
54184,1.49,0,1.680091424,10/12/2021,-1
49507,1.69,0,1.678505945,6/21/2019,-1
46117,1.45,0,1.677089894,3/11/2018,-1
52560,2.64,1,1.669501004,3/26/2021,1.64
55081,1.41,0,1.668645156,3/17/2022,-1
47749,2.65,1,1.660700793,9/28/2018,1.65
50339,2.5,1,1.659584961,9/26/2019,1.5
48156,1.5,0,1.657765988,1/4/2019,-1
51432,1.58,0,1.656850364,9/14/2020,-1
49201,1.53,0,1.655827559,5/16/2019,-1
54829,1.55,0,1.655422956,2/15/2022,-1
54917,1.43,0,1.654352507,2/22/2022,-1
50051,1.68,0,1.6532795,8/14/2019,-1
51104,2.11,1,1.652582525,2/20/2020,1.11
44067,1.65,0,1.650912905,5/28/2017,-1
50691,2.4,1,1.650044947,1/8/2020,1.4
43668,2.52,1,1.648409019,4/13/2017,1.52
49641,2.73,1,1.647480091,7/3/2019,1.73
43415,1.4,0,1.646708566,3/1/2017,-1
45503,2.38,1,1.644457053,1/3/2018,1.38
51700,2.58,1,1.639950252,10/15/2020,1.58
47660,2.33,1,1.637605118,9/18/2018,1.33
46486,1.54,0,1.635762739,5/2/2018,-1
57259,2.58,1,1.63357527,2/6/2023,1.58
50294,1.53,0,1.63322443,9/20/2019,-1
50342,2.67,1,1.631190091,9/27/2019,1.67
55075,1.71,0,1.62989538,3/16/2022,-1
