match,PSW,win0,confidence0,date,winner,
55196,1.5,0,1.888671808,4/5/2022,Thompson J.,-1
48926,3.32,1,1.868738256,4/13/2019,Paire B.,2.32
56314,2.87,1,1.862545325,8/11/2022,Evans D.,1.87
55136,2.96,1,1.845585728,3/26/2022,Harris L.,1.96
53461,1.34,0,1.844789565,7/7/2021,Shapovalov D.,-1
52839,2.6,1,1.843574347,4/29/2021,Moutet C.,1.6
52087,1.57,0,1.84332956,2/5/2021,Evans D.,-1
52490,1.51,0,1.842177568,3/17/2021,Fucsovics M.,-1
51764,3.29,1,1.822329884,10/22/2020,Giron M.,2.29
50691,2.4,1,1.808700886,1/8/2020,Verdasco F.,1.4
54710,3.25,1,1.799042572,2/5/2022,Tabilo A.,2.25
51768,1.56,0,1.795839468,10/23/2020,Humbert U.,-1
49937,2.19,1,1.794782906,8/1/2019,Ruud C.,1.19
52562,2.75,1,1.794541791,3/26/2021,Norrie C.,1.75
52687,1.61,0,1.779929585,4/13/2021,Dimitrov G.,-1
52902,1.54,0,1.779434067,5/7/2021,Berrettini M.,-1
48313,2.74,1,1.778622329,1/18/2019,Bautista Agut R.,1.74
49974,1.38,0,1.775501817,8/5/2019,Raonic M.,-1
49434,2.8,1,1.77095229,6/12/2019,Pouille L.,1.8
55404,2.48,1,1.761653112,4/28/2022,Otte O.,1.48
49510,1.69,0,1.761564564,6/21/2019,Berrettini M.,-1
56481,1.49,0,1.758835386,8/30/2022,Dimitrov G.,-1
54464,1.5,0,1.757701925,1/11/2022,Nakashima B.,-1
52989,2.46,1,1.750740823,5/19/2021,Bedene A.,1.46
52206,1.43,0,1.748526635,2/13/2021,Berrettini M.,-1
54379,1.39,0,1.736539035,11/11/2021,Shapovalov D.,-1
51690,2.33,1,1.734365992,10/14/2020,Vesely J.,1.33
51488,2.51,1,1.729578323,9/22/2020,Bublik A.,1.51
47214,2.63,1,1.725742138,7/24/2018,Monteiro T.,1.63
50343,2.67,1,1.72450095,9/27/2019,Harris L.,1.67
49809,1.44,0,1.721949912,7/23/2019,Ruud C.,-1
54399,3.09,1,1.721542613,11/20/2021,Zverev A.,2.09
49170,1.4,0,1.716033393,5/12/2019,Berrettini M.,-1
47370,1.49,0,1.696811993,8/6/2018,Herbert P.H.,-1
49954,1.62,0,1.695600093,8/2/2019,Fritz T.,-1
46808,1.54,0,1.689765796,6/7/2018,Del Potro J.M.,-1
51692,2.58,1,1.688196997,10/15/2020,Davidovich Fokina A.,1.58
49521,1.63,0,1.687247134,6/23/2019,Lopez F.,-1
47248,1.54,0,1.68442163,7/27/2018,Kovalik J.,-1
51506,1.58,0,1.683362405,9/24/2020,Humbert U.,-1
48150,2.63,1,1.682544156,1/3/2019,Cecchinato M.,1.63
50648,1.68,0,1.674690588,10/31/2019,Tsitsipas S.,-1
50055,1.71,0,1.674323284,8/14/2019,De Minaur A.,-1
50342,1.57,0,1.667565992,9/27/2019,Shapovalov D.,-1
55807,1.56,0,1.667245448,6/15/2022,Cilic M.,-1
57493,2.48,1,1.659103049,2/24/2023,Lajovic D.,1.48
50451,1.48,0,1.656385689,10/9/2019,Isner J.,-1
46480,1.54,0,1.653258907,5/2/2018,Dutra Silva R.,-1
54445,1.68,0,1.651982132,1/7/2022,Kokkinakis T.,-1
49749,2.6,1,1.651165137,7/17/2019,Ramos-Vinolas A.,1.6
50051,1.68,0,1.650539679,8/14/2019,Schwartzman D.,-1
47132,1.51,0,1.650205027,7/17/2018,Bolelli S.,-1
48016,2.74,1,1.649370001,10/28/2018,Anderson K.,1.74
54692,1.62,0,1.648757926,2/3/2022,Sonego L.,-1
46846,1.53,0,1.647176503,6/14/2018,Lopez F.,-1
52401,1.51,0,1.645243833,3/10/2021,Shapovalov D.,-1
47359,2.58,1,1.644787709,8/3/2018,Istomin D.,1.58
54118,2.33,1,1.64425865,10/7/2021,Taberner C.,1.33
50294,1.53,0,1.639075779,9/20/2019,Tsonga J.W.,-1
49201,1.53,0,1.63746527,5/16/2019,Federer R.,-1
55514,1.66,0,1.633795158,5/11/2022,De Minaur A.,-1
47461,2.55,1,1.630714239,8/16/2018,Kyrgios N.,1.55
54848,1.62,0,1.630700582,2/16/2022,Khachanov K.,-1
52294,1.74,0,1.625399902,2/26/2021,Coria F.,-1
51101,2.11,1,1.624831421,2/20/2020,Humbert U.,1.11
49195,2.81,1,1.621355004,5/14/2019,Albot R.,1.81
54208,1.56,0,1.618441428,10/18/2021,Norrie C.,-1
46312,2.38,1,1.616523978,4/15/2018,Zverev M.,1.38
51108,2.84,1,1.614575193,2/20/2020,Sonego L.,1.84
47365,1.59,0,1.609982516,8/4/2018,Klizan M.,-1
52380,2.58,1,1.609410406,3/9/2021,Delbonis F.,1.58
50946,1.57,0,1.60828076,2/7/2020,Garin C.,-1
49642,2.73,1,1.608123348,7/3/2019,Pella G.,1.73
49732,2.34,1,1.607180322,7/16/2019,Zverev M.,1.34
51034,2.59,1,1.60709322,2/15/2020,Sousa P.,1.59
49536,1.58,0,1.6014966,6/25/2019,Herbert P.H.,-1
56365,1.61,0,1.59934053,8/17/2022,Cilic M.,-1
51131,1.58,0,1.597797999,2/23/2020,Opelka R.,-1
50594,1.79,0,1.596843144,10/24/2019,Krajinovic F.,-1
54480,1.53,0,1.596579885,1/12/2022,Sonego L.,-1
53568,2.57,1,1.596255851,7/20/2021,Donskoy E.,1.57
49947,1.64,0,1.593702924,8/2/2019,Ramos-Vinolas A.,-1
53576,1.6,0,1.593049035,7/21/2021,Gomez E.,-1
52772,2.56,1,1.592703654,4/21/2021,Nishikori K.,1.56
50305,1.56,0,1.592300407,9/23/2019,Klahn B.,-1
55254,1.62,0,1.590401179,4/11/2022,Korda S.,-1
54365,2.75,1,1.586074838,11/8/2021,Vavassori A.,1.75
50589,1.65,0,1.584618865,10/24/2019,Bedene A.,-1
53656,2.79,1,1.584572643,7/28/2021,Martinez P.,1.79
50008,2.56,1,1.582534904,8/8/2019,Auger-Aliassime F.,1.56
54642,1.56,0,1.58150589,2/1/2022,Ymer E.,-1
45950,1.58,0,1.581431451,2/22/2018,Fritz T.,-1
52930,2.47,1,1.580496832,5/11/2021,Auger-Aliassime F.,1.47
47291,2.34,1,1.579874727,7/31/2018,Daniel T.,1.34
55018,2.35,1,1.578585528,3/11/2022,Otte O.,1.35
49991,1.75,0,1.577659666,8/7/2019,Thiem D.,-1
46559,1.5,0,1.573165867,5/9/2018,Cuevas P.,-1
55024,1.45,0,1.573083717,3/12/2022,Opelka R.,-1
55499,1.68,0,1.571132367,5/10/2022,Shapovalov D.,-1
55966,2.43,1,1.566390792,6/30/2022,Brooksby J.,1.43
54040,2.6,1,1.565900918,9/23/2021,Giron M.,1.6
54085,2.52,1,1.564624942,9/30/2021,Giron M.,1.52
47284,1.66,0,1.564383866,7/31/2018,De Minaur A.,-1
57566,1.53,0,1.564192404,2/28/2023,Cerundolo F.,-1
47265,1.55,0,1.563812166,7/28/2018,Mayer L.,-1
45574,2.19,1,1.563530002,1/10/2018,Lorenzi P.,1.19
55211,1.68,0,1.56310856,4/6/2022,Kyrgios N.,-1
54833,2.34,1,1.562329852,2/15/2022,Verdasco F.,1.34
57094,1.6,0,1.562176707,1/10/2023,Millman J.,-1
52275,2.72,1,1.561679437,2/25/2021,Paire B.,1.72
55161,1.65,0,1.559191589,3/28/2022,Fritz T.,-1
54031,1.5,0,1.558009002,9/22/2021,Carreno Busta P.,-1
52852,2.55,1,1.557734754,5/2/2021,Bublik A.,1.55
49847,1.77,0,1.557602801,7/26/2019,Opelka R.,-1
53740,1.6,0,1.557139811,8/10/2021,Isner J.,-1
52295,1.61,0,1.554392122,2/26/2021,Bagnis F.,-1
54492,1.61,0,1.553537173,1/12/2022,Opelka R.,-1
53805,1.84,0,1.549662701,8/18/2021,Sonego L.,-1
