match,PSW,win0,confidence0,date,,,pred,correct?,,,,,,
43952,1.45,0,2.076782689,5/13/2017,-1,-100,,,,,,,,
49975,1.38,0,1.991664808,8/5/2019,-1,-100,,,,,,,,
54938,3.06,1,1.963336667,2/22/2022,2.06,206,,,,,,,,
54711,3.25,1,1.90803175,2/5/2022,2.25,225,,,,,,,,
43853,1.53,0,1.903828148,5/2/2017,-1,-100,,,,,,,,
49641,2.73,1,1.902381833,7/3/2019,1.73,173,,,,,,,,
43108,1.54,0,1.885673877,1/26/2017,-1,-100,,,,,,,,
52598,1.55,0,1.879837021,3/29/2021,-1,-100,,,,,,,,`
54115,2.75,1,1.875093322,10/7/2021,1.75,175,,,,,,,,
53871,1.56,0,1.847229193,8/27/2021,-1,-100,,,,,,,,
53297,1.56,0,1.844474322,6/22/2021,-1,-100,,,,,,,,
51697,2.58,1,1.812483773,10/15/2020,1.58,158,,,,,,,,
48154,1.5,0,1.80862268,1/4/2019,-1,-100,,,,,,,,
52093,1.57,0,1.801278539,2/5/2021,-1,-100,,,,,,,,
51504,1.58,0,1.799341016,9/24/2020,-1,-100,,,,,,,,
47749,2.6,1,1.797369769,9/28/2018,1.6,160,,,,,,,,
43716,2.7,1,1.792145741,4/18/2017,1.7,170,,,,,,,,
50398,1.53,0,1.786822341,10/3/2019,-1,-100,,,,,,,,
46862,1.51,0,1.782115489,6/16/2018,-1,-100,,,,,,,,
45966,1.47,0,1.77353252,2/23/2018,-1,-100,,,,,,,,
44236,2.7,1,1.769445482,6/16/2017,1.7,170,,,,,,,,
51714,1.51,0,1.769137085,10/16/2020,-1,-100,,,,,,,,
43087,1.56,0,1.76442029,1/20/2017,-1,-100,,,,,,,,
50307,1.56,0,1.755380583,9/23/2019,-1,-100,,,,,,,,
55135,2.96,1,1.753927721,3/26/2022,1.96,196,,,,,,,,
47472,1.5,0,1.753781342,8/17/2018,-1,-100,,,,,,,,
51681,2.33,1,1.752357684,10/14/2020,1.33,133,,,,,,,,
47752,2.65,1,1.741768728,9/28/2018,1.65,165,,,,,,,,
50642,2.49,1,1.73295821,10/30/2019,1.49,149,,,,,,,,
47248,1.54,0,1.731873277,7/27/2018,-1,-100,,,,,,,,
52403,1.51,0,1.727574369,3/10/2021,-1,-100,,,,,,,,
54195,1.51,0,1.713425099,10/13/2021,-1,-100,,,,,,,,
52763,2.56,1,1.712046369,4/21/2021,1.56,156,,,,,,,,
53869,2.75,1,1.710450581,8/26/2021,1.75,175,,,,,,,,
47163,2.83,1,1.710297851,7/19/2018,1.83,183,,,,,,,,
53206,3.18,1,1.709442865,6/10/2021,2.18,218,,,,,,,,
52162,2.71,1,1.707896028,2/9/2021,1.71,171,,,,,,,,
50294,1.53,0,1.707023032,9/20/2019,-1,-100,,,,,,,,
47424,1.5,0,1.705545453,8/12/2018,-1,-100,,,,,,,,
54186,1.49,0,1.705374813,10/12/2021,-1,-100,,,,,,,,
47401,1.66,0,1.699192476,8/8/2018,-1,-100,,,,,,,,
53056,1.65,0,1.695817717,5/26/2021,-1,-100,,,,,,,,
48718,1.6,0,1.694350925,3/9/2019,-1,-100,,,,,,,,
52838,2.6,1,1.691369626,4/29/2021,1.6,160,,,,,,,,
55421,2.45,1,1.689794565,4/30/2022,1.45,145,,,,,,,,
52703,2.62,1,1.689739062,4/14/2021,1.62,162,,,,,,,,
43414,1.56,0,1.679817926,3/1/2017,-1,-100,,,,,,,,
48619,1.58,0,1.678293886,2/26/2019,-1,-100,,,,,,,,
49202,1.53,0,1.673540797,5/16/2019,-1,-100,,,,,,,,
54461,1.68,0,1.673252431,1/10/2022,-1,-100,,,,,,,,
44516,1.65,0,1.672747748,7/18/2017,-1,-100,,,,,,,,
56094,2.8,1,1.672220833,7/20/2022,1.8,180,,,,,,,,
54376,2.77,1,1.670646426,11/10/2021,1.77,177,,,,,,,,
50344,1.57,0,1.669971011,9/27/2019,-1,-100,,,,,,,,
47345,2.58,1,1.669621498,8/3/2018,1.58,158,,,,,,,,
50397,2.62,1,1.66721838,10/3/2019,1.62,162,,,,,,,,
44793,2.75,1,1.665379591,8/10/2017,1.75,175,,,,,,,,
45116,2.52,1,1.665345851,9/27/2017,1.52,152,,,,,,,,
54775,1.42,0,1.653335425,2/10/2022,-1,-100,,,,,,,,
54879,1.58,0,1.652426417,2/18/2022,-1,-100,,,,,,,,
46808,1.54,0,1.652169928,6/7/2018,-1,-100,,,,,,,,
49507,1.69,0,1.651659105,6/21/2019,-1,-100,,,,,,,,
53290,1.68,0,1.642694326,6/21/2021,-1,-100,,,,,,,,
47425,2.29,1,1.639403866,8/13/2018,1.29,129,,,,,,,,
48072,2.57,1,1.639070961,11/15/2018,1.57,157,,,,,,,,
52562,2.75,1,1.637218926,3/26/2021,1.75,175,,,,,,,,
58029,1.54,0,1.635181051,2/27/2023,-1,-100,,,,,,,,
58069,1.54,0,1.635181051,2/27/2023,-1,-100,,,,,,,,
43220,2.55,1,1.631010497,2/15/2017,1.55,155,,,,,,,,
47461,2.55,1,1.627807117,8/16/2018,1.55,155,,,,,,,,
45054,1.7,0,1.626323349,9/20/2017,-1,-100,,,,,,,,
53656,2.4,1,1.625554934,7/28/2021,1.4,140,,,,,,,,
47695,1.5,0,1.619733157,9/21/2018,-1,-100,,,,,,,,
51083,1.56,0,1.619461664,2/19/2020,-1,-100,,,,,,,,
47756,1.69,0,1.617687589,9/29/2018,-1,-100,,,,,,,,
51102,2.84,1,1.617100098,2/20/2020,1.84,184,,,,,,,,
43140,2.71,1,1.614094568,2/8/2017,1.71,171,,,,,,,,
52406,2.75,1,1.613137771,3/10/2021,1.75,175,,,,,,,,
49971,1.46,0,1.612900614,8/5/2019,-1,-100,,,,,,,,
49943,2.38,1,1.612688169,8/1/2019,1.38,138,,,,,,,,
50647,1.68,0,1.612211237,10/31/2019,-1,-100,,,,,,,,
47243,1.66,0,1.612017986,7/26/2018,-1,-100,,,,,,,,
43783,2.73,1,1.611297669,4/26/2017,1.73,173,,,,,,,,
47435,3.45,1,1.611007932,8/13/2018,2.45,245,,,,,,,,
49833,2.55,1,1.610977288,7/25/2019,1.55,155,,,,,,,,
47744,2.34,1,1.609024287,9/27/2018,1.34,134,,,,,,,,
48055,1.56,0,1.608660232,11/1/2018,-1,-100,,,,,,,,
51178,1.63,0,1.608113312,2/26/2020,-1,-100,,,,,,,,
48202,2.76,1,1.600838593,1/9/2019,1.76,176,,,,,,,,
52871,1.58,0,1.600582977,5/4/2021,-1,-100,,,,,,,,
54273,1.56,0,1.593660731,10/26/2021,-1,-100,,,,,,,,
50147,1.75,0,1.593430004,8/26/2019,-1,-100,,,,,,,,
47507,2.3,1,1.589006003,8/22/2018,1.3,130,,,,,,,,
52984,1.5,0,1.586397711,5/18/2021,-1,-100,,,,,,,,
55563,2.54,1,1.584889974,5/17/2022,1.54,154,,,,,,,,
46901,1.6,0,1.584866629,6/20/2018,-1,-100,,,,,,,,
50345,2.67,1,1.583155202,9/27/2019,1.67,167,,,,,,,,
54901,2.46,1,1.582785294,2/20/2022,1.46,146,,,,,,,,
47376,2.59,1,1.582172935,8/6/2018,1.59,159,,,,,,,,
54191,1.58,0,1.582130521,10/13/2021,-1,-100,,,,,,,,
50693,2.4,1,1.581867695,1/8/2020,1.4,140,,,,,,,,
43213,1.68,0,1.581760411,2/14/2017,-1,-100,,,,,,,,
50850,1.56,0,1.579842842,1/23/2020,-1,-100,,,,,,,,
51097,2.11,1,1.57918452,2/20/2020,1.11,111,,,,,,,,
54303,2.85,1,1.578088934,10/29/2021,1.85,185,,,,,,,,
54482,1.61,0,1.577872368,1/12/2022,-1,-100,,,,,,,,
51215,1.6,0,1.575898086,2/29/2020,-1,-100,,,,,,,,
51592,1.56,0,1.575614274,9/30/2020,-1,-100,,,,,,,,
51927,2.29,1,1.571128124,11/19/2020,1.29,129,,,,,,,,
55202,1.5,0,1.570769901,4/5/2022,-1,-100,,,,,,,,
46806,1.63,0,1.568373138,6/5/2018,-1,-100,,,,,,,,
45581,1.58,0,1.56825058,1/10/2018,-1,-100,,,,,,,,
44282,1.41,0,1.567517043,6/21/2017,-1,-100,,,,,,,,
51684,2.37,1,1.566644449,10/14/2020,1.37,137,,,,,,,,
53008,1.5,0,1.565338266,5/21/2021,-1,-100,,,,,,,,
55512,1.66,0,1.562957551,5/11/2022,-1,-100,,,,,,,,
47646,2.47,1,1.562072366,9/5/2018,1.47,147,,,,,,,,
54686,1.62,0,1.561701694,2/3/2022,-1,-100,,,,,,,,
49428,2.8,1,1.560671835,6/12/2019,1.8,180,,,,,,,,
46481,2.37,1,1.558480747,5/2/2018,1.37,137,,,,,,,,
52072,2.41,1,1.55844303,2/4/2021,1.41,141,,,,,,,,
55999,1.55,0,1.557244514,7/3/2022,-1,-100,,,,,,,,
44620,1.75,0,1.556954324,7/27/2017,-1,-100,,,,,,,,
49414,1.64,0,1.556430565,6/11/2019,-1,-100,,,,,,,,
55806,1.56,0,1.554085364,6/15/2022,-1,-100,,,,,,,,
52397,1.76,0,1.5533822,3/9/2021,-1,-100,,,,,,,,
49950,1.62,0,1.552472991,8/2/2019,-1,-100,,,,,,,,
55018,2.35,1,1.552361154,3/11/2022,1.35,135,,,,,,,,
56129,2.46,1,1.550081953,7/25/2022,1.46,146,,,,,,,,
43194,1.57,0,1.549949841,2/13/2017,-1,-100,,,,,,,,
51409,2.52,1,1.549836836,9/9/2020,1.52,152,,,,,,,,
48756,1.61,0,1.546962246,3/12/2019,-1,-100,,,,,,,,
49218,1.72,0,1.546668819,5/17/2019,-1,-100,,,,,,,,
48687,1.6,0,1.54202702,3/7/2019,-1,-100,,,,,,,,
48802,1.61,0,1.541622463,3/21/2019,-1,-100,,,,,,,,
43234,2.62,1,1.541586622,2/15/2017,1.62,162,,,,,,,,
52988,2.46,1,1.539922754,5/19/2021,1.46,146,,,,,,,,
52048,1.63,0,1.539906502,2/3/2021,-1,-100,,,,,,,,
44778,1.47,0,1.539541695,8/9/2017,-1,-100,,,,,,,,
49145,1.75,0,1.538832297,5/8/2019,-1,-100,,,,,,,,
47639,2.36,1,1.537042429,9/2/2018,1.36,136,,,,,,,,
47496,2.58,1,1.53558162,8/21/2018,1.58,158,,,,,,,,
48892,1.57,0,1.534772711,4/9/2019,-1,-100,,,,,,,,
53610,1.55,0,1.53395975,7/23/2021,-1,-100,,,,,,,,
48594,2.76,1,1.533952597,2/24/2019,1.76,176,,,,,,,,
54493,1.56,0,1.533275406,1/13/2022,-1,-100,,,,,,,,
47279,1.66,0,1.533124436,7/31/2018,-1,-100,,,,,,,,
47931,2.08,1,1.530564675,10/18/2018,1.08,108,,,,,,,,
50877,1.7,0,1.530370116,1/29/2020,-1,-100,,,,,,,,
50861,1.61,0,1.527067789,1/25/2020,-1,-100,,,,,,,,
49160,1.68,0,1.526927279,5/9/2019,-1,-100,,,,,,,,
53264,1.43,0,1.522388799,6/17/2021,-1,-100,,,,,,,,
47773,1.61,0,1.521022227,10/2/2018,-1,-100,,,,,,,,
57090,1.69,0,1.520747012,1/4/2023,-1,-100,,,,,,,,
57079,1.69,0,1.520747012,1/4/2023,-1,-100,,,,,,,,
57867,1.71,0,1.520320004,2/21/2023,-1,-100,,,,,,,,
57879,1.71,0,1.520320004,2/21/2023,-1,-100,,,,,,,,
54431,2.24,1,1.519883572,1/6/2022,1.24,124,,,,,,,,
47736,1.59,0,1.519621659,9/26/2018,-1,-100,,,,,,,,
48469,2.35,1,1.51943791,2/13/2019,1.35,135,,,,,,,,
52641,2.67,1,1.518852744,4/6/2021,1.67,167,,,,,,,,
50001,1.76,0,1.517774625,8/8/2019,-1,-100,,,,,,,,
57405,2.56,1,1.516895981,1/19/2023,1.56,156,,,,,,,,
57406,2.56,1,1.516895981,1/19/2023,1.56,156,,,,,,,,
49846,1.77,0,1.516609921,7/26/2019,-1,-100,,,,,,,,
47140,1.51,0,1.515698036,7/17/2018,-1,-100,,,,,,,,
44315,2.51,1,1.515017272,6/26/2017,1.51,151,,,,,,,,
50867,1.56,0,1.51415426,1/26/2020,-1,-100,,,,,,,,
49063,1.77,0,1.514025375,4/29/2019,-1,-100,,,,,,,,
49519,1.63,0,1.513873427,6/23/2019,-1,-100,,,,,,,,
52295,1.61,0,1.51095574,2/26/2021,-1,-100,,,,,,,,
43288,2.33,1,1.509183024,2/21/2017,1.33,133,,,,,,,,
57469,1.64,0,1.508926051,1/22/2023,-1,-100,,,,,,,,
57468,1.64,0,1.508926051,1/22/2023,-1,-100,,,,,,,,
57480,2.17,1,1.508756543,1/23/2023,1.17,117,,,,,,,,
57477,2.17,1,1.508756543,1/23/2023,1.17,117,,,,,,,,
45574,2.19,1,1.507694652,1/10/2018,1.19,119,,,,,,,,
54494,1.51,0,1.507148935,1/13/2022,-1,-100,,,,,,,,
