match,PSW,win0,confidence0,date,winner,
52081,1.32,0,2.304283501,2/5/2021,Wawrinka S.,-1
50687,3.34,1,2.119779399,1/7/2020,Ilkel C.,2.34
51466,1.37,0,2.066886445,9/17/2020,Shapovalov D.,-1
53461,1.34,0,1.947066507,7/7/2021,Shapovalov D.,-1
52562,2.75,1,1.942267727,3/26/2021,Norrie C.,1.75
51707,1.51,0,1.940550401,10/16/2020,Shapovalov D.,-1
53279,1.38,0,1.898269821,6/19/2021,Shapovalov D.,-1
54399,3.09,1,1.880731194,11/20/2021,Zverev A.,2.09
52517,3.18,1,1.86589822,3/19/2021,Harris L.,2.18
47248,1.54,0,1.857774656,7/27/2018,Kovalik J.,-1
55196,1.5,0,1.857089738,4/5/2022,Thompson J.,-1
47207,1.38,0,1.844821116,7/24/2018,Bedene A.,-1
54117,2.75,1,1.834570133,10/7/2021,Daniel T.,1.75
52703,2.62,1,1.808293785,4/14/2021,Evans D.,1.62
46721,1.4,0,1.805000474,5/28/2018,Paire B.,-1
55150,1.59,0,1.799325416,3/27/2022,Sinner J.,-1
52406,1.57,0,1.797102375,3/10/2021,Delbonis F.,-1
56914,1.6,0,1.760425344,10/26/2022,Rinderknech A.,-1
45533,1.54,0,1.75790377,1/4/2018,Pella G.,-1
47228,1.41,0,1.752294445,7/25/2018,Kovalik J.,-1
54492,1.61,0,1.74761197,1/12/2022,Opelka R.,-1
50636,1.59,0,1.745487849,10/30/2019,Wawrinka S.,-1
54365,2.75,1,1.738547631,11/8/2021,Vavassori A.,1.75
52839,2.6,1,1.737355091,4/29/2021,Moutet C.,1.6
46480,1.54,0,1.73277053,5/2/2018,Dutra Silva R.,-1
50528,1.76,0,1.731746147,10/17/2019,Chardy J.,-1
52989,2.46,1,1.726082958,5/19/2021,Bedene A.,1.46
49559,1.53,0,1.725752458,6/27/2019,Querrey S.,-1
55404,2.48,1,1.724433803,4/28/2022,Otte O.,1.48
50294,1.53,0,1.723860218,9/20/2019,Tsonga J.W.,-1
52983,1.5,0,1.715086433,5/18/2021,Fognini F.,-1
49954,1.62,0,1.712021341,8/2/2019,Fritz T.,-1
49725,1.43,0,1.709809366,7/16/2019,Londero J.I.,-1
55566,2.59,1,1.702450893,5/18/2022,Molcan A.,1.59
54996,2.5,1,1.701416783,3/10/2022,Eubanks C.,1.5
52930,2.47,1,1.700238776,5/11/2021,Auger-Aliassime F.,1.47
47472,1.5,0,1.696704231,8/17/2018,Del Potro J.M.,-1
57398,2.46,1,1.69247071,2/16/2023,Mannarino A.,1.46
46065,1.52,0,1.691567156,3/4/2018,Del Potro J.M.,-1
50451,1.48,0,1.690641189,10/9/2019,Isner J.,-1
56010,1.63,0,1.688041844,7/8/2022,Kyrgios N.,-1
56017,1.49,0,1.679682301,7/11/2022,Carreno Busta P.,-1
53237,1.56,0,1.678672252,6/15/2021,Evans D.,-1
48759,2.5,1,1.678499505,3/12/2019,Shapovalov D.,1.5
50550,2.65,1,1.677296869,10/20/2019,Murray A.,1.65
49673,1.52,0,1.677215409,7/5/2019,Bautista Agut R.,-1
55034,2.54,1,1.674636571,3/12/2022,Bagnis F.,1.54
55109,1.54,0,1.671393802,3/24/2022,Rinderknech A.,-1
47895,1.56,0,1.670706723,10/16/2018,Verdasco F.,-1
56053,2.77,1,1.670250618,7/14/2022,Thiem D.,1.77
52607,1.56,0,1.669877473,3/30/2021,Bautista Agut R.,-1
48780,2.34,1,1.665712722,3/20/2019,Carballes Baena R.,1.34
51246,2.55,1,1.664670914,8/24/2020,Struff J.L.,1.55
52191,2.58,1,1.663983166,2/11/2021,Ymer M.,1.58
52196,2.57,1,1.663745089,2/12/2021,Auger-Aliassime F.,1.57
50268,2.33,1,1.660343193,9/18/2019,Caruso S.,1.33
47660,1.65,0,1.654535545,9/18/2018,Medvedev D.,-1
54405,1.5,0,1.654422116,1/4/2022,Van De Zandschulp B.,-1
54682,1.56,0,1.653964076,2/3/2022,Vesely J.,-1
50334,2.64,1,1.647089381,9/26/2019,Garin C.,1.64
53538,1.51,0,1.645921182,7/17/2021,Carreno Busta P.,-1
54188,1.51,0,1.642333042,10/13/2021,Monfils G.,-1
49974,1.38,0,1.638417285,8/5/2019,Raonic M.,-1
47753,1.69,0,1.63772437,9/29/2018,Fognini F.,-1
46232,1.65,0,1.634766182,3/26/2018,Raonic M.,-1
51166,1.56,0,1.631679254,2/25/2020,Kwon S.W.,-1
55425,1.56,0,1.629825304,5/1/2022,Isner J.,-1
55516,2.86,1,1.628805179,5/11/2022,Khachanov K.,1.86
53002,2.58,1,1.625428898,5/20/2021,Cuevas P.,1.58
47359,2.58,1,1.624688358,8/3/2018,Istomin D.,1.58
48025,2.35,1,1.624518042,10/29/2018,Dzumhur D.,1.35
54753,1.61,0,1.623440698,2/9/2022,Nishioka Y.,-1
49732,2.34,1,1.622173452,7/16/2019,Zverev M.,1.34
47130,1.54,0,1.621418643,7/17/2018,Delbonis F.,-1
48120,1.6,0,1.618969065,1/2/2019,Paire B.,-1
53735,1.72,0,1.617869484,8/10/2021,Ruud C.,-1
50444,1.57,0,1.617279723,10/8/2019,Opelka R.,-1
51685,2.31,1,1.616228238,10/14/2020,Albot R.,1.31
48678,1.56,0,1.61404846,3/2/2019,Pella G.,-1
54848,1.62,0,1.612530993,2/16/2022,Khachanov K.,-1
56930,1.62,0,1.611643808,10/27/2022,Bautista Agut R.,-1
55211,1.68,0,1.609850374,4/6/2022,Kyrgios N.,-1
47396,1.67,0,1.607470732,8/8/2018,Shapovalov D.,-1
51371,2.44,1,1.607449777,9/4/2020,Goffin D.,1.44
47461,2.55,1,1.607173996,8/16/2018,Kyrgios N.,1.55
47820,1.61,0,1.606314667,10/7/2018,Jarry N.,-1
49223,1.57,0,1.605990663,5/19/2019,Nadal R.,-1
53294,2.4,1,1.605438066,6/22/2021,Lopez F.,1.4
49247,1.51,0,1.604353013,5/21/2019,Dzumhur D.,-1
52119,1.56,0,1.602575496,2/8/2021,Ruusuvuori E.,-1
51154,1.57,0,1.600902224,2/25/2020,Delbonis F.,-1
50427,2.18,1,1.599566458,10/7/2019,Fognini F.,1.18
54118,2.33,1,1.598594571,10/7/2021,Taberner C.,1.33
51592,1.56,0,1.598423587,9/30/2020,Fritz T.,-1
47425,2.29,1,1.59745627,8/13/2018,Chardy J.,1.29
49944,2.37,1,1.595241054,8/1/2019,Kukushkin M.,1.37
46919,1.5,0,1.593800483,6/22/2018,Kyrgios N.,-1
52086,1.54,0,1.592646176,2/5/2021,Auger-Aliassime F.,-1
52852,2.55,1,1.590859951,5/2/2021,Bublik A.,1.55
47927,1.56,0,1.590311438,10/18/2018,Schwartzman D.,-1
56311,1.43,0,1.590206736,8/10/2022,Fritz T.,-1
49149,1.65,0,1.588962722,5/8/2019,Wawrinka S.,-1
50051,1.68,0,1.585373217,8/14/2019,Schwartzman D.,-1
50324,2.33,1,1.58478685,9/25/2019,Sousa J.,1.33
54628,1.61,0,1.583734147,1/25/2022,Berrettini M.,-1
51093,1.68,0,1.583384731,2/19/2020,Gerasimov E.,-1
49035,1.68,0,1.583133732,4/25/2019,Berrettini M.,-1
54040,2.6,1,1.581949488,9/23/2021,Giron M.,1.6
55455,2.55,1,1.581191674,5/4/2022,Musetti L.,1.55
49947,1.64,0,1.578263964,8/2/2019,Ramos-Vinolas A.,-1
54692,1.62,0,1.577541311,2/3/2022,Sonego L.,-1
54023,2.31,1,1.577309184,9/22/2021,Djere L.,1.31
45549,2.38,1,1.57613036,1/7/2018,Lorenzi P.,1.38
54502,2.45,1,1.574657419,1/14/2022,Kokkinakis T.,1.45
53335,1.65,0,1.574570668,6/25/2021,Querrey S.,-1
52815,2.29,1,1.573686794,4/27/2021,Cuevas P.,1.29
51101,2.11,1,1.572233989,2/20/2020,Humbert U.,1.11
45788,2.61,1,1.568227668,2/9/2018,Basic M.,1.61
46691,1.54,0,1.568209331,5/27/2018,Andreozzi G.,-1
54496,1.69,0,1.568193449,1/13/2022,Murray A.,-1
52148,2.71,1,1.567481326,2/9/2021,Andujar P.,1.71
52842,1.63,0,1.567237392,4/30/2021,Ramos-Vinolas A.,-1
52112,1.48,0,1.56435494,2/8/2021,Shapovalov D.,-1
54898,1.48,0,1.563324559,2/19/2022,Bautista Agut R.,-1
45580,1.73,0,1.562356219,1/10/2018,Ferrer D.,-1
52164,2.39,1,1.561974514,2/10/2021,Mannarino A.,1.39
51644,2.34,1,1.561279748,10/12/2020,Karatsev A.,1.34
50384,1.53,0,1.5594119,10/2/2019,Murray A.,-1
46440,1.66,0,1.558429842,4/29/2018,Cecchinato M.,-1
52284,2.32,1,1.558100403,2/25/2021,Davidovich Fokina A.,1.32
47740,2.34,1,1.557780563,9/27/2018,Ebden M.,1.34
46407,1.57,0,1.555572003,4/25/2018,Carreno Busta P.,-1
49782,2.2,1,1.555491604,7/22/2019,Rublev A.,1.2
57009,2.51,1,1.555261729,11/16/2022,Tsitsipas S.,1.51
47888,1.53,0,1.554995133,10/16/2018,Paire B.,-1
57258,2.58,1,1.55332281,2/6/2023,Zapata Miralles B.,1.58
47427,1.66,0,1.553148351,8/13/2018,Paire B.,-1
51767,1.76,0,1.552185521,10/23/2020,Evans D.,-1
48543,2.3,1,1.552086973,2/19/2019,Lorenzi P.,1.3
53007,1.5,0,1.551246899,5/21/2021,Shapovalov D.,-1
52850,2.45,1,1.550994348,5/1/2021,Ramos-Vinolas A.,1.45
54085,2.52,1,1.548664063,9/30/2021,Giron M.,1.52
54417,2.35,1,1.548593083,1/5/2022,Berankis R.,1.35
50535,1.76,0,1.548278198,10/18/2019,Mannarino A.,-1
52812,2.25,1,1.546747427,4/27/2021,Basilashvili N.,1.25
48645,1.6,0,1.546622915,2/27/2019,Ferrer D.,-1
51198,2.21,1,1.540520457,2/27/2020,Fritz T.,1.21
51978,1.68,0,1.540156353,1/11/2021,Harrison C.,-1
56405,2.3,1,1.533362716,8/23/2022,Gasquet R.,1.3
48118,1.74,0,1.530567784,1/2/2019,Berdych T.,-1
48313,2.74,1,1.530236165,1/18/2019,Bautista Agut R.,1.74
46375,1.59,0,1.529627033,4/23/2018,Karlovic I.,-1
48688,1.6,0,1.52828614,3/7/2019,Thompson J.,-1
48023,1.67,0,1.527924695,10/29/2018,Kohlschreiber P.,-1
53609,1.62,0,1.527795737,7/23/2021,Nakashima B.,-1
54445,1.68,0,1.527456422,1/7/2022,Kokkinakis T.,-1
51747,1.78,0,1.525172496,10/21/2020,Evans D.,-1
52554,1.58,0,1.524707386,3/26/2021,Bublik A.,-1
48820,2.35,1,1.524693483,3/22/2019,Ferrer D.,1.35
52878,1.64,0,1.523904267,5/4/2021,Davidovich Fokina A.,-1
49498,1.77,0,1.522929637,6/20/2019,Auger-Aliassime F.,-1
47509,1.6,0,1.52230978,8/22/2018,Chung H.,-1
47801,1.78,0,1.520889108,10/4/2018,Struff J.L.,-1
47939,2.37,1,1.519475742,10/19/2018,Fognini F.,1.37
51488,2.51,1,1.516337226,9/22/2020,Bublik A.,1.51
53022,2.23,1,1.514793804,5/24/2021,Cuevas P.,1.23
45976,2.59,1,1.513295116,2/25/2018,Tiafoe F.,1.59
49699,1.55,0,1.512007883,7/14/2019,Djokovic N.,-1
54177,1.63,0,1.511816423,10/11/2021,Khachanov K.,-1
49188,2.16,1,1.510988777,5/14/2019,Struff J.L.,1.16
51083,1.56,0,1.510551046,2/19/2020,Garin C.,-1
49816,1.81,0,1.510074002,7/23/2019,Albot R.,-1
45744,2.34,1,1.508134782,2/6/2018,Chardy J.,1.34
46015,1.52,0,1.507700728,2/28/2018,Coric B.,-1
50214,2.2,1,1.507228696,8/29/2019,Evans D.,1.2
53218,1.47,0,1.506868712,6/12/2021,Auger-Aliassime F.,-1
45572,2.77,1,1.506458156,1/10/2018,Fognini F.,1.77
50313,1.74,0,1.506273741,9/24/2019,Kecmanovic M.,-1
55687,2.37,1,1.505903997,5/27/2022,Zapata Miralles B.,1.37
52407,1.56,0,1.505620555,3/10/2021,Rune H.,-1
48784,2.14,1,1.505579835,3/20/2019,Hurkacz H.,1.14
53381,1.69,0,1.504414237,6/30/2021,Kudla D.,-1
50091,2.23,1,1.503666736,8/20/2019,Haase R.,1.23
51763,2.77,1,1.502805013,10/22/2020,Harris L.,1.77
48034,2.26,1,1.501172752,10/30/2018,Fucsovics M.,1.26
49516,2.29,1,1.500859135,6/22/2019,Goffin D.,1.29
50905,1.83,0,1.50054188,2/4/2020,Martin A.,-1
47518,2.59,1,1.50034428,8/23/2018,Johnson S.,1.59
57373,1.57,0,1.50029987,2/15/2023,Lajovic D.,-1
48719,2.13,1,1.500245514,3/9/2019,Kecmanovic M.,1.13
49566,1.74,0,1.499803146,6/27/2019,Kecmanovic M.,-1
45574,2.19,1,1.498710083,1/10/2018,Lorenzi P.,1.19
52076,2.41,1,1.498626695,2/4/2021,Khachanov K.,1.41
49637,2.64,1,1.498609617,7/3/2019,Verdasco F.,1.64
54498,1.51,0,1.496988691,1/13/2022,Kokkinakis T.,-1
46894,2.1,1,1.496822387,6/19/2018,Paire B.,1.1
49818,1.95,1,1.496221719,7/24/2019,Popyrin A.,0.95
46471,2.3,1,1.495651322,5/1/2018,Jarry N.,1.3
