match,PSW,win0,confidence0,date,winner,
51091,1.25,0,2.224375814,2/19/2020,Tsitsipas S.,-1
51510,1.39,0,2.163350323,9/25/2020,Tsitsipas S.,-1
47248,1.54,0,1.98372612,7/27/2018,Kovalik J.,-1
50451,1.48,0,1.936558278,10/9/2019,Isner J.,-1
53015,1.38,0,1.889645452,5/22/2021,Norrie C.,-1
52839,2.6,1,1.880716634,4/29/2021,Moutet C.,1.6
52275,2.72,1,1.872463768,2/25/2021,Paire B.,1.72
52607,1.56,0,1.836154723,3/30/2021,Bautista Agut R.,-1
57080,1.41,0,1.834112777,1/9/2023,Brooksby J.,-1
43716,2.7,1,1.833169473,4/18/2017,Muller G.,1.7
56161,1.43,0,1.81836759,7/27/2022,Sinner J.,-1
50334,2.64,1,1.817803203,9/26/2019,Garin C.,1.64
56198,2.8,1,1.816703463,7/30/2022,Misolic F.,1.8
49725,1.43,0,1.805444035,7/16/2019,Londero J.I.,-1
50294,1.53,0,1.800924569,9/20/2019,Tsonga J.W.,-1
54188,1.51,0,1.77168008,10/13/2021,Monfils G.,-1
57321,1.4,0,1.762273568,2/10/2023,Baez S.,-1
55021,1.55,0,1.757972195,3/12/2022,Monfils G.,-1
48365,1.52,0,1.757032956,2/5/2019,Carballes Baena R.,-1
51083,1.56,0,1.74924316,2/19/2020,Garin C.,-1
49954,1.62,0,1.731466409,8/2/2019,Fritz T.,-1
54707,2.82,1,1.72848298,2/5/2022,Tabilo A.,1.82
47363,1.63,0,1.727174189,8/4/2018,Zverev A.,-1
49186,2.34,1,1.724084663,5/14/2019,Berrettini M.,1.34
48156,2.5,1,1.719037831,1/4/2019,Tsonga J.W.,1.5
46105,1.56,0,1.708500281,3/10/2018,Sandgren T.,-1
49785,1.44,0,1.697376408,7/22/2019,Klizan M.,-1
55807,1.56,0,1.696185402,6/15/2022,Cilic M.,-1
54492,1.61,0,1.695317437,1/12/2022,Opelka R.,-1
56032,2.79,1,1.692361579,7/12/2022,Karatsev A.,1.79
48569,1.6,0,1.692195767,2/21/2019,Djere L.,-1
52989,2.46,1,1.690688941,5/19/2021,Bedene A.,1.46
49803,1.47,0,1.689253725,7/23/2019,Zverev A.,-1
43952,1.45,0,1.683729655,5/13/2017,Nadal R.,-1
43421,1.38,0,1.680803482,3/2/2017,Cuevas P.,-1
53868,2.75,1,1.67135581,8/26/2021,Ivashka I.,1.75
47372,1.68,0,1.670791891,8/6/2018,Fucsovics M.,-1
48160,1.6,0,1.667388016,1/5/2019,Bautista Agut R.,-1
47930,1.53,0,1.662461621,10/18/2018,Monfils G.,-1
55251,1.53,0,1.658686545,4/11/2022,Schwartzman D.,-1
47740,2.34,1,1.656877378,9/27/2018,Ebden M.,1.34
47461,2.55,1,1.654668812,8/16/2018,Kyrgios N.,1.55
49223,1.57,0,1.653226694,5/19/2019,Nadal R.,-1
54054,2.77,1,1.652920268,9/25/2021,Kwon S.W.,1.77
49219,2.6,1,1.652284054,5/17/2019,Schwartzman D.,1.6
53968,1.5,0,1.651567854,9/2/2021,Schwartzman D.,-1
49630,2.26,1,1.650589726,7/2/2019,Querrey S.,1.26
55752,1.61,0,1.650553457,6/9/2022,Ivashka I.,-1
49775,2.75,1,1.640858691,7/20/2019,Balazs A.,1.75
52514,2.58,1,1.637655222,3/19/2021,Koepfer D.,1.58
57094,1.6,0,1.637291676,1/10/2023,Millman J.,-1
54900,2.64,1,1.635946024,2/19/2022,Millman J.,1.64
49840,2.55,1,1.635582487,7/25/2019,Carreno Busta P.,1.55
57308,1.52,0,1.632718738,2/9/2023,Baez S.,-1
54085,2.52,1,1.631661944,9/30/2021,Giron M.,1.52
53207,1.57,0,1.630595829,6/10/2021,Auger-Aliassime F.,-1
47939,2.37,1,1.628337968,10/19/2018,Fognini F.,1.37
56383,2.35,1,1.628333704,8/21/2022,Coric B.,1.35
50528,1.76,0,1.624572558,10/17/2019,Chardy J.,-1
45220,2.37,1,1.623248953,10/10/2017,Fognini F.,1.37
48556,1.74,0,1.623130571,2/20/2019,Evans D.,-1
54208,1.56,0,1.621150012,10/18/2021,Norrie C.,-1
54204,2.53,1,1.620500883,10/16/2021,Basilashvili N.,1.53
54197,2.23,1,1.620254844,10/14/2021,Norrie C.,1.23
50542,1.61,0,1.619197786,10/19/2019,Mannarino A.,-1
57373,1.57,0,1.617564656,2/15/2023,Lajovic D.,-1
55963,1.52,0,1.617085752,6/29/2022,Goffin D.,-1
47157,2.24,1,1.615172108,7/19/2018,Haase R.,1.24
47401,1.66,0,1.614568753,8/8/2018,Cilic M.,-1
50955,2.33,1,1.614472316,2/8/2020,Djere L.,1.33
50956,1.61,0,1.613805315,2/8/2020,Garin C.,-1
52761,1.61,0,1.612298025,4/21/2021,Berrettini M.,-1
49749,2.6,1,1.608209008,7/17/2019,Ramos-Vinolas A.,1.6
52196,2.57,1,1.608082911,2/12/2021,Auger-Aliassime F.,1.57
48138,1.71,0,1.607866763,1/2/2019,Herbert P.H.,-1
46973,1.57,0,1.607502847,6/28/2018,Vesely J.,-1
56405,2.3,1,1.607368732,8/23/2022,Gasquet R.,1.3
50643,1.6,0,1.606684413,10/30/2019,Thiem D.,-1
51915,1.59,0,1.601999028,11/12/2020,Mannarino A.,-1
52031,2.48,1,1.601242641,2/2/2021,Gerasimov E.,1.48
51369,1.58,0,1.596855659,9/4/2020,Auger-Aliassime F.,-1
45308,2.71,1,1.594723268,10/19/2017,Berankis R.,1.71
44836,1.55,0,1.593606525,8/16/2017,Dimitrov G.,-1
56223,2.5,1,1.592909321,8/2/2022,Eubanks C.,1.5
50467,2.35,1,1.591456504,10/11/2019,Berrettini M.,1.35
50570,1.55,0,1.591063882,10/22/2019,Gasquet R.,-1
53449,1.67,0,1.590738761,7/3/2021,Hurkacz H.,-1
