match,PSW,win0,confidence0,date,winner,
53687,1.32,0,2.275093969,8/3/2021,Norrie C.,-1
52081,1.32,0,2.271802545,2/5/2021,Wawrinka S.,-1
53279,1.38,0,2.228512698,6/19/2021,Shapovalov D.,-1
53888,1.38,0,2.207556134,8/30/2021,Molcan A.,-1
52244,3.06,1,2.140010488,2/23/2021,Cerundolo J.M.,2.06
55271,1.36,0,2.102703815,4/13/2022,Sinner J.,-1
53461,1.34,0,2.077739686,7/7/2021,Shapovalov D.,-1
52649,1.41,0,2.045600247,4/7/2021,Carreno Busta P.,-1
51466,1.37,0,2.032014886,9/17/2020,Shapovalov D.,-1
54399,3.09,1,2.018081332,11/20/2021,Zverev A.,2.09
47207,1.38,0,1.980083792,7/24/2018,Bedene A.,-1
55339,1.51,0,1.947877897,4/20/2022,Auger-Aliassime F.,-1
53007,1.5,0,1.947650883,5/21/2021,Shapovalov D.,-1
52562,2.75,1,1.929101024,3/26/2021,Norrie C.,1.75
51882,1.35,0,1.889603076,11/5/2020,Carreno Busta P.,-1
50065,2.37,1,1.854219617,8/15/2019,Khachanov K.,1.37
55251,1.53,0,1.847903017,4/11/2022,Schwartzman D.,-1
53790,1.49,0,1.84565318,8/17/2021,Hurkacz H.,-1
55425,1.56,0,1.837489963,5/1/2022,Isner J.,-1
54117,2.75,1,1.826345377,10/7/2021,Daniel T.,1.75
49510,1.69,0,1.824360314,6/21/2019,Berrettini M.,-1
53656,2.79,1,1.819181868,7/28/2021,Martinez P.,1.79
54188,1.51,0,1.812748861,10/13/2021,Monfils G.,-1
48926,3.32,1,1.809947833,4/13/2019,Paire B.,2.32
54933,3.06,1,1.801465079,2/22/2022,Pucinelli de Almeida M.,2.06
51488,2.51,1,1.800540362,9/22/2020,Bublik A.,1.51
47248,1.54,0,1.793939341,7/27/2018,Kovalik J.,-1
54876,3.58,1,1.792670375,2/17/2022,Rinderknech A.,2.58
52839,2.6,1,1.790329879,4/29/2021,Moutet C.,1.6
50451,1.48,0,1.774174988,10/9/2019,Isner J.,-1
50545,1.63,0,1.773207867,10/19/2019,Rublev A.,-1
47091,2.95,1,1.769540881,7/7/2018,Nishikori K.,1.95
54263,2.53,1,1.764365384,10/25/2021,Murray A.,1.53
50009,2.36,1,1.762856731,8/8/2019,Khachanov K.,1.36
52407,1.56,0,1.754163515,3/10/2021,Rune H.,-1
54848,1.62,0,1.744318086,2/16/2022,Khachanov K.,-1
54208,1.56,0,1.74053929,10/18/2021,Norrie C.,-1
52458,1.57,0,1.739607028,3/15/2021,Fucsovics M.,-1
55045,2.43,1,1.732077528,3/13/2022,Kecmanovic M.,1.43
52401,1.51,0,1.728112611,3/10/2021,Shapovalov D.,-1
51246,2.55,1,1.709567215,8/24/2020,Struff J.L.,1.55
46480,1.54,0,1.705746776,5/2/2018,Dutra Silva R.,-1
57062,1.51,0,1.705234925,1/5/2023,Shapovalov D.,-1
49954,1.62,0,1.705135128,8/2/2019,Fritz T.,-1
49861,3.15,1,1.702011572,7/27/2019,Basilashvili N.,2.15
52396,2.79,1,1.700681956,3/9/2021,Harris L.,1.79
45549,2.38,1,1.698805126,1/7/2018,Lorenzi P.,1.38
51371,2.44,1,1.69814886,9/4/2020,Goffin D.,1.44
50687,3.34,1,1.69602447,1/7/2020,Ilkel C.,2.34
52995,2.83,1,1.695200683,5/20/2021,Nishioka Y.,1.83
52930,2.47,1,1.691284826,5/11/2021,Auger-Aliassime F.,1.47
53868,2.75,1,1.686988973,8/26/2021,Ivashka I.,1.75
47214,2.63,1,1.685125331,7/24/2018,Monteiro T.,1.63
54365,2.75,1,1.683635798,11/8/2021,Vavassori A.,1.75
52596,3.06,1,1.679462779,3/29/2021,Hurkacz H.,2.06
50276,2.6,1,1.675400742,9/18/2019,Paire B.,1.6
48702,2.52,1,1.672610674,3/8/2019,Mayer L.,1.52
52112,1.48,0,1.671981012,2/8/2021,Shapovalov D.,-1
52206,1.43,0,1.670240577,2/13/2021,Berrettini M.,-1
57454,1.71,0,1.668441191,2/22/2023,Zapata Miralles B.,-1
54187,1.49,0,1.666880524,10/12/2021,Sinner J.,-1
50733,2.45,1,1.666756387,1/15/2020,Seppi A.,1.45
47396,1.67,0,1.666465256,8/8/2018,Shapovalov D.,-1
50294,1.53,0,1.665979105,9/20/2019,Tsonga J.W.,-1
51707,1.51,0,1.664562399,10/16/2020,Shapovalov D.,-1
54583,1.43,0,1.663506794,1/19/2022,Carreno Busta P.,-1
53968,1.5,0,1.656084147,9/2/2021,Schwartzman D.,-1
