match,correct_prediction,confidence,PSW,date,winner
49078,1,0.95031327,1.32,2025-02-12,Humbert U.
48251,0,0.949285,1.77,2024-09-19,Bellucci M.
48898,1,0.9474234,2.01,2025-01-14,Garin C.
49138,1,0.9469929,1.71,2025-02-17,Lehecka J.
48506,1,0.94681245,2.4,2024-10-17,Wawrinka S.
48846,1,0.9433632,1.11,2025-01-12,Lehecka J.
49096,1,0.9413713,1.56,2025-02-12,Djere L.
48744,1,0.9407745,,2024-12-31,Lajovic D.
48953,0,0.93800074,1.07,2025-01-20,Sinner J.
48254,1,0.937162,2.4,2024-09-19,Carballes Baena R.
48608,1,0.9342662,1.38,2024-10-28,Thompson J.
48262,1,0.9334286,1.23,2024-09-19,Safiullin R.
48890,1,0.9301094,1.47,2025-01-14,Diallo G.
48904,1,0.928611,1.47,2025-01-15,Draper J.
48898,1,0.9285509,2.01,2025-01-14,Garin C.
48954,1,0.9282569,1.74,2025-01-20,Sonego L.
48746,1,0.92741716,1.72,2024-12-31,Monfils G.
48880,1,0.9263467,1.77,2025-01-14,Carreno Busta P.
49096,1,0.9256209,1.56,2025-02-12,Djere L.
48948,1,0.9251666,1.09,2025-01-19,Alcaraz C.
49078,1,0.9245765,1.32,2025-02-12,Humbert U.
47926,1,0.9245765,1.38,2024-07-30,Nakashima B.
49081,0,0.92395484,1.81,2025-02-12,Fonseca J.
48118,1,0.9236379,1.52,2024-08-26,Lehecka J.
47334,1,0.9236379,1.51,2024-05-27,Squire H.
49138,1,0.9236379,1.71,2025-02-17,Lehecka J.
47576,1,0.92205113,2.96,2024-06-26,Nishioka Y.
48846,1,0.9209275,1.11,2025-01-12,Lehecka J.
47318,1,0.9209275,1.31,2024-05-27,Tiafoe F.
49154,1,0.9205852,1.57,2025-02-18,Medvedev D.
49164,1,0.9202773,2.49,2025-02-19,Comesana F.
48070,1,0.9191225,1.94,2024-08-18,Cazaux A.
48178,1,0.9191225,2.11,2024-08-27,Virtanen O.
48904,1,0.91891694,1.47,2025-01-15,Draper J.
48180,1,0.91865486,1.45,2024-08-28,Musetti L.
48084,1,0.91791606,2.11,2024-08-19,Seyboth Wild T.
48542,1,0.91772634,1.93,2024-10-21,Goffin D.
48882,1,0.9176672,1.6,2025-01-14,Musetti L.
48194,1,0.9163445,1.12,2024-08-28,Dimitrov G.
48251,0,0.91626644,1.77,2024-09-19,Bellucci M.
48224,1,0.9162516,1.65,2024-08-31,Machac T.
49116,1,0.9161071,1.67,2025-02-14,Bergs Z.
48954,1,0.9160545,1.74,2025-01-20,Sonego L.
48890,1,0.91529775,1.47,2025-01-14,Diallo G.
48254,1,0.91529775,2.4,2024-09-19,Carballes Baena R.
48744,1,0.91529775,,2024-12-31,Lajovic D.
48668,1,0.9148342,1.64,2024-11-04,Klein L.
48262,1,0.914344,1.23,2024-09-19,Safiullin R.
48506,1,0.9141032,2.4,2024-10-17,Wawrinka S.
48948,1,0.913897,1.09,2025-01-19,Alcaraz C.
48953,0,0.91387296,1.07,2025-01-20,Sinner J.
48166,1,0.91378546,4.49,2024-08-27,Djere L.
48608,1,0.9118424,1.38,2024-10-28,Thompson J.
48790,1,0.9113714,1.68,2025-01-06,Kokkinakis T.
47600,1,0.9107694,1.64,2024-07-01,Van De Zandschulp B.
48104,1,0.91051376,2.16,2024-08-21,Kotov P.
48472,1,0.9095238,2.12,2024-10-15,Karatsev A.
48670,1,0.9095081,1.48,2024-11-04,Etcheverry T.
48880,1,0.909459,1.77,2025-01-14,Carreno Busta P.
48280,1,0.90892726,1.16,2024-09-21,Mannarino A.
48486,1,0.90812385,1.78,2024-10-16,Diallo G.
48286,1,0.9081019,1.83,2024-09-22,Hanfmann Y.
48230,1,0.9078429,1.35,2024-09-01,Fritz T.
48666,1,0.9076957,1.66,2024-11-04,Shapovalov D.
48264,1,0.90724814,2.45,2024-09-19,Kachmazov A.
48168,1,0.90689564,1.23,2024-08-27,Griekspoor T.
48286,1,0.9050827,1.83,2024-09-22,Hanfmann Y.
49081,0,0.90495664,1.81,2025-02-12,Fonseca J.
47896,1,0.9041483,1.67,2024-07-25,Thompson J.
47724,1,0.9038075,3.42,2024-07-15,Martinez P.
48208,1,0.90264416,1.57,2024-08-29,Fritz T.
48222,1,0.90233386,1.63,2024-08-31,Borges N.
47876,1,0.9017319,1.15,2024-07-24,Shang J.
