match,correct_prediction,confidence,PSW,date,winner
47867,1,0.9413929,2.1,2024-07-23,Marozsan F.
48177,1,0.93677413,1.24,2024-08-27,Michelsen A.
48511,1,0.93665475,1.43,2024-10-17,Tiafoe F.
48245,1,0.93656784,2.27,2024-09-18,Kukushkin M.
48105,1,0.93565696,1.7,2024-08-21,Safiullin R.
48207,1,0.9354832,1.79,2024-08-29,Arnaldi M.
48739,1,0.93498844,1.92,2024-12-31,Martinez P.
48242,0,0.9347104,1.16,2024-09-06,Sinner J.
48193,1,0.93422437,1.01,2024-08-28,Alcaraz C.
48097,1,0.9322798,1.69,2024-08-20,Vukic A.
48065,1,0.93216604,1.31,2024-08-17,Zverev A.
47799,1,0.93208164,1.08,2024-07-18,Zverev A.
47915,1,0.9317314,2.84,2024-07-29,Hong S.
48613,1,0.93107307,1.52,2024-10-29,Tsitsipas S.
48165,1,0.9301364,1.23,2024-08-27,Griekspoor T.
48117,1,0.9297365,2.6,2024-08-24,Sonego L.
48747,1,0.9290496,1.05,2024-12-31,Djokovic N.
48281,1,0.92855585,1.61,2024-09-21,Shang J.
48235,1,0.9271384,1.45,2024-09-02,Draper J.
48227,1,0.92431474,1.03,2024-08-31,Sinner J.
47886,0,0.9242596,2.26,2024-07-24,Seyboth Wild T.
48257,1,0.92235506,1.23,2024-09-19,Safiullin R.
48189,1,0.92026305,1.54,2024-08-28,Griekspoor T.
48091,1,0.92026305,1.75,2024-08-20,Sonego L.
48219,1,0.9198988,1.69,2024-08-30,Nakashima B.
48215,1,0.91869795,1.35,2024-08-30,Rublev A.
48223,1,0.91741943,6.25,2024-08-31,Popyrin A.
47177,1,0.91512525,1.81,2024-05-09,Moutet C.
47313,1,0.91512525,1.31,2024-05-26,Martinez P.
47871,1,0.9147991,1.47,2024-07-24,Berrettini M.
48242,0,0.9135029,1.16,2024-09-06,Sinner J.
48105,1,0.9129677,1.7,2024-08-21,Safiullin R.
47799,1,0.91150326,1.08,2024-07-18,Zverev A.
47867,1,0.91150326,2.1,2024-07-23,Marozsan F.
46843,1,0.91150326,2.66,2024-04-03,Fognini F.
47337,1,0.91137046,2.04,2024-05-27,Arnaldi M.
48739,1,0.9111877,1.92,2024-12-31,Martinez P.
47915,1,0.91107506,2.84,2024-07-29,Hong S.
48117,1,0.9099811,2.6,2024-08-24,Sonego L.
48177,1,0.9093417,1.24,2024-08-27,Michelsen A.
46845,1,0.9092892,1.46,2024-04-03,Fucsovics M.
47201,1,0.90917355,1.69,2024-05-11,Baez S.
47097,1,0.9090091,1.53,2024-04-26,Struff J.L.
48613,1,0.9089851,1.52,2024-10-29,Tsitsipas S.
48513,1,0.9083411,1.27,2024-10-17,Tsitsipas S.
46807,1,0.90830743,3.63,2024-03-27,Marozsan F.
46809,1,0.9079939,1.46,2024-03-27,Zverev A.
48511,1,0.9073255,1.43,2024-10-17,Tiafoe F.
47886,0,0.9068425,2.26,2024-07-24,Seyboth Wild T.
46913,1,0.9068425,1.45,2024-04-09,Musetti L.
48281,1,0.90681803,1.61,2024-09-21,Shang J.
48583,1,0.9064255,1.35,2024-10-24,Shelton B.
48257,1,0.90639424,1.23,2024-09-19,Safiullin R.
48263,1,0.90633863,,2024-09-19,Uchiyama Y.
48709,1,0.9061343,1.11,2024-11-10,Sinner J.
48203,1,0.90578365,3.1,2024-08-29,O Connell C.
46905,1,0.9057398,2.97,2024-04-08,Nagal S.
46761,1,0.9056065,1.65,2024-03-23,Koepfer D.
48167,1,0.9049673,2.35,2024-08-27,Goffin D.
48165,1,0.9048198,1.23,2024-08-27,Griekspoor T.
48253,1,0.9046226,2.45,2024-09-19,Kachmazov A.
48669,1,0.90449065,1.18,2024-11-04,Kovacevic A.
47168,0,0.90448624,1.81,2024-05-09,Draper J.
47277,1,0.9041929,1.12,2024-05-22,Djokovic N.
48545,1,0.9037332,2.22,2024-10-21,Cobolli F.
48253,1,0.903569,2.45,2024-09-19,Kachmazov A.
47885,1,0.9035302,1.66,2024-07-24,Purcell M.
48263,1,0.903511,,2024-09-19,Uchiyama Y.
48091,1,0.90345806,1.75,2024-08-20,Sonego L.
48235,1,0.90345806,1.45,2024-09-02,Draper J.
48245,1,0.90338147,2.27,2024-09-18,Kukushkin M.
48207,1,0.9029493,1.79,2024-08-29,Arnaldi M.
48097,1,0.9029493,1.69,2024-08-20,Vukic A.
48647,1,0.9029232,1.4,2024-11-01,Zverev A.
48465,1,0.9029003,2.16,2024-10-14,Coric B.
46851,1,0.9026769,1.26,2024-04-03,Fils A.
48747,1,0.90250975,1.05,2024-12-31,Djokovic N.
46923,1,0.9024171,1.44,2024-04-09,De Minaur A.
48193,1,0.90236074,1.01,2024-08-28,Alcaraz C.
47133,1,0.90142107,1.2,2024-04-30,Medvedev D.
47601,1,0.90105444,1.09,2024-07-01,Sonego L.
47800,0,0.9009163,3.61,2024-07-18,Heide G.
48189,1,0.90062994,1.54,2024-08-28,Griekspoor T.
48557,1,0.9004632,1.78,2024-10-22,Tabilo A.
47800,0,0.90024674,3.61,2024-07-18,Heide G.
47073,1,0.90013504,1.69,2024-04-25,Kotov P.
47517,1,0.90008134,1.21,2024-06-19,Struff J.L.
46917,1,0.89909786,1.11,2024-04-09,Monfils G.
48545,1,0.8989741,2.22,2024-10-21,Cobolli F.
48167,1,0.89880556,2.35,2024-08-27,Goffin D.
48557,1,0.89880556,1.78,2024-10-22,Tabilo A.
47101,1,0.89814436,1.17,2024-04-27,Ruud C.
46915,1,0.89814436,1.11,2024-04-09,Zverev A.
48555,1,0.8973884,2.02,2024-10-22,Shapovalov D.
46835,1,0.89609605,2.86,2024-04-02,Moreno De Alboran N.
48709,1,0.89588666,1.11,2024-11-10,Sinner J.
47495,1,0.89562356,2.0,2024-06-18,Murray A.
48267,1,0.89522576,1.85,2024-09-19,Hijikata R.
47577,1,0.89455545,1.17,2024-06-26,Fritz T.
48465,1,0.894407,2.16,2024-10-14,Coric B.
47715,1,0.8939325,1.3,2024-07-09,Alcaraz C.
47164,0,0.8938595,1.64,2024-05-09,Fognini F.
48583,1,0.89327776,1.35,2024-10-24,Shelton B.
47579,1,0.89317864,1.74,2024-06-26,Jubb P.
