match,PSW,win0,confidence0,date,,
33218,4.43,1,2.733129055,7/15/2019,3.43,343
40251,1.26,0,2.437807406,10/6/2022,-1,-100
37603,1.33,0,2.41398033,9/30/2021,-1,-100
34661,1.37,0,2.306592067,2/25/2020,-1,-100
32842,1.27,0,2.285668342,5/28/2019,-1,-100
33169,1.34,0,2.210957913,7/3/2019,-1,-100
35035,1.39,0,2.089869659,9/27/2020,-1,-100
37398,1.38,0,2.044222574,8/30/2021,-1,-100
37917,3.09,1,2.017973017,11/20/2021,2.09,209
32528,1.36,0,1.981038697,4/23/2019,-1,-100
32446,3.32,1,1.959327332,4/13/2019,2.32,232
33860,2.67,1,1.932649413,9/27/2019,1.67,167
33220,1.42,0,1.905923581,7/15/2019,-1,-100
33813,1.53,0,1.887041598,9/20/2019,-1,-100
36855,1.43,0,1.886477066,6/26/2021,-1,-100
30727,1.38,0,1.886032574,7/24/2018,-1,-100
31724,1.56,0,1.881165197,1/10/2019,-1,-100
38415,2.64,1,1.862825761,2/19/2022,1.64,164
32742,1.57,0,1.842637565,5/19/2019,-1,-100
36355,2.6,1,1.837348628,4/29/2021,1.6,160
32635,3.27,1,1.826111507,5/6/2019,2.27,227
36730,2.8,1,1.824242465,6/11/2021,1.8,180
35491,1.48,0,1.823596053,1/10/2021,-1,-100
38227,3.25,1,1.806615312,2/5/2022,2.25,225
31447,1.53,0,1.80572884,10/18/2018,-1,-100
30651,1.54,0,1.805021677,7/17/2018,-1,-100
37817,2.51,1,1.796165759,10/28/2021,1.51,151
37049,1.57,0,1.789517339,7/16/2021,-1,-100
37900,1.39,0,1.784690371,11/11/2021,-1,-100
39839,2.51,1,1.784105861,8/12/2022,1.51,151
38736,1.54,0,1.776299984,4/7/2022,-1,-100
29533,1.52,0,1.770923212,2/28/2018,-1,-100
37606,2.98,1,1.764738732,9/30/2021,1.98,198
35605,1.57,0,1.763044822,2/5/2021,-1,-100
35067,1.53,0,1.756204239,9/28/2020,-1,-100
36444,2.47,1,1.753702955,5/11/2021,1.47,147
31267,2.6,1,1.747214048,9/28/2018,1.6,160
38497,1.6,0,1.746144493,2/25/2022,-1,-100
37509,1.61,0,1.735703935,9/6/2021,-1,-100
38867,2.7,1,1.731902079,4/21/2022,1.7,170
31274,1.69,0,1.728510886,9/29/2018,-1,-100
37612,2.52,1,1.726521828,9/30/2021,1.52,152
38539,1.55,0,1.726284519,3/12/2022,-1,-100
38005,1.61,0,1.723805037,1/12/2022,-1,-100
30863,2.58,1,1.723277388,8/3/2018,1.58,158
36866,1.47,0,1.719681403,6/28/2021,-1,-100
38730,1.68,0,1.71684748,4/6/2022,-1,-100
36140,2.8,1,1.715233433,4/5/2021,1.8,180
37486,1.5,0,1.713216432,9/2/2021,-1,-100
37307,2.77,1,1.712845327,8/17/2021,1.77,177
33761,2.65,1,1.711378831,9/4/2019,1.65,165
29048,1.54,0,1.709985752,1/4/2018,-1,-100
34075,1.56,0,1.706894082,10/21/2019,-1,-100
36319,1.53,0,1.702574328,4/26/2021,-1,-100
29622,1.56,0,1.700517827,3/10/2018,-1,-100
34264,1.56,0,1.698368457,1/16/2020,-1,-100
