match,PSW,win0,confidence0,date,,
53278,1.38,0,2.177191592,6/19/2021,-1,-100
43421,1.38,0,2.060877048,3/2/2017,-1,-100
53880,1.38,0,1.975939647,8/30/2021,-1,-100
43952,1.45,0,1.936695315,5/13/2017,-1,-100
47250,1.54,0,1.859978787,7/27/2018,-1,-100
55014,1.52,0,1.858915727,3/11/2022,-1,-100
51706,1.51,0,1.835142426,10/16/2020,-1,-100
54191,1.58,0,1.831537672,10/13/2021,-1,-100
44084,2.73,1,1.823498427,5/29/2017,1.73,173
43389,1.37,0,1.818722176,2/28/2017,-1,-100
52849,2.45,1,1.770406613,5/1/2021,1.45,145
56255,2.54,1,1.767718378,8/4/2022,1.54,154
47855,2.47,1,1.767296219,10/10/2018,1.47,147
52987,2.46,1,1.766526517,5/19/2021,1.46,146
56501,2.66,1,1.766034811,8/31/2022,1.66,166
52837,2.6,1,1.765293918,4/29/2021,1.6,160
53916,2.68,1,1.751331534,8/31/2021,1.68,168
48776,1.47,0,1.747822655,3/16/2019,-1,-100
44780,1.47,0,1.745529904,8/9/2017,-1,-100
47929,1.53,0,1.741673746,10/18/2018,-1,-100
54456,1.51,0,1.736662934,1/10/2022,-1,-100
54051,2.77,1,1.736107922,9/25/2021,1.77,177
56377,1.37,0,1.735467747,8/19/2022,-1,-100
47464,2.55,1,1.730488171,8/16/2018,1.55,155
43510,2.88,1,1.727640245,3/13/2017,1.88,188
51655,2.34,1,1.712958857,10/12/2020,1.34,134
50867,1.56,0,1.711863198,1/26/2020,-1,-100
51549,1.53,0,1.707294194,9/28/2020,-1,-100
47758,2.71,1,1.704088274,9/30/2018,1.71,171
54195,1.51,0,1.701195593,10/13/2021,-1,-100
43836,1.68,0,1.69702291,5/2/2017,-1,-100
56172,1.56,0,1.696256573,7/27/2022,-1,-100
44140,2.61,1,1.690561716,5/31/2017,1.61,161
54914,3.06,1,1.680639597,2/22/2022,2.06,206
52857,1.57,0,1.678461617,5/2/2021,-1,-100
