match,PSW,win0,confidence0,date,,
32537,3.34,1,2.096945328,1/7/2020,2.34,2.34
36824,3.06,1,2.077524871,2/22/2022,2.06,2.06
35417,3.37,1,2.049657588,7/19/2021,2.37,2.37
33423,1.44,0,2.046437432,9/29/2020,-1,0.44
32720,1.56,0,2.012096995,1/26/2020,-1,0.56
32247,1.53,0,1.980382438,10/3/2019,-1,0.53
26755,1.46,0,1.961511653,1/7/2017,-1,0.46
37415,1.44,0,1.948235879,5/13/2022,-1,0.44
27790,1.45,0,1.93935152,5/13/2017,-1,0.45
30942,1.49,0,1.930074117,5/2/2019,-1,0.49
30147,3.1,1,1.900354027,1/17/2019,2.1,2.1
31279,2.8,1,1.886619198,6/12/2019,1.8,1.8
34141,2.72,1,1.869035845,2/25/2021,1.72,1.72
31070,1.57,0,1.86834702,5/19/2019,-1,0.57
36438,1.5,0,1.852539438,1/18/2022,-1,0.5
30153,2.74,1,1.84698618,1/18/2019,1.74,1.74
34725,2.82,1,1.84212297,5/3/2021,1.82,1.82
29932,2.86,1,1.832859831,12/31/2018,1.86,1.86
37397,2.44,1,1.811428417,5/11/2022,1.44,1.44
28588,1.47,0,1.804791655,8/5/2017,-1,0.47
30411,1.52,0,1.804781409,2/21/2019,-1,0.52
34449,1.66,0,1.802104561,3/28/2021,-1,0.66
37459,2.59,1,1.797549145,5/18/2022,1.59,1.59
37137,1.47,0,1.796879328,4/11/2022,-1,0.47
33610,1.56,0,1.790210365,10/21/2020,-1,0.56
32280,3.15,1,1.786529124,10/7/2019,2.15,2.15
26966,2.71,1,1.774353347,2/8/2017,1.71,1.71
27922,2.73,1,1.770850598,5/29/2017,1.73,1.73
34603,2.61,1,1.767935793,4/20/2021,1.61,1.61
27555,2.7,1,1.765661958,4/18/2017,1.7,1.7
27381,1.52,0,1.7638045,3/22/2017,-1,0.52
36492,2.23,1,1.757739366,1/21/2022,1.23,1.23
35083,2.8,1,1.755558105,6/11/2021,1.8,1.8
33445,1.56,0,1.754870784,9/30/2020,-1,0.56
32138,1.53,0,1.754153883,9/20/2019,-1,0.53
34520,1.63,0,1.745401806,4/9/2021,-1,0.63
38250,2.67,1,1.734044919,8/17/2022,1.67,1.67
33706,1.41,0,1.731602874,11/2/2020,-1,0.41
27313,1.48,0,1.72366458,3/11/2017,-1,0.48
26915,1.54,0,1.719762294,1/20/2017,-1,0.54
36623,1.49,0,1.71694794,2/8/2022,-1,0.49
39045,2.4,1,1.716199243,1/16/2023,1.4,1.4
38266,2.75,1,1.709702162,8/18/2022,1.75,1.75
38433,1.55,0,1.708673351,9/3/2022,-1,0.55
31305,2.33,1,1.704397958,6/17/2019,1.33,1.33
30747,2.73,1,1.703569925,4/10/2019,1.73,1.73
31167,2.93,1,1.701551143,5/28/2019,1.93,1.93
34461,1.55,0,1.701395139,3/29/2021,-1,0.55
31165,2.76,1,1.698969207,5/28/2019,1.76,1.76
38271,1.37,0,1.696593428,8/19/2022,-1,0.37
32092,2.65,1,1.69584986,9/4/2019,1.65,1.65
30206,1.52,0,1.693750982,2/5/2019,-1,0.52
37412,2.59,1,1.688061688,5/12/2022,1.59,1.59
34114,1.69,0,1.687326679,2/23/2021,-1,0.69
37898,1.63,0,1.685462043,7/8/2022,-1,0.63
35175,1.53,0,1.685030135,6/22/2021,-1,0.53
31063,1.72,0,1.681010986,5/17/2019,-1,0.72
34790,2.47,1,1.680342944,5/11/2021,1.47,1.47
38400,2.66,1,1.679221646,8/31/2022,1.66,1.66
32989,1.58,0,1.678434475,2/23/2020,-1,0.58
27691,1.53,0,1.676610779,5/2/2017,-1,0.53
31388,1.53,0,1.674353517,6/25/2019,-1,0.53
38803,1.71,0,1.671848078,10/25/2022,-1,0.71
38176,1.68,0,1.670909417,8/9/2022,-1,0.68
30545,1.52,0,1.670746004,3/8/2019,-1,0.52
35655,2.77,1,1.670179113,8/17/2021,1.77,1.77
32885,2.66,1,1.669500822,2/14/2020,1.66,1.66
38796,1.45,0,1.66841519,10/25/2022,-1,0.45
38564,2.37,1,1.668002757,9/29/2022,1.37,1.37
30681,1.55,0,1.663834472,3/23/2019,-1,0.55
27492,2.45,1,1.662035662,4/12/2017,1.45,1.45
38268,1.45,0,1.661206909,8/19/2022,-1,0.45
33669,2.55,1,1.66051086,10/28/2020,1.55,1.55
38694,1.52,0,1.658638622,10/14/2022,-1,0.52
32255,1.63,0,1.65792568,10/4/2019,-1,0.63
36744,2.34,1,1.655945606,2/16/2022,1.34,1.34
30339,2.89,1,1.655748861,2/16/2019,1.89,1.89
34665,1.53,0,1.652591538,4/26/2021,-1,0.53
27759,1.43,0,1.650627707,5/9/2017,-1,0.43
38115,1.61,0,1.650267194,8/3/2022,-1,0.61
26835,1.72,0,1.650188997,1/16/2017,-1,0.72
39007,2.58,1,1.649668358,1/11/2023,1.58,1.58
30167,1.63,0,1.645549283,1/19/2019,-1,0.63
31819,1.56,0,1.642228543,8/5/2019,-1,0.56
36903,1.58,0,1.642122682,3/11/2022,-1,0.58
32992,2.51,1,1.641575418,2/24/2020,1.51,1.51
33821,2.76,1,1.636302808,1/9/2021,1.76,1.76
31101,1.54,0,1.634727402,5/22/2019,-1,0.54
30531,1.6,0,1.631149783,3/7/2019,-1,0.6
35721,1.51,0,1.627767789,8/24/2021,-1,0.51
32743,2.44,1,1.624545046,2/3/2020,1.44,1.44
28669,2.32,1,1.623590068,8/15/2017,1.32,1.32
39292,2.46,1,1.621915923,2/16/2023,1.46,1.46
29982,1.56,0,1.620798061,1/3/2019,-1,0.56
27283,1.53,0,1.616649599,3/5/2017,-1,0.53
36780,1.61,0,1.615891219,2/19/2022,-1,0.61
31593,1.69,0,1.612783872,7/17/2019,-1,0.69
39315,2.72,1,1.610302236,2/18/2023,1.72,1.72
36783,2.64,1,1.608861303,2/19/2022,1.64,1.64
38293,1.5,0,1.605392506,8/23/2022,-1,0.5
35895,1.5,0,1.604669509,9/22/2021,-1,0.5
36906,1.45,0,1.602587216,3/12/2022,-1,0.45
31318,1.4,0,1.602501782,6/18/2019,-1,0.4
27221,2.64,1,1.601939267,2/28/2017,1.64,1.64
34740,1.64,0,1.601555813,5/4/2021,-1,0.64
35488,2.75,1,1.60085123,7/24/2021,1.75,1.75
36211,1.76,0,1.599286976,11/2/2021,-1,0.76
35158,1.6,0,1.599086723,6/21/2021,-1,0.6
27629,2.73,1,1.598920676,4/26/2017,1.73,1.73
33848,1.6,0,1.598242532,1/12/2021,-1,0.6
