match,PSW,win0,confidence0,date,,
50944,1.31,0,2.686288884,2/7/2020,-1,-100
56733,1.26,0,2.609221496,10/6/2022,-1,-100
46407,1.33,0,2.290417432,4/25/2018,-1,-100
53880,1.38,0,2.055410146,8/30/2021,-1,-100
47706,1.36,0,2.008742159,9/24/2018,-1,-100
43952,1.45,0,1.966427375,5/13/2017,-1,-100
54382,1.39,0,1.93461991,11/11/2021,-1,-100
56538,1.55,0,1.926639988,9/3/2022,-1,-100
47345,2.58,1,1.926083441,8/3/2018,1.58,158
48172,2.9,1,1.90887716,1/7/2019,1.9,190
53008,1.5,0,1.893234336,5/21/2021,-1,-100
52837,2.6,1,1.872241986,4/29/2021,1.6,160
55565,2.59,1,1.851271678,5/18/2022,1.59,159
55866,1.35,0,1.840650854,6/22/2022,-1,-100
43141,2.71,1,1.839383165,2/8/2017,1.71,171
48669,1.54,0,1.833490518,3/1/2019,-1,-100
53531,1.57,0,1.82867279,7/16/2021,-1,-100
54053,2.77,1,1.814365408,9/25/2021,1.77,177
47887,1.53,0,1.810276214,10/16/2018,-1,-100
43766,2.94,1,1.806555799,4/25/2017,1.94,194
46455,1.51,0,1.801316547,5/1/2018,-1,-100
54030,1.5,0,1.797034805,9/22/2021,-1,-100
52842,1.63,0,1.796424799,4/30/2021,-1,-100
51207,1.54,0,1.794156594,2/28/2020,-1,-100
46540,2.44,1,1.780957111,5/8/2018,1.44,144
56378,1.37,0,1.777874502,8/19/2022,-1,-100
54657,1.44,0,1.776428209,2/1/2022,-1,-100
55751,1.61,0,1.760982614,6/9/2022,-1,-100
54399,3.09,1,1.760375341,11/20/2021,2.09,209
52801,1.53,0,1.756941103,4/26/2021,-1,-100
52987,2.46,1,1.753110963,5/19/2021,1.46,146
51511,1.39,0,1.750978428,9/25/2020,-1,-100
47735,1.59,0,1.743976652,9/26/2018,-1,-100
52120,1.56,0,1.738860611,2/8/2021,-1,-100
51780,1.56,0,1.738197373,10/26/2020,-1,-100
47604,1.56,0,1.738084153,8/30/2018,-1,-100
43656,2.45,1,1.723724177,4/12/2017,1.45,145
55212,1.68,0,1.723377264,4/6/2022,-1,-100
46480,1.54,0,1.719657801,5/2/2018,-1,-100
54709,3.25,1,1.718275731,2/5/2022,2.25,225
47375,1.68,0,1.716979859,8/6/2018,-1,-100
54094,2.52,1,1.713914444,9/30/2021,1.52,152
42949,1.54,0,1.702571215,1/10/2017,-1,-100
51082,1.56,0,1.700942338,2/19/2020,-1,-100
43711,2.7,1,1.700883035,4/18/2017,1.7,170
43865,2.5,1,1.69404837,5/3/2017,1.5,150
