match,PSW,win0,confidence0,date,,
56733,1.26,0,3.048671802,10/6/2022,-100,-100
46407,1.33,0,2.16366944,4/25/2018,-1,-100
43952,1.45,0,2.067064852,5/13/2017,-1,-100
47887,1.53,0,1.900842694,10/16/2018,-1,-100
49328,2.76,1,1.89918091,5/28/2019,1.76,176
50688,3.34,1,1.897818931,1/7/2020,2.34,234
43686,2.94,1,1.888229374,4/15/2017,1.94,194
42926,1.46,0,1.846541512,1/7/2017,-1,-100
45949,1.58,0,1.828414104,2/22/2018,-1,-100
43711,2.7,1,1.815758541,4/18/2017,1.7,170
57107,2.58,1,1.777291374,1/11/2023,258,158
57063,1.51,0,1.76873903,1/5/2023,-100,-100
44773,2.75,1,1.765387855,8/8/2017,1.75,175
49513,1.69,0,1.764956354,6/21/2019,-1,-100
43432,1.38,0,1.764142871,3/2/2017,-1,-100
51706,1.51,0,1.762612577,10/16/2020,-1,-100
47249,1.54,0,1.759334214,7/27/2018,-1,-100
50295,1.53,0,1.755067669,9/20/2019,-1,-100
43398,1.4,0,1.747910945,3/1/2017,-1,-100
57306,1.56,0,1.745913787,2/9/2023,-100,-100
57157,2.59,1,1.734058127,1/16/2023,259,159
43945,1.54,0,1.729648212,5/11/2017,-1,-100
52837,2.6,1,1.726789327,4/29/2021,1.6,160
54399,3.09,1,1.720952187,11/20/2021,2.09,209
51890,1.56,0,1.7151193,11/7/2020,-1,-100
50691,2.4,1,1.710509276,1/8/2020,1.4,140
43513,2.88,1,1.708056828,3/13/2017,1.88,188
53070,1.62,0,1.698929318,5/29/2021,-1,-100
48365,1.52,0,1.698841238,2/5/2019,-1,-100
57240,1.64,0,1.69702474,1/22/2023,-100,-100
50452,1.48,0,1.691657038,10/9/2019,-1,-100
46004,2.67,1,1.681043109,2/27/2018,1.67,167
46877,1.47,0,1.680671793,6/19/2018,-1,-100
57077,1.41,0,1.680157368,1/9/2023,-100,-100
48704,2.52,1,1.671252599,3/8/2019,1.52,152
43141,2.71,1,1.669801974,2/8/2017,1.71,171
47394,1.67,0,1.66411685,8/8/2018,-1,-100
52965,2.67,1,1.661517683,5/17/2021,1.67,167
45550,2.38,1,1.660484623,1/7/2018,1.38,138
46480,1.54,0,1.655240868,5/2/2018,-1,-100
49224,1.57,0,1.654704117,5/19/2019,-1,-100
54094,2.52,1,1.654125904,9/30/2021,1.52,152
45918,1.52,0,1.649628236,2/20/2018,-1,-100
48168,1.58,0,1.647230971,1/7/2019,-1,-100
46540,2.44,1,1.647165025,5/8/2018,1.44,144
48700,1.52,0,1.644284378,3/8/2019,-1,-100
49717,2.34,1,1.643209805,7/16/2019,1.34,134
53569,2.57,1,1.641338068,7/20/2021,1.57,157
51370,2.44,1,1.636869716,9/4/2020,1.44,144
56251,2.54,1,1.628621105,8/4/2022,254,154
52120,1.56,0,1.624946114,2/8/2021,-1,-100
53873,1.59,0,1.620080893,8/28/2021,-1,-100
53868,2.75,1,1.618827995,8/26/2021,1.75,175
56229,1.63,0,1.618451655,8/3/2022,-100,-100
53268,2.23,1,1.618131221,6/17/2021,1.23,123
53521,1.61,0,1.61625612,7/15/2021,-1,-100
56235,1.61,0,1.616219153,8/3/2022,-100,-100
50089,1.71,0,1.61586798,8/20/2019,-1,-100
56351,2.46,1,1.61514615,8/16/2022,246,146
57363,1.49,0,1.613806575,2/14/2023,-100,-100
46735,1.5,0,1.611906997,5/29/2018,-1,-100
43345,1.76,0,1.611773898,2/24/2017,-1,-100
43652,1.47,0,1.611328426,4/12/2017,-1,-100
52079,1.78,0,1.61115312,2/5/2021,-1,-100
45412,1.72,0,1.609867182,10/31/2017,-1,-100
49773,2.75,1,1.608612582,7/20/2019,1.75,175
43565,1.69,0,1.608586842,3/23/2017,-1,-100
53656,2.4,1,1.607321227,7/28/2021,1.4,140
49954,1.62,0,1.606894526,8/2/2019,-1,-100
46208,1.62,0,1.604934842,3/24/2018,-1,-100
57006,1.6,0,1.603235105,11/15/2022,-100,-100
45984,1.74,0,1.601132454,2/26/2018,-1,-100
45987,1.6,0,1.59992871,2/26/2018,-1,-100
48626,1.65,0,1.599900106,2/26/2019,-1,-100
48699,1.65,0,1.598952141,3/8/2019,-1,-100
49847,1.8,0,1.598113733,7/26/2019,-1,-100
51889,1.49,0,1.597092997,11/6/2020,-1,-100
48206,1.56,0,1.595295216,1/10/2019,-1,-100
45327,2.51,1,1.594699523,10/20/2017,1.51,151
49302,1.53,0,1.59163615,5/27/2019,-1,-100
43780,2.73,1,1.589913175,4/26/2017,1.73,173
55021,1.55,0,1.589107488,3/12/2022,-100,-100
53292,1.6,0,1.58865779,6/21/2021,-1,-100
54657,1.44,0,1.585032393,2/1/2022,-100,-100
47373,1.71,0,1.581044894,8/6/2018,-1,-100
51107,2.11,1,1.580935473,2/20/2020,1.11,111
47976,1.56,0,1.579732946,10/23/2018,-1,-100
55751,1.61,0,1.579725258,6/9/2022,-100,-100
50649,1.68,0,1.577887895,10/31/2019,-1,-100
46375,1.59,0,1.573373452,4/23/2018,-1,-100
54288,2.51,1,1.573120601,10/27/2021,1.51,151
47417,1.65,0,1.572646002,8/10/2018,-1,-100
46479,2.37,1,1.571985236,5/2/2018,1.37,137
48438,1.69,0,1.569700391,2/12/2019,-1,-100
50548,1.58,0,1.568911415,10/20/2019,-1,-100
46465,1.63,0,1.568668377,5/1/2018,-1,-100
51973,1.48,0,1.568022267,1/10/2021,-1,-100
