match,PSW,win0,confidence0,date,
44646,1.38,0,2.013269101,3/2/2017,
49205,3.04,1,1.979829776,8/5/2019,
55659,1.45,0,1.91376411,8/19/2022,
54587,1.5,0,1.874186982,4/18/2022,
52537,1.42,0,1.84660356,6/19/2021,
44995,2.94,1,1.838546677,4/25/2017,
54800,2.59,1,1.830576375,5/12/2022,
50874,2.71,1,1.766141015,10/3/2020,
49232,1.42,0,1.756347987,8/7/2019,
49578,2.5,1,1.746212244,9/26/2019,
45181,1.45,0,1.735811741,5/13/2017,
54515,2.68,1,1.731881257,4/9/2022,
54645,1.61,0,1.731307733,4/24/2022,
44145,1.46,0,1.721975272,1/7/2017,
49483,2.65,1,1.710278409,9/4/2019,
49642,1.53,0,1.707825197,10/3/2019,
53883,2.23,1,1.703348224,1/21/2022,
52862,1.53,0,1.702960968,7/22/2021,
46551,2.71,1,1.699393768,10/19/2017,
49876,1.59,0,1.694226761,10/30/2019,
49360,1.54,0,1.694073165,8/24/2019,
56642,2.3,1,1.69354187,2/14/2023,1.3
49224,2.43,1,1.684865526,8/6/2019,
52055,1.53,0,1.683595965,4/26/2021,
49694,1.48,0,1.683144539,10/9/2019,
56689,2.11,1,1.668054366,2/17/2023,1.11
50950,2.58,1,1.666717478,10/15/2020,
54171,1.61,0,1.665042813,2/19/2022,
46964,1.53,0,1.663304461,2/5/2018,
51140,1.56,0,1.656618839,11/7/2020,
56545,2.58,1,1.653182533,2/6/2023,1.58
50302,3.58,1,1.649189084,2/17/2020,
55596,2.87,1,1.646710154,8/11/2022,
51303,1.53,0,1.642404203,2/3/2021,
51534,2.72,1,1.641840446,2/25/2021,
49787,1.63,0,1.641473702,10/19/2019,
54559,2.46,1,1.636014171,4/13/2022,
49635,1.53,0,1.635225852,10/2/2019,
44306,1.54,0,1.632694348,1/20/2017,
47543,2.74,1,1.627218972,1/18/2019,
55140,1.45,0,1.622680197,6/22/2022,
55952,2.37,1,1.621567394,9/29/2022,
48398,1.47,0,1.618579632,5/10/2019,
47440,1.56,0,1.614826486,1/10/2019,
47653,1.55,0,1.612913272,2/10/2019,
55452,1.56,0,1.612618144,7/27/2022,
49583,1.57,0,1.610868135,9/27/2019,
56029,1.59,0,1.610037505,10/7/2022,
55506,1.61,0,1.606975408,8/3/2022,
53245,2.63,1,1.605399828,9/5/2021,
51915,1.63,0,1.600556128,4/9/2021,
48936,1.55,0,1.595106366,7/14/2019,
56401,2.58,1,1.593135794,1/11/2023,
48213,1.63,0,1.591571018,4/18/2019,
48371,2.85,1,1.590429198,5/7/2019,
44876,2.45,1,1.585332984,4/12/2017,
48715,1.4,0,1.583799947,6/18/2019,
45296,1.65,0,1.582477455,5/28/2017,
52691,1.74,0,1.581507515,7/1/2021,
46866,1.77,0,1.581404649,1/15/2018,
50890,1.71,0,1.578432849,10/11/2020,
50511,1.57,0,1.576758184,8/25/2020,
44463,1.71,0,1.576403509,2/16/2017,
53908,2.49,1,1.574952498,1/30/2022,
46390,1.71,0,1.574651728,10/3/2017,
54449,2.62,1,1.57333076,3/29/2022,
46011,1.47,0,1.573126428,8/9/2017,
49713,1.74,0,1.572430157,10/14/2019,
52821,2.57,1,1.572016147,7/20/2021,
49204,2.33,1,1.57176752,8/5/2019,
52181,2.47,1,1.570632829,5/11/2021,
54222,2.64,1,1.568166286,2/23/2022,
56621,2.22,1,1.566730798,2/11/2023,
51581,1.58,0,1.565089349,3/2/2021,
53998,1.52,0,1.564344824,2/7/2022,
50647,1.59,0,1.562165692,9/8/2020,
44738,2.88,1,1.55868623,3/13/2017,
55542,1.66,0,1.55718513,8/5/2022,
45677,1.61,0,1.555860409,7/6/2017,
47248,2.24,1,1.554858044,2/27/2018,
54647,2.32,1,1.554848593,4/24/2022,
56355,2.53,1,1.554475323,1/6/2023,
51254,2.31,1,1.552358036,2/1/2021,
54652,1.81,0,1.551688986,4/25/2022,
46278,1.65,0,1.551257376,9/19/2017,
48025,1.53,0,1.549040464,3/21/2019,
54639,1.59,0,1.548003461,4/22/2022,
48452,1.72,0,1.547870468,5/17/2019,
53747,2.19,1,1.547511099,1/11/2022,
44945,2.7,1,1.54435021,4/18/2017,
54851,2.59,1,1.543809893,5/18/2022,
54957,1.66,0,1.540669597,5/26/2022,
54735,2.4,1,1.539644372,5/4/2022,
47798,1.52,0,1.538706036,2/21/2019,
45062,1.68,0,1.534397242,5/2/2017,
55289,1.63,0,1.533976391,7/8/2022,
45733,1.65,0,1.533198704,7/18/2017,
47551,1.63,0,1.532734409,1/19/2019,
53947,1.56,0,1.53271286,2/2/2022,
49239,1.46,0,1.531366467,8/8/2019,
47187,2.31,1,1.530958571,2/22/2018,
54539,1.75,0,1.529597775,4/12/2022,
44080,2.28,1,1.528743003,1/2/2017,
53324,2.56,1,1.52849205,9/28/2021,
54153,1.71,0,1.528435905,2/17/2022,
55464,2.32,1,1.527492319,7/29/2022,
48430,2.81,1,1.522586878,5/14/2019,
51020,1.56,0,1.520342401,10/23/2020,
45725,1.61,0,1.518763295,7/17/2017,
45868,2.33,1,1.518608698,7/28/2017,
48989,2.3,1,1.516628354,7/18/2019,
50135,2.44,1,1.515918072,2/3/2020,
47985,1.64,0,1.51534273,3/11/2019,
56677,2.13,1,1.512901082,2/16/2023,1.13
56692,1.64,0,1.510335515,2/17/2023,-1
54790,2.44,1,1.510038589,5/11/2022,
49576,1.55,0,1.50893967,9/26/2019,
48212,2.19,1,1.507958342,4/18/2019,
52074,2.55,1,1.506995848,4/27/2021,
51229,1.68,0,1.505608021,1/11/2021,
47606,1.59,0,1.505062301,2/6/2019,
45003,1.61,0,1.504556941,4/25/2017,
47921,1.52,0,1.504523179,3/7/2019,
50891,1.61,0,1.503787675,10/12/2020,
52850,1.58,0,1.502677609,7/22/2021,
55439,2.37,1,1.502578058,7/27/2022,
52217,1.58,0,1.501788186,5/16/2021,
49816,2.3,1,1.499846334,10/23/2019,
53515,1.5,0,1.498427989,10/23/2021,
