match,PSW,win0,confidence0,date,winner
26292,1.16,0,4.403599254369736,2018-07-23,Wang Q.
26694,1.2,0,3.5305783249139777,2018-09-11,Wang Q.
34563,5.27,1,3.350431166688601,2022-07-02,Cornet A.
31498,1.17,0,3.1985410208702088,2021-04-19,Bencic B.
24755,1.22,0,3.1866396644711497,2018-01-04,Sharapova M.
27086,1.19,0,3.008361674308777,2018-10-16,Muguruza G.
33801,1.22,0,2.881752340912819,2022-03-31,Swiatek I.
29655,1.24,0,2.850209882631898,2020-01-07,Williams S.
28699,1.28,0,2.8328419163823133,2019-07-09,Williams S.
32574,1.23,0,2.814676830768585,2021-08-30,Jabeur O.
35485,1.28,0,2.7750882949829103,2022-11-03,Swiatek I.
31867,4.22,1,2.7489495775699613,2021-06-04,Pavlyuchenkova A.
29119,1.29,0,2.700382576823235,2019-08-30,Barty A.
32153,1.28,0,2.679786139726639,2021-07-01,Pavlyuchenkova A.
33678,1.25,0,2.668060671985149,2022-03-13,Swiatek I.
29376,1.3,0,2.6345932488143444,2019-09-24,Pliskova Ka.
31353,1.39,0,2.62795819401741,2021-03-27,Sabalenka A.
29452,1.36,0,2.6076595501899726,2019-10-01,Wozniacki C.
31223,1.43,0,2.601544514298439,2021-03-12,Muguruza G.
29349,1.32,0,2.5976786207407714,2019-09-23,Martic P.
25011,3.54,1,2.544669846743345,2018-02-02,Kasatkina D.
35855,1.33,0,2.5286012911796574,2023-02-10,Bencic B.
29663,1.35,0,2.4836210114615302,2020-01-07,Osaka N.
31543,1.32,0,2.4409371696909274,2021-04-23,Halep S.
33955,1.39,0,2.4369884316126504,2022-04-28,Badosa P.
33988,3.61,1,2.431977726221085,2022-05-01,Sorribes Tormo S.
29175,1.31,0,2.4303100537508726,2019-09-10,Zhang S.
29397,3.41,1,2.4195992604323804,2019-09-25,Yastremska D.
23510,1.41,0,2.4093045660853387,2017-06-16,Vikhlyantseva N.
28915,1.3,0,2.4002680072933433,2019-08-07,Halep S.
29908,1.34,0,2.398968091830611,2020-02-10,Sanders S.
26352,1.36,0,2.3958756741881375,2018-07-30,Kenin S.
31368,1.33,0,2.372748063877225,2021-03-29,Osaka N.
29967,3.26,1,2.3624574041366575,2020-02-18,Rybakina E.
34172,3.07,1,2.356258023530245,2022-05-24,Contreras Gomez F.
22475,1.38,0,2.3500408833026887,2017-01-31,Safarova L.
26839,1.46,0,2.3496611342827483,2018-09-24,Bertens K.
25365,1.38,0,2.339261218160391,2018-04-02,Bertens K.
35911,1.33,0,2.3273593980073928,2023-02-20,Muchova K.
29982,2.86,1,2.325778000014169,2020-02-20,Rybakina E.
33015,3.8,1,2.313413046598435,2021-10-22,Alexandrova E.
25733,1.39,0,2.3111295323073864,2018-05-18,Halep S.
28974,1.35,0,2.2944316120147703,2019-08-14,Halep S.
29711,1.4,0,2.290274053066969,2020-01-11,Williams S.
28990,1.37,0,2.2842470920085907,2019-08-16,Barty A.
22504,1.34,0,2.274406642913818,2017-02-02,Cibulkova D.
22925,1.31,0,2.2447398236989975,2017-04-05,Babos T.
26984,2.63,1,2.2254687021672725,2018-10-08,Tomova V.
30834,1.41,0,2.2222822141647343,2021-02-03,Williams S.
31610,1.29,0,2.220971356958151,2021-05-04,Sabalenka A.
26308,1.37,0,2.2205075603723525,2018-07-24,Zhang S.
32376,1.44,0,2.216000646352768,2021-08-03,Mladenovic K.
35523,2.88,1,2.2092923240661624,2023-01-04,Masarova R.
28987,3.71,1,2.1958723598718644,2019-08-16,Kuznetsova S.
28923,1.46,0,2.1875941997766497,2019-08-08,Williams S.
32703,1.54,0,2.1844769883155823,2021-09-13,Dodin O.
34790,3.63,1,2.1769266283512114,2022-08-02,Mandlik E.
33532,1.32,0,2.174253750517964,2022-02-24,Stephens S.
22306,2.73,1,2.1740674645900726,2017-01-10,Bouchard E.
23107,3.25,1,2.1673525472482047,2017-05-02,Maria T.
29762,1.54,0,2.1383082568645477,2020-01-16,Barty A.
35735,3.72,1,2.131343477368355,2023-01-24,Azarenka V.
30432,1.4,0,2.1227600067853927,2020-09-11,Osaka N.
24905,1.46,0,2.1026814508438116,2018-01-17,Bertens K.
29757,1.37,0,2.094562961578369,2020-01-15,Vondrousova M.
32412,3.62,1,2.086040056347847,2021-08-10,Samsonova L.
24016,1.41,0,2.0827623946964744,2017-08-15,Kasatkina D.
29472,1.43,0,2.071934498548508,2019-10-05,Osaka N.
27513,2.88,1,2.0670928802490236,2019-02-15,Mertens E.
26269,1.39,0,2.0547657125336785,2018-07-19,Cirstea S.
35810,2.9,1,2.0538318955898283,2023-02-07,Masarova R.
33716,1.51,0,2.0524752879142762,2022-03-22,Saville D.
31433,3.18,1,2.0502996423840525,2021-04-07,Voegele S.
26508,2.79,1,2.0466968998738695,2018-08-17,Bertens K.
23649,1.44,0,2.0434436345100404,2017-07-03,Haddad Maia B.
31615,1.43,0,2.043298510313034,2021-05-05,Sabalenka A.
28759,2.74,1,2.0417200963497164,2019-07-20,Tig P.M.
33104,1.41,0,2.038450319886208,2021-11-10,Kontaveit A.
24120,3.73,1,2.037484100162983,2017-08-30,Mchale C.
26453,1.52,0,2.0363643702864644,2018-08-10,Halep S.
30856,1.44,0,2.029476698040962,2021-02-05,Sakkari M.
25078,1.55,0,2.004065817296505,2018-02-19,Lisicki S.
22401,2.75,1,2.001807689666748,2017-01-18,Barthel M.
30334,2.89,1,1.9860243497788908,2020-09-02,Rogers S.
34649,1.51,0,1.9839832028746605,2022-07-18,Sasnovich A.
22252,1.46,0,1.9740968599170448,2017-01-04,Cibulkova D.
35365,2.82,1,1.9674759393930437,2022-10-09,Krejcikova B.
24484,1.56,0,1.9673636913299561,2017-10-04,Svitolina E.
24495,2.82,1,1.9671260422468184,2017-10-06,Garcia C.
25107,2.86,1,1.9613170450925825,2018-02-21,Kasatkina D.
32178,1.53,0,1.9507351040840148,2021-07-05,Sabalenka A.
25253,2.74,1,1.9485793095827102,2018-03-15,Kasatkina D.
25536,1.53,0,1.947366781055927,2018-04-26,Svitolina E.
30835,3.58,1,1.9459140931069854,2021-02-03,Begu I.
24037,1.53,0,1.9389437656104564,2017-08-17,Wozniacki C.
33843,1.35,0,1.9354465068876743,2022-04-06,Kanepi K.
35576,2.89,1,1.9306162422895434,2023-01-10,Van Uytvanck A.
25740,1.52,0,1.9272369403640426,2018-05-20,Buzarnescu M.
29238,1.49,0,1.9269361464182537,2019-09-15,Pliskova Ka.
31499,1.61,0,1.926074739396572,2021-04-19,Wang Q.
32626,1.56,0,1.9241450041532515,2021-08-31,Martic P.
30737,1.49,0,1.9212440639734272,2021-01-11,Sabalenka A.
23853,1.46,0,1.9199756464362143,2017-07-26,Garcia C.
34010,1.43,0,1.9188920101523401,2022-05-07,Jabeur O.
32592,1.6,0,1.9140119218826293,2021-08-30,Garcia C.
22509,1.5,0,1.9136005697250364,2017-02-03,Cibulkova D.
27602,1.65,0,1.9132756586074826,2019-02-25,Wang Yaf.
34053,1.68,0,1.9058588153123854,2022-05-12,Sakkari M.
30278,1.53,0,1.9045537158421109,2020-08-26,Osaka N.
28456,1.63,0,1.898668176829815,2019-06-16,Garcia C.
26209,2.8,1,1.8974368190765378,2018-07-07,Kasatkina D.
24330,1.57,0,1.8969121099710466,2017-09-21,Cirstea S.
25543,1.41,0,1.8962970588207244,2018-04-26,Garcia C.
22815,2.55,1,1.8958308264613148,2017-03-22,Cepede Royg V.
35120,1.43,0,1.8948973381519318,2022-09-06,Jabeur O.
30493,1.46,0,1.894384955962499,2020-09-20,Halep S.
25034,1.41,0,1.8924140073359015,2018-02-13,Witthoeft C.
29410,2.3,1,1.8884620147092,2019-09-27,Sabalenka A.
27351,3.18,1,1.88801111638546,2019-01-15,Zidansek T.
32672,1.52,0,1.8845750735700129,2021-09-04,Sabalenka A.
30060,1.58,0,1.8802243427038192,2020-02-27,Barty A.
30070,2.65,1,1.8780817919969557,2020-02-28,Kvitova P.
25048,1.54,0,1.876612280160189,2018-02-14,Niculescu M.
26662,1.51,0,1.8725333708524705,2018-09-03,Stephens S.
32361,1.51,0,1.8684634941816325,2021-07-23,Ruse E.G.
23256,1.52,0,1.8674571667114892,2017-05-18,Svitolina E.
24406,3.49,1,1.8619846792817119,2017-09-26,Kasatkina D.
25094,2.48,1,1.8607715439796446,2018-02-20,Kuzmova V.
23469,2.5,1,1.8589016050100327,2017-06-12,Fett J.
30260,1.55,0,1.8552648350596428,2020-08-24,Teichmann J.
22254,2.83,1,1.8543455600738525,2017-01-05,Cornet A.
26943,1.51,0,1.8471024957299231,2018-10-02,Kerber A.
28271,1.5,0,1.8372369318008421,2019-05-26,Svitolina E.
