match,PSW,win0,confidence0,date,winner
12608,1.17,0,4.646425755023956,2013-02-15,Sharapova M.
24599,6.14,1,4.355013870596885,2017-10-16,Cepede Royg V.
10129,1.2,0,4.0007124583423135,2012-02-13,Ivanovic A.
22152,5.23,1,3.7267299695611,2016-10-22,Niculescu M.
17437,1.2,0,3.7216608095169064,2015-02-10,Barthel M.
19624,5.73,1,3.7113965179026125,2015-10-23,Doi M.
26694,1.2,0,3.5709240308403962,2018-09-11,Wang Q.
12980,1.17,0,3.5126969665288925,2013-03-27,Sharapova M.
12202,1.22,0,3.400447051972151,2012-10-26,Sharapova M.
34563,5.27,1,3.235106275439262,2022-07-02,Cornet A.
13495,1.17,0,3.137885754853487,2013-06-08,Williams S.
23916,1.12,0,3.115735391974449,2017-08-03,Halep S.
16009,4.59,1,3.014825067669153,2014-06-16,Pavlyuchenkova A.
33801,1.22,0,3.010833499332269,2022-03-31,Swiatek I.
16208,4.25,1,2.9689866960048676,2014-07-08,Bogdan A.
34367,1.25,0,2.9136709108203647,2022-06-17,Jabeur O.
30997,1.27,0,2.8804745256900786,2021-02-13,Barty A.
29836,1.25,0,2.877417215108872,2020-01-22,Wang Q.
28375,1.28,0,2.8443895113468174,2019-06-01,Keys M.
31867,4.22,1,2.816572766900063,2021-06-04,Pavlyuchenkova A.
28699,1.28,0,2.815270801782608,2019-07-09,Williams S.
31611,1.29,0,2.7718958741426465,2021-05-04,Sabalenka A.
24274,1.19,0,2.760149415135383,2017-09-18,Cirstea S.
23789,1.3,0,2.7306675150990483,2017-07-19,Witthoeft C.
18759,1.32,0,2.72680656015873,2015-07-21,Goerges J.
28974,1.35,0,2.6949278608957923,2019-08-14,Halep S.
29364,1.3,0,2.678451108813286,2019-09-24,Pliskova Ka.
19203,1.24,0,2.673283611983061,2015-09-15,Beck A.
15591,1.22,0,2.629274526163935,2014-04-25,Muguruza G.
31132,1.37,0,2.5986223530769346,2021-03-05,Muguruza G.
25425,1.23,0,2.5944158442020417,2018-04-06,Muguruza G.
28205,3.53,1,2.567861473202705,2019-05-18,Konta J.
35855,1.33,0,2.563408494949341,2023-02-10,Bencic B.
33015,3.8,1,2.5602137724558514,2021-10-22,Alexandrova E.
33104,1.41,0,2.5423964319626493,2021-11-10,Kontaveit A.
23893,1.2,0,2.531908683359623,2017-08-01,Halep S.
13257,1.24,0,2.5281342074275015,2013-05-13,Jankovic J.
14182,5.0,1,2.5191629429658255,2013-08-27,Vickery S.
34872,1.39,0,2.5002958419919015,2022-08-11,Bencic B.
26555,1.36,0,2.491592506666979,2018-08-27,Strycova B.
