match,PSW,win0,confidence0,date,winner
26696,1.2,0,3.8551645989418026,2018-09-11,Wang Q.
22152,5.23,1,3.513425870537758,2016-10-22,Niculescu M.
31863,4.22,1,3.3624019644941607,2021-06-04,Pavlyuchenkova A.
28123,1.2,0,3.33356500044465,2019-05-06,Barty A.
19934,5.3,1,3.212288816273212,2016-01-27,Kerber A.
27084,1.19,0,3.069055456519127,2018-10-16,Muguruza G.
33677,1.25,0,3.061137288808822,2022-03-13,Swiatek I.
18925,1.21,0,2.9925361192226414,2015-08-11,Azarenka V.
35735,3.72,1,2.9460721349716192,2023-01-24,Azarenka V.
30219,4.07,1,2.9302849464118483,2020-08-14,Rogers S.
33800,1.22,0,2.851459933638573,2022-03-31,Swiatek I.
18543,1.29,0,2.725893422216177,2015-06-25,Wozniacki C.
29120,1.29,0,2.6160044088959693,2019-08-30,Barty A.
29372,1.3,0,2.5854973894357682,2019-09-24,Pliskova Ka.
30809,1.26,0,2.567081939578056,2021-02-02,Bouzkova M.
31367,1.33,0,2.558965040743351,2021-03-29,Osaka N.
22996,1.34,0,2.54988656938076,2017-04-11,Goerges J.
24144,1.34,0,2.5377921009063718,2017-08-30,Kuznetsova S.
31435,3.18,1,2.5298449838161474,2021-04-07,Voegele S.
18082,1.41,0,2.5234117569029335,2015-05-02,Svitolina E.
29129,1.32,0,2.5172664438188077,2019-08-31,Mertens E.
22054,1.33,0,2.516177895863851,2016-10-12,Jankovic J.
15572,1.38,0,2.4752014245986933,2014-04-23,Muguruza G.
29475,1.32,0,2.4703832979202276,2019-10-07,Putintseva Y.
22294,1.28,0,2.441527985334396,2017-01-09,Tsurenko L.
21073,1.34,0,2.440495627125104,2016-06-21,Petkovic A.
18352,3.47,1,2.4294033148288725,2015-05-29,Pennetta F.
26440,4.42,1,2.423435355782509,2018-08-08,Abanda F.
33754,1.41,0,2.402482477426529,2022-03-24,Osaka N.
23578,1.33,0,2.396062284708023,2017-06-24,Kvitova P.
26313,1.37,0,2.394362988471985,2018-07-24,Zhang S.
19618,5.0,1,2.389955259859562,2015-10-22,Van Uytvanck A.
31611,1.29,0,2.375802360400557,2021-05-04,Sabalenka A.
16023,3.42,1,2.3753784209489823,2014-06-17,Giorgi C.
22995,1.21,0,2.3659704038500786,2017-04-11,Vondrousova M.
31542,1.32,0,2.3384682908228465,2021-04-23,Halep S.
21254,1.29,0,2.323446053266525,2016-07-12,Hercog P.
34944,1.39,0,2.313853390514851,2022-08-21,Sasnovich A.
33527,1.3,0,2.3131970113515856,2022-02-23,Jabeur O.
17923,3.05,1,2.305758451670408,2015-04-08,Barthel M.
16436,3.13,1,2.2855395960807803,2014-08-07,Makarova E.
21436,1.38,0,2.2782718516588214,2016-07-29,Keys M.
29711,1.4,0,2.2657464127242566,2020-01-11,Williams S.
22081,1.35,0,2.252704310417175,2016-10-14,Suarez Navarro C.
16084,1.41,0,2.237888350009918,2014-06-24,Koukalova K.
28774,1.39,0,2.2145517057180406,2019-07-22,Rus A.
25013,3.54,1,2.201183548910277,2018-02-02,Kasatkina D.
21151,3.18,1,2.189804173350334,2016-06-28,Duan Y.Y.
23805,1.38,0,2.172155957221985,2017-07-21,Bertens K.
23654,1.49,0,2.167381794537817,2017-07-03,Wang Q.
31299,2.9,1,2.167170688509941,2021-03-24,Sanders S.
30401,1.44,0,2.15196809609731,2020-09-07,Williams S.
34370,1.25,0,2.1495266366856436,2022-06-17,Jabeur O.
35559,1.4,0,2.13572678565979,2023-01-09,Kalinina A.
21541,1.46,0,2.134427434603373,2016-08-19,Muguruza G.
30435,1.4,0,2.1340406477451324,2020-09-11,Osaka N.
15742,1.6,0,2.1316677445173267,2014-05-15,Jankovic J.
19378,1.37,0,2.13110312461853,2015-09-29,Svitolina E.
26508,2.79,1,2.12520372237478,2018-08-17,Bertens K.
22442,3.71,1,2.1151216524243357,2017-01-21,Brady J.
21348,1.36,0,2.1041474308818584,2016-07-20,Mladenovic K.
18145,1.37,0,2.1028369951248167,2015-05-11,Williams V.
34579,1.45,0,2.1007755249738693,2022-07-06,Rybakina E.
20250,1.42,0,2.100284325182438,2016-03-12,Puig M.
33108,1.41,0,2.076051452755928,2021-11-10,Kontaveit A.
36302,1.47,0,2.075687040984631,2023-04-07,Maria T.
29259,1.24,0,2.0752276904881004,2019-09-17,Keys M.
30523,1.5,0,2.073189594915935,2020-09-25,Svitolina E.
34010,1.43,0,2.0695877259969713,2022-05-07,Jabeur O.
36284,1.48,0,2.0685233485698697,2023-04-05,Pigossi L.
23548,1.31,0,2.061615475535393,2017-06-20,Siniakova K.
34902,1.59,0,2.0539800450205803,2022-08-16,Garcia C.
29982,2.86,1,2.0512047558171402,2020-02-20,Rybakina E.
28039,1.41,0,2.0449535043537614,2019-04-30,Tomljanovic A.
26053,1.5,0,2.0448876875638957,2018-06-24,Collins D.R.
26336,1.39,0,2.040929966739246,2018-07-27,Linette M.
19767,1.46,0,2.03804322630167,2016-01-11,Kerber A.
20953,1.3,0,2.0368097497522832,2016-06-07,Barty A.
21146,2.67,1,2.036278956234455,2016-06-28,Moore T.
26749,1.5,0,2.033389593362808,2018-09-17,Pera B.
34193,2.78,1,2.030399975180625,2022-05-25,Parry D.
35369,3.06,1,2.026409947156906,2022-10-10,Trevisan M.
34064,1.48,0,2.025725778579712,2022-05-14,Jabeur O.
26793,1.5,0,2.022108631134033,2018-09-19,Putintseva Y.
25036,1.34,0,2.0192330052852627,2018-02-13,Konta J.
15307,1.44,0,2.014204892516136,2014-03-20,Lisicki S.
21007,1.48,0,2.0142002277374265,2016-06-14,Mertens E.
26436,1.51,0,2.0082494251728056,2018-08-08,Svitolina E.
15904,1.45,0,1.9940366405248642,2014-05-29,Kuznetsova S.
15258,1.41,0,1.9931530475616455,2014-03-11,Kvitova P.
23210,1.39,0,1.992201907833417,2017-05-11,Halep S.
33837,1.45,0,1.9875882920622825,2022-04-05,Yastremska D.
33492,3.2,1,1.9865959644317628,2022-02-21,Martincova T.
35480,3.27,1,1.9830712407231332,2022-10-31,Sakkari M.
23733,1.37,0,1.9827025496959685,2017-07-07,Halep S.
17253,1.43,0,1.9817490086385179,2015-01-12,Brengle M.
24241,1.5,0,1.9794630512595175,2017-09-13,Babos T.
30651,1.5,0,1.9743968416452407,2020-10-10,Swiatek I.
17488,1.43,0,1.9729754590988156,2015-02-16,Brengle M.
22771,2.74,1,1.9717059379816055,2017-03-14,Muguruza G.
34580,1.4,0,1.9689841773112617,2022-07-06,Halep S.
35521,2.88,1,1.9624417386736188,2023-01-04,Masarova R.
28295,2.54,1,1.9612206023931504,2019-05-27,Rogers S.
35194,1.44,0,1.9587714643478393,2022-09-19,Mertens E.
33966,1.48,0,1.9587545639276505,2022-04-29,Raducanu E.
15680,1.47,0,1.9570024813413618,2014-05-07,Garcia C.
24992,1.71,0,1.9519393157958986,2018-01-31,Jakupovic D.
23725,1.53,0,1.9496317318677903,2017-07-06,Kuznetsova S.
26738,1.53,0,1.9458109758794309,2018-09-17,Gavrilova D.
29385,3.41,1,1.9443165545804162,2019-09-25,Yastremska D.
31913,1.41,0,1.942983945012093,2021-06-09,Zhang S.
21489,1.47,0,1.940646796345711,2016-08-04,Duan Y.Y.
25480,2.8,1,1.9374913692474363,2018-04-13,Voegele S.
32905,1.36,0,1.9363266180455683,2021-10-08,Riske A.
15157,1.59,0,1.9359691888945443,2014-02-26,Zhang S.
27728,3.21,1,1.934461399018765,2019-03-20,Wang Xiy.
20795,1.51,0,1.9315750030279157,2016-05-18,Bertens K.
24759,1.51,0,1.9245072126388547,2018-01-04,Svitolina E.
28870,2.59,1,1.9206446766853336,2019-08-02,Kalinskaya A.
28430,1.6,0,1.920228227376938,2019-06-12,Vikhlyantseva N.
19671,1.6,0,1.920139248073101,2016-01-04,Hsieh S.W.
25334,1.56,0,1.9199002787045072,2018-03-25,Konta J.
25735,1.39,0,1.9198020875879698,2018-05-18,Halep S.
15853,1.57,0,1.9196892434358597,2014-05-27,Pfizenmaier D.
24831,1.5,0,1.9187156343460081,2018-01-12,Barty A.
36074,1.42,0,1.9172738498449324,2023-03-10,Ostapenko J.
34278,1.57,0,1.9112048470973968,2022-06-07,Flipkens K.
18209,1.39,0,1.9092489114403728,2015-05-18,Stosur S.
16318,2.39,1,1.9063461890390943,2014-07-22,Glushko J.
29411,2.3,1,1.905717442716871,2019-09-27,Sabalenka A.
24517,2.92,1,1.903271074295044,2017-10-10,Buzarnescu M.
20108,3.75,1,1.9005620386451483,2016-02-24,Vesnina E.
19788,1.42,0,1.9002394270896914,2016-01-12,Stosur S.
17163,2.97,1,1.899513983130455,2015-01-05,Pliskova Ka.
33684,3.02,1,1.8982112329346792,2022-03-14,Vondrousova M.
27901,1.51,0,1.8970195877552034,2019-04-06,Wozniacki C.
24358,1.57,0,1.892101402580738,2017-09-24,Puig M.
34145,1.47,0,1.8914320882558822,2022-05-22,Osorio M.
29527,3.23,1,1.8903305633366108,2019-10-11,Kudermetova V.
22508,1.5,0,1.8902915704250332,2017-02-03,Cibulkova D.
17158,2.65,1,1.8893490277230738,2015-01-05,Shvedova Y.
26294,1.4,0,1.889198040962219,2018-07-23,Liang E.S.
20717,2.43,1,1.8850961505174642,2016-05-10,Babos T.
16047,1.45,0,1.8849116551876068,2014-06-19,Wozniacki C.
22276,1.48,0,1.8830549011379478,2017-01-08,Kasatkina D.
25235,1.71,0,1.8809541601794106,2018-03-12,Collins D.
25569,2.35,1,1.8788521468639372,2018-04-30,Stosur S.
16166,1.49,0,1.8787304306030277,2014-06-28,Bouchard E.
26943,1.51,0,1.8772763557235397,2018-10-02,Kerber A.
22475,1.38,0,1.8763570898771285,2017-01-31,Safarova L.
24040,1.61,0,1.875658668577671,2017-08-18,Stephens S.
16418,4.01,1,1.8746993444363274,2014-08-05,Putintseva Y.
20004,1.5,0,1.8742457242012018,2016-02-15,Kostova E.
27513,2.88,1,1.8736410999298097,2019-02-15,Mertens E.
19296,1.6,0,1.8735719203948973,2015-09-23,Wickmayer Y.
33519,3.08,1,1.8723603439331058,2022-02-23,Gauff C.
14937,2.55,1,1.8703534519672391,2014-01-22,Cibulkova D.
18417,2.52,1,1.8702207469940186,2015-06-10,Niculescu M.
25991,2.69,1,1.8690790724754334,2018-06-18,Rybarikova M.
36138,1.43,0,1.866896630451083,2023-03-21,Giorgi C.
25692,1.34,0,1.866196666061878,2018-05-14,Krunic A.
16323,3.21,1,1.864397008419037,2014-07-22,Eguchi M.
29971,3.26,1,1.8641647700965405,2020-02-18,Rybakina E.
19680,1.43,0,1.8611508122086522,2016-01-04,Stosur S.
29449,1.36,0,1.859410212278366,2019-10-01,Wozniacki C.
21587,2.98,1,1.8591853322088718,2016-08-29,Wang Yaf.
16730,2.6,1,1.8578647303581242,2014-09-11,Hlavackova A.
14815,1.52,0,1.8560816326141356,2014-01-13,Stosur S.
19719,1.58,0,1.8546607630593432,2016-01-06,Wang Q.
32645,1.51,0,1.854355978012085,2021-09-01,Samsonova L.
27083,2.47,1,1.8501050568819046,2018-10-16,Bouchard E.
29143,1.53,0,1.8489870543990816,2019-09-03,Svitolina E.
29647,2.9,1,1.8458692586421965,2020-01-06,Bouchard E.
21444,1.43,0,1.8439754992723463,2016-08-01,Duan Y.Y.
22306,2.73,1,1.8414032911062244,2017-01-10,Bouchard E.
23786,1.47,0,1.8414021559059621,2017-07-18,Kovinic D.
15206,1.43,0,1.8390011382102966,2014-03-07,Safarova L.
33683,2.89,1,1.8388432146608833,2022-03-13,Martic P.
24710,1.37,0,1.8387716689705846,2018-01-01,Zhang S.
22154,1.57,0,1.837292381286621,2016-10-23,Kerber A.
26970,1.44,0,1.8371253919601438,2018-10-07,Wozniacki C.
21901,1.47,0,1.8370501789450644,2016-09-27,Kozlova K.
33622,1.37,0,1.8351538512855772,2022-03-10,Osaka N.
28788,2.89,1,1.8341625928878784,2019-07-23,Kalinina A.
33431,1.54,0,1.8340486596028012,2022-02-10,Kontaveit A.
16051,1.5,0,1.8308839654922486,2014-06-20,Keys M.
22256,2.79,1,1.8301794852018358,2017-01-05,Svitolina E.
28796,1.52,0,1.8301582485437393,2019-07-24,Potapova A.
29278,1.57,0,1.829903740882873,2019-09-17,Siniakova K.
28440,2.24,1,1.8268641662597658,2019-06-13,Rybakina E.
20372,2.59,1,1.8252574876546859,2016-03-27,Niculescu M.
34603,1.51,0,1.824426585584879,2022-07-12,Martic P.
18368,1.52,0,1.8235901162028312,2015-05-31,Ivanovic A.
34036,3.86,1,1.8234318268299101,2022-05-11,Collins D.
24613,2.71,1,1.8231798202991485,2017-10-17,Lisicki S.
25955,3.18,1,1.8211740866303445,2018-06-12,Lottner A.
25506,1.75,0,1.8208443754059929,2018-04-24,Siegemund L.
27256,1.5,0,1.8199644291400912,2019-01-08,Kerber A.
28312,2.81,1,1.8192404410739738,2019-05-28,Hon P.
26154,1.68,0,1.8191320227384566,2018-07-03,Stosur S.
30727,1.47,0,1.8187489640712737,2021-01-10,Svitolina E.
26880,1.57,0,1.8179399871826172,2018-09-25,Rodina E.
29599,1.48,0,1.8165014487504962,2019-10-23,Mertens E.
24719,1.52,0,1.8162174493074417,2018-01-02,Sevastova A.
30912,2.48,1,1.8161671765645344,2021-02-09,Stosur S.
29170,1.41,0,1.8125874531269075,2019-09-10,Stosur S.
35897,1.4,0,1.8124832424521449,2023-02-19,Keys M.
23487,1.46,0,1.8114860873669387,2017-06-13,Hogenkamp R.
26314,1.5,0,1.8079032678263525,2018-07-24,Ivakhnenko V.
18599,1.57,0,1.806865313500166,2015-06-30,Pavlyuchenkova A.
22932,1.61,0,1.804935418367386,2017-04-05,Bertens K.
18557,2.62,1,1.8034051045775414,2015-06-29,Begu I.
23235,2.29,1,1.802683049539725,2017-05-16,Makarova E.
17640,1.49,0,1.8015839864952223,2015-03-03,Koukalova K.
20681,1.55,0,1.7978989872336388,2016-05-04,Cibulkova D.
21102,3.43,1,1.7959435436129574,2016-06-24,Cibulkova D.
22622,2.31,1,1.7945240163803102,2017-02-24,Svitolina E.
25380,1.33,0,1.794009772539139,2018-04-03,Puig M.
33528,2.4,1,1.7936946119580948,2022-02-23,Ostapenko J.
27807,1.58,0,1.7936742257078488,2019-03-25,Barty A.
28286,2.7,1,1.793666734546423,2019-05-27,Stosur S.
16822,1.66,0,1.7927765257017954,2014-09-18,Wang Y.
28074,1.58,0,1.7917349752038714,2019-05-01,Konta J.
20922,1.56,0,1.7907413758337498,2016-05-29,Muguruza G.
20471,1.56,0,1.7887739232778546,2016-04-08,Vesnina E.
19373,2.53,1,1.7882053166627883,2015-09-29,Mladenovic K.
35347,1.74,0,1.78738798729011,2022-10-06,Krejcikova B.
32173,1.81,0,1.7865269726514814,2021-07-05,Tomljanovic A.
20844,2.29,1,1.784616073469321,2016-05-24,Nara K.
24282,1.51,0,1.7843695108095805,2017-09-18,Barthel M.
34879,1.45,0,1.7820351791381834,2022-08-13,Halep S.
32939,1.5,0,1.7808377972245217,2021-10-11,Kontaveit A.
25860,1.53,0,1.7807251785993574,2018-05-29,Begu I.
22144,3.22,1,1.7801838967800143,2016-10-20,Goerges J.
30283,1.72,0,1.7794837433951243,2020-08-28,Osaka N.
28013,1.54,0,1.7791072812676432,2019-04-25,Bertens K.
15971,1.56,0,1.7784181144237519,2014-06-11,Dellacqua C.
15057,1.48,0,1.7778418715298177,2014-02-17,Piter K.
25742,1.41,0,1.7775642099479834,2018-05-20,Rybakina E.
25709,2.27,1,1.7761969373907365,2018-05-15,Babos T.
20993,1.61,0,1.7743445932865143,2016-06-11,Riske A.
24662,2.73,1,1.774042974561453,2017-10-26,Williams V.
25703,1.57,0,1.7706992353995643,2018-05-15,Collins D.
20008,1.45,0,1.7692762157320978,2016-02-15,Garcia C.
24437,2.7,1,1.7692239850759506,2017-09-29,Bondarenko K.
20400,1.4,0,1.7691102191805839,2016-04-04,Lisicki S.
33120,2.9,1,1.7685107581317423,2021-11-15,Muguruza G.
24331,2.24,1,1.76838005065918,2017-09-21,Hon P.
20552,2.5,1,1.7675818875432014,2016-04-21,Pliskova Ka.
24617,2.87,1,1.7670899472236634,2017-10-17,Rodina E.
15473,2.63,1,1.7667772312675203,2014-04-08,Shapatava S.
29917,1.66,0,1.765995571017265,2020-02-11,Dodin O.
24953,1.57,0,1.7634037637710573,2018-01-22,Halep S.
17029,1.63,0,1.7633843220983234,2014-10-09,Friedsam A.L.
28152,2.43,1,1.762969025373459,2019-05-11,Bertens K.
24118,1.66,0,1.7627105753123762,2017-08-30,Zhang S.
20789,1.59,0,1.7618353411555288,2016-05-18,Vesnina E.
25432,1.7,0,1.7610344465573629,2018-04-07,Bertens K.
26457,1.38,0,1.7607528162002564,2018-08-10,Halep S.
36060,1.58,0,1.758928942680359,2023-03-09,Teichmann J.
24841,1.51,0,1.7575290739536285,2018-01-15,Kumkhum L.
23049,2.8,1,1.7573540985584257,2017-04-26,Vesnina E.
24142,2.14,1,1.7569311012540545,2017-08-30,Allertova D.
21774,2.2,1,1.7562330297061375,2016-09-19,Sorribes Tormo S.
26664,1.51,0,1.7561499271392822,2018-09-03,Stephens S.
23004,1.65,0,1.7554695510864256,2017-04-12,Schiavone F.
34705,2.61,1,1.755281897485256,2022-07-23,Pera B.
35729,1.44,0,1.7545002517104147,2023-01-22,Pegula J.
28731,1.61,0,1.753669902767454,2019-07-16,Tig P.M.
22537,3.39,1,1.749655519500375,2017-02-16,Kasatkina D.
15761,2.23,1,1.747941624323527,2014-05-19,Riske A.
16475,2.53,1,1.7472508563101288,2014-08-12,Pavlyuchenkova A.
33310,1.7,0,1.7471708497405052,2022-01-18,Watson H.
23465,1.57,0,1.7466660659313207,2017-06-12,Giorgi C.
22715,1.44,0,1.7462465491890906,2017-03-09,Bencic B.
24550,1.72,0,1.745908511451312,2017-10-11,Voegele S.
25099,2.86,1,1.7453669964273768,2018-02-21,Kasatkina D.
30348,1.38,0,1.744866894185543,2020-09-02,Stephens S.
17435,1.48,0,1.7440741413831709,2015-02-10,Schiavone F.
28382,1.53,0,1.7440513912439346,2019-06-02,Vondrousova M.
33184,1.71,0,1.7427909664809706,2022-01-06,Petkovic A.
19345,2.58,1,1.742030187249184,2015-09-27,Pavlyuchenkova A.
19421,1.6,0,1.7411547825166156,2015-10-03,Keys M.
16157,2.52,1,1.740822787284851,2014-06-27,Smitkova T.
23746,1.56,0,1.7389242917299272,2017-07-10,Williams V.
15818,1.53,0,1.7388909405469897,2014-05-25,Muguruza G.
31030,3.14,1,1.7348617941992626,2021-02-15,Pegula J.
29217,1.71,0,1.733670909802119,2019-09-13,Pliskova Ka.
25546,1.55,0,1.733540949140276,2018-04-27,Sakkari M.
24958,1.73,0,1.7330244112014772,2018-01-24,Kerber A.
22978,1.51,0,1.7317191123962403,2017-04-10,Barthel M.
31946,1.56,0,1.7316231379906337,2021-06-14,Garcia C.
22435,1.5,0,1.7315454698460442,2017-01-20,Kuznetsova S.
17885,1.69,0,1.7298087298870086,2015-04-06,Van Uytvanck A.
16300,1.6,0,1.7291562056541439,2014-07-18,Scheepers C.
30376,1.65,0,1.728599832057953,2020-09-04,Stephens S.
33118,1.54,0,1.7284735617637632,2021-11-14,Sabalenka A.
22298,1.59,0,1.7279034107923508,2017-01-09,Petkovic A.
32951,1.52,0,1.727482584118843,2021-10-12,Tomljanovic A.
23127,1.56,0,1.726118748528617,2017-05-03,Giorgi C.
31639,2.59,1,1.7258501306772231,2021-05-11,Podoroska N.
24650,1.59,0,1.7256643458775114,2017-10-20,Witthoeft C.
31091,1.76,0,1.725343590463911,2021-03-01,Rus A.
20464,1.6,0,1.7246144302686055,2016-04-08,Parmentier P.
29617,1.69,0,1.7244233589512963,2019-10-31,Barty A.
25591,3.6,1,1.7242501616477963,2018-05-02,Badosa Gibert P.
23741,1.6,0,1.7236570162574447,2017-07-08,Martic P.
