match,PSW,win0,confidence0,date,winner,,
34366,1.25,0,2.486329416,6/17/2022,Jabeur O.,-1,-100
28206,3.53,1,2.176310243,5/18/2019,Konta J.,2.53,253
23766,3.02,1,2.172411596,7/17/2017,Podoroska N.,2.02,202
31223,1.43,0,2.141358215,3/12/2021,Muguruza G.,-1,-100
29978,1.43,0,2.127561705,2/19/2020,Pliskova Ka.,-1,-100
14053,1.42,0,2.098920033,8/8/2013,Stosur S.,-1,-100
21103,3.43,1,2.074044509,6/24/2016,Cibulkova D.,2.43,243
18516,3.64,1,2.040474345,6/23/2015,Errani S.,2.64,264
24704,1.37,0,2.020840909,1/1/2018,Zhang S.,-1,-100
27342,1.38,0,2.018536529,1/15/2019,Swiatek I.,-1,-100
31543,1.32,0,2.013396374,4/23/2021,Halep S.,-1,-100
23938,2.63,1,2.010363902,8/6/2017,Keys M.,1.63,163
25744,1.41,0,2.001172543,5/20/2018,Rybakina E.,-1,-100
24437,2.7,1,1.995239131,9/29/2017,Bondarenko K.,1.7,170
31352,1.39,0,1.993229806,3/27/2021,Sabalenka A.,-1,-100
29397,3.41,1,1.984495033,9/25/2019,Yastremska D.,2.41,241
20223,1.38,0,1.977042089,3/10/2016,Allertova D.,-1,-100
31369,1.33,0,1.970875337,3/29/2021,Osaka N.,-1,-100
10457,1.44,0,1.969667916,3/20/2012,Halep S.,-1,-100
25391,1.44,0,1.941163138,4/3/2018,Garcia C.,-1,-100
35729,1.44,0,1.934678608,1/22/2023,Pegula J.,-1,-100
16207,1.58,0,1.933803756,7/8/2014,Svitolina E.,-1,-100
25106,2.86,1,1.932762872,2/21/2018,Kasatkina D.,1.86,186
23317,1.36,0,1.910759507,5/24/2017,Garcia C.,-1,-100
25253,2.74,1,1.897005466,3/15/2018,Kasatkina D.,1.74,174
17502,1.57,0,1.895263244,2/16/2015,Giorgi C.,-1,-100
25538,1.53,0,1.884236443,4/26/2018,Svitolina E.,-1,-100
16164,1.49,0,1.882607718,6/28/2014,Bouchard E.,-1,-100
33689,3.02,1,1.879262186,3/14/2022,Vondrousova M.,2.02,202
12115,1.42,0,1.865808129,10/11/2012,Ivanovic A.,-1,-100
26315,1.5,0,1.859745193,7/24/2018,Ivakhnenko V.,-1,-100
12621,2.37,1,1.858334447,2/18/2013,Erakovic M.,1.37,137
13668,1.38,0,1.854695793,6/24/2013,Tsurenko L.,-1,-100
30767,2.84,1,1.851920402,1/31/2021,Paolini J.,1.84,184
18588,2.82,1,1.849135346,6/30/2015,Cornet A.,1.82,182
18988,1.47,0,1.848959314,8/18/2015,Stephens S.,-1,-100
16287,1.56,0,1.843835423,7/17/2014,Konjuh A.,-1,-100
33459,1.44,0,1.8387345,2/17/2022,Halep S.,-1,-100
35527,2.88,1,1.833469334,1/4/2023,Masarova R.,1.88,188
25160,1.52,0,1.822934218,3/2/2018,Tsurenko L.,-1,-100
28996,1.47,0,1.815968565,8/18/2019,Cornet A.,-1,-100
30651,1.5,0,1.814426029,10/10/2020,Swiatek I.,-1,-100
28138,1.36,0,1.810447783,5/8/2019,Kvitova P.,-1,-100
14408,1.59,0,1.80768168,9/22/2013,Bencic B.,-1,-100
15853,1.57,0,1.802221512,5/27/2014,Pfizenmaier D.,-1,-100
26662,1.51,0,1.802035781,9/3/2018,Stephens S.,-1,-100
27598,1.53,0,1.80177074,2/23/2019,Vondrousova M.,-1,-100
16824,1.58,0,1.797653671,9/18/2014,Gibbs N.,-1,-100
20526,1.58,0,1.796365129,4/19/2016,Pironkova T.,-1,-100
24801,1.51,0,1.796058316,1/9/2018,Tsurenko L.,-1,-100
30278,1.53,0,1.794108421,8/26/2020,Osaka N.,-1,-100
13806,1.56,0,1.787463783,7/10/2013,Beck A.,-1,-100
30400,1.49,0,1.784996341,9/7/2020,Osaka N.,-1,-100
17142,1.43,0,1.783919861,1/4/2015,Svitolina E.,-1,-100
24337,1.57,0,1.768339822,9/21/2017,Cirstea S.,-1,-100
16731,2.6,1,1.7683384,9/11/2014,Hlavackova A.,1.6,160
27670,2.3,1,1.766975682,3/8/2019,Mchale C.,1.3,130
15037,2.59,1,1.766867317,2/12/2014,Kleybanova A.,1.59,159
13572,3.13,1,1.766738113,6/14/2013,Petkovic A.,2.13,213
35119,1.43,0,1.766269878,9/6/2022,Jabeur O.,-1,-100
25551,1.55,0,1.760946317,4/27/2018,Sakkari M.,-1,-100
34575,1.43,0,1.75922146,7/4/2022,Halep S.,-1,-100
18459,1.47,0,1.75819697,6/16/2015,Bencic B.,-1,-100
32445,1.65,0,1.752317562,8/13/2021,Sabalenka A.,-1,-100
13046,1.43,0,1.751866862,4/4/2013,Wozniacki C.,-1,-100
25585,2.74,1,1.748243091,5/1/2018,Zhang S.,1.74,174
15082,2.93,1,1.747644827,2/19/2014,Suarez Navarro C.,1.93,193
33706,1.56,0,1.743695145,3/19/2022,Swiatek I.,-1,-100
30784,3.44,1,1.741061783,2/1/2021,Paolini J.,2.44,244
