match,PSW,win0,confidence0,date,winner,,
34371,1.25,0,2.998757202,6/17/2022,Jabeur O.,-1,-100
17446,4.25,1,2.920607135,2/11/2015,De Vroome I.,3.25,325
25575,4.13,1,2.707554628,5/1/2018,Dulgheru A.,3.13,313
20949,1.3,0,2.405744135,6/7/2016,Barty A.,-1,-100
29378,1.3,0,2.383120968,9/24/2019,Pliskova Ka.,-1,-100
22077,1.35,0,2.32752378,10/14/2016,Suarez Navarro C.,-1,-100
31867,4.22,1,2.247946017,6/4/2021,Pavlyuchenkova A.,3.22,322
31544,1.32,0,2.189068622,4/23/2021,Halep S.,-1,-100
33012,3.8,1,2.148871286,10/22/2021,Alexandrova E.,2.8,280
23309,1.36,0,2.125644224,5/24/2017,Garcia C.,-1,-100
25743,1.41,0,2.100960458,5/20/2018,Rybakina E.,-1,-100
21104,3.43,1,2.088126045,6/24/2016,Cibulkova D.,2.43,243
26304,1.37,0,2.066403325,7/24/2018,Zhang S.,-1,-100
24350,2.72,1,2.040599213,9/23/2017,Pavlyuchenkova A.,1.72,172
35913,1.33,0,2.012326551,2/20/2023,Muchova K.,-1,-100
17848,1.4,0,2.006275329,3/29/2015,Stephens S.,-1,-100
33104,1.41,0,2.005516669,11/10/2021,Kontaveit A.,-1,-100
35521,2.88,1,1.986154129,1/4/2023,Masarova R.,1.88,188
33748,1.41,0,1.976634461,3/24/2022,Osaka N.,-1,-100
11239,1.46,0,1.976437669,6/23/2012,Petrova N.,-1,-100
17703,3.03,1,1.973405041,3/12/2015,Arruabarrena L.,2.03,203
12845,1.42,0,1.964026699,3/9/2013,Burdette M.,-1,-100
30278,1.53,0,1.95213696,8/26/2020,Osaka N.,-1,-100
20245,1.42,0,1.947642135,3/12/2016,Puig M.,-1,-100
29982,2.86,1,1.945553349,2/20/2020,Rybakina E.,1.86,186
28271,1.5,0,1.933892271,5/26/2019,Svitolina E.,-1,-100
21490,1.47,0,1.918058362,8/4/2016,Duan Y.Y.,-1,-100
30651,1.5,0,1.912133224,10/10/2020,Swiatek I.,-1,-100
27554,1.53,0,1.909224855,2/19/2019,Hsieh S.W.,-1,-100
31350,1.39,0,1.87640131,3/27/2021,Sabalenka A.,-1,-100
