match,PSW,win0,confidence0,date
32537,3.34,1,2.09694532752037,2020-01-07
36824,3.06,1,2.0775248712301253,2022-02-22
35417,3.37,1,2.049657587647438,2021-07-19
33423,1.44,0,2.0464374317725498,2020-09-29
32720,1.56,0,2.0120969953536987,2020-01-26
32247,1.53,0,1.9803824378550052,2019-10-03
26755,1.46,0,1.961511653214693,2017-01-07
37415,1.44,0,1.9482358786463734,2022-05-13
27790,1.45,0,1.9393515204957552,2017-05-13
30942,1.49,0,1.930074116587639,2019-05-02
30147,3.1,1,1.900354026556015,2019-01-17
31279,2.8,1,1.8866191983222962,2019-06-12
34141,2.72,1,1.8690358448028568,2021-02-25
31070,1.57,0,1.868347020149231,2019-05-19
36438,1.5,0,1.8525394380092621,2022-01-18
30153,2.74,1,1.8469861799478533,2019-01-18
34725,2.82,1,1.8421229699850081,2021-05-03
29932,2.86,1,1.8328598308563229,2018-12-31
37397,2.44,1,1.811428416967392,2022-05-11
28588,1.47,0,1.8047916550934318,2017-08-05
30411,1.52,0,1.8047814087073009,2019-02-21
34449,1.66,0,1.802104561328888,2021-03-28
37459,2.59,1,1.7975491449236871,2022-05-18
37137,1.47,0,1.796879327893257,2022-04-11
33610,1.56,0,1.7902103647589687,2020-10-21
32280,3.15,1,1.7865291237831116,2019-10-07
26966,2.71,1,1.7743533465862273,2017-02-08
27922,2.73,1,1.770850598216057,2017-05-29
34603,2.61,1,1.767935793042183,2021-04-20
27555,2.7,1,1.765661957859993,2017-04-18
27381,1.52,0,1.763804499864578,2017-03-22
36492,2.23,1,1.7577393656117573,2022-01-21
35083,2.8,1,1.7555581045150757,2021-06-11
33445,1.56,0,1.7548707842826845,2020-09-30
32138,1.53,0,1.7541538834571841,2019-09-20
34520,1.63,0,1.7454018058379488,2021-04-09
38250,2.67,1,1.7340449188649651,2022-08-17
33706,1.41,0,1.7316028736829758,2020-11-02
27313,1.48,0,1.723664580285549,2017-03-11
26915,1.54,0,1.7197622944911322,2017-01-20
36623,1.49,0,1.7169479399174452,2022-02-08
39045,2.4,1,1.716199243068695,2023-01-16
38266,2.75,1,1.7097021624445916,2022-08-18
38433,1.55,0,1.7086733508110046,2022-09-03
31305,2.33,1,1.7043979575634,2019-06-17
30747,2.73,1,1.7035699253082275,2019-04-10
31167,2.93,1,1.701551142781973,2019-05-28
34461,1.55,0,1.7013951390981672,2021-03-29
31165,2.76,1,1.6989692074060436,2019-05-28
38271,1.37,0,1.6965934281051163,2022-08-19
32092,2.65,1,1.695849860012531,2019-09-04
