match,PSW,win0,confidence0,date,,
55263,1.43,0,2.215316187,4/12/2022,-1,-100
47706,1.36,0,2.181458752,9/24/2018,-1,-100
56734,1.26,0,2.173929882,10/6/2022,-1,-100
46457,1.51,0,1.99933137,5/1/2018,-1,-100
52837,2.6,1,1.930154453,4/29/2021,1.6,160
53655,2.79,1,1.895988929,7/28/2021,1.79,179
53873,1.59,0,1.894013131,8/28/2021,-1,-100
54709,3.25,1,1.8841938,2/5/2022,2.25,225
50486,1.43,0,1.879391593,10/15/2019,-1,-100
46946,2.59,1,1.866816881,6/26/2018,1.59,159
54398,3.09,1,1.845611333,11/20/2021,2.09,209
56833,1.46,0,1.842310402,10/19/2022,-1,-100
43952,1.45,0,1.833812928,5/13/2017,-1,-100
47407,1.43,0,1.833575524,8/9/2018,-1,-100
46918,1.38,0,1.827094782,6/22/2018,-1,-100
47801,1.43,0,1.824494967,10/4/2018,-1,-100
43716,2.7,1,1.817094174,4/18/2017,1.7,170
54191,1.58,0,1.817052455,10/13/2021,-1,-100
51247,2.55,1,1.815877151,8/24/2020,1.55,155
47323,3.43,1,1.814835364,8/1/2018,2.43,243
51706,1.51,0,1.814681947,10/16/2020,-1,-100
54914,3.06,1,1.813886555,2/22/2022,2.06,206
54195,1.51,0,1.806061349,10/13/2021,-1,-100
47250,1.54,0,1.805650798,7/27/2018,-1,-100
46930,2.37,1,1.803124424,6/25/2018,1.37,137
45313,2.71,1,1.787032598,10/19/2017,1.71,171
51082,1.56,0,1.781045261,2/19/2020,-1,-100
47897,2.47,1,1.775169693,10/16/2018,1.47,147
51822,2.6,1,1.758080953,10/29/2020,1.6,160
52877,1.64,0,1.753980003,5/4/2021,-1,-100
44508,2.79,1,1.750924383,7/18/2017,1.79,179
52764,2.56,1,1.750843109,4/21/2021,1.56,156
53310,1.56,0,1.747838337,6/22/2021,-1,-100
52239,2.33,1,1.745766619,2/23/2021,1.33,133
50000,2.65,1,1.742604391,8/7/2019,1.65,165
51593,1.56,0,1.739811094,9/30/2020,-1,-100
55210,1.68,0,1.736926977,4/6/2022,-1,-100
55565,2.59,1,1.736433183,5/18/2022,1.59,159
43533,2.65,1,1.731937232,3/15/2017,1.65,165
