match,PSW,win0,confidence0,date,
14472,1.36,0,2.573316943,9/29/2013,-1
29399,3.41,1,2.298156873,9/25/2019,2.41
31549,1.32,0,2.263204041,4/23/2021,-1
14052,1.42,0,2.245688007,8/8/2013,-1
33011,3.8,1,2.220791974,10/22/2021,2.8
33749,1.41,0,2.139470513,3/24/2022,-1
23309,1.36,0,2.133862247,5/24/2017,-1
18516,3.64,1,2.08727105,6/23/2015,2.64
34575,1.43,0,2.063980544,7/4/2022,-1
33677,1.25,0,2.058589552,3/13/2022,-1
28989,3.71,1,2.006373603,8/16/2019,2.71
34153,1.42,0,1.992651218,5/23/2022,-1
16164,1.49,0,1.914313345,6/28/2014,-1
35480,3.27,1,1.906102767,10/31/2022,2.27
17648,1.45,0,1.904196558,3/4/2015,-1
13044,1.43,0,1.903788789,4/4/2013,-1
21103,3.43,1,1.888480448,6/24/2016,2.43
14689,2.59,1,1.886858865,12/30/2013,1.59
22833,2.73,1,1.877066555,3/24/2017,1.73
35528,2.88,1,1.86337817,1/4/2023,1.88
33104,1.41,0,1.857552064,11/10/2021,-1
25331,1.56,0,1.838410201,3/25/2018,-1
23502,1.42,0,1.837885588,6/15/2017,-1
20982,1.39,0,1.818743963,6/9/2016,-1
24336,1.57,0,1.818275832,9/21/2017,-1
32296,1.44,0,1.816144091,7/16/2021,-1
26850,1.39,0,1.812627533,9/24/2018,-1
30621,2.76,1,1.80284582,10/2/2020,1.76
13809,1.56,0,1.789510247,7/10/2013,-1
25228,2.98,1,1.786588037,3/11/2018,1.98
25739,1.41,0,1.786574333,5/20/2018,-1
29385,1.44,0,1.786060198,9/25/2019,-1
14301,2.8,1,1.783301747,9/10/2013,1.8
28205,3.53,1,1.78212484,5/18/2019,2.53
22926,1.49,0,1.781619415,4/5/2017,-1
16038,1.56,0,1.77861363,6/18/2014,-1
29984,2.86,1,1.774079678,2/20/2020,1.86
13572,3.13,1,1.765114553,6/14/2013,2.13
15301,1.44,0,1.757195917,3/20/2014,-1
26513,2.79,1,1.752621458,8/17/2018,1.79
20786,1.51,0,1.742900762,5/18/2016,-1
13412,1.5,0,1.735058674,5/27/2013,-1
23674,1.6,0,1.726724356,7/4/2017,-1
14814,1.57,0,1.726535728,1/11/2014,-1
28923,1.46,0,1.722763827,8/8/2019,-1
26255,1.38,0,1.71765817,7/18/2018,-1
18053,1.44,0,1.716724655,4/29/2015,-1
27570,1.63,0,1.715258103,2/20/2019,-1
25254,1.61,0,1.713508397,3/16/2018,-1
35098,1.63,0,1.713384657,9/2/2022,-1
18995,1.47,0,1.709896872,8/18/2015,-1
30497,1.46,0,1.707751322,9/20/2020,-1
33687,3.02,1,1.707328727,3/14/2022,2.02
14408,1.59,0,1.706150174,9/22/2013,-1
23798,2.73,1,1.700712941,7/20/2017,1.73
15412,2.46,1,1.695831704,4/2/2014,1.46
29285,2.66,1,1.689419006,9/18/2019,1.66
22305,2.73,1,1.68698309,1/10/2017,1.73
27512,2.88,1,1.684261394,2/15/2019,1.88
13463,1.45,0,1.678850783,5/31/2013,-1
33928,1.48,0,1.676987797,4/21/2022,-1
24077,2.89,1,1.676074945,8/26/2017,1.89
24349,2.72,1,1.674571927,9/23/2017,1.72
