match,PSW,win0,confidence0,date,
30836,3.75,1,2.206739858,4/22/2019,2.75
32645,1.52,0,2.097397553,1/21/2020,-1
38133,1.42,0,2.092013252,8/3/2022,-1
26939,1.39,0,2.088491919,1/27/2017,-1
32540,3.34,1,2.033822907,1/7/2020,2.34
27522,2.94,1,2.023391886,4/15/2017,1.94
27790,1.45,0,1.986255698,5/13/2017,-1
31668,1.38,0,1.984628084,7/24/2019,-1
38795,1.4,0,1.973012546,10/25/2022,-1
27555,2.7,1,1.968334338,4/18/2017,1.7
37000,1.49,0,1.944624652,3/24/2022,-1
27599,2.94,1,1.94187698,4/25/2017,1.94
27404,1.51,0,1.889579986,3/23/2017,-1
34665,1.53,0,1.882616681,4/26/2021,-1
27600,2.76,1,1.870749961,4/25/2017,1.76
31388,1.53,0,1.854276887,6/25/2019,-1
31165,2.76,1,1.850729188,5/28/2019,1.76
32138,1.53,0,1.836801209,9/20/2019,-1
26915,1.54,0,1.83676978,1/20/2017,-1
28214,2.82,1,1.829996672,7/3/2017,1.82
34859,2.83,1,1.82901085,5/20/2021,1.83
35083,2.8,1,1.828946455,6/11/2021,1.8
36539,1.44,0,1.828613173,2/1/2022,-1
36623,1.49,0,1.821139017,2/8/2022,-1
36824,3.06,1,1.809725638,2/22/2022,2.06
27492,2.45,1,1.807021102,4/12/2017,1.45
27250,1.4,0,1.805805379,3/1/2017,-1
34752,1.41,0,1.804555986,5/5/2021,-1
36061,2.86,1,1.794885184,10/13/2021,1.86
30153,2.74,1,1.772741276,1/18/2019,1.74
27621,2.73,1,1.769170141,4/26/2017,1.73
32280,3.15,1,1.761169536,10/7/2019,2.15
36281,3.09,1,1.760116485,11/20/2021,2.09
36492,2.23,1,1.751614943,1/21/2022,1.23
35721,1.51,0,1.748530591,8/24/2021,-1
29298,1.57,0,1.737727346,11/15/2017,-1
38978,1.41,0,1.732368168,1/9/2023,-1
38694,1.52,0,1.73200778,10/14/2022,-1
38115,1.61,0,1.730397146,8/3/2022,-1
36047,1.6,0,1.729654794,10/12/2021,-1
34425,1.6,0,1.726691723,3/26/2021,-1
27689,1.53,0,1.725575771,5/2/2017,-1
30397,2.59,1,1.723892056,2/20/2019,1.59
27922,2.73,1,1.723106737,5/29/2017,1.73
31969,1.54,0,1.717391243,8/24/2019,-1
31063,1.72,0,1.715483314,5/17/2019,-1
33566,1.51,0,1.715125157,10/16/2020,-1
34776,1.63,0,1.713878176,5/10/2021,-1
32222,1.5,0,1.713195406,10/1/2019,-1
31009,1.47,0,1.712448715,5/10/2019,-1
31070,1.57,0,1.707833787,5/19/2019,-1
34520,1.63,0,1.697343948,4/9/2021,-1
31147,1.53,0,1.696677835,5/27/2019,-1
36993,1.54,0,1.696046488,3/24/2022,-1
27284,1.53,0,1.692011192,3/5/2017,-1
31565,1.54,0,1.690409631,7/16/2019,-1
32198,2.67,1,1.688321061,9/27/2019,1.67
38727,1.46,0,1.687564367,10/19/2022,-1
39107,2.56,1,1.68667305,1/19/2023,1.56
35158,1.6,0,1.682746152,6/21/2021,-1
27167,1.47,0,1.680138658,2/23/2017,-1
37728,1.62,0,1.67010003,6/20/2022,-1
32195,1.57,0,1.669591727,9/27/2019,-1
30765,1.67,0,1.668608964,4/12/2019,-1
30167,1.63,0,1.667848018,1/19/2019,-1
36376,1.71,0,1.667525405,1/13/2022,-1
30318,1.55,0,1.665067948,2/14/2019,-1
36064,1.58,0,1.664855834,10/13/2021,-1
30049,1.56,0,1.662171363,1/10/2019,-1
35443,2.33,1,1.660474364,7/21/2021,1.33
36124,1.5,0,1.657885505,10/23/2021,-1
36386,2.45,1,1.654811604,1/14/2022,1.45
37898,1.63,0,1.65439881,7/8/2022,-1
38400,2.66,1,1.653290307,8/31/2022,1.66
28532,2.44,1,1.651584551,8/2/2017,1.44
39045,2.4,1,1.64971844,1/16/2023,1.4
32245,1.6,0,1.635782032,10/3/2019,-1
37459,2.59,1,1.635084309,5/18/2022,1.59
39237,2.83,1,1.625327102,2/13/2023,1.83
38960,1.51,0,1.625320317,1/5/2023,-1
27053,2.62,1,1.624274189,2/15/2017,1.62
31821,1.38,0,1.620798222,8/5/2019,-1
30008,2.63,1,1.620649423,1/7/2019,1.63
29932,2.86,1,1.620485719,12/31/2018,1.86
29854,2.27,1,1.617915141,2/27/2018,1.27
34141,2.72,1,1.615677843,2/25/2021,1.72
37427,1.52,0,1.615118149,5/16/2022,-1
27612,1.61,0,1.612913997,4/25/2017,-1
32720,1.56,0,1.612474261,1/26/2020,-1
37142,1.62,0,1.610233671,4/11/2022,-1
28353,1.65,0,1.610013694,7/18/2017,-1
29990,1.68,0,1.608348944,1/3/2019,-1
33407,1.53,0,1.606241194,9/28/2020,-1
31860,2.24,1,1.60620749,8/9/2019,1.24
33932,2.41,1,1.602585726,2/4/2021,1.41
37168,2.46,1,1.601573839,4/13/2022,1.46
