match,PSW,win0,confidence0,date,
31867,4.22,1,2.520813568,6/4/2021,3.22
33677,1.25,0,2.294426391,3/13/2022,-1
29374,1.3,0,2.256507705,9/24/2019,-1
34580,1.4,0,2.212779905,7/6/2022,-1
29399,3.41,1,2.211138399,9/25/2019,2.41
33011,3.8,1,2.112035435,10/22/2021,2.8
28205,3.53,1,2.078228309,5/18/2019,2.53
23309,1.36,0,2.02033567,5/24/2017,-1
29385,1.44,0,2.008496566,9/25/2019,-1
31351,1.39,0,1.965535629,3/27/2021,-1
29984,2.86,1,1.961298939,2/20/2020,1.86
34575,1.43,0,1.923923069,7/4/2022,-1
27513,2.88,1,1.906622443,2/15/2019,1.88
26530,1.47,0,1.895840182,8/21/2018,-1
24193,3.16,1,1.866653227,9/4/2017,2.16
33057,1.54,0,1.812299191,10/27/2021,-1
22337,1.44,0,1.782793953,1/16/2017,-1
25253,2.74,1,1.778018767,3/15/2018,1.74
26256,1.38,0,1.771113669,7/18/2018,-1
28027,1.52,0,1.758766994,4/28/2019,-1
31222,1.43,0,1.754873611,3/12/2021,-1
31013,1.53,0,1.751314912,2/14/2021,-1
28237,1.62,0,1.749481185,5/22/2019,-1
23857,1.46,0,1.745759144,7/26/2017,-1
29232,1.52,0,1.743612945,9/14/2019,-1
34508,2.98,1,1.742270484,6/28/2022,1.98
26662,1.51,0,1.734873804,9/3/2018,-1
34808,1.55,0,1.733225727,8/4/2022,-1
26508,2.79,1,1.728373878,8/17/2018,1.79
27422,1.59,0,1.726546578,1/21/2019,-1
33104,1.41,0,1.721083931,11/10/2021,-1
23132,1.53,0,1.719606987,5/3/2017,-1
33954,2.31,1,1.717877566,4/28/2022,1.31
34388,1.51,0,1.71217984,6/19/2022,-1
35120,1.43,0,1.707317272,9/6/2022,-1
22828,1.7,0,1.702076925,3/23/2017,-1
24349,2.72,1,1.697409098,9/23/2017,1.72
24299,1.5,0,1.69540219,9/19/2017,-1
22672,2.75,1,1.69533547,3/1/2017,1.75
29306,2.52,1,1.693548161,9/19/2019,1.52
23782,1.47,0,1.693472549,7/18/2017,-1
23133,1.56,0,1.692550649,5/3/2017,-1
26219,1.54,0,1.691061759,7/10/2018,-1
32475,2.47,1,1.690594115,8/18/2021,1.47
24810,1.51,0,1.678053182,1/9/2018,-1
26505,2.46,1,1.6768278,8/16/2018,1.46
28762,2.74,1,1.675198247,7/20/2019,1.74
29140,2.72,1,1.674455886,9/2/2019,1.72
29608,1.55,0,1.665704264,10/27/2019,-1
25101,2.86,1,1.664577511,2/21/2018,1.86
25798,2.75,1,1.663440606,5/25/2018,1.75
28063,1.58,0,1.660568138,5/1/2019,-1
35523,2.88,1,1.652904782,1/4/2023,1.88
25157,1.52,0,1.652577581,3/2/2018,-1
31162,2.36,1,1.648701416,3/8/2021,1.36
22326,1.73,0,1.644832067,1/12/2017,-1
29761,1.54,0,1.643683184,1/16/2020,-1
30775,2.84,1,1.639030635,1/31/2021,1.84
23704,1.5,0,1.638546389,7/5/2017,-1
22833,2.73,1,1.634533952,3/24/2017,1.73
33306,2.17,1,1.630473445,1/17/2022,1.17
29250,1.54,0,1.626862139,9/16/2019,-1
23741,1.6,0,1.626396656,7/8/2017,-1
23020,2.69,1,1.625250595,4/13/2017,1.69
24545,2.43,1,1.623363245,10/11/2017,1.43
23938,1.57,0,1.622945923,8/6/2017,-1
22483,1.5,0,1.617385569,1/31/2017,-1
33311,1.7,0,1.61547346,1/18/2022,-1
23804,2.73,1,1.614221468,7/20/2017,1.73
25647,2.47,1,1.61016814,5/6/2018,1.47
22714,1.56,0,1.608047211,3/9/2017,-1
23707,2.5,1,1.607674174,7/5/2017,1.5
25489,1.74,0,1.606271077,4/13/2018,-1
23216,2.75,1,1.605481985,5/15/2017,1.75
29285,2.66,1,1.603546852,9/18/2019,1.66
25708,2.58,1,1.601599729,5/15/2018,1.58
33687,3.02,1,1.597168382,3/14/2022,2.02
22494,1.54,0,1.595690696,2/1/2017,-1
24275,1.54,0,1.595402356,9/18/2017,-1
29422,1.57,0,1.592822284,9/28/2019,-1
22985,2.18,1,1.592819226,4/11/2017,1.18
26990,1.54,0,1.588423598,10/9/2018,-1
29359,2.62,1,1.588345727,9/23/2019,1.62
29281,1.58,0,1.57860626,9/17/2019,-1
34613,2.71,1,1.578445806,7/13/2022,1.71
29975,1.43,0,1.576986161,2/19/2020,-1
32445,1.65,0,1.576973431,8/13/2021,-1
25237,1.71,0,1.576628697,3/12/2018,-1
25079,1.55,0,1.576001615,2/19/2018,-1
24439,2.7,1,1.575137785,9/29/2017,1.7
25235,1.59,0,1.575111725,3/12/2018,-1
22278,2.19,1,1.573108839,1/8/2017,1.19
23469,2.5,1,1.571806639,6/12/2017,1.5
28518,2.61,1,1.569523888,6/22/2019,1.61
29164,1.71,0,1.568726733,9/9/2019,-1
35488,2.1,1,1.568628484,11/4/2022,1.1
27687,1.55,0,1.567704384,3/9/2019,-1
34053,1.68,0,1.567660983,5/12/2022,-1
25430,1.7,0,1.566134079,4/7/2018,-1
22435,2.42,1,1.565781145,1/20/2017,1.42
