match,PSW,win0,confidence0,date,
33011,3.8,1,2.286300964,10/22/2021,2.8
28987,3.71,1,2.172253933,8/16/2019,2.71
23317,1.36,0,2.161965415,5/24/2017,-1
23586,1.37,0,2.084949749,6/25/2017,-1
33104,1.41,0,2.02638103,11/10/2021,-1
29374,1.3,0,1.964377598,9/24/2019,-1
25747,1.41,0,1.959698189,5/20/2018,-1
31353,1.39,0,1.951462504,3/27/2021,-1
29475,1.32,0,1.949931421,10/7/2019,-1
23020,2.69,1,1.871915938,4/13/2017,1.69
23855,1.46,0,1.866016117,7/26/2017,-1
33684,3.02,1,1.86272136,3/14/2022,2.02
25334,1.56,0,1.853696799,3/25/2018,-1
24647,1.54,0,1.836723136,10/20/2017,-1
31223,1.43,0,1.827108432,3/12/2021,-1
29982,2.86,1,1.826535207,2/20/2020,1.86
28760,2.74,1,1.808256231,7/20/2019,1.74
29385,1.44,0,1.806371466,9/25/2019,-1
26676,3.03,1,1.800747969,9/10/2018,2.03
22833,2.73,1,1.789395386,3/24/2017,1.73
33748,1.41,0,1.778317732,3/24/2022,-1
24948,2.17,1,1.767309949,1/21/2018,1.17
22715,1.44,0,1.762431478,3/9/2017,-1
22337,1.44,0,1.762057042,1/16/2017,-1
26510,2.79,1,1.761564966,8/17/2018,1.79
32144,3.52,1,1.756594024,7/1/2021,2.52
29017,1.52,0,1.751612125,8/22/2019,-1
27422,1.59,0,1.743774734,1/21/2019,-1
34145,1.47,0,1.743755674,5/22/2022,-1
29608,1.55,0,1.736888202,10/27/2019,-1
27063,2.6,1,1.734444922,10/14/2018,1.6
25227,2.98,1,1.730278745,3/11/2018,1.98
25340,2.85,1,1.723151909,3/26/2018,1.85
23454,1.6,0,1.718361834,6/7/2017,-1
35480,3.27,1,1.717912115,10/31/2022,2.27
27513,2.88,1,1.716051201,2/15/2019,1.88
24801,1.51,0,1.714107091,1/9/2018,-1
34809,1.55,0,1.707735927,8/4/2022,-1
29397,3.41,1,1.703033564,9/25/2019,2.41
22305,2.73,1,1.701259235,1/10/2017,1.73
22927,1.61,0,1.698165735,4/5/2017,-1
29322,1.52,0,1.696957004,9/21/2019,-1
25045,1.47,0,1.692198609,2/14/2018,-1
31946,1.56,0,1.690436736,6/14/2021,-1
23804,2.73,1,1.688153182,7/20/2017,1.73
32336,2.51,1,1.683949902,7/20/2021,1.51
35613,1.57,0,1.682531499,1/14/2023,-1
31612,1.43,0,1.674417753,5/5/2021,-1
25552,1.55,0,1.672044402,4/27/2018,-1
26662,1.51,0,1.670384697,9/3/2018,-1
34223,1.51,0,1.66777551,5/27/2022,-1
32862,1.66,0,1.663153355,10/1/2021,-1
25253,2.74,1,1.662719565,3/15/2018,1.74
33706,1.56,0,1.662257745,3/19/2022,-1
26787,1.5,0,1.660302603,9/19/2018,-1
29311,2.52,1,1.654106246,9/19/2019,1.52
25240,1.59,0,1.653342834,3/12/2018,-1
25442,1.74,0,1.652297795,4/9/2018,-1
28927,1.46,0,1.651676584,8/8/2019,-1
23759,1.66,0,1.648687724,7/17/2017,-1
30066,2.65,1,1.647373024,2/28/2020,1.65
23868,2.37,1,1.647058609,7/28/2017,1.37
30397,1.49,0,1.646434684,9/6/2020,-1
25077,1.55,0,1.645858158,2/19/2018,-1
29411,2.3,1,1.645413297,9/27/2019,1.3
26221,1.54,0,1.642920624,7/10/2018,-1
30294,2.3,1,1.638991499,8/31/2020,1.3
29471,1.43,0,1.63832722,10/5/2019,-1
34161,1.66,0,1.638009503,5/23/2022,-1
23707,2.5,1,1.637446694,7/5/2017,1.5
26162,1.68,0,1.635236502,7/3/2018,-1
23630,1.77,0,1.634251426,7/3/2017,-1
34574,1.43,0,1.634029535,7/4/2022,-1
26515,2.42,1,1.6319643,8/18/2018,1.42
35488,2.1,1,1.62791934,11/4/2022,1.1
24159,1.64,0,1.6254123,8/31/2017,-1
25157,1.52,0,1.623444223,3/2/2018,-1
32696,1.53,0,1.622875072,9/13/2021,-1
22667,2.75,1,1.621262605,3/1/2017,1.75
26453,1.57,0,1.616868034,8/10/2018,-1
29294,2.66,1,1.614065089,9/18/2019,1.66
22428,1.64,0,1.612268783,1/19/2017,-1
22881,2.5,1,1.612242833,3/30/2017,1.5
32376,1.44,0,1.611080602,8/3/2021,-1
32503,1.54,0,1.609988884,8/21/2021,-1
25410,1.78,0,1.609269683,4/5/2018,-1
28061,1.58,0,1.608143894,5/1/2019,-1
29770,1.47,0,1.608033713,1/17/2020,-1
26696,2.22,1,1.607211208,9/11/2018,1.22
25941,1.6,0,1.605191814,6/12/2018,-1
34057,1.68,0,1.604813914,5/12/2022,-1
26259,1.38,0,1.603921448,7/18/2018,-1
26084,1.68,0,1.601162848,6/27/2018,-1
24599,1.83,0,1.600540647,10/16/2017,-1
29164,1.71,0,1.598066781,9/9/2019,-1
22985,2.18,1,1.592884009,4/11/2017,1.18
23388,1.52,0,1.591433719,5/30/2017,-1
24342,1.71,0,1.59119719,9/22/2017,-1
28460,1.63,0,1.590008492,6/17/2019,-1
26887,2.63,1,1.589580473,9/26/2018,1.63
22480,1.5,0,1.589214119,1/31/2017,-1
29746,1.45,0,1.58900059,1/14/2020,-1
29363,1.59,0,1.585796224,9/23/2019,-1
27602,1.65,0,1.584199587,2/25/2019,-1
30751,2.84,1,1.583400852,1/31/2021,1.84
27820,2.4,1,1.582343302,3/29/2019,1.4
31338,1.52,0,1.580000331,3/26/2021,-1
23675,1.6,0,1.57938078,7/4/2017,-1
33534,1.57,0,1.578777723,2/24/2022,-1
35805,1.62,0,1.578014706,2/6/2023,-1
29422,1.57,0,1.576574868,9/28/2019,-1
26890,2.2,1,1.575583444,9/26/2018,1.2
29184,1.78,0,1.574682093,9/10/2019,-1
30651,1.5,0,1.572752589,10/10/2020,-1
33953,2.31,1,1.572686394,4/28/2022,1.31
29138,2.75,1,1.571285013,9/1/2019,1.75
30448,2.34,1,1.570171112,9/14/2020,1.34
32259,1.49,0,1.566001317,7/14/2021,-1
29238,1.49,0,1.564529603,9/15/2019,-1
26500,2.42,1,1.564494164,8/16/2018,1.42
31538,1.68,0,1.56432017,4/22/2021,-1
22828,1.7,0,1.562688045,3/23/2017,-1
30417,1.42,0,1.560636321,9/9/2020,-1
33434,1.52,0,1.560414703,2/11/2022,-1
23356,2.23,1,1.559657737,5/29/2017,1.23
33118,1.54,0,1.55812144,11/14/2021,-1
35791,1.82,0,1.555978466,2/3/2023,-1
33120,2.9,1,1.555344355,11/15/2021,1.9
25040,2.33,1,1.554627892,2/13/2018,1.33
30621,2.76,1,1.55421787,10/2/2020,1.76
24495,2.82,1,1.554161059,10/6/2017,1.82
34276,1.57,0,1.553048317,6/7/2022,-1
22351,1.66,0,1.552075345,1/16/2017,-1
23037,1.59,0,1.551980307,4/25/2017,-1
27168,1.45,0,1.551511503,12/31/2018,-1
27975,1.54,0,1.549873479,4/23/2019,-1
29359,2.62,1,1.548725628,9/23/2019,1.62
24040,1.61,0,1.548297629,8/18/2017,-1
34115,2,1,1.546988934,5/19/2022,1
33418,2.18,1,1.546911176,2/8/2022,1.18
35545,2.2,1,1.546213028,1/6/2023,1.2
30213,2.19,1,1.544153597,8/13/2020,1.19
28026,1.52,0,1.543883041,4/28/2019,-1
29144,1.53,0,1.543375927,9/3/2019,-1
30332,1.67,0,1.54190398,9/2/2020,-1
34346,1.74,0,1.541240728,6/15/2022,-1
29274,1.58,0,1.540715122,9/17/2019,-1
29708,2.5,1,1.539962739,1/11/2020,1.5
32947,1.98,0,1.536995566,10/12/2021,-1
28363,1.68,0,1.536757455,5/30/2019,-1
32539,1.68,0,1.536312064,8/24/2021,-1
35737,2.5,1,1.535212006,1/25/2023,1.5
28570,2,1,1.534714835,6/27/2019,1
31495,2.35,1,1.532001578,4/17/2021,1.35
35101,1.63,0,1.531462726,9/2/2022,-1
22803,2.25,1,1.530495085,3/22/2017,1.25
22915,1.66,0,1.530073527,4/4/2017,-1
24549,2.43,1,1.529513394,10/11/2017,1.43
25494,1.72,0,1.528054904,4/14/2018,-1
31057,2.62,1,1.528044182,2/22/2021,1.62
23571,1.54,0,1.526458436,6/23/2017,-1
26509,1.62,0,1.524757197,8/17/2018,-1
23221,1.5,0,1.524395764,5/15/2017,-1
32450,1.81,0,1.524281406,8/14/2021,-1
25707,1.57,0,1.524251775,5/15/2018,-1
22824,1.71,0,1.523597456,3/23/2017,-1
28420,1.55,0,1.522600795,6/12/2019,-1
25914,2.46,1,1.522333702,6/3/2018,1.46
30439,1.75,0,1.521889417,9/12/2020,-1
23067,2.76,1,1.520064536,4/27/2017,1.76
32332,1.81,0,1.51717729,7/20/2021,-1
24864,2.64,1,1.516997334,1/15/2018,1.64
34930,1.76,0,1.515205634,8/19/2022,-1
32955,2.34,1,1.514440232,10/13/2021,1.34
27476,1.75,0,1.514350395,2/1/2019,-1
25106,2.86,1,1.513627219,2/21/2018,1.86
25709,2.27,1,1.51326938,5/15/2018,1.27
32445,1.65,0,1.512382518,8/13/2021,-1
22326,1.73,0,1.511737122,1/12/2017,-1
35386,1.69,0,1.50969951,10/11/2022,-1
24436,2.7,1,1.509109396,9/29/2017,1.7
34516,1.59,0,1.507984493,6/28/2022,-1
30157,1.78,0,1.506743488,8/6/2020,-1
23132,2.33,1,1.506590587,5/3/2017,1.33
27723,1.51,0,1.506385478,3/15/2019,-1
31883,2.18,1,1.506094926,6/6/2021,1.18
33763,2.35,1,1.505203716,3/25/2022,1.35
34748,2.17,1,1.504143581,7/28/2022,1.17
29626,2.16,1,1.503854213,1/5/2020,1.16
31507,1.63,0,1.503145233,4/20/2021,-1
34125,1.66,0,1.502474311,5/20/2022,-1
33716,1.51,0,1.501692897,3/22/2022,-1
34431,2.46,1,1.501649924,6/22/2022,1.46
28439,2.24,1,1.498909836,6/13/2019,1.24
25484,1.65,0,1.49829388,4/13/2018,-1
23339,2.48,1,1.497682644,5/28/2017,1.48
25726,1.63,0,1.496498998,5/17/2018,-1
23617,1.78,0,1.496221658,6/29/2017,-1
25161,2.72,1,1.495856694,3/3/2018,1.72
35347,1.74,0,1.495755506,10/6/2022,-1
28714,1.69,0,1.494838557,7/15/2019,-1
25475,1.74,0,1.494490418,4/13/2018,-1
30411,2.16,1,1.493923774,9/8/2020,1.16
31910,2.25,1,1.493303843,6/8/2021,1.25
31719,1.72,0,1.493084491,5/20/2021,-1
24610,2.33,1,1.492390686,10/17/2017,1.33
32687,1.56,0,1.492294526,9/6/2021,-1
33880,1.91,0,1.492080212,4/8/2022,-1
30727,1.47,0,1.491998674,1/10/2021,-1
22739,1.98,1,1.491191041,3/11/2017,0.98
23007,2.69,1,1.488947619,4/12/2017,1.69
34193,2.35,1,1.488777374,5/25/2022,1.35
32205,2.79,1,1.488768054,7/8/2021,1.79
26474,1.63,0,1.488759184,8/14/2018,-1
35610,2.08,1,1.488682816,1/13/2023,1.08
33324,2.08,1,1.488374634,1/18/2022,1.08
35246,1.81,0,1.487994616,9/25/2022,-1
29622,1.59,0,1.487915566,11/2/2019,-1
25566,1.77,0,1.487768503,4/30/2018,-1
31094,1.76,0,1.487096004,3/1/2021,-1
35385,1.65,0,1.48666899,10/11/2022,-1
25586,1.72,0,1.485286636,5/1/2018,-1
23584,1.71,0,1.484015608,6/25/2017,-1
28979,1.52,0,1.483603178,8/15/2019,-1
27645,2.8,1,1.48324112,3/7/2019,1.8
30107,1.74,0,1.480748521,3/4/2020,-1
33311,1.7,0,1.479992131,1/18/2022,-1
22545,1.72,0,1.479597429,2/18/2017,-1
32765,2.49,1,1.47945894,9/21/2021,1.49
34919,1.63,0,1.479402824,8/17/2022,-1
35116,1.81,0,1.477262511,9/5/2022,-1
24337,1.57,0,1.476475353,9/21/2017,-1
31434,1.91,0,1.475974062,4/7/2021,-1
31126,1.65,0,1.475914906,3/4/2021,-1
29140,2.72,1,1.475900582,9/2/2019,1.72
22581,2.19,1,1.475623652,2/21/2017,1.19
31214,1.68,0,1.474740275,3/11/2021,-1
32863,2.39,1,1.473575989,10/1/2021,1.39
27419,1.74,0,1.473510799,1/21/2019,-1
26862,2.23,1,1.473471972,9/25/2018,1.23
25673,1.76,0,1.473248364,5/9/2018,-1
28021,1.74,0,1.472765531,4/26/2019,-1
32754,2.23,1,1.472171067,9/19/2021,1.23
25013,2.37,1,1.472077087,2/2/2018,1.37
25431,1.7,0,1.471987805,4/7/2018,-1
23453,2.36,1,1.471716587,6/6/2017,1.36
34407,2.25,1,1.47108344,6/20/2022,1.25
23700,1.58,0,1.471010263,7/5/2017,-1
27424,1.7,0,1.470186651,1/22/2019,-1
32963,2.23,1,1.470133894,10/17/2021,1.23
22508,1.76,0,1.469361661,2/3/2017,-1
35080,2.34,1,1.469167038,9/1/2022,1.34
29293,2.42,1,1.468588139,9/18/2019,1.42
24607,1.75,0,1.46827459,10/17/2017,-1
34324,2.2,1,1.467944743,6/13/2022,1.2
35964,1.65,0,1.46769428,2/23/2023,-1
31941,2.08,1,1.46749475,6/14/2021,1.08
25486,1.72,0,1.467224021,4/13/2018,-1
22918,1.68,0,1.467223985,4/4/2017,-1
29141,2.06,1,1.467166392,9/2/2019,1.06
35602,2.15,1,1.466740412,1/12/2023,1.15
31836,2.27,1,1.466702744,6/2/2021,1.27
25519,2.44,1,1.465881537,4/25/2018,1.44
23651,1.55,0,1.465356143,7/3/2017,-1
24404,1.88,0,1.464988894,9/26/2017,-1
23938,2.63,1,1.464379678,8/6/2017,1.63
27084,1.57,0,1.463986013,10/16/2018,-1
28449,1.68,0,1.463734579,6/14/2019,-1
23594,1.58,0,1.462968979,6/26/2017,-1
28688,2.62,1,1.46246585,7/8/2019,1.62
26092,2.69,1,1.460867829,6/28/2018,1.69
34056,1.77,0,1.460278748,5/12/2022,-1
24356,1.76,0,1.459955189,9/24/2017,-1
25775,2.73,1,1.458285244,5/22/2018,1.73
35467,1.67,0,1.458219843,10/20/2022,-1
29131,2.21,1,1.456364118,8/31/2019,1.21
28773,2.08,1,1.456129284,7/22/2019,1.08
25142,2.23,1,1.456050961,2/28/2018,1.23
27435,1.54,0,1.455244429,1/28/2019,-1
35269,1.78,0,1.455051313,9/27/2022,-1
31499,1.61,0,1.453144875,4/19/2021,-1
23465,2.5,1,1.452782452,6/12/2017,1.5
30039,1.58,0,1.452066224,2/26/2020,-1
29609,1.7,0,1.451473257,10/27/2019,-1
23014,1.63,0,1.450512143,4/13/2017,-1
32676,1.73,0,1.450498891,9/4/2021,-1
34586,1.78,0,1.450281472,7/11/2022,-1
30337,1.65,0,1.447415715,9/2/2020,-1
23467,2.24,1,1.447045879,6/12/2017,1.24
35638,1.81,0,1.446951216,1/16/2023,-1
29071,2.57,1,1.445847224,8/27/2019,1.57
29718,2.32,1,1.445519472,1/13/2020,1.32
26709,1.64,0,1.444979224,9/12/2018,-1
33524,2.4,1,1.443271208,2/23/2022,1.4
29356,1.5,0,1.441850578,9/23/2019,-1
31224,1.68,0,1.441056873,3/13/2021,-1
33221,1.69,0,1.440309513,1/10/2022,-1
26918,1.71,0,1.440064224,9/30/2018,-1
35863,1.81,0,1.439406026,2/13/2023,-1
33383,2.04,1,1.439132211,1/22/2022,1.04
26403,1.71,0,1.438246159,8/4/2018,-1
29617,1.69,0,1.43801172,10/31/2019,-1
32866,2.14,1,1.437588005,10/2/2021,1.14
35799,1.82,0,1.436812771,2/4/2023,-1
23149,1.88,0,1.435935972,5/5/2017,-1
35051,1.96,1,1.435714192,8/30/2022,0.96
30254,1.68,0,1.435601133,8/24/2020,-1
32950,1.81,0,1.434819038,10/12/2021,-1
34879,1.45,0,1.434601139,8/13/2022,-1
35119,1.93,0,1.434401338,9/6/2022,-1
22766,1.77,0,1.433903268,3/13/2017,-1
22694,1.7,0,1.433651529,3/8/2017,-1
23478,1.63,0,1.433303204,6/13/2017,-1
24536,1.72,0,1.432461519,10/11/2017,-1
29867,1.75,0,1.432259456,1/23/2020,-1
22679,1.73,0,1.431372647,3/2/2017,-1
22482,1.71,0,1.429909654,1/31/2017,-1
23299,2.29,1,1.428616102,5/23/2017,1.29
25054,2.12,1,1.428604638,2/14/2018,1.12
28845,1.92,0,1.428434633,7/30/2019,-1
28083,1.68,0,1.428335879,5/2/2019,-1
23281,2.05,1,1.427125227,5/22/2017,1.05
30096,2.37,1,1.426972926,3/3/2020,1.37
26277,1.7,0,1.426018734,7/20/2018,-1
29937,2.37,1,1.425321757,2/12/2020,1.37
31927,2.27,1,1.424965376,6/10/2021,1.27
29554,1.85,0,1.424343298,10/15/2019,-1
25759,2.61,1,1.423007716,5/21/2018,1.61
31185,2.35,1,1.422927113,3/9/2021,1.35
28905,1.81,0,1.422674874,8/6/2019,-1
32562,2.36,1,1.422557563,8/27/2021,1.36
24713,1.79,0,1.422237842,1/1/2018,-1
24224,1.74,0,1.422173375,9/12/2017,-1
29782,1.69,0,1.421906649,1/20/2020,-1
29008,2.27,1,1.421355521,8/19/2019,1.27
23099,2.09,1,1.421214746,5/1/2017,1.09
24198,2.15,1,1.420323745,9/5/2017,1.15
23493,2.28,1,1.419964685,6/14/2017,1.28
24597,2.01,1,1.419784232,10/16/2017,1.01
34647,2.08,1,1.419433405,7/17/2022,1.08
27764,1.79,0,1.417494711,3/22/2019,-1
25417,2.3,1,1.417229196,4/5/2018,1.3
27854,2.31,1,1.416902155,4/2/2019,1.31
22910,1.69,0,1.416662064,4/4/2017,-1
35450,1.76,0,1.416568136,10/19/2022,-1
30442,1.72,0,1.41512908,9/14/2020,-1
28318,1.55,0,1.414612466,5/28/2019,-1
25781,1.68,0,1.414440866,5/23/2018,-1
25064,2.18,1,1.414241193,2/15/2018,1.18
22286,1.71,0,1.414117398,1/9/2017,-1
23215,2.75,1,1.412282393,5/15/2017,1.75
35284,1.79,0,1.410758841,9/28/2022,-1
24306,1.63,0,1.410489593,9/19/2017,-1
28894,1.68,0,1.410145036,8/5/2019,-1
34909,2.22,0,1.410095311,8/17/2022,-1
25992,1.71,0,1.409859755,6/18/2018,-1
29600,2.12,1,1.409781571,10/24/2019,1.12
35398,1.7,0,1.409674081,10/12/2022,-1
22270,2.09,1,1.40948626,1/6/2017,1.09
23197,2.07,1,1.409479826,5/9/2017,1.07
