match,PSW,win0,confidence0,date,
30841,3.75,1,2.205324629,4/22/2019,2.75
38271,1.37,0,2.204872603,8/19/2022,-1
36824,3.06,1,2.191953855,2/22/2022,2.06
38854,3.98,1,2.160403937,10/31/2022,2.98
33056,1.39,0,2.123556983,2/27/2020,-1
31497,1.34,0,2.067510097,7/3/2019,-1
31375,1.4,0,2.049171531,6/24/2019,-1
36541,1.44,0,2.041564162,2/1/2022,-1
31668,1.38,0,2.012764592,7/24/2019,-1
38395,2.66,1,1.960943084,8/31/2022,1.66
30152,2.74,1,1.938417171,1/18/2019,1.74
27620,2.73,1,1.924598494,4/26/2017,1.73
38433,1.55,0,1.886439775,9/3/2022,-1
34859,2.83,1,1.883863411,5/20/2021,1.83
36780,1.61,0,1.864499155,2/19/2022,-1
33828,2.76,1,1.839445956,1/9/2021,1.76
31071,1.57,0,1.833903304,5/19/2019,-1
27790,1.45,0,1.826437866,5/13/2017,-1
37399,2.44,1,1.82436998,5/11/2022,1.44
34143,2.72,1,1.82065834,2/25/2021,1.72
35942,2.71,1,1.818957511,9/29/2021,1.71
37696,1.66,0,1.81584593,6/15/2022,-1
31846,2.65,1,1.815465801,8/7/2019,1.65
32294,1.57,0,1.813715579,10/8/2019,-1
30262,1.55,0,1.8093279,2/10/2019,-1
27921,2.73,1,1.802675493,5/29/2017,1.73
26915,1.54,0,1.796202506,1/20/2017,-1
33207,2.44,1,1.795764668,9/3/2020,1.44
34024,2.71,1,1.794335127,2/9/2021,1.71
31086,1.47,0,1.792823629,5/21/2019,-1
35720,1.51,0,1.780460414,8/24/2021,-1
32085,2.72,1,1.779756922,9/2/2019,1.72
36060,1.58,0,1.773520804,10/13/2021,-1
31172,2.76,1,1.77299029,5/28/2019,1.76
33891,2.48,1,1.761770899,2/2/2021,1.48
27485,2.45,1,1.760986567,4/12/2017,1.45
27554,2.7,1,1.760319285,4/18/2017,1.7
32251,1.53,0,1.76006007,10/3/2019,-1
35083,2.8,1,1.759765355,6/11/2021,1.8
32281,3.15,1,1.7577394,10/7/2019,2.15
36492,2.23,1,1.755012982,1/21/2022,1.23
36280,3.09,1,1.752972814,11/20/2021,2.09
28199,2.82,1,1.748702924,7/3/2017,1.82
37129,1.51,0,1.745487633,4/10/2022,-1
35175,1.53,0,1.73147609,6/22/2021,-1
29990,1.68,0,1.724557796,1/3/2019,-1
34871,1.55,0,1.722351541,5/21/2021,-1
34107,1.61,0,1.720729541,2/23/2021,-1
31563,2.34,1,1.715829913,7/16/2019,1.34
39293,1.56,0,1.712141393,2/16/2023,-1
37402,2.86,1,1.708743937,5/11/2022,1.86
30160,1.63,0,1.708445948,1/19/2019,-1
30012,2.63,1,1.705951278,1/7/2019,1.63
37898,1.63,0,1.704791271,7/8/2022,-1
32722,1.56,0,1.702683742,1/26/2020,-1
38109,2.44,1,1.700470871,8/2/2022,1.44
38958,1.51,0,1.693076331,1/5/2023,-1
36157,2.51,1,1.691262589,10/27/2021,1.51
33674,2.6,1,1.68968147,10/29/2020,1.6
31545,1.55,0,1.685364236,7/14/2019,-1
37905,1.49,0,1.685280717,7/11/2022,-1
31107,1.54,0,1.685238403,5/22/2019,-1
38115,1.61,0,1.685017124,8/3/2022,-1
37951,1.57,0,1.684540008,7/16/2022,-1
35605,1.69,0,1.683606263,8/10/2021,-1
32605,2.73,1,1.678967478,1/17/2020,1.73
33629,1.56,0,1.675913926,10/23/2020,-1
35430,2.57,1,1.673596475,7/20/2021,1.57
33559,2.58,1,1.672304382,10/15/2020,1.58
30049,1.56,0,1.671860477,1/10/2019,-1
35082,1.68,0,1.669057729,6/11/2021,-1
34482,2.8,1,1.665310374,4/5/2021,1.8
32744,2.44,1,1.662850965,2/3/2020,1.44
35637,1.53,0,1.662029246,8/14/2021,-1
35740,1.56,0,1.660397411,8/27/2021,-1
36993,1.54,0,1.660107727,3/24/2022,-1
33951,2.59,1,1.658463041,2/5/2021,1.59
36168,2.51,1,1.65642485,10/28/2021,1.51
29418,2.77,1,1.655791628,1/10/2018,1.77
33619,2.44,1,1.654697194,10/22/2020,1.44
30527,1.6,0,1.652599757,3/7/2019,-1
28456,2.55,1,1.650412161,7/26/2017,1.55
31595,2.6,1,1.649682031,7/17/2019,1.6
