match,PSW,win0,confidence0,date,winner
34370,1.25,0,2.96847036412784,2022-06-17,Jabeur O.
29372,1.3,0,2.5767698380351067,2019-09-24,Pliskova Ka.
28199,4.27,1,2.553906829118729,2019-05-16,Sakkari M.
31863,4.22,1,2.5179397042095655,2021-06-04,Pavlyuchenkova A.
29385,3.41,1,2.264236763417721,2019-09-25,Yastremska D.
31542,1.32,0,2.2552797247966136,2021-04-23,Halep S.
35913,1.33,0,2.2028805726766585,2023-02-20,Muchova K.
14473,1.36,0,2.1708900287747386,2013-09-29,Kanepi K.
28138,1.36,0,2.167243877649307,2019-05-08,Kvitova P.
23310,1.36,0,2.1574301156997677,2017-05-24,Garcia C.
28189,1.28,0,2.133427620530129,2019-05-16,Kvitova P.
33754,1.41,0,2.120185388624668,2022-03-24,Osaka N.
17144,3.09,1,2.090704950213432,2015-01-04,Lepchenko V.
21104,3.43,1,2.0583209054172045,2016-06-24,Cibulkova D.
29978,1.43,0,2.026484587550163,2020-02-19,Pliskova Ka.
13113,1.42,0,1.9970952343940733,2013-04-23,Bertens K.
33015,3.8,1,1.9947253093123436,2021-10-22,Alexandrova E.
26303,1.37,0,1.983569976091385,2018-07-24,Zhang S.
18522,3.64,1,1.9774186980724338,2015-06-23,Errani S.
17137,2.82,1,1.9748714876174926,2014-11-01,Petkovic A.
22505,1.5,0,1.9720479605197905,2017-02-03,Peng S.
27513,2.88,1,1.956021961212158,2019-02-15,Mertens E.
31353,1.39,0,1.9485536379473547,2021-03-27,Sabalenka A.
26513,2.79,1,1.9422721974338806,2018-08-17,Bertens K.
14085,1.38,0,1.920294134989381,2013-08-13,Williams V.
25738,1.41,0,1.9038314703532628,2018-05-20,Rybakina E.
13805,1.56,0,1.8943339695533117,2013-07-10,Beck A.
26970,1.44,0,1.8938598972558975,2018-10-07,Wozniacki C.
28205,3.53,1,1.8907724101096393,2019-05-18,Konta J.
13045,1.43,0,1.8749624949693682,2013-04-04,Wozniacki C.
29987,1.39,0,1.8658507911115887,2020-02-21,Halep S.
24812,1.51,0,1.8607277503609654,2018-01-09,Tsurenko L.
22134,1.51,0,1.852986523211002,2016-10-19,Niculescu M.
13683,1.43,0,1.8432304114103317,2013-06-25,Riske A.
26459,1.56,0,1.8401525461673736,2018-08-11,Svitolina E.
24437,2.7,1,1.838518211245537,2017-09-29,Bondarenko K.
15301,1.44,0,1.8364171695709228,2014-03-20,Lisicki S.
29362,1.59,0,1.8277017353475096,2019-09-23,Kuzmova V.
31222,1.43,0,1.8226028377811112,2021-03-12,Muguruza G.
24442,1.5,0,1.810388270765543,2017-09-30,Sharapova M.
14298,2.8,1,1.8097654700279235,2013-09-10,Garcia C.
23049,2.8,1,1.806310200691223,2017-04-26,Vesnina E.
24072,1.5,0,1.7980117620527742,2017-08-24,Cibulkova D.
24496,2.82,1,1.795061243534088,2017-10-06,Garcia C.
22099,3.38,1,1.790896646976471,2016-10-17,Schiavone F.
30917,1.61,0,1.7793117523193362,2021-02-09,Gavrilova D.
12848,1.42,0,1.777810729622841,2013-03-09,Burdette M.
14052,1.42,0,1.7764435455203058,2013-08-08,Stosur S.
20554,1.58,0,1.7757110874652864,2016-04-22,Kerber A.
23786,1.47,0,1.7736787158250809,2017-07-18,Kovinic D.
23922,1.55,0,1.768155340850353,2017-08-03,Goerges J.
31438,1.5,0,1.76597282320261,2021-04-07,Tomova V.
31615,1.43,0,1.7592258203029632,2021-05-05,Sabalenka A.
21041,1.43,0,1.7542619641870258,2016-06-16,Pironkova T.
10657,2.56,1,1.7473451232910155,2012-04-13,Suarez Navarro C.
23816,2.9,1,1.742037233710289,2017-07-22,Begu I.
31305,1.47,0,1.740891539901495,2021-03-24,Garcia C.
32376,1.44,0,1.739564225077629,2021-08-03,Mladenovic K.
21705,1.62,0,1.7395583724975587,2016-09-10,Kerber A.
18113,2.78,1,1.7375054267048835,2015-05-04,Kuznetsova S.
26436,1.51,0,1.7352531370520592,2018-08-08,Svitolina E.
29982,2.86,1,1.7351009525855376,2020-02-20,Rybakina E.
24350,2.72,1,1.733701204299927,2017-09-23,Pavlyuchenkova A.
23038,1.59,0,1.730235044360161,2017-04-25,Kuznetsova S.
27061,2.6,1,1.727504358291626,2018-10-14,Garcia C.
32978,1.64,0,1.7232161968946458,2021-10-19,Zheng S.
25160,1.52,0,1.7209071047306057,2018-03-02,Tsurenko L.
15853,1.57,0,1.7201604245603084,2014-05-27,Pfizenmaier D.
35521,2.88,1,1.7189371633529664,2023-01-04,Masarova R.
29273,2.4,1,1.7183309197425842,2019-09-17,Paolini J.
25099,2.86,1,1.716312947511673,2018-02-21,Kasatkina D.
15827,2.76,1,1.7101847881078718,2014-05-25,Niculescu M.
