match,PSW,win0,confidence0,date,winner,,,
26689,1.2,0,3.960062636,9/11/2018,Wang Q.,-1,-50,
34567,5.27,1,3.549936615,7/2/2022,Cornet A.,4.27,213.5,
25028,1.23,0,3.05633824,2/13/2018,Muguruza G.,-1,-50,
32152,1.28,0,3.007021577,7/1/2021,Pavlyuchenkova A.,-1,-50,
35486,1.28,0,2.87471869,11/3/2022,Swiatek I.,-1,-50,
34169,1.26,0,2.792219792,5/24/2022,Juvan K.,-1,-50,
32504,1.3,0,2.784421731,8/21/2021,Barty A.,-1,-50,
33011,3.8,1,2.758454134,10/22/2021,Alexandrova E.,2.8,140,
24043,1.27,0,2.713288043,8/18/2017,Pliskova Ka.,-1,-50,
28698,1.28,0,2.692971675,7/9/2019,Williams S.,-1,-50,
34674,1.31,0,2.68388259,7/19/2022,Krunic A.,-1,-50,
27082,1.19,0,2.648689091,10/16/2018,Muguruza G.,-1,-50,
25576,4.13,1,2.623709439,5/1/2018,Dulgheru A.,3.13,156.5,
28974,1.35,0,2.606518102,8/14/2019,Halep S.,-1,-50,
29121,1.29,0,2.587833929,8/30/2019,Barty A.,-1,-50,
31548,1.32,0,2.574819491,4/23/2021,Halep S.,-1,-50,
29259,1.24,0,2.543752536,9/17/2019,Keys M.,-1,-50,
35912,1.33,0,2.531860272,2/20/2023,Muchova K.,-1,-50,
26255,1.38,0,2.521516733,7/18/2018,Minella M.,-1,-50,
29372,1.3,0,2.520462569,9/24/2019,Pliskova Ka.,-1,-50,
29385,3.41,1,2.494891146,9/25/2019,Yastremska D.,2.41,120.5,
26456,1.38,0,2.481821863,8/10/2018,Halep S.,-1,-50,
28724,1.24,0,2.468743685,7/16/2019,Pliskova Kr.,-1,-50,
29184,1.31,0,2.436996393,9/10/2019,Zhang S.,-1,-50,
26017,1.29,0,2.423796932,6/19/2018,Muguruza G.,-1,-50,
25595,3.6,1,2.421898663,5/2/2018,Badosa Gibert P.,2.6,130,
34172,3.07,1,2.379931577,5/24/2022,Contreras Gomez F.,2.07,103.5,
33677,1.25,0,2.375194652,3/13/2022,Swiatek I.,-1,-50,
26303,1.37,0,2.371258346,7/24/2018,Zhang S.,-1,-50,
31353,1.39,0,2.36921206,3/27/2021,Sabalenka A.,-1,-50,
