match,PSW,win0,confidence0,date,winner
26292,1.16,0,4.587551984,7/23/2018,Wang Q.
28502,1.21,0,3.556833449,6/20/2019,Garcia C.
26694,1.2,0,3.273439751,9/11/2018,Wang Q.
31503,1.17,0,3.269248438,4/19/2021,Bencic B.
34563,5.27,1,3.120222183,7/2/2022,Cornet A.
28699,1.28,0,3.062033498,7/9/2019,Williams S.
31867,4.22,1,3.02492639,6/4/2021,Pavlyuchenkova A.
34063,1.23,0,3.008415009,5/14/2022,Swiatek I.
27086,1.19,0,2.982000621,10/16/2018,Muguruza G.
35486,1.28,0,2.929824516,11/3/2022,Swiatek I.
32504,1.3,0,2.829752851,8/21/2021,Barty A.
34800,4.47,1,2.805915553,8/3/2022,Saville D.
34790,3.63,1,2.801935924,8/2/2022,Mandlik E.
29119,1.29,0,2.781972928,8/30/2019,Barty A.
28915,1.3,0,2.745594602,8/7/2019,Halep S.
33659,4.28,1,2.713800187,3/12/2022,Saville D.
33015,3.8,1,2.648492606,10/22/2021,Alexandrova E.
29349,1.32,0,2.613707439,9/23/2019,Martic P.
35400,1.33,0,2.609453624,10/13/2022,Swiatek I.
29364,1.3,0,2.571239669,9/24/2019,Pliskova Ka.
24755,1.22,0,2.561238595,1/4/2018,Sharapova M.
26308,1.37,0,2.496763842,7/24/2018,Zhang S.
35913,1.33,0,2.493682538,2/20/2023,Muchova K.
33678,1.25,0,2.439521944,3/13/2022,Swiatek I.
30057,1.34,0,2.434913978,2/26/2020,Barty A.
28417,1.33,0,2.416718642,6/12/2019,Mladenovic K.
29984,2.86,1,2.412036919,2/20/2020,Rybakina E.
29452,1.36,0,2.40710569,10/1/2019,Wozniacki C.
32904,1.36,0,2.36114686,10/8/2021,Riske A.
25733,1.39,0,2.360110895,5/18/2018,Halep S.
30110,1.26,0,2.331325887,3/4/2020,Kenin S.
25955,1.38,0,2.326845735,6/12/2018,Flipkens K.
31369,1.33,0,2.292888019,3/29/2021,Osaka N.
31221,1.43,0,2.247612087,3/12/2021,Muguruza G.
25011,3.54,1,2.245711554,2/2/2018,Kasatkina D.
29386,3.41,1,2.238229014,9/25/2019,Yastremska D.
30496,1.46,0,2.234556034,9/20/2020,Halep S.
29367,1.27,0,2.232669195,9/24/2019,Barty A.
33749,1.41,0,2.227246087,3/24/2022,Osaka N.
35523,2.88,1,2.219121311,1/4/2023,Masarova R.
23943,3.01,1,2.213320292,8/7/2017,Lepchenko V.
27705,1.32,0,2.206710586,3/11/2019,Kerber A.
29651,1.35,0,2.204895591,1/7/2020,Osaka N.
33988,3.61,1,2.19723591,5/1/2022,Sorribes Tormo S.
26508,2.79,1,2.185632688,8/17/2018,Bertens K.
26441,4.42,1,2.185484853,8/8/2018,Abanda F.
26456,1.38,0,2.172233162,8/10/2018,Halep S.
30400,1.44,0,2.165893881,9/7/2020,Williams S.
22504,1.34,0,2.164405212,2/2/2017,Cibulkova D.
31352,1.39,0,2.158408707,3/27/2021,Sabalenka A.
29472,1.43,0,2.153374055,10/5/2019,Osaka N.
33706,1.56,0,2.149261941,3/19/2022,Swiatek I.
34125,1.47,0,2.147514048,5/20/2022,Kerber A.
30835,1.41,0,2.146226361,2/3/2021,Williams S.
26984,2.63,1,2.132521651,10/8/2018,Tomova V.
23105,1.44,0,2.124680042,5/2/2017,Gavrilova D.
31545,1.32,0,2.114785675,4/23/2021,Halep S.
26259,1.38,0,2.103724355,7/18/2018,Minella M.
22254,2.83,1,2.095324186,1/5/2017,Cornet A.
33716,1.51,0,2.08892658,3/22/2022,Saville D.
24434,2.7,1,2.088255018,9/29/2017,Bondarenko K.
23107,3.25,1,2.083381619,5/2/2017,Maria T.
33104,1.41,0,2.081512591,11/10/2021,Kontaveit A.
32869,2.87,1,2.078487832,10/6/2021,Doi M.
34614,3.04,1,2.063929504,7/13/2022,Siniakova K.
35524,1.46,0,2.063228677,1/4/2023,Zhu L.
25365,1.38,0,2.057560335,4/2/2018,Bertens K.
29448,1.41,0,2.049080396,10/1/2019,Barty A.
24298,1.43,0,2.046230969,9/19/2017,Cornet A.
29709,1.4,0,2.046054388,1/11/2020,Williams S.
29754,1.37,0,2.044903469,1/15/2020,Vondrousova M.
32153,1.28,0,2.044490569,7/1/2021,Pavlyuchenkova A.
30399,1.49,0,2.028277538,9/6/2020,Brady J.
34851,3.63,1,2.025530546,8/10/2022,Putintseva Y.
23215,2.75,1,2.023746636,5/15/2017,Cornet A.
22978,1.51,0,2.023585823,4/10/2017,Barthel M.
34580,1.4,0,2.019407211,7/6/2022,Halep S.
24495,2.82,1,2.018326768,10/6/2017,Garcia C.
25552,1.55,0,2.016972591,4/27/2018,Sakkari M.
25107,2.86,1,2.016538074,2/21/2018,Kasatkina D.
29150,3.59,1,2.007228708,9/7/2019,Andreescu B.
28987,3.71,1,1.997635671,8/16/2019,Kuznetsova S.
24010,3.05,1,1.978249974,8/15/2017,Krunic A.
23233,3.02,1,1.971846828,5/16/2017,Davis L.
30863,2.63,1,1.970763598,2/6/2021,Mertens E.
29601,1.53,0,1.965181593,10/24/2019,Muchova K.
28069,2.47,1,1.958922327,5/1/2019,Korpatsch T.
29766,1.54,0,1.958535251,1/16/2020,Barty A.
23256,1.52,0,1.954508663,5/18/2017,Svitolina E.
24159,1.64,0,1.952526566,8/31/2017,Stephens S.
34808,1.55,0,1.950445163,8/4/2022,Jabeur O.
25491,1.54,0,1.946956505,4/14/2018,Mertens E.
26269,1.39,0,1.93854574,7/19/2018,Cirstea S.
29978,1.48,0,1.936325992,2/19/2020,Rybakina E.
27420,1.59,0,1.935552018,1/21/2019,Osaka N.
25536,1.53,0,1.935486159,4/26/2018,Svitolina E.
29608,1.55,0,1.933058883,10/27/2019,Sabalenka A.
24232,1.49,0,1.931695682,9/13/2017,Mchale C.
22826,3.04,1,1.931266657,3/23/2017,Flipkens K.
35082,2.92,1,1.929198946,9/1/2022,Yuan Y.
27963,1.65,0,1.929158831,4/12/2019,Sharma A.
31505,1.63,0,1.925865,4/20/2021,Siegemund L.
34400,1.48,0,1.924608479,6/20/2022,Muguruza G.
23853,1.46,0,1.923550714,7/26/2017,Garcia C.
34153,1.42,0,1.923278388,5/23/2022,Raducanu E.
22306,2.73,1,1.922781921,1/10/2017,Bouchard E.
30279,1.53,0,1.922072001,8/26/2020,Osaka N.
35264,1.47,0,1.918479249,9/27/2022,Teichmann J.
30283,1.72,0,1.912559317,8/28/2020,Osaka N.
34650,1.54,0,1.912209585,7/18/2022,Paolini J.
25209,1.54,0,1.910571191,3/10/2018,Sevastova A.
24905,1.46,0,1.897546176,1/17/2018,Bertens K.
34172,3.07,1,1.891383746,5/24/2022,Contreras Gomez F.
23738,1.6,0,1.889398757,7/8/2017,Martic P.
35736,3.72,1,1.883164235,1/24/2023,Azarenka V.
28804,1.52,0,1.881888968,7/24/2019,Potapova A.
30435,1.4,0,1.881870771,9/11/2020,Osaka N.
26460,1.56,0,1.863573383,8/11/2018,Svitolina E.
24761,1.51,0,1.862799728,1/4/2018,Svitolina E.
29389,1.44,0,1.856690129,9/25/2019,Barty A.
29512,1.69,0,1.852438379,10/9/2019,Jabeur O.
31434,3.18,1,1.851224353,4/7/2021,Voegele S.
29164,1.71,0,1.848374471,9/9/2019,Hon P.
22404,2.86,1,1.844551296,1/18/2017,Cirstea S.
22834,2.73,1,1.837320857,3/24/2017,Stosur S.
25740,1.52,0,1.83525641,5/20/2018,Buzarnescu M.
34674,1.48,0,1.832658858,7/19/2022,Bondar A.
26662,1.51,0,1.832518844,9/3/2018,Stephens S.
35365,2.82,1,1.831278213,10/9/2022,Krejcikova B.
24142,2.14,1,1.831259037,8/30/2017,Allertova D.
29238,1.49,0,1.829327963,9/15/2019,Pliskova Ka.
32694,2.34,1,1.826838942,9/10/2021,Raducanu E.
33967,1.67,0,1.82415611,4/29/2022,Osaka N.
26325,1.74,0,1.822882843,7/25/2018,Ivakhnenko V.
26462,1.53,0,1.822392171,8/12/2018,Halep S.
24352,2.72,1,1.822105141,9/23/2017,Pavlyuchenkova A.
28759,2.74,1,1.820800752,7/20/2019,Tig P.M.
29170,2.65,1,1.820378204,9/10/2019,Stojanovic N.
32501,2.56,1,1.818693447,8/20/2021,Badosa P.
33120,2.9,1,1.818490309,11/15/2021,Muguruza G.
33285,1.48,0,1.818252987,1/17/2022,Keys M.
25475,2.8,1,1.8155761,4/13/2018,Voegele S.
32503,1.54,0,1.815468595,8/21/2021,Pliskova Ka.
29073,2.57,1,1.813909094,8/27/2019,Di Lorenzo F.
28370,2.42,1,1.813533075,5/31/2019,Martic P.
30197,1.52,0,1.812588513,8/12/2020,Jabeur O.
23126,1.53,0,1.811624372,5/3/2017,Barthel M.
27084,2.47,1,1.811180555,10/16/2018,Bouchard E.
25584,2.74,1,1.810796206,5/1/2018,Zhang S.
27351,3.18,1,1.80685928,1/15/2019,Zidansek T.
27555,1.53,0,1.806094122,2/19/2019,Hsieh S.W.
32626,1.56,0,1.806020299,8/31/2021,Martic P.
26099,1.48,0,1.805892537,7/2/2018,Blinkova A.
31494,2.54,1,1.805049213,4/16/2021,Sharma A.
26289,1.4,0,1.804963756,7/23/2018,Liang E.S.
22815,2.55,1,1.803881096,3/22/2017,Cepede Royg V.
26729,1.43,0,1.802372744,9/15/2018,Anisimova A.
23650,1.55,0,1.801551012,7/3/2017,Giorgi C.
26097,1.8,0,1.80147548,6/29/2018,Wozniacki C.
