match,PSW,win0,confidence0,date,winner,,
34366,1.25,0,2.674453095,6/17/2022,Jabeur O.,-1,-100
33678,1.25,0,2.471877808,3/13/2022,Swiatek I.,-1,-100
29364,1.3,0,2.410334208,9/24/2019,Pliskova Ka.,-1,-100
18516,3.64,1,2.220745942,6/23/2015,Errani S.,2.64,264
31548,1.32,0,2.182249041,4/23/2021,Halep S.,-1,-100
33420,1.32,0,2.120484341,2/8/2022,Kontaveit A.,-1,-100
28205,3.53,1,2.073540331,5/18/2019,Konta J.,2.53,253
27819,1.35,0,2.04485997,3/28/2019,Barty A.,-1,-100
33104,1.41,0,2.030751233,11/10/2021,Kontaveit A.,-1,-100
35729,1.44,0,2.022524546,1/22/2023,Pegula J.,-1,-100
23310,1.36,0,2.014313718,5/24/2017,Garcia C.,-1,-100
33748,1.41,0,2.0135858,3/24/2022,Osaka N.,-1,-100
29910,1.34,0,2.010560788,2/10/2020,Sanders S.,-1,-100
24338,1.57,0,1.999961714,9/21/2017,Cirstea S.,-1,-100
24436,2.7,1,1.99246117,9/29/2017,Bondarenko K.,1.7,170
16035,1.42,0,1.988320893,6/18/2014,Kerber A.,-1,-100
25544,1.53,0,1.964788255,4/26/2018,Svitolina E.,-1,-100
32374,1.44,0,1.960708067,8/3/2021,Mladenovic K.,-1,-100
22138,1.51,0,1.938236715,10/19/2016,Niculescu M.,-1,-100
16046,1.45,0,1.934264842,6/19/2014,Wozniacki C.,-1,-100
29391,3.41,1,1.929538322,9/25/2019,Yastremska D.,2.41,241
18052,1.44,0,1.928051485,4/29/2015,Strycova B.,-1,-100
13115,1.42,0,1.925525507,4/23/2013,Bertens K.,-1,-100
16169,1.45,0,1.885721154,6/30/2014,Bouchard E.,-1,-100
22672,2.75,1,1.885298982,3/1/2017,Parmentier P.,1.75,175
28760,2.74,1,1.881815377,7/20/2019,Tig P.M.,1.74,174
25104,2.86,1,1.877166953,2/21/2018,Kasatkina D.,1.86,186
