match,PSW,win0,confidence0,date,winner
30503,52,1,25.32000577,9/21/2020,Halep S.
23612,1.17,0,3.457780048,6/28/2017,Halep S.
34366,1.25,0,2.636341169,6/17/2022,Jabeur O.
31548,1.32,0,2.407831303,4/23/2021,Halep S.
25573,4.13,1,2.360280151,5/1/2018,Dulgheru A.
33015,3.8,1,2.329651252,10/22/2021,Alexandrova E.
23309,1.36,0,2.329332963,5/24/2017,Garcia C.
22310,3.64,1,2.310839176,1/10/2017,Duan Y.Y.
29364,1.3,0,2.262281176,9/24/2019,Pliskova Ka.
22325,1.32,0,2.236059771,1/12/2017,Radwanska A.
31352,1.39,0,2.19861556,3/27/2021,Sabalenka A.
12179,1.28,0,2.156680693,10/19/2012,Ivanovic A.
28138,1.36,0,2.127933131,5/8/2019,Kvitova P.
29391,3.41,1,2.101069211,9/25/2019,Yastremska D.
20250,1.42,0,2.087690494,3/12/2016,Puig M.
29982,2.86,1,2.05911229,2/20/2020,Rybakina E.
11067,3.1,1,2.041222027,6/1/2012,Errani S.
18516,3.64,1,2.039128021,6/23/2015,Errani S.
31221,1.43,0,2.034487205,3/12/2021,Muguruza G.
17518,1.35,0,2.001109343,2/17/2015,Ivanovic A.
27479,3.66,1,1.996223723,2/1/2019,Vekic D.
28988,3.71,1,1.981008046,8/16/2019,Kuznetsova S.
25747,1.41,0,1.977378804,5/20/2018,Rybakina E.
22080,1.35,0,1.969765806,10/14/2016,Suarez Navarro C.
16866,3.13,1,1.965700092,9/22/2014,Gajdosova J.
13461,1.45,0,1.945055186,5/31/2013,Vinci R.
12117,1.42,0,1.930186172,10/11/2012,Ivanovic A.
10859,1.45,0,1.928449228,5/14/2012,Medina Garrigues A.
22138,1.51,0,1.920022704,10/19/2016,Niculescu M.
25104,2.86,1,1.914174745,2/21/2018,Kasatkina D.
13046,1.43,0,1.909884681,4/4/2013,Wozniacki C.
16259,2.9,1,1.903151792,7/15/2014,Nara K.
18995,1.47,0,1.89823654,8/18/2015,Stephens S.
26508,2.79,1,1.896762588,8/17/2018,Bertens K.
24498,2.82,1,1.890111753,10/6/2017,Garcia C.
33104,1.41,0,1.873425194,11/10/2021,Kontaveit A.
13804,1.56,0,1.866648799,7/10/2013,Beck A.
25253,2.74,1,1.861181234,3/15/2018,Kasatkina D.
30651,1.5,0,1.858770277,10/10/2020,Swiatek I.
28205,3.53,1,1.858554684,5/18/2019,Konta J.
16043,1.6,0,1.855769614,6/19/2014,Rybarikova M.
14409,1.59,0,1.842036222,9/22/2013,Bencic B.
22480,1.5,0,1.841483266,1/31/2017,Petkovic A.
21105,3.43,1,1.84105101,6/24/2016,Cibulkova D.
22100,3.38,1,1.830471798,10/17/2016,Schiavone F.
18982,2.97,1,1.827602004,8/18/2015,Garcia C.
33749,1.41,0,1.825827788,3/24/2022,Osaka N.
25293,1.42,0,1.825641034,3/22/2018,Niculescu M.
29965,2.56,1,1.823657837,2/18/2020,Siniakova K.
18962,1.47,0,1.816188628,8/13/2015,Azarenka V.
29386,1.44,0,1.815788203,9/25/2019,Barty A.
27109,1.5,0,1.813020299,10/18/2018,Goerges J.
19762,2.43,1,1.802643367,1/11/2016,Stosur S.
10027,1.5,0,1.800792134,1/19/2012,Zheng J.
23754,1.43,0,1.794773353,7/13/2017,Muguruza G.
22715,1.44,0,1.791457458,3/9/2017,Bencic B.
16286,1.56,0,1.785758196,7/17/2014,Konjuh A.
33496,1.46,0,1.783086605,2/21/2022,Kasatkina D.
28831,2.89,1,1.778536089,7/29/2019,Ahn K.
23098,1.46,0,1.777164732,5/1/2017,Vondrousova M.
15230,2.86,1,1.775974401,3/8/2014,Shvedova Y.
32376,1.44,0,1.773813531,8/3/2021,Mladenovic K.
30751,2.84,1,1.763633417,1/31/2021,Paolini J.
23394,1.52,0,1.762022611,5/30/2017,Martic P.
11343,3.31,1,1.760665364,6/29/2012,Cepelova J.
22834,2.73,1,1.76003939,3/24/2017,Stosur S.
21837,2.66,1,1.753912851,9/22/2016,Linette M.
17144,3.09,1,1.752194446,1/4/2015,Lepchenko V.
25549,1.55,0,1.752115409,4/27/2018,Sakkari M.
16827,1.58,0,1.749490419,9/18/2014,Gibbs N.
24546,2.43,1,1.748228224,10/11/2017,Golubic V.
13104,1.42,0,1.747904594,4/23/2013,Bertens K.
22506,1.5,0,1.747040289,2/3/2017,Peng S.
16163,1.49,0,1.745735607,6/28/2014,Bouchard E.
22440,1.51,0,1.742333621,1/21/2017,Konta J.
31646,1.65,0,1.742206426,5/12/2021,Ostapenko J.
35120,1.43,0,1.740620145,9/6/2022,Jabeur O.
21064,1.33,0,1.740089108,6/19/2016,Wozniacki C.
33689,3.02,1,1.739009608,3/14/2022,Vondrousova M.
18804,2.53,1,1.737707456,7/27/2015,Hlavackova A.
31615,1.43,0,1.736539935,5/5/2021,Sabalenka A.
21720,1.45,0,1.736169351,9/13/2016,Larsson J.
21530,2.74,1,1.735881647,8/18/2016,Babos T.
19564,2.26,1,1.729536956,10/17/2015,Kovinic D.
13761,1.39,0,1.728685754,7/1/2013,Flipkens K.
20677,2.59,1,1.72601556,5/3/2016,Stosur S.
15036,2.59,1,1.722587872,2/12/2014,Kleybanova A.
27107,1.54,0,1.720129251,10/17/2018,Bencic B.
10170,1.49,0,1.711743659,2/15/2012,Kuznetsova S.
24335,1.57,0,1.710536695,9/21/2017,Cirstea S.
16188,2.6,1,1.706554236,7/7/2014,Buyukakcay C.
22685,1.77,0,1.702573829,3/3/2017,Tsurenko L.
25709,2.27,1,1.698726457,5/15/2018,Babos T.
27185,1.7,0,1.698721504,1/1/2019,Zvonareva V.
17663,1.58,0,1.698580702,3/6/2015,Pavlyuchenkova A.
21545,1.46,0,1.698176706,8/19/2016,Muguruza G.
28830,2.45,1,1.695874862,7/29/2019,Mchale C.
24281,2.65,1,1.695272197,9/18/2017,Soylu I.
27687,1.55,0,1.693531444,3/9/2019,Williams S.
22662,2.75,1,1.690891057,3/1/2017,Parmentier P.
26510,1.62,0,1.689780583,8/17/2018,Kvitova P.
14290,2.8,1,1.687722943,9/10/2013,Garcia C.
18368,1.52,0,1.687173319,5/31/2015,Ivanovic A.
30627,2.76,1,1.686603436,10/2/2020,Bertens K.
13258,2.55,1,1.685703759,5/13/2013,Bertens K.
22907,1.69,0,1.68470226,4/4/2017,Zhang S.
34653,1.51,0,1.680232835,7/18/2022,Sasnovich A.
11502,2.53,1,1.679633995,7/25/2012,Puchkova O.
25397,1.53,0,1.679142309,4/4/2018,Errani S.
16319,2.39,1,1.678770482,7/22/2014,Glushko J.
27599,1.53,0,1.674778717,2/23/2019,Vondrousova M.
16410,1.51,0,1.672860778,8/5/2014,Pliskova Ka.
28760,2.74,1,1.670483281,7/20/2019,Tig P.M.
15708,1.56,0,1.670220309,5/12/2014,Vesnina E.
10408,1.48,0,1.668765416,3/10/2012,Halep S.
25707,1.57,0,1.668336991,5/15/2018,Collins D.
11393,2.3,1,1.668276651,7/11/2012,Zahlavova Strycova B.
25334,1.56,0,1.666368883,3/25/2018,Konta J.
20557,1.58,0,1.665365016,4/22/2016,Kerber A.
23568,1.54,0,1.663712308,6/23/2017,Garcia C.
10875,2.64,1,1.662917395,5/15/2012,Stephens S.
20794,1.51,0,1.659997138,5/18/2016,Bertens K.
28688,2.62,1,1.659916781,7/8/2019,Konta J.
21370,2.59,1,1.659610441,7/22/2016,Siniakova K.
12630,2.37,1,1.659039969,2/18/2013,Erakovic M.
23561,2.93,1,1.65893549,6/22/2017,Giorgi C.
25410,1.78,0,1.656582836,4/5/2018,Tomljanovic A.
25537,1.41,0,1.656312769,4/26/2018,Garcia C.
10739,2.8,1,1.656125981,5/1/2012,Zheng J.
23660,1.61,0,1.655955633,7/3/2017,Pliskova Kr.
