match,PSW,win0,confidence0,date,winner
23914,1.12,0,4.251057874,8/3/2017,Halep S.
17439,1.2,0,3.903400758,2/10/2015,Barthel M.
25693,1.16,0,3.650676325,5/14/2018,Kanepi K.
34254,1.15,0,3.016914129,6/4/2022,Swiatek I.
16209,1.22,0,2.960742372,7/8/2014,Errani S.
33677,1.25,0,2.915841716,3/13/2022,Swiatek I.
22997,1.21,0,2.86095732,4/11/2017,Vondrousova M.
23578,1.33,0,2.718803007,6/24/2017,Kvitova P.
32504,1.3,0,2.694134279,8/21/2021,Barty A.
31548,1.32,0,2.648669366,4/23/2021,Halep S.
32153,1.28,0,2.607216765,7/1/2021,Pavlyuchenkova A.
22176,1.22,0,2.598377873,11/3/2016,Svitolina E.
34410,3.93,1,2.598177346,6/21/2022,Kalinina A.
35854,1.33,0,2.5052338,2/10/2023,Bencic B.
12981,1.17,0,2.447132841,3/27/2013,Sharapova M.
18140,1.37,0,2.445208234,5/11/2015,Williams V.
12886,4.43,1,2.441867632,3/14/2013,Wozniacki C.
21761,1.32,0,2.435161673,9/17/2016,Davis L.
29397,3.41,1,2.431739057,9/25/2019,Yastremska D.
31866,4.22,1,2.428673183,6/4/2021,Pavlyuchenkova A.
14858,3.36,1,2.424666259,1/14/2014,Svitolina E.
17516,1.36,0,2.418233366,2/17/2015,Pennetta F.
24144,1.34,0,2.401216507,8/30/2017,Kuznetsova S.
14181,5,1,2.378230952,8/27/2013,Vickery S.
14119,3.91,1,2.367478306,8/18/2013,Azarenka V.
16076,1.37,0,2.309485423,6/23/2014,Zahlavova Strycova B.
20111,3.75,1,2.301281601,2/24/2016,Vesnina E.
35480,3.27,1,2.26952464,10/31/2022,Sakkari M.
17862,1.39,0,2.267242373,3/31/2015,Halep S.
14346,1.42,0,2.257201523,9/16/2013,Konta J.
22090,1.28,0,2.256712925,10/16/2016,Cibulkova D.
25239,3.01,1,2.246663924,3/12/2018,Sevastova A.
33106,1.41,0,2.237718789,11/10/2021,Kontaveit A.
29365,1.3,0,2.232675709,9/24/2019,Pliskova Ka.
19196,3.29,1,2.21892612,9/15/2015,Hsieh S.W.
29971,3.26,1,2.215851144,2/18/2020,Rybakina E.
29129,1.32,0,2.212790059,8/31/2019,Mertens E.
19163,1.39,0,2.211184888,9/5/2015,Stosur S.
31353,1.39,0,2.204561352,3/27/2021,Sabalenka A.
