match,PSW,win0,confidence0,date,winner
23644,1.81,0,1.337965304,7/3/2017,Abanda F.
26703,1.64,1,1.271573747,9/12/2018,Abanda F.
24008,2.09,0,1.131877013,8/15/2017,Abanda F.
21733,2.7,0,1.097521712,9/14/2016,Abanda F.
24236,1.44,1,1.068280874,9/13/2017,Abanda F.
24243,2.53,0,1.034600789,9/14/2017,Abanda F.
21391,4.3,0,0.991254843,7/26/2016,Abanda F.
26441,4.42,0,0.969099831,8/8/2018,Abanda F.
23362,1.52,1,0.892250066,5/29/2017,Abanda F.
32508,,0,,8/22/2021,Abanda F.
16710,2.62,1,1.214944393,9/10/2014,Abduraimova N.
16730,2.15,0,1.20658397,9/11/2014,Abduraimova N.
16688,3.01,0,1.123207428,9/9/2014,Abduraimova N.
19385,2.88,0,1.033313007,9/29/2015,Abduraimova N.
21808,,1,,9/20/2016,Abduraimova N.
29004,2.27,1,1.561724841,8/19/2019,Ahn K.
29130,2.21,1,1.414175516,8/31/2019,Ahn K.
23495,1.93,1,1.412716101,6/14/2017,Ahn K.
29291,2.06,1,1.376014422,9/18/2019,Ahn K.
31886,2.09,1,1.273946493,6/6/2021,Ahn K.
25386,3.5,0,1.119331738,4/3/2018,Ahn K.
29100,2.35,0,1.105334331,8/29/2019,Ahn K.
28864,4.53,0,1.104357589,8/1/2019,Ahn K.
29089,5.25,0,1.070929549,8/28/2019,Ahn K.
27943,4.87,0,1.060027593,4/10/2019,Ahn K.
28833,2.89,0,0.957139282,7/29/2019,Ahn K.
22904,3.07,0,0.945353056,4/4/2017,Ahn K.
32062,3.99,0,0.909136058,6/28/2021,Ahn K.
29247,1.54,1,0.901147069,9/16/2019,Ahn K.
24317,2.48,0,0.723049288,9/20/2017,Ahn K.
23461,2.39,0,0.668856608,6/12/2017,Ahn K.
30790,1.73,0,1.601744135,2/1/2021,Aiava D.
27165,2.1,0,1.245016274,12/31/2018,Aiava D.
22224,2.91,0,1.206144539,1/3/2017,Aiava D.
28411,7.29,0,1.017939529,6/11/2019,Aiava D.
23051,2.76,0,0.939015544,4/26/2017,Aksu A.
34007,2.47,1,1.956945153,5/4/2022,Alexandrova E.
33012,3.8,1,1.881872908,10/22/2021,Alexandrova E.
34889,2.21,1,1.629110092,8/15/2022,Alexandrova E.
31754,1.56,0,1.572967161,5/26/2021,Alexandrova E.
34315,2.11,1,1.564871932,6/12/2022,Alexandrova E.
35318,1.86,0,1.487321837,10/3/2022,Alexandrova E.
35131,1.72,0,1.38613579,9/12/2022,Alexandrova E.
31969,1.96,1,1.378305164,6/16/2021,Alexandrova E.
33720,1.75,0,1.378137408,3/22/2022,Alexandrova E.
28532,2.08,0,1.34469499,6/23/2019,Alexandrova E.
34312,1.87,1,1.340382403,6/11/2022,Alexandrova E.
27059,2.3,1,1.33031734,10/13/2018,Alexandrova E.
28361,2.02,1,1.320686978,5/30/2019,Alexandrova E.
29699,1.84,0,1.31946636,1/10/2020,Alexandrova E.
29522,1.91,1,1.318404351,10/11/2019,Alexandrova E.
35563,1.1,1,0.946918489,1/9/2023,Alexandrova E.
33880,1.91,0,1.259727827,4/8/2022,Alexandrova E.
29424,1.85,1,1.24748491,9/29/2019,Alexandrova E.
24381,1.52,1,1.241401238,9/25/2017,Alexandrova E.
33849,2.21,0,1.22684662,4/6/2022,Alexandrova E.
27052,2.96,0,1.217102435,10/12/2018,Alexandrova E.
28915,1.92,1,1.216640202,8/7/2019,Alexandrova E.
28907,1.74,1,1.216577746,8/6/2019,Alexandrova E.
27176,1.46,1,1.198222806,12/31/2018,Alexandrova E.
32996,1.47,1,1.18795279,10/20/2021,Alexandrova E.
34306,1.32,1,1.181954667,6/10/2022,Alexandrova E.
29687,1.74,1,1.180340178,1/9/2020,Alexandrova E.
33982,1.3,1,1.166348451,4/30/2022,Alexandrova E.
23949,1.4,1,1.165507376,8/7/2017,Alexandrova E.
31649,2.43,0,1.157912119,5/12/2021,Alexandrova E.
24869,2.18,0,1.156587456,1/16/2018,Alexandrova E.
30358,1.65,1,1.145163624,9/2/2020,Alexandrova E.
35242,1.47,1,1.135135848,9/24/2022,Alexandrova E.
29787,1.21,1,1.12457158,1/20/2020,Alexandrova E.
35358,1.38,1,1.115971441,10/7/2022,Alexandrova E.
29939,1.74,1,1.111511162,2/13/2020,Alexandrova E.
33878,1.45,1,1.109650345,4/8/2022,Alexandrova E.
33891,1.39,1,1.106178375,4/18/2022,Alexandrova E.
31738,1.27,1,1.104894869,5/23/2021,Alexandrova E.
30235,2.12,1,1.096404444,8/22/2020,Alexandrova E.
29439,3.06,0,1.095342592,9/30/2019,Alexandrova E.
31326,1.56,1,1.09530357,3/25/2021,Alexandrova E.
35209,1.24,1,1.092280808,9/20/2022,Alexandrova E.
31507,2.22,0,1.087432703,4/20/2021,Alexandrova E.
28959,1.68,1,1.086619593,8/13/2019,Alexandrova E.
34028,1.41,1,1.085384261,5/10/2022,Alexandrova E.
29674,1.46,1,1.082615005,1/8/2020,Alexandrova E.
28563,2.57,0,1.07967563,6/26/2019,Alexandrova E.
29564,1.24,1,1.077531429,10/16/2019,Alexandrova E.
25569,1.77,0,1.076857749,4/30/2018,Alexandrova E.
33615,1.15,1,1.07644701,3/9/2022,Alexandrova E.
31625,2.11,0,1.075651903,5/10/2021,Alexandrova E.
26758,2.34,0,1.074017048,9/18/2018,Alexandrova E.
35069,1.17,1,1.067233392,8/31/2022,Alexandrova E.
28543,2.85,0,1.066159843,6/25/2019,Alexandrova E.
35347,2.13,0,1.062822996,10/6/2022,Alexandrova E.
32989,2.71,0,1.058209434,10/19/2021,Alexandrova E.
30680,1.29,1,1.057194175,1/6/2021,Alexandrova E.
24276,2.09,0,1.053380823,9/18/2017,Alexandrova E.
33018,2.52,0,1.05153483,10/23/2021,Alexandrova E.
29287,1.57,1,1.050006379,9/18/2019,Alexandrova E.
31813,1.16,1,1.047453259,6/1/2021,Alexandrova E.
34962,1.34,1,1.04660934,8/22/2022,Alexandrova E.
27576,1.13,1,1.043909616,2/20/2019,Alexandrova E.
30845,2.68,0,1.042079212,2/3/2021,Alexandrova E.
24097,1.52,1,1.041566904,8/28/2017,Alexandrova E.
28226,1.48,1,1.041130339,5/21/2019,Alexandrova E.
32590,1.23,1,1.039605502,8/30/2021,Alexandrova E.
33810,1.11,1,1.036805989,4/4/2022,Alexandrova E.
29502,1.37,1,1.030148846,10/9/2019,Alexandrova E.
35240,1.12,1,1.029543915,9/23/2022,Alexandrova E.
30851,2.77,0,1.026375532,2/5/2021,Alexandrova E.
30723,1.32,1,1.024322638,1/9/2021,Alexandrova E.
29708,1.66,1,1.022628109,1/11/2020,Alexandrova E.
31950,1.22,1,1.018568833,6/14/2021,Alexandrova E.
27592,1.34,1,1.01703909,2/22/2019,Alexandrova E.
28440,1.51,1,1.015328137,6/13/2019,Alexandrova E.
27697,3.1,0,1.01191375,3/10/2019,Alexandrova E.
33234,1.14,1,1.007008737,1/11/2022,Alexandrova E.
32066,1.16,1,1.004640141,6/28/2021,Alexandrova E.
28295,2.6,0,1.000363449,5/27/2019,Alexandrova E.
23768,1.68,1,0.995658209,7/17/2017,Alexandrova E.
34188,1.1,1,0.995317548,5/24/2022,Alexandrova E.
32702,1.22,1,0.988924697,9/13/2021,Alexandrova E.
27022,2.48,0,0.98650562,10/10/2018,Alexandrova E.
33404,2.24,0,0.984906292,2/7/2022,Alexandrova E.
30970,1.4,1,0.981307089,2/11/2021,Alexandrova E.
24715,2.39,0,0.971659125,1/1/2018,Alexandrova E.
30601,1.34,1,0.970081537,9/30/2020,Alexandrova E.
35222,1.14,1,0.969081605,9/21/2022,Alexandrova E.
27649,1.54,1,0.967943736,3/7/2019,Alexandrova E.
28404,2.9,0,0.966876241,6/11/2019,Alexandrova E.
30783,1.27,1,0.958133544,2/1/2021,Alexandrova E.
29244,1.29,1,0.954887724,9/16/2019,Alexandrova E.
30540,1.11,1,0.951948031,9/27/2020,Alexandrova E.
29051,1.28,1,0.94851326,8/26/2019,Alexandrova E.
34284,1.41,1,0.945915441,6/7/2022,Alexandrova E.
34341,1.11,1,0.934073376,6/14/2022,Alexandrova E.
29314,1.49,1,0.927608105,9/20/2019,Alexandrova E.
29549,1.21,1,0.926524292,10/15/2019,Alexandrova E.
31254,1.34,1,0.924938156,3/17/2021,Alexandrova E.
31535,1.88,1,0.919380763,4/22/2021,Alexandrova E.
20415,1.81,1,0.915393548,4/5/2016,Alexandrova E.
21137,9.16,0,0.915253665,6/27/2016,Alexandrova E.
27466,1.35,1,0.912366123,1/31/2019,Alexandrova E.
30920,1.13,1,0.910360142,2/9/2021,Alexandrova E.
27460,1.3,1,0.90999383,1/30/2019,Alexandrova E.
29627,1.55,1,0.903991892,1/5/2020,Alexandrova E.
27038,1.49,1,0.903090801,10/11/2018,Alexandrova E.
34297,1.37,1,0.902102524,6/9/2022,Alexandrova E.
29521,1.35,1,0.901531633,10/10/2019,Alexandrova E.
30503,1.13,1,0.883557045,9/21/2020,Alexandrova E.
33998,1.55,1,0.880710653,5/2/2022,Alexandrova E.
27587,1.33,1,0.85554424,2/21/2019,Alexandrova E.
29948,2.47,0,0.844386292,2/14/2020,Alexandrova E.
21719,3.57,0,0.843380359,9/13/2016,Alexandrova E.
26817,5.26,0,0.843374869,9/21/2018,Alexandrova E.
33950,1.7,1,0.816667631,4/28/2022,Alexandrova E.
29916,1.43,1,0.803436446,2/11/2020,Alexandrova E.
35245,1.81,1,0.768741616,9/25/2022,Alexandrova E.
29840,1.28,1,0.750466903,1/22/2020,Alexandrova E.
30141,2.12,0,0.734083576,8/3/2020,Alexandrova E.
23374,3.49,0,0.664619674,5/29/2017,Alexandrova E.
19592,1.53,0,2.076174468,10/20/2015,Allertova D.
24142,2.14,1,1.723351093,8/30/2017,Allertova D.
21920,1.47,0,1.685071258,9/28/2016,Allertova D.
22049,2.04,1,1.519225339,10/12/2016,Allertova D.
22099,1.96,0,1.420733676,10/17/2016,Allertova D.
24288,2.4,1,1.417192023,9/19/2017,Allertova D.
21933,2,1,1.32272797,9/29/2016,Allertova D.
19550,2.2,1,1.270049225,10/15/2015,Allertova D.
18274,1.83,1,1.269561271,5/25/2015,Allertova D.
19852,2,1,1.251000305,1/19/2016,Allertova D.
25582,1.93,1,1.213706207,5/1/2018,Allertova D.
24849,1.46,1,1.20380114,1/15/2018,Allertova D.
21122,1.52,0,1.185655206,6/27/2016,Allertova D.
24936,1.65,1,1.172852905,1/19/2018,Allertova D.
18017,1.54,1,1.153516609,4/27/2015,Allertova D.
19508,1.79,0,1.126494984,10/13/2015,Allertova D.
18049,2.31,0,1.122168656,4/29/2015,Allertova D.
21629,3.05,0,1.118442227,8/30/2016,Allertova D.
19323,2.56,0,1.093086878,9/25/2015,Allertova D.
19898,2.31,0,1.085088694,1/21/2016,Allertova D.
22136,1.4,1,1.071259999,10/19/2016,Allertova D.
17077,2.4,0,1.069349121,10/14/2014,Allertova D.
18582,3.1,0,1.058178863,6/30/2015,Allertova D.
19302,1.45,1,1.04807546,9/23/2015,Allertova D.
17097,2.85,0,1.017587781,10/16/2014,Allertova D.
23692,1.98,1,1.013684907,7/4/2017,Allertova D.
19067,3.81,0,1.012952035,8/31/2015,Allertova D.
19315,10.36,0,1.004092507,9/24/2015,Allertova D.
17342,1.23,1,0.998902849,1/20/2015,Allertova D.
19284,1.45,1,0.995357692,9/22/2015,Allertova D.
18689,1.4,1,0.988422002,7/14/2015,Allertova D.
24388,2.14,0,0.961814512,9/25/2017,Allertova D.
20069,3.42,0,0.913615855,2/22/2016,Allertova D.
29539,2.06,0,0.900464386,10/14/2019,Allertova D.
24911,3.22,0,0.881212832,1/17/2018,Allertova D.
20225,1.38,1,0.860545018,3/10/2016,Allertova D.
25930,2.26,0,0.842996206,6/11/2018,Allertova D.
18754,2.49,0,0.841228795,7/21/2015,Allertova D.
17084,5.35,0,0.795739803,10/15/2014,Allertova D.
20253,4.26,0,0.783291713,3/12/2016,Allertova D.
22020,3.85,0,0.742586517,10/11/2016,Allertova D.
21877,1.21,1,0.665917112,9/26/2016,Allertova D.
16713,1.9,0,1.237961488,9/10/2014,Amanmuradova A.
16663,2.38,0,1.172147688,9/8/2014,Amanmuradova A.
33968,1.41,0,2.062966307,4/29/2022,Andreescu B.
27226,2.43,1,1.667682981,1/4/2019,Andreescu B.
31379,2.16,1,1.586170478,4/2/2021,Andreescu B.
28936,2.11,1,1.584127586,8/10/2019,Andreescu B.
29460,1.65,0,1.507133775,10/2/2019,Andreescu B.
24221,1.96,1,1.364851557,9/12/2017,Andreescu B.
31371,1.76,0,1.342092475,3/29/2021,Andreescu B.
29147,1.56,1,1.266725914,9/5/2019,Andreescu B.
35495,1.52,1,1.261608983,1/1/2023,Andreescu B.
27726,2.55,0,1.188934054,3/17/2019,Andreescu B.
33995,2.62,0,1.1821025,5/1/2022,Andreescu B.
23882,3.4,0,1.175388853,7/31/2017,Andreescu B.
34867,1.58,1,1.152975111,8/11/2022,Andreescu B.
34056,1.58,1,1.151450193,5/12/2022,Andreescu B.
34860,1.93,1,1.146711986,8/10/2022,Andreescu B.
28934,2.56,0,1.146254231,8/9/2019,Andreescu B.
29149,1.81,1,1.141674906,9/6/2019,Andreescu B.
27627,1.38,1,1.137143375,3/1/2019,Andreescu B.
35427,1.21,1,1.123362101,10/17/2022,Andreescu B.
30879,1.22,1,1.11953134,2/8/2021,Andreescu B.
27717,2.18,0,1.115982277,3/13/2019,Andreescu B.
35382,2.78,0,1.113972646,10/11/2022,Andreescu B.
34025,1.76,1,1.111209105,5/10/2022,Andreescu B.
31334,1.45,1,1.106400292,3/26/2021,Andreescu B.
27799,2.09,1,1.104509371,3/24/2019,Andreescu B.
35020,1.17,1,1.104159483,8/29/2022,Andreescu B.
27724,2.21,0,1.094746722,3/16/2019,Andreescu B.
27749,1.32,1,1.082971295,3/21/2019,Andreescu B.
27689,1.57,1,1.082881237,3/9/2019,Andreescu B.
34446,2.24,0,1.081520923,6/23/2022,Andreescu B.
34327,1.55,1,1.078557222,6/13/2022,Andreescu B.
27239,2.07,0,1.060145081,1/5/2019,Andreescu B.
31047,1.43,1,1.055072803,2/17/2021,Andreescu B.
31749,1.16,1,1.047282608,5/25/2021,Andreescu B.
34419,1.28,1,1.043453783,6/21/2022,Andreescu B.
27194,1.68,1,1.03741298,1/1/2019,Andreescu B.
31026,1.17,1,1.035598699,2/15/2021,Andreescu B.
29093,1.15,1,1.033833742,8/29/2019,Andreescu B.
28328,1.3,1,1.033824113,5/28/2019,Andreescu B.
34454,2.6,0,1.032497546,6/24/2022,Andreescu B.
34439,1.27,1,1.031904966,6/22/2022,Andreescu B.
35088,2.18,0,1.0159064,9/1/2022,Andreescu B.
34489,1.06,1,1.01530818,6/28/2022,Andreescu B.
28920,1.29,1,1.0117118,8/7/2019,Andreescu B.
31743,1.15,1,1.002432103,5/24/2021,Andreescu B.
32015,1.34,1,1.002275364,6/22/2021,Andreescu B.
29063,1.04,1,1.000841381,8/27/2019,Andreescu B.
27634,1.3,1,1.000068604,3/6/2019,Andreescu B.
28939,2.58,0,0.999792755,8/11/2019,Andreescu B.
29144,1.25,1,0.993762389,9/3/2019,Andreescu B.
27365,1.17,1,0.991045584,1/15/2019,Andreescu B.
27691,1.37,1,0.988974949,3/10/2019,Andreescu B.
29447,1.24,1,0.987469801,9/30/2019,Andreescu B.
34035,1.21,1,0.955902148,5/11/2022,Andreescu B.
29466,1.26,1,0.951331301,10/3/2019,Andreescu B.
27610,1.42,1,0.946421811,2/27/2019,Andreescu B.
34162,1.1,1,0.940897121,5/23/2022,Andreescu B.
32678,1.27,1,0.936031619,9/4/2021,Andreescu B.
35434,1.76,1,0.932187217,10/18/2022,Andreescu B.
23918,3.6,0,0.918338148,8/3/2017,Andreescu B.
27220,4.73,0,0.916870816,1/3/2019,Andreescu B.
27785,1.96,1,0.913545886,3/22/2019,Andreescu B.
31373,2.78,0,0.909007509,3/30/2021,Andreescu B.
33896,1.88,1,0.898347672,4/19/2022,Andreescu B.
31040,1.46,1,0.893961077,2/16/2021,Andreescu B.
