match,PSW,win0,confidence0,date,winner
24882,1.21,0,3.71775383,1/16/2018,Giorgi C.
17439,1.2,0,3.711357944,2/10/2015,Barthel M.
22077,1.21,0,3.607858857,10/14/2016,Keys M.
17379,1.19,0,3.583590859,1/22/2015,Svitolina E.
13252,1.18,0,3.321777306,5/11/2013,Williams S.
12606,1.17,0,3.245932106,2/15/2013,Sharapova M.
29613,4.15,1,3.039720161,10/29/2019,Bertens K.
22176,1.22,0,2.883130582,11/3/2016,Svitolina E.
32503,1.3,0,2.852669263,8/21/2021,Barty A.
29374,1.3,0,2.838295465,9/24/2019,Pliskova Ka.
34370,1.25,0,2.837008047,6/17/2022,Jabeur O.
29123,1.29,0,2.678138489,8/30/2019,Barty A.
29389,3.41,1,2.57282424,9/25/2019,Yastremska D.
33679,1.25,0,2.564240669,3/13/2022,Swiatek I.
15183,1.42,0,2.479366084,3/5/2014,Peng S.
34677,1.31,0,2.464962607,7/19/2022,Krunic A.
22996,1.21,0,2.447233692,4/11/2017,Vondrousova M.
17786,4.17,1,2.440422554,3/24/2015,Badosa Gibert. P.
17526,1.36,0,2.425342688,2/17/2015,Pennetta F.
22074,1.27,0,2.396239621,10/13/2016,Cibulkova D.
34172,3.07,1,2.394692723,5/24/2022,Contreras Gomez F.
21178,1.3,0,2.353003559,6/30/2016,Vinci R.
14762,3.34,1,2.325049639,1/6/2014,Lepchenko V.
29033,1.34,0,2.318100688,8/26/2019,Hsieh S.W.
33907,1.34,0,2.312502215,4/20/2022,Kontaveit A.
31352,1.39,0,2.306322573,3/27/2021,Sabalenka A.
22455,2.69,1,2.295325145,1/24/2017,Vandeweghe C.
28988,1.37,0,2.270918845,8/16/2019,Barty A.
21070,1.33,0,2.268948904,6/21/2016,Radwanska A.
34140,1.47,0,2.250165648,5/22/2022,Osorio M.
29651,1.35,0,2.247261416,1/7/2020,Osaka N.
16079,1.37,0,2.237886329,6/23/2014,Zahlavova Strycova B.
19783,1.42,0,2.227707853,1/12/2016,Stosur S.
31223,1.43,0,2.214984307,3/12/2021,Muguruza G.
21076,1.34,0,2.201727319,6/21/2016,Petkovic A.
35480,3.27,1,2.201626549,10/31/2022,Sakkari M.
12700,1.4,0,2.201618431,2/24/2013,Jankovic J.
26442,4.42,1,2.195167688,8/8/2018,Abanda F.
14683,2.59,1,2.182212475,12/30/2013,Golubic V.
33857,1.4,0,2.17572332,4/6/2022,Bjorklund M.
22093,1.28,0,2.175578187,10/16/2016,Cibulkova D.
26835,1.46,0,2.16512929,9/24/2018,Bertens K.
21674,1.45,0,2.160337389,9/2/2016,Vinci R.
22049,1.33,0,2.156010914,10/12/2016,Jankovic J.
12639,2.97,1,2.150089319,2/19/2013,Vinci R.
29982,2.86,1,2.139644196,2/20/2020,Rybakina E.
26508,2.79,1,2.138017806,8/17/2018,Bertens K.
25538,1.41,0,2.132983982,4/26/2018,Garcia C.
34321,3.05,1,2.130426977,6/13/2022,Garcia C.
34575,1.43,0,2.121492438,7/4/2022,Halep S.
15018,1.38,0,2.11533851,2/11/2014,Zhang S.
