match,PSW,win0,confidence0,date,winner
24768,1.17,0,3.818862753,1/5/2018,Halep S.
34254,1.15,0,3.388165188,6/4/2022,Swiatek I.
34561,5.27,1,3.356449612,7/2/2022,Cornet A.
28732,1.24,0,3.230486134,7/16/2019,Pliskova Kr.
31864,4.22,1,3.183243335,6/4/2021,Pavlyuchenkova A.
34796,4.47,1,2.883852684,8/3/2022,Saville D.
34171,1.26,0,2.834203749,5/24/2022,Juvan K.
34572,1.2,0,2.823667065,7/3/2022,Jabeur O.
33677,1.25,0,2.754726486,3/13/2022,Swiatek I.
31370,1.33,0,2.660527915,3/29/2021,Osaka N.
26650,4.06,1,2.614660351,9/1/2018,Cibulkova D.
31544,1.32,0,2.594340084,4/23/2021,Halep S.
33014,3.8,1,2.588382341,10/22/2021,Alexandrova E.
29365,1.3,0,2.56239617,9/24/2019,Pliskova Ka.
31609,1.29,0,2.533888994,5/4/2021,Sabalenka A.
34176,3.07,1,2.439263784,5/24/2022,Contreras Gomez F.
28987,1.37,0,2.415818884,8/16/2019,Barty A.
27342,1.38,0,2.410802579,1/15/2019,Swiatek I.
33108,1.41,0,2.409995053,11/10/2021,Kontaveit A.
29908,1.34,0,2.399464883,2/10/2020,Sanders S.
29120,1.29,0,2.399318312,8/30/2019,Barty A.
23578,1.33,0,2.393028215,6/24/2017,Kvitova P.
33955,1.39,0,2.379393999,4/28/2022,Badosa P.
34410,3.93,1,2.367538999,6/21/2022,Kalinina A.
27692,3.22,1,2.348587323,3/10/2019,Muguruza G.
32683,1.32,0,2.345501089,9/5/2021,Sabalenka A.
22504,1.34,0,2.31361295,2/2/2017,Cibulkova D.
33748,1.41,0,2.305349516,3/24/2022,Osaka N.
31552,1.37,0,2.248011784,4/24/2021,Barty A.
33684,3.02,1,2.244308667,3/14/2022,Vondrousova M.
26715,1.35,0,2.227253719,9/13/2018,Wang Q.
25540,1.41,0,2.223443013,4/26/2018,Garcia C.
28263,1.45,0,2.211625361,5/23/2019,Garcia C.
31223,1.43,0,2.200352512,3/12/2021,Muguruza G.
29978,1.43,0,2.172240389,2/19/2020,Pliskova Ka.
26435,1.51,0,2.145993843,8/8/2018,Svitolina E.
35529,2.88,1,2.14195962,1/4/2023,Masarova R.
23049,2.8,1,2.140614781,4/26/2017,Vesnina E.
26611,1.33,0,2.13578503,8/29/2018,Strycova B.
31013,1.53,0,2.131339569,2/14/2021,Osaka N.
27474,3.66,1,2.129246551,2/1/2019,Vekic D.
25227,2.98,1,2.126741308,3/11/2018,Stephens S.
26989,1.54,0,2.12344641,10/9/2018,Schmiedlova A.
25372,1.33,0,2.122760321,4/3/2018,Puig M.
32869,2.87,1,2.096762262,10/6/2021,Doi M.
35736,3.72,1,2.094953822,1/24/2023,Azarenka V.
25426,3,1,2.083594608,4/6/2018,Cornet A.
34802,1.48,0,2.082945886,8/3/2022,Anisimova A.
28699,1.28,0,2.079525864,7/9/2019,Williams S.
28952,1.56,0,2.078581296,8/13/2019,Keys M.
34658,1.42,0,2.043654371,7/18/2022,Potapova A.
28760,2.74,1,2.034166926,7/20/2019,Tig P.M.
30727,1.47,0,2.029692597,1/10/2021,Svitolina E.
23310,1.36,0,2.028273281,5/24/2017,Garcia C.
24832,1.5,0,2.022148509,1/12/2018,Barty A.
22511,1.5,0,2.017295578,2/3/2017,Peng S.
28974,1.35,0,2.01662702,8/14/2019,Halep S.
29386,3.41,1,1.994526756,9/25/2019,Yastremska D.
