match,PSW,win0,confidence0,date,winner
13251,1.18,0,3.901258595,5/11/2013,Williams S.
17438,1.2,0,3.833331372,2/10/2015,Barthel M.
25694,1.16,0,3.634390033,5/14/2018,Kanepi K.
24881,1.21,0,3.568330933,1/16/2018,Giorgi C.
15552,1.24,0,3.378343918,4/22/2014,Jankovic J.
16206,1.22,0,3.233825524,7/8/2014,Errani S.
12980,1.17,0,3.102377021,3/27/2013,Sharapova M.
31548,1.32,0,3.028893532,4/23/2021,Halep S.
33680,1.25,0,2.890115463,3/13/2022,Swiatek I.
30605,1.24,0,2.707318541,10/1/2020,Muguruza G.
35853,1.33,0,2.69618319,2/10/2023,Bencic B.
14597,1.29,0,2.684505445,10/15/2013,Meusburger Y.
34418,3.93,1,2.616430667,6/21/2022,Kalinina A.
20327,1.22,0,2.611400197,3/23/2016,Watson H.
32152,1.28,0,2.58682122,7/1/2021,Pavlyuchenkova A.
22171,1.24,0,2.569776383,11/2/2016,Konta J.
17450,4.25,1,2.567460114,2/11/2015,De Vroome I.
32503,1.3,0,2.554183226,8/21/2021,Barty A.
14487,1.26,0,2.547978349,10/1/2013,Kvitova P.
15188,1.37,0,2.543448024,3/6/2014,Tomljanovic A.
19161,1.39,0,2.485868857,9/5/2015,Stosur S.
15062,1.31,0,2.432957852,2/17/2014,Makarova E.
35480,3.27,1,2.400434136,10/31/2022,Sakkari M.
34856,3.63,1,2.390467307,8/10/2022,Putintseva Y.
13763,1.39,0,2.375787667,7/1/2013,Flipkens K.
21074,1.34,0,2.353282733,6/21/2016,Petkovic A.
16085,1.41,0,2.352960069,6/24/2014,Koukalova K.
22092,1.28,0,2.333993691,10/16/2016,Cibulkova D.
22067,1.27,0,2.329274696,10/13/2016,Cibulkova D.
19773,1.31,0,2.324621052,1/11/2016,Bencic B.
29397,3.41,1,2.323957133,9/25/2019,Yastremska D.
18140,1.37,0,2.310388172,5/11/2015,Williams V.
21428,1.39,0,2.30966312,7/28/2016,Kerber A.
25228,2.98,1,2.297794472,3/11/2018,Stephens S.
16076,1.37,0,2.293157546,6/23/2014,Zahlavova Strycova B.
31352,1.39,0,2.292068526,3/27/2021,Sabalenka A.
17519,1.36,0,2.252013298,2/17/2015,Pennetta F.
34052,1.28,0,2.244857226,5/12/2022,Jabeur O.
31867,4.22,1,2.225706612,6/4/2021,Pavlyuchenkova A.
14181,5,1,2.210503444,8/27/2013,Vickery S.
24239,1.44,0,2.18534336,9/13/2017,Abanda F.
33011,3.8,1,2.184742155,10/22/2021,Alexandrova E.
18548,2.76,1,2.16270512,6/29/2015,Krunic A.
22772,1.37,0,2.157149152,3/14/2017,Pliskova Ka.
27478,3.66,1,2.15380749,2/1/2019,Vekic D.
13116,1.42,0,2.153548004,4/23/2013,Bertens K.
24053,1.4,0,2.146754641,8/21/2017,Pavlyuchenkova A.
29982,2.86,1,2.142710654,2/20/2020,Rybakina E.
22248,1.46,0,2.136271263,1/4/2017,Cibulkova D.
34155,1.42,0,2.133692755,5/23/2022,Raducanu E.
19946,1.38,0,2.124898373,2/9/2016,Zheng S.
33524,3.08,1,2.117683858,2/23/2022,Gauff C.
35486,1.28,0,2.114260875,11/3/2022,Swiatek I.
31918,1.41,0,2.106778026,6/9/2021,Zhang S.
32449,2.9,1,2.097409794,8/14/2021,Pliskova Ka.
23624,1.36,0,2.094068921,6/29/2017,Pliskova Ka.
31422,3.18,1,2.093501334,4/7/2021,Voegele S.
20004,1.5,0,2.090191944,2/15/2016,Kostova E.
34291,1.41,0,2.078864564,6/9/2022,Riske A.
25627,1.37,0,2.071565308,5/5/2018,Garcia C.
27351,3.18,1,2.070544526,1/15/2019,Zidansek T.
23732,1.5,0,2.066433956,7/7/2017,Azarenka V.
34366,1.25,0,2.058940678,6/17/2022,Jabeur O.
30930,1.42,0,2.054544745,2/9/2021,Li A.
19789,1.42,0,2.05148794,1/12/2016,Stosur S.
20024,1.35,0,2.043307274,2/16/2016,Svitolina E.
30727,1.47,0,2.04320695,1/10/2021,Svitolina E.
35374,3.06,1,2.042439147,10/10/2022,Trevisan M.
35736,3.72,1,2.036607304,1/24/2023,Azarenka V.
15269,3.28,1,2.035057199,3/16/2014,Pennetta F.
12703,1.4,0,2.033489395,2/24/2013,Jankovic J.
34172,3.07,1,2.023463704,5/24/2022,Contreras Gomez F.
19368,2.88,1,2.021623249,9/29/2015,Abduraimova N.
15798,1.46,0,2.020986064,5/21/2014,Svitolina E.
33104,1.41,0,2.019460659,11/10/2021,Kontaveit A.
30310,3.21,1,2.019264759,9/1/2020,Bonaventure Y.
28762,2.74,1,2.016070233,7/20/2019,Tig P.M.
17147,3.09,1,2.014221933,1/4/2015,Lepchenko V.
26325,1.48,0,2.012248392,7/25/2018,Zhang S.
13598,1.47,0,2.00578039,6/17/2013,Bartoli M.
12601,2.73,1,2.002597594,2/14/2013,Stosur S.
26843,1.46,0,2.002101551,9/24/2018,Bertens K.
34942,1.39,0,1.997231347,8/21/2022,Sasnovich A.
29365,1.3,0,1.997134922,9/24/2019,Pliskova Ka.
35120,1.43,0,1.996987752,9/6/2022,Jabeur O.
26217,1.48,0,1.992873765,7/9/2018,Cibulkova D.
17498,1.57,0,1.990377288,2/16/2015,Giorgi C.
29051,1.36,0,1.989230006,8/26/2019,Davis L.
16016,3.42,1,1.986751482,6/17/2014,Giorgi C.
29712,1.4,0,1.971161544,1/11/2020,Williams S.
14031,1.41,0,1.970345034,8/6/2013,Stephens S.
18237,3.05,1,1.96721231,5/20/2015,Vesnina E.
21105,3.43,1,1.967170126,6/24/2016,Cibulkova D.
17638,1.49,0,1.966835425,3/3/2015,Koukalova K.
34806,1.55,0,1.963706861,8/4/2022,Jabeur O.
19357,1.33,0,1.953406854,9/28/2015,Keys M.
20559,1.58,0,1.952616699,4/22/2016,Kerber A.
13809,1.56,0,1.951267157,7/10/2013,Beck A.
17397,2.6,1,1.950787789,1/24/2015,Brengle M.
26530,1.47,0,1.946453314,8/21/2018,Kvitova P.
25040,1.34,0,1.94498301,2/13/2018,Konta J.
24710,1.37,0,1.944626078,1/1/2018,Zhang S.
19412,2.98,1,1.940309868,10/1/2015,Jovanovski B.
20228,1.33,0,1.931179965,3/10/2016,Strycova B.
30651,1.5,0,1.92502414,10/10/2020,Swiatek I.
19411,2.79,1,1.921411265,10/1/2015,Hibino N.
32284,1.44,0,1.921147497,7/16/2021,Wang Xin.
15093,2.93,1,1.918354738,2/19/2014,Suarez Navarro C.
35635,1.48,0,1.91534204,1/16/2023,Azarenka V.
20466,1.6,0,1.91403733,4/8/2016,Parmentier P.
22045,1.33,0,1.911331541,10/12/2016,Jankovic J.
29762,1.54,0,1.907861319,1/16/2020,Barty A.
19747,1.61,0,1.901658208,1/8/2016,Goerges J.
32946,1.52,0,1.888407719,10/12/2021,Tomljanovic A.
34801,1.48,0,1.874514363,8/3/2022,Anisimova A.
20617,2.54,1,1.87367139,4/28/2016,Erakovic M.
21976,2.88,1,1.871265349,10/4/2016,Cornet A.
24856,1.6,0,1.86942605,1/15/2018,Zhang S.
28146,1.48,0,1.869189439,5/9/2019,Halep S.
15608,1.4,0,1.867171284,4/29/2014,Vesnina E.
31127,1.46,0,1.866901681,3/4/2021,Badosa P.
15307,1.44,0,1.864244774,3/20/2014,Lisicki S.
20778,1.34,0,1.8621055,5/17/2016,Vinci R.
14585,1.44,0,1.85952511,10/15/2013,Vesnina E.
23394,1.52,0,1.858349779,5/30/2017,Martic P.
23784,1.47,0,1.857201768,7/18/2017,Kovinic D.
35099,1.63,0,1.85680967,9/2/2022,Jabeur O.
20529,1.42,0,1.856766778,4/20/2016,Petkovic A.
34192,2.78,1,1.855824729,5/25/2022,Parry D.
23130,1.53,0,1.853947243,5/3/2017,Barthel M.
34642,2.94,1,1.853824001,7/16/2022,Danilovic O.
13572,3.13,1,1.853349349,6/14/2013,Petkovic A.
18986,2.97,1,1.851162677,8/18/2015,Garcia C.
