match,PSW,win0,confidence0,date,winner
24602,6.14,1,4.209280283,10/16/2017,Cepede Royg V.
22884,1.18,0,3.637812428,4/3/2017,Pavlyuchenkova A.
31866,4.22,1,3.368018299,6/4/2021,Pavlyuchenkova A.
23780,1.19,0,3.321857222,7/18/2017,Dulgheru A.
33677,1.25,0,3.256500109,3/13/2022,Swiatek I.
31666,4.2,1,3.155443883,5/13/2021,Gauff C.
32805,1.24,0,2.912690962,9/28/2021,Potapova A.
28181,4.27,1,2.895254079,5/16/2019,Sakkari M.
34572,1.2,0,2.88263521,7/3/2022,Jabeur O.
29474,1.32,0,2.70462178,10/7/2019,Putintseva Y.
34758,1.27,0,2.624480842,7/29/2022,Bogdan A.
31601,1.31,0,2.607607926,5/2/2021,Sabalenka A.
29653,1.35,0,2.591934824,1/7/2020,Osaka N.
29377,1.3,0,2.571849683,9/24/2019,Pliskova Ka.
33012,3.8,1,2.467076828,10/22/2021,Alexandrova E.
32683,1.32,0,2.464624235,9/5/2021,Sabalenka A.
33108,1.41,0,2.458260124,11/10/2021,Kontaveit A.
32904,1.36,0,2.450117645,10/8/2021,Riske A.
31543,1.32,0,2.42302829,4/23/2021,Halep S.
31704,1.36,0,2.407181639,5/18/2021,Konjuh A.
31365,1.33,0,2.403647464,3/29/2021,Osaka N.
34364,1.25,0,2.402033529,6/17/2022,Jabeur O.
27344,1.38,0,2.39633725,1/15/2019,Swiatek I.
23991,1.34,0,2.350217413,8/12/2017,Halep S.
29389,3.41,1,2.33277639,9/25/2019,Yastremska D.
29905,1.34,0,2.282870234,2/10/2020,Sanders S.
22501,1.34,0,2.278748284,2/2/2017,Cibulkova D.
28194,1.35,0,2.234087455,5/16/2019,Osaka N.
31678,1.39,0,2.224951084,5/16/2021,Swiatek I.
29533,3.41,1,2.186518098,10/12/2019,Watson H.
35736,3.72,1,2.168074302,1/24/2023,Azarenka V.
23785,1.47,0,2.16405675,7/18/2017,Kovinic D.
34410,3.93,1,2.157683707,6/21/2022,Kalinina A.
30397,1.49,0,2.142026318,9/6/2020,Brady J.
34575,1.43,0,2.134402392,7/4/2022,Halep S.
31221,1.43,0,2.126880036,3/12/2021,Muguruza G.
33390,2.91,1,2.094560532,1/23/2022,Krejcikova B.
29766,1.54,0,2.090922705,1/16/2020,Barty A.
34659,1.42,0,2.086216395,7/18/2022,Potapova A.
31173,1.32,0,2.083220058,3/9/2021,Zarazua R.
29385,1.44,0,2.078656024,9/25/2019,Barty A.
26216,1.48,0,2.070723848,7/9/2018,Cibulkova D.
30651,1.5,0,2.051520239,10/10/2020,Swiatek I.
22438,1.51,0,2.04759485,1/21/2017,Konta J.
31149,1.46,0,2.032224943,3/8/2021,Davis L.
29711,3.96,1,2.030676437,1/11/2020,Pegula J.
28122,1.54,0,2.023473084,5/6/2019,Bencic B.
34821,2.76,1,2.02176038,8/6/2022,Badosa P.
34870,1.54,0,2.010039643,8/11/2022,Gauff C.
26093,1.5,0,2.00970119,6/28/2018,Kerber A.
32702,1.54,0,2.007879879,9/13/2021,Dodin O.
30320,3.21,1,2.004219405,9/1/2020,Bonaventure Y.
26260,1.38,0,1.999564963,7/18/2018,Minella M.
32869,2.87,1,1.995013536,10/6/2021,Doi M.
31550,1.37,0,1.99286252,4/24/2021,Barty A.
33889,1.47,0,1.985509863,4/10/2022,Maria T.
25429,3,1,1.982427053,4/6/2018,Cornet A.
27513,2.88,1,1.981762555,2/15/2019,Mertens E.
26838,1.46,0,1.975480757,9/24/2018,Bertens K.
28760,2.74,1,1.974678874,7/20/2019,Tig P.M.
27114,1.54,0,1.973225752,10/18/2018,Sevastova A.
25587,2.74,1,1.971974267,5/1/2018,Zhang S.
27700,3.22,1,1.966799553,3/10/2019,Muguruza G.
22540,1.56,0,1.964963799,2/17/2017,Wozniacki C.
26265,1.39,0,1.952878955,7/19/2018,Cornet A.
22314,1.59,0,1.951657846,1/10/2017,Strycova B.
32376,1.44,0,1.949358501,8/3/2021,Mladenovic K.
30067,2.65,1,1.947938238,2/28/2020,Kvitova P.
23360,1.48,0,1.945494122,5/29/2017,Flipkens K.
25794,2.75,1,1.939624197,5/25/2018,Pavlyuchenkova A.
24934,2.77,1,1.937933059,1/19/2018,Suarez Navarro C.
31282,1.45,0,1.932991744,3/20/2021,Kasatkina D.
25732,1.43,0,1.914672643,5/18/2018,Svitolina E.
30277,1.53,0,1.906184331,8/26/2020,Osaka N.
23530,1.56,0,1.906121941,6/20/2017,Barthel M.
25666,1.49,0,1.905057733,5/8/2018,Kontaveit A.
29982,2.86,1,1.898926864,2/20/2020,Rybakina E.
35526,2.88,1,1.897325478,1/4/2023,Masarova R.
22483,1.5,0,1.894675493,1/31/2017,Petkovic A.
23020,2.69,1,1.893535775,4/13/2017,Giorgi C.
33749,1.41,0,1.891775452,3/24/2022,Osaka N.
24379,2.84,1,1.889876072,9/25/2017,Wang Q.
24582,2.83,1,1.8898414,10/13/2017,Buzarnescu M.
27686,1.55,0,1.889103988,3/9/2019,Williams S.
24350,2.72,1,1.886929176,9/23/2017,Pavlyuchenkova A.
24677,1.6,0,1.885429977,11/3/2017,Peng S.
35540,2.88,1,1.880645442,1/5/2023,Begu I.
25076,1.55,0,1.876659751,2/19/2018,Lisicki S.
22714,1.56,0,1.87567807,3/9/2017,Kontaveit A.
24856,1.6,0,1.872408763,1/15/2018,Zhang S.
30863,2.63,1,1.866882961,2/6/2021,Mertens E.
23098,1.46,0,1.85726987,5/1/2017,Vondrousova M.
25380,1.33,0,1.853810917,4/3/2018,Puig M.
26904,1.65,0,1.853187653,9/27/2018,Gasparyan M.
26510,1.62,0,1.853186743,8/17/2018,Kvitova P.
24671,1.46,0,1.852599331,11/1/2017,Rybarikova M.
26508,2.79,1,1.850061484,8/17/2018,Bertens K.
24464,1.41,0,1.848907074,10/2/2017,Wozniacki C.
33622,1.37,0,1.844740075,3/10/2022,Osaka N.
31615,1.43,0,1.844679418,5/5/2021,Sabalenka A.
34223,1.51,0,1.844222412,5/27/2022,Stephens S.
32626,1.56,0,1.843948025,8/31/2021,Martic P.
34469,2.43,1,1.842377382,6/27/2022,Raducanu E.
32268,1.49,0,1.838697958,7/14/2021,Garcia C.
31353,1.39,0,1.838267523,3/27/2021,Sabalenka A.
29144,1.53,0,1.833292769,9/3/2019,Svitolina E.
22306,2.73,1,1.830269573,1/10/2017,Bouchard E.
27363,3.18,1,1.829346626,1/15/2019,Zidansek T.
31970,2.39,1,1.825160076,6/16/2021,Vandeweghe C.
29362,1.59,0,1.824831193,9/23/2019,Kuzmova V.
33528,2.4,1,1.822738295,2/23/2022,Ostapenko J.
32178,1.53,0,1.821505228,7/5/2021,Sabalenka A.
23308,1.36,0,1.821358318,5/24/2017,Garcia C.
22326,1.73,0,1.821006594,1/12/2017,Fett J.
27818,1.4,0,1.819684267,3/27/2019,Halep S.
33684,3.02,1,1.81955698,3/14/2022,Vondrousova M.
27599,1.53,0,1.814575959,2/23/2019,Vondrousova M.
30400,1.49,0,1.813869383,9/7/2020,Osaka N.
31505,1.63,0,1.812558943,4/20/2021,Siegemund L.
26891,2.2,1,1.812412687,9/26/2018,Potapova A.
32247,1.73,0,1.811983597,7/13/2021,Bogdan A.
