match,PSW,win0,confidence0,date,winner
23893,1.2,0,3.109271079450846,2017-08-01,Halep S.
31866,4.22,1,2.9654735007882116,2021-06-04,Pavlyuchenkova A.
31544,1.32,0,2.4729696889718378,2021-04-23,Halep S.
33011,3.8,1,2.3670048594474795,2021-10-22,Alexandrova E.
23586,1.37,0,2.3417893517762423,2017-06-25,Riske A.
12781,1.38,0,2.2309297040104865,2013-03-01,Pavlyuchenkova A.
23310,1.36,0,2.2050525369644163,2017-05-24,Garcia C.
22325,1.32,0,2.172149343043566,2017-01-12,Radwanska A.
24672,1.46,0,2.139510490000248,2017-11-01,Rybarikova M.
26244,4.07,1,2.1019519055634737,2018-07-17,Kostova E.
18050,1.44,0,2.0866878795623776,2015-04-29,Strycova B.
18761,1.33,0,2.0818593978881834,2015-07-21,Knapp K.
20982,1.32,0,2.0634434442967176,2016-06-09,Barty A.
17401,2.6,1,2.055692970752716,2015-01-24,Brengle M.
31223,1.43,0,2.0300448101758954,2021-03-12,Muguruza G.
28205,3.53,1,1.996585648804903,2019-05-18,Konta J.
13808,1.56,0,1.9736983219214852,2013-07-10,Beck A.
30738,1.49,0,1.9689863428473473,2021-01-11,Sabalenka A.
25102,2.86,1,1.9548392122983929,2018-02-21,Kasatkina D.
24336,1.57,0,1.941535973151525,2017-09-21,Cirstea S.
19163,1.39,0,1.9334181551635266,2015-09-05,Stosur S.
33108,1.41,0,1.9325737634301186,2021-11-10,Kontaveit A.
29391,3.41,1,1.9286149086952211,2019-09-25,Yastremska D.
29981,1.43,0,1.9256146075328189,2020-02-19,Pliskova Ka.
13689,1.43,0,1.9134217555324238,2013-06-25,Riske A.
30397,1.49,0,1.8958983889222143,2020-09-06,Brady J.
17138,2.82,1,1.894710275530815,2014-11-01,Petkovic A.
25748,1.41,0,1.8733284154108591,2018-05-20,Rybakina E.
12863,3.14,1,1.8706206223368644,2013-03-10,Radwanska U.
25923,1.45,0,1.8706100944677988,2018-06-06,Halep S.
26509,2.79,1,1.8633910998702052,2018-08-17,Bertens K.
28026,1.52,0,1.862541388273239,2019-04-28,Kvitova P.
25540,1.41,0,1.8552523887157442,2018-04-26,Garcia C.
23736,2.56,1,1.8417120971679686,2017-07-08,Radwanska A.
23066,2.8,1,1.841539290547371,2017-04-27,Mladenovic K.
16049,1.45,0,1.8374599856634937,2014-06-19,Wozniacki C.
27125,2.73,1,1.8364378939568997,2018-10-22,Bertens K.
14890,2.81,1,1.835201198607683,2014-01-15,Niculescu M.
24076,2.89,1,1.8318838363460135,2017-08-26,Gavrilova D.
