match,PSW,win0,confidence0,date,winner
17436,1.2,0,3.8738250794013336,2015-02-10,Barthel M.
31870,1.13,0,3.6478242218494414,2021-06-04,Rybakina E.
24880,1.21,0,3.6092131958007814,2018-01-16,Giorgi C.
25696,1.16,0,3.56580482289195,2018-05-14,Kanepi K.
23915,1.12,0,3.4164571168273685,2017-08-03,Halep S.
28170,1.25,0,3.134324562996626,2019-05-14,Barty A.
23975,1.21,0,2.8456462057828906,2017-08-09,Muguruza G.
21948,1.24,0,2.8336608868837354,2016-10-01,Muguruza G.
22083,1.21,0,2.714695714786649,2016-10-14,Keys M.
29374,1.3,0,2.701156171262264,2019-09-24,Pliskova Ka.
31866,4.22,1,2.6891376769542696,2021-06-04,Pavlyuchenkova A.
20972,1.36,0,2.6526477563381197,2016-06-08,Mladenovic K.
30806,1.26,0,2.5946829479932783,2021-02-02,Bouzkova M.
22090,1.28,0,2.574213496347268,2016-10-16,Cibulkova D.
16076,1.37,0,2.5516945603489876,2014-06-23,Zahlavova Strycova B.
22152,5.23,1,2.482722246795893,2016-10-22,Niculescu M.
19642,3.97,1,2.4771510638594623,2015-10-30,Safarova L.
16203,4.25,1,2.4489480070769787,2014-07-08,Bogdan A.
24409,3.49,1,2.438876373767853,2017-09-26,Kasatkina D.
29389,3.41,1,2.426756367427963,2019-09-25,Yastremska D.
31370,1.33,0,2.3968541992207366,2021-03-29,Osaka N.
22088,4.47,1,2.3932505033165214,2016-10-15,Golubic V.
17082,4.05,1,2.3858290929347277,2014-10-15,Begu I.
17516,1.36,0,2.355680777430534,2015-02-17,Pennetta F.
17075,1.36,0,2.3498600631952287,2014-10-14,Cornet A.
22492,3.78,1,2.3349108388423914,2017-02-01,Vikhlyantseva N.
33011,3.8,1,2.3145162562529245,2021-10-22,Alexandrova E.
22084,1.35,0,2.2873881697654723,2016-10-14,Suarez Navarro C.
29350,1.32,0,2.2867734991014004,2019-09-23,Martic P.
12345,1.31,0,2.2763055220246318,2013-01-08,Kerber A.
31351,1.39,0,2.2700581644262585,2021-03-27,Sabalenka A.
32168,1.33,0,2.24803830063343,2021-07-03,Barty A.
17640,1.49,0,2.2456829899549486,2015-03-03,Koukalova K.
29987,1.39,0,2.2398300313949586,2020-02-21,Halep S.
29982,2.86,1,2.2384617088522227,2020-02-20,Rybakina E.
25628,1.37,0,2.235015726089477,2018-05-05,Garcia C.
21607,1.25,0,2.225712056954702,2016-08-30,Williams V.
20992,1.41,0,2.2209711749553684,2016-06-11,Puig M.
20953,1.3,0,2.21876146119833,2016-06-07,Barty A.
29971,3.26,1,2.2127921422719954,2020-02-18,Rybakina E.
12788,1.38,0,2.2059297099709507,2013-03-01,Pavlyuchenkova A.
18602,1.38,0,2.171038238286972,2015-06-30,Rodina E.
29150,3.59,1,2.1706778463721275,2019-09-07,Andreescu B.
32904,1.36,0,2.1615834908684093,2021-10-08,Riske A.
15189,1.37,0,2.1557349148392677,2014-03-06,Tomljanovic A.
21075,1.34,0,2.154106196165085,2016-06-21,Petkovic A.
21988,1.32,0,2.152124205112458,2016-10-05,Svitolina E.
25228,2.98,1,2.1474122276902197,2018-03-11,Stephens S.
24003,1.41,0,2.1347057081758978,2017-08-15,Konta J.
28706,1.35,0,2.13450384169817,2019-07-15,Gavrilova D.
19205,2.84,1,2.125638945579529,2015-09-15,Crawford S.
13805,1.56,0,2.125578528812954,2013-07-10,Beck A.
30772,2.84,1,2.1209157677491506,2021-01-31,Paolini J.
17440,3.6,1,2.1161186367273332,2015-02-11,Doi M.
14539,3.53,1,2.1149084620816363,2013-10-08,Mayr P.
14472,1.36,0,2.1081860480138235,2013-09-29,Kanepi K.
18144,1.37,0,2.103615047931671,2015-05-11,Williams V.
13047,1.43,0,2.0988928088120056,2013-04-04,Wozniacki C.
23580,1.33,0,2.0941146556288004,2017-06-24,Kvitova P.
24498,2.82,1,2.086596543073654,2017-10-06,Garcia C.
17862,1.39,0,2.0865050503611564,2015-03-31,Halep S.
16166,1.49,0,2.0860838127136225,2014-06-28,Bouchard E.
19022,2.79,1,2.080896047651768,2015-08-21,Svitolina E.
21919,1.47,0,2.0641373273730275,2016-09-28,Allertova D.
13801,1.44,0,2.047462243884802,2013-07-10,Mladenovic K.
26306,1.37,0,2.0464961771965027,2018-07-24,Zhang S.
14688,2.59,1,2.0432151792446773,2013-12-30,Golubic V.
25013,3.54,1,2.039862813949585,2018-02-02,Kasatkina D.
16023,3.42,1,2.0394462929964066,2014-06-17,Giorgi C.
29120,1.29,0,2.02951715695858,2019-08-30,Barty A.
26508,2.79,1,2.0269734866278513,2018-08-17,Bertens K.
16494,1.41,0,2.0097645574808123,2014-08-14,Halep S.
30825,1.41,0,2.008425040841103,2021-02-03,Williams S.
22911,1.38,0,2.005117805302143,2017-04-04,Lucic-Baroni M.
15818,1.53,0,1.9973035400112467,2014-05-25,Muguruza G.
26257,2.75,1,1.9972402397543192,2018-07-18,Rodina E.
18623,1.31,0,1.9965330034920148,2015-07-01,Stosur S.
12730,1.43,0,1.9887079668045042,2013-02-26,Begu I.
19997,1.5,0,1.986858459949493,2016-02-15,Kostova E.
22833,2.73,1,1.9851267457008361,2017-03-24,Stosur S.
23409,3.44,1,1.9835050773620604,2017-05-31,Mattek-Sands B.
15304,1.44,0,1.980235883116722,2014-03-20,Lisicki S.
25520,2.95,1,1.9727936066687108,2018-04-25,Vandeweghe C.
20955,1.32,0,1.970496049672365,2016-06-07,Puig M.
18066,3.83,1,1.9704954478889707,2015-04-30,Babos T.
31891,1.57,0,1.9674022985356192,2021-06-07,Dart H.
29176,1.31,0,1.9641704857349396,2019-09-10,Zhang S.
29477,1.32,0,1.9630488407611848,2019-10-07,Putintseva Y.
32157,2.6,1,1.9616069952646893,2021-07-02,Jabeur O.
15988,2.9,1,1.9602078187465666,2014-06-13,Zahlavova Strycova B.
14345,1.42,0,1.9583256146737507,2013-09-16,Konta J.
20181,1.34,0,1.9476027385890482,2016-03-03,Errani S.
22476,1.38,0,1.9456718187332154,2017-01-31,Safarova L.
29137,2.75,1,1.9420669339597225,2019-09-01,Konta J.
13463,1.45,0,1.9395895149111744,2013-05-31,Vinci R.
21549,3.28,1,1.938224251270294,2016-08-21,Pliskova Ka.
14109,2.56,1,1.9355500793457032,2013-08-15,Vinci R.
29019,1.52,0,1.9345323452353476,2019-08-22,Siniakova K.
25256,3.49,1,1.9288070530295376,2018-03-17,Osaka N.
25455,1.53,0,1.9267221996188164,2018-04-11,Sorribes Tormo S.
22249,1.46,0,1.9141675948103272,2017-01-04,Cibulkova D.
25104,2.86,1,1.9125592378207616,2018-02-21,Kasatkina D.
13806,1.58,0,1.9094973635673524,2013-07-10,Voracova R.
25293,1.42,0,1.9091617685556415,2018-03-22,Niculescu M.
23780,1.47,0,1.908218651264906,2017-07-18,Kovinic D.
25723,1.49,0,1.9028179425001144,2018-05-16,Kontaveit A.
27481,3.66,1,1.9012105657160285,2019-02-01,Vekic D.
14085,1.38,0,1.8995484291017057,2013-08-13,Williams V.
31012,3.46,1,1.8986207032203672,2021-02-14,Hsieh S.W.
18808,1.53,0,1.8958669806718824,2015-07-28,Diatchenko V.
26744,1.53,0,1.8944888985157011,2018-09-17,Gavrilova D.
24236,1.44,0,1.8938101825118063,2017-09-13,Abanda F.
12409,2.84,1,1.8919026871522266,2013-01-15,Gavrilova D.
25203,1.48,0,1.8845267584919931,2018-03-09,Sabalenka A.
17022,1.63,0,1.8821920456205095,2014-10-09,Friedsam A.L.
24334,1.59,0,1.8813717651367188,2017-09-21,Rodina E.
22027,3.42,1,1.881268916130066,2016-10-11,Peng S.
22316,2.55,1,1.8807810120284554,2017-01-11,Strycova B.
24430,2.62,1,1.8779993171691896,2017-09-28,Sabalenka A.
17352,1.41,0,1.877951102256775,2015-01-20,Vandeweghe C.
22154,1.57,0,1.8738896140030457,2016-10-23,Kerber A.
23072,2.8,1,1.8721454858779907,2017-04-27,Mladenovic K.
15023,1.38,0,1.8670167718827724,2014-02-11,Kanepi K.
31221,1.43,0,1.8669784605503081,2021-03-12,Muguruza G.
23251,1.52,0,1.866552365620931,2017-05-17,Halep S.
12646,2.97,1,1.8641679212450983,2013-02-19,Vinci R.
22048,1.33,0,1.862987530231476,2016-10-12,Jankovic J.
19411,2.98,1,1.857209622263908,2015-10-01,Jovanovski B.
22815,2.55,1,1.8562074798345563,2017-03-22,Cepede Royg V.
14052,1.42,0,1.8557759052515028,2013-08-08,Stosur S.
23823,1.63,0,1.8551252421310969,2017-07-24,Xun F.Y.
25340,2.85,1,1.8548680329322818,2018-03-26,Stephens S.
14192,1.42,0,1.8513056339323521,2013-08-27,Vekic D.
18474,2.49,1,1.8500939337909226,2015-06-17,Hantuchova D.
15746,2.38,1,1.8499485131104787,2014-05-16,Jankovic J.
20911,2.82,1,1.846740553379059,2016-05-27,Stosur S.
24953,1.57,0,1.844571928183238,2018-01-22,Halep S.
26041,1.33,0,1.8441572847962382,2018-06-22,Kvitova P.
29048,1.53,0,1.8433903551101687,2019-08-26,Gasparyan M.
33118,1.54,0,1.8424540331959727,2021-11-14,Sabalenka A.
25160,1.52,0,1.837403719574213,2018-03-02,Tsurenko L.
22739,1.6,0,1.8369442224502563,2017-03-11,Goerges J.
20623,2.54,1,1.8363934298356375,2016-04-28,Erakovic M.
33431,1.54,0,1.8333342275023463,2022-02-10,Kontaveit A.
21908,2.5,1,1.8313505128026009,2016-09-27,Schiavone F.
29130,2.21,1,1.8247316965460776,2019-08-31,Ahn K.
29247,1.54,0,1.8242718243598937,2019-09-16,Ahn K.
23967,1.42,0,1.8227634704113007,2017-08-09,Pliskova Ka.
22880,2.47,1,1.820160774230957,2017-03-30,Williams V.
24647,1.54,0,1.8191739537715912,2017-10-20,Goerges J.
26786,1.5,0,1.8131039810180662,2018-09-19,Putintseva Y.
27727,3.21,1,1.811920112192631,2019-03-20,Wang Xiy.
23649,1.55,0,1.8087896597385407,2017-07-03,Giorgi C.
32018,2.87,1,1.8074399307370186,2021-06-22,Giorgi C.
26432,1.51,0,1.806729940652847,2018-08-08,Svitolina E.
25742,1.52,0,1.8060387941769191,2018-05-20,Buzarnescu M.
13816,1.61,0,1.804990946769714,2013-07-11,Kovinic D.
30105,1.51,0,1.8044078183174135,2020-03-04,Konta J.
20641,2.59,1,1.8042252741754057,2016-05-01,Knapp K.
24836,1.56,0,1.80291600227356,2018-01-15,Rogowska O.
12545,1.5,0,1.8025830308347939,2013-02-01,Cirstea S.
30799,1.59,0,1.802322443246841,2021-02-01,Zvonareva V.
28247,1.44,0,1.8021845960617064,2019-05-22,Siniakova K.
22505,1.5,0,1.8017059962451458,2017-02-03,Peng S.
29667,1.35,0,1.8002305444081623,2020-01-07,Osaka N.
20467,1.58,0,1.800069521069527,2016-04-08,Ostapenko J.
19215,1.6,0,1.798941670060158,2015-09-16,Tomljanovic A.
25508,1.75,0,1.7982495646817345,2018-04-24,Siegemund L.
21104,3.43,1,1.7977242247015242,2016-06-24,Cibulkova D.
21832,2.4,1,1.795003080368042,2016-09-22,Cepelova J.
27134,1.65,0,1.7944361272880012,2018-10-27,Svitolina E.
18589,2.82,1,1.7940214186906813,2015-06-30,Cornet A.
31543,1.32,0,1.7931079728404684,2021-04-23,Halep S.
20692,1.51,0,1.7922096109390258,2016-05-07,Halep S.
31088,1.76,0,1.7888080644607547,2021-03-01,Rus A.
16296,1.6,0,1.7884636617700256,2014-07-18,Scheepers C.
16957,1.58,0,1.7875684716020313,2014-10-04,Sharapova M.
24349,2.72,1,1.786671991348267,2017-09-23,Pavlyuchenkova A.
18549,2.62,1,1.7857227137684821,2015-06-29,Begu I.
12790,3.0,1,1.7808024644851685,2013-03-02,Mattek-Sands B.
17395,2.6,1,1.7788968284924824,2015-01-24,Brengle M.
33446,3.15,1,1.7783732816576956,2022-02-15,Teichmann J.
29573,1.54,0,1.7780799758434294,2019-10-17,Bertens K.
31806,2.67,1,1.7754349640607832,2021-05-31,Peterson R.
22417,1.5,0,1.7750453412532807,2017-01-19,Bacsinszky T.
28437,2.24,1,1.774337043762207,2019-06-13,Rybakina E.
12899,1.51,0,1.7734651970863342,2013-03-19,Petkovic A.
24932,2.77,1,1.7725838381052015,2018-01-19,Suarez Navarro C.
20485,3.31,1,1.7725404398441313,2016-04-12,Pella C.
31357,2.83,1,1.7721823408007622,2021-03-28,Jabeur O.
30913,1.68,0,1.7715933242440223,2021-02-09,Van Uytvanck A.
25009,2.24,1,1.7703858757019044,2018-02-02,Wang Yaf.
25536,1.53,0,1.7696339922717637,2018-04-26,Svitolina E.
19595,1.53,0,1.7690709385871883,2015-10-20,Allertova D.
22663,2.75,1,1.7687706053256989,2017-03-01,Parmentier P.
28599,2.81,1,1.7680232744216915,2019-07-01,Watson H.
12755,1.57,0,1.7667851150035856,2013-02-27,Suarez Navarro C.
19681,1.44,0,1.7667207080125809,2016-01-04,Bencic B.
15207,1.43,0,1.7660318320989608,2014-03-07,Safarova L.
16291,2.35,1,1.7657425016164778,2014-07-17,Soler Espinosa S.
21310,2.58,1,1.7643823385238648,2016-07-19,Giorgi C.
21741,2.57,1,1.76337293946743,2016-09-14,Boserup J.
31754,1.56,0,1.763040339052677,2021-05-26,Alexandrova E.
14401,1.48,0,1.7620581448823214,2013-09-22,Cibulkova D.
28728,1.61,0,1.7603430792689325,2019-07-16,Tig P.M.
20608,1.56,0,1.7598949560523034,2016-04-27,Safarova L.
25441,1.55,0,1.7588202944397926,2018-04-09,Schmiedlova A.
31644,1.65,0,1.7579529935973035,2021-05-12,Ostapenko J.
22263,2.79,1,1.7563462296724317,2017-01-05,Svitolina E.
24392,1.39,0,1.7559881591796875,2017-09-26,Pliskova Ka.
32698,1.53,0,1.7558351397514342,2021-09-13,Cirstea S.
13235,2.44,1,1.755323340211596,2013-05-08,Kanepi K.
32443,1.65,0,1.7548809323992047,2021-08-13,Sabalenka A.
29386,1.44,0,1.7543579633533952,2019-09-25,Barty A.
23506,1.59,0,1.754109719097614,2017-06-15,Konjuh A.
18020,3.12,1,1.7533323919773103,2015-04-27,Siniakova K.
31512,2.45,1,1.750517284870148,2021-04-20,Zvonareva V.
24336,1.57,0,1.7499802259604136,2017-09-21,Cirstea S.
29992,1.34,0,1.7487006437033414,2020-02-23,Tomljanovic A.
22509,1.76,0,1.747662872672081,2017-02-03,Minella M.
31332,1.52,0,1.7459858417510987,2021-03-26,Anisimova A.
19188,1.54,0,1.7455614884197712,2015-09-14,Wickmayer Y.
15863,3.22,1,1.7399444335699084,2014-05-27,Flipkens K.
32236,1.4,0,1.7377300053834916,2021-07-13,Wang Xin.
23855,1.46,0,1.7369038818776608,2017-07-26,Garcia C.
29610,1.47,0,1.7367399841547013,2019-10-27,Barty A.
32174,1.53,0,1.7364524468779565,2021-07-05,Sabalenka A.
13876,2.37,1,1.7358495626449586,2013-07-18,Svitolina E.
25698,1.52,0,1.735045555659703,2018-05-15,Ostapenko J.
12850,1.42,0,1.7338068703810376,2013-03-09,Burdette M.
17123,1.59,0,1.733455276489258,2014-10-25,Halep S.
24044,1.63,0,1.7319575060904029,2017-08-18,Stephens S.
26527,1.48,0,1.7309809134900571,2018-08-20,Sasnovich A.
24948,2.17,1,1.7308330684900284,2018-01-21,Suarez Navarro C.
28791,2.55,1,1.730486650764942,2019-07-23,Stojanovic N.
22326,1.73,0,1.728864988883336,2017-01-12,Fett J.
22578,2.77,1,1.7288323694467544,2017-02-21,Makarova E.
