match,PSW,win0,confidence0,date,winner
31571,1.1,0,5.29872524946928,2021-04-29,Kudermetova V.
18345,7.38,1,4.599491889238357,2015-05-28,Schiavone F.
31498,1.17,0,3.374472734928131,2021-04-19,Bencic B.
28504,1.21,0,3.354696441292763,2019-06-20,Garcia C.
22151,5.23,1,3.2343067213041445,2016-10-22,Niculescu M.
17445,4.25,1,3.1270822919905186,2015-02-11,De Vroome I.
15613,1.19,0,3.1149008947610857,2014-04-29,Kuznetsova S.
32681,1.32,0,3.0365434455871583,2021-09-05,Sabalenka A.
30807,1.26,0,2.9991425001621246,2021-02-02,Bouzkova M.
16205,1.22,0,2.9515736876428127,2014-07-08,Errani S.
15976,3.81,1,2.9024986727535724,2014-06-11,Zahlavova Strycova B.
29824,1.19,0,2.8442416304349902,2020-01-21,Keys M.
31561,1.2,0,2.839875780567527,2021-04-29,Zidansek T.
17433,1.2,0,2.7478838856220245,2015-02-10,Barthel M.
17786,4.17,1,2.5296055814623832,2015-03-24,Badosa Gibert. P.
18075,1.41,0,2.526551066637039,2015-05-02,Svitolina E.
27710,1.32,0,2.523566943705082,2019-03-11,Kerber A.
22299,1.28,0,2.483825510293245,2017-01-09,Tsurenko L.
29663,1.42,0,2.466645603775978,2020-01-07,Keys M.
32253,1.28,0,2.4629633231759076,2021-07-13,Pera B.
28765,1.39,0,2.458162937164307,2019-07-22,Rus A.
25598,3.6,1,2.4560748159885404,2018-05-02,Badosa Gibert P.
32902,1.36,0,2.452123172879219,2021-10-08,Riske A.
19616,5.0,1,2.4230175216992698,2015-10-22,Van Uytvanck A.
33108,1.41,0,2.414293374300003,2021-11-10,Kontaveit A.
30196,1.39,0,2.3942330968379975,2020-08-11,Pegula J.
14931,1.45,0,2.3709027209877966,2014-01-20,Radwanska A.
26288,1.4,0,2.36348876953125,2018-07-23,Liang E.S.
17608,1.4,0,2.3634199523925785,2015-02-26,Bacsinszky T.
19595,1.22,0,2.343928833355506,2015-10-20,Ivanovic A.
29474,1.32,0,2.3419991564750675,2019-10-07,Putintseva Y.
29453,1.36,0,2.340477293729782,2019-10-01,Wozniacki C.
22083,1.35,0,2.3212211557797024,2016-10-14,Suarez Navarro C.
18144,1.37,0,2.3143493613004686,2015-05-11,Williams V.
29397,3.41,1,2.310497302923884,2019-09-25,Yastremska D.
16152,1.45,0,2.2816154567400613,2014-06-27,Kvitova P.
20756,1.36,0,2.2772072732448576,2016-05-16,Garcia C.
14932,3.49,1,2.273845204114914,2014-01-20,Cibulkova D.
29660,1.35,0,2.2703765419125554,2020-01-07,Osaka N.
29984,2.86,1,2.2691736011845722,2020-02-20,Rybakina E.
30400,1.44,0,2.2653284244537355,2020-09-07,Williams S.
22045,1.33,0,2.2651554417610167,2016-10-12,Jankovic J.
25738,1.41,0,2.230433425188065,2018-05-20,Rybakina E.
16033,1.42,0,2.212029065447194,2014-06-18,Kerber A.
15818,1.53,0,2.206321628178869,2014-05-25,Muguruza G.
30402,1.49,0,2.2062840633732934,2020-09-07,Osaka N.
17518,1.36,0,2.199900753200054,2015-02-17,Pennetta F.
28099,1.47,0,2.178858246803284,2019-05-04,Azarenka V.
29175,1.31,0,2.159663662314415,2019-09-10,Zhang S.
21598,1.34,0,2.14370457932353,2016-08-29,Kvitova P.
21919,1.47,0,2.1430457110915864,2016-09-28,Allertova D.
16171,1.45,0,2.132813672274351,2014-06-30,Bouchard E.
31549,1.32,0,2.131967034240564,2021-04-23,Halep S.
23853,1.46,0,2.1297218284606934,2017-07-26,Garcia C.
23434,1.36,0,2.1211313977837563,2017-06-02,Stosur S.
27648,1.52,0,2.1087248915433885,2019-03-07,Vikhlyantseva N.
25098,2.86,1,2.1083091654096333,2018-02-21,Kasatkina D.
26738,1.53,0,2.1080153475205106,2018-09-17,Gavrilova D.
33266,1.5,0,2.0985112865269184,2022-01-13,Badosa P.
21209,1.5,0,2.078844026525815,2016-07-02,Halep S.
22501,1.34,0,2.069784718751907,2017-02-02,Cibulkova D.
15304,1.44,0,2.05294065952301,2014-03-20,Lisicki S.
19162,1.39,0,2.05114393333594,2015-09-05,Stosur S.
15130,1.56,0,2.0489959955215453,2014-02-25,Van Uytvanck A.
29978,1.48,0,2.043924272457758,2020-02-19,Rybakina E.
28927,1.46,0,2.0421502272288006,2019-08-08,Williams S.
15658,1.45,0,2.040540818810463,2014-05-05,Radwanska A.
31132,1.37,0,2.038840889930725,2021-03-05,Muguruza G.
25735,1.39,0,2.0366448765993117,2018-05-18,Halep S.
18377,1.44,0,2.03521645228068,2015-06-02,Ivanovic A.
15679,1.47,0,2.0316437575221062,2014-05-07,Garcia C.
33490,3.2,1,2.0306545257568356,2022-02-21,Martincova T.
24202,2.57,1,2.027764784395695,2017-09-08,Stephens S.
29239,1.49,0,2.018980216469083,2019-09-15,Pliskova Ka.
22961,1.38,0,2.0176092547178275,2017-04-08,Kerber A.
23135,1.53,0,2.0159119784832003,2017-05-03,Barthel M.
15076,3.14,1,2.012222215294838,2014-02-18,Dominguez Lino L.
20466,1.6,0,2.0072714696327845,2016-04-08,Parmentier P.
32347,1.48,0,2.005808378532529,2021-07-22,Danilovic O.
15151,2.67,1,2.0023402190208435,2014-02-26,Arruabarrena L.
31941,1.56,0,1.9861807835102083,2021-06-14,Garcia C.
20970,2.66,1,1.9833638191223144,2016-06-08,Kontaveit A.
18989,1.47,0,1.980144620878356,2015-08-18,Stephens S.
26435,1.51,0,1.976360085725784,2018-08-08,Svitolina E.
21640,2.4,1,1.974563419818878,2016-08-31,Witthoeft C.
21674,1.45,0,1.9737404298782348,2016-09-02,Vinci R.
23437,1.43,0,1.9723696544766427,2017-06-03,Suarez Navarro C.
16932,1.5,0,1.9698094701766968,2014-09-30,Safarova L.
29886,2.78,1,1.967577084004879,2020-01-25,Muguruza G.
24954,1.57,0,1.9634153747558596,2018-01-22,Halep S.
25551,1.55,0,1.9631864962577823,2018-04-27,Sakkari M.
24787,1.48,0,1.9628539745807647,2018-01-08,Kerber A.
29363,1.59,0,1.9558284636906218,2019-09-23,Kuzmova V.
15753,1.45,0,1.9540412187576293,2014-05-18,Hercog P.
27125,2.73,1,1.9530657990276816,2018-10-22,Bertens K.
28148,1.48,0,1.9506039805710313,2019-05-09,Halep S.
29169,2.65,1,1.9471809989213942,2019-09-10,Stojanovic N.
20986,1.43,0,1.9457845115661625,2016-06-10,Bencic B.
21807,2.55,1,1.9455854326486586,2016-09-20,Kontaveit A.
27291,1.48,0,1.9443899055322007,2019-01-10,Barty A.
16286,1.56,0,1.9436008168756962,2014-07-17,Konjuh A.
29900,2.53,1,1.9434992624521255,2020-01-30,Muguruza G.
22495,3.78,1,1.9411416859924788,2017-02-01,Vikhlyantseva N.
31771,1.49,0,1.9404422994852066,2021-05-30,Siniakova K.
21937,2.37,1,1.9386307743787767,2016-09-30,Hibino N.
16049,1.65,0,1.9383147248625758,2014-06-19,Keys M.
28602,1.53,0,1.9373790487647058,2019-07-01,Yastremska D.
25544,1.41,0,1.936560820213386,2018-04-26,Garcia C.
15091,2.93,1,1.9272331681251527,2014-02-19,Suarez Navarro C.
25012,3.54,1,1.924577394425869,2018-02-02,Kasatkina D.
21058,1.41,0,1.9245440282821658,2016-06-18,Keys M.
33479,1.63,0,1.9208184734582905,2022-02-21,Wang Q.
31094,1.52,0,1.919521696716547,2021-03-01,Ostapenko J.
18227,1.47,0,1.919368095934391,2015-05-19,Tomljanovic A.
20165,2.36,1,1.918872375011444,2016-03-01,Ozaki R.
32376,1.44,0,1.909456980228424,2021-08-03,Mladenovic K.
21986,1.58,0,1.9083784103393557,2016-10-05,Pliskova Ka.
16449,1.57,0,1.9082955265045167,2014-08-09,Radwanska A.
20921,2.53,1,1.907114345857075,2016-05-28,Svitolina E.
26516,2.42,1,1.9063988019738878,2018-08-18,Bertens K.
23463,2.5,1,1.9054982279028212,2017-06-12,Fett J.
23134,1.56,0,1.9031497938292365,2017-05-03,Giorgi C.
23388,1.52,0,1.899881588816643,2017-05-30,Martic P.
15708,1.56,0,1.8990460336208344,2014-05-12,Vesnina E.
27475,3.66,1,1.8982807981967929,2019-02-01,Vekic D.
16047,1.45,0,1.8978236996630826,2014-06-19,Wozniacki C.
29537,1.46,0,1.8963854831457139,2019-10-14,Gasparyan M.
28005,1.6,0,1.896188813209534,2019-04-25,Osaka N.
24033,1.53,0,1.8925084147453308,2017-08-17,Wozniacki C.
16834,1.44,0,1.8904337024688722,2014-09-19,Kerber A.
22304,2.73,1,1.8888250207900998,2017-01-10,Bouchard E.
30431,1.4,0,1.8867881052196025,2020-09-11,Osaka N.
24582,2.83,1,1.8853015442192553,2017-10-13,Buzarnescu M.
22455,2.69,1,1.8843247482180594,2017-01-24,Vandeweghe C.
16113,2.6,1,1.8815151119232176,2014-06-24,Lepchenko V.
17643,1.49,0,1.8810921938717364,2015-03-03,Koukalova K.
30661,1.6,0,1.8806290424721581,2020-10-20,Brady J.
27112,2.75,1,1.8786259293556213,2018-10-18,Jabeur O.
31352,1.39,0,1.8786154389381406,2021-03-27,Sabalenka A.
16012,1.56,0,1.877779238820076,2014-06-16,Vesnina E.
30405,1.62,0,1.8772293682098387,2020-09-08,Badosa P.
22107,1.4,0,1.8751873143017295,2016-10-18,Pavlyuchenkova A.
24830,1.49,0,1.8721150989532471,2018-01-12,Kerber A.
21494,2.58,1,1.8701844434738164,2016-08-05,Duan Y.Y.
16189,2.6,1,1.8699904274940493,2014-07-07,Buyukakcay C.
16055,2.8,1,1.8688370656967161,2014-06-21,Keys M.
14988,2.79,1,1.861821464449167,2014-01-31,Pliskova Ka.
31782,1.81,0,1.8594466432929038,2021-05-30,Collins D.
23822,1.63,0,1.8585938704013822,2017-07-24,Xun F.Y.
21868,1.48,0,1.857454167485237,2016-09-26,Pliskova Ka.
29398,1.54,0,1.8563794687390327,2019-09-25,Sabalenka A.
24314,1.55,0,1.8560967350006103,2017-09-20,Cornet A.
17012,1.44,0,1.8541803803443908,2014-10-08,Voegele S.
30249,1.62,0,1.8535836040973663,2020-08-23,Anisimova A.
26513,2.79,1,1.852007253425462,2018-08-17,Bertens K.
21903,1.46,0,1.851800546050072,2016-09-27,Kvitova P.
17695,1.49,0,1.8508890607953075,2015-03-12,Tsurenko L.
