match,PSW,win0,confidence0,date,winner
15074,1.09,0,5.630862788558006,2014-02-18,Williams S.
18346,7.38,1,4.86319550871849,2015-05-28,Schiavone F.
17439,1.2,0,3.6079864168167113,2015-02-10,Barthel M.
19622,5.73,1,3.5624885473251338,2015-10-23,Doi M.
23914,1.12,0,3.5034755691885944,2017-08-03,Halep S.
27553,1.21,0,3.4807376723289494,2019-02-19,Halep S.
33677,1.25,0,3.473010531152997,2022-03-13,Swiatek I.
14864,1.2,0,3.3049448623657227,2014-01-14,Pavlyuchenkova A.
16204,1.22,0,3.031237791230281,2014-07-08,Errani S.
31500,1.17,0,2.9885179734230043,2021-04-19,Bencic B.
26511,1.32,0,2.9571849733591082,2018-08-17,Svitolina E.
33528,1.3,0,2.930501603484154,2022-02-23,Jabeur O.
16264,1.25,0,2.8354639089107514,2014-07-15,Wozniacki C.
22152,5.23,1,2.83036508589983,2016-10-22,Niculescu M.
19617,5.0,1,2.8203827887773514,2015-10-22,Van Uytvanck A.
24875,1.21,0,2.767639274597168,2018-01-16,Giorgi C.
21072,1.34,0,2.7489850944280625,2016-06-21,Petkovic A.
20019,1.35,0,2.743771075904369,2016-02-16,Svitolina E.
19179,3.92,1,2.7259343528747557,2015-09-09,Pennetta F.
17645,1.28,0,2.712173122525215,2015-03-03,Bacsinszky T.
30218,4.07,1,2.6569734217226504,2020-08-14,Rogers S.
29120,1.29,0,2.6549849701921144,2019-08-30,Barty A.
22081,1.35,0,2.644888812303543,2016-10-14,Suarez Navarro C.
22054,1.33,0,2.564270351954869,2016-10-12,Jankovic J.
26730,3.0,1,2.524957448244095,2018-09-15,Pegula J.
19051,1.35,0,2.5048677918314937,2015-08-27,Safarova L.
28778,1.34,0,2.4354701141516366,2019-07-23,Cornet A.
31549,1.32,0,2.424713138043881,2021-04-23,Halep S.
30806,1.26,0,2.4231397945284843,2021-02-02,Bouzkova M.
15304,1.44,0,2.3956976962089533,2014-03-20,Lisicki S.
29392,3.41,1,2.3852869528532032,2019-09-25,Yastremska D.
22298,1.28,0,2.372439518213272,2017-01-09,Tsurenko L.
29666,1.42,0,2.3570265161991117,2020-01-07,Keys M.
19367,1.37,0,2.3523754182457925,2015-09-29,Svitolina E.
26555,1.36,0,2.3520232175290587,2018-08-27,Strycova B.
20868,3.42,1,2.350168841779232,2016-05-24,Maria T.
29711,1.4,0,2.324176712930203,2020-01-11,Williams S.
31367,1.33,0,2.3084913069009785,2021-03-29,Osaka N.
32628,1.27,0,2.3065193315744397,2021-09-01,Rybakina E.
21426,1.39,0,2.303521405905485,2016-07-28,Kerber A.
30353,1.34,0,2.2777468371391296,2020-09-02,Govortsova O.
26970,1.44,0,2.271120755672455,2018-10-07,Wozniacki C.
26356,1.36,0,2.2633084022998817,2018-07-30,Kenin S.
27296,1.48,0,2.260221185684204,2019-01-10,Barty A.
33891,1.39,0,2.2582504719495775,2022-04-18,Alexandrova E.
27513,2.88,1,2.2577692651748658,2019-02-15,Mertens E.
19630,1.41,0,2.251820055395365,2015-10-25,Halep S.
17311,1.39,0,2.2416745953261854,2015-01-19,Koukalova K.
21097,3.01,1,2.236852243542671,2016-06-22,Konta J.
18062,3.83,1,2.234231794700027,2015-04-30,Babos T.
19947,1.38,0,2.232216086387634,2016-02-09,Zheng S.
21551,3.28,1,2.2267003691196443,2016-08-21,Pliskova Ka.
31030,3.14,1,2.218346309185028,2021-02-15,Pegula J.
33616,1.4,0,2.2093179805278784,2022-03-09,Riske A.
25104,2.86,1,2.2090718009471892,2018-02-21,Kasatkina D.
16023,3.42,1,2.204201852764402,2014-06-17,Giorgi C.
16830,1.44,0,2.204175249849047,2014-09-19,Kerber A.
32569,1.23,0,2.1988699346780773,2021-08-30,Jabeur O.
31422,3.18,1,2.1975120248794555,2021-04-07,Voegele S.
29886,2.78,1,2.193541885614395,2020-01-25,Muguruza G.
20975,1.36,0,2.1924789231164117,2016-06-08,Mladenovic K.
29455,1.41,0,2.1906078472733497,2019-10-01,Barty A.
18082,1.41,0,2.1796771916002036,2015-05-02,Svitolina E.
19443,1.39,0,2.1468468540906906,2015-10-04,Barthel M.
18183,1.42,0,2.141566215455532,2015-05-14,Halep S.
31223,1.43,0,2.1384496897459027,2021-03-12,Muguruza G.
32722,1.48,0,2.135067211151123,2021-09-14,Minnen G.
22434,1.5,0,2.1312831934690477,2017-01-20,Kuznetsova S.
33908,1.34,0,2.127175821661949,2022-04-20,Kontaveit A.
24765,3.6,1,2.115327090024948,2018-01-05,Siniakova K.
28765,1.39,0,2.105842981338501,2019-07-22,Rus A.
28271,1.5,0,2.1019940371513366,2019-05-26,Svitolina E.
23786,1.47,0,2.099028722941876,2017-07-18,Kovinic D.
15469,1.39,0,2.09775372004509,2014-04-08,Pironkova T.
29967,3.26,1,2.0968386393785474,2020-02-18,Rybakina E.
28913,1.3,0,2.090287474393844,2019-08-07,Halep S.
24662,3.86,1,2.085938558429479,2017-10-26,Ostapenko J.
17608,1.4,0,2.0769020625523162,2015-02-26,Bacsinszky T.
16168,1.45,0,2.074482468366623,2014-06-30,Bouchard E.
33012,3.8,1,2.0723582943280543,2021-10-22,Alexandrova E.
20557,1.58,0,2.072271688580513,2016-04-22,Kerber A.
33687,3.02,1,2.0466216829419133,2022-03-14,Vondrousova M.
15813,1.53,0,2.0464752595424653,2014-05-25,Muguruza G.
15850,4.42,1,2.0450175623595714,2014-05-27,Wickmayer Y.
26386,1.54,0,2.0386293996870517,2018-08-02,Zheng S.
21429,1.4,0,2.0357195964455603,2016-07-28,Halep S.
15904,1.45,0,2.03244116961956,2014-05-29,Kuznetsova S.
19639,1.36,0,2.030971781015396,2015-10-29,Sharapova M.
14937,2.55,1,2.030915059894323,2014-01-22,Cibulkova D.
31132,1.37,0,2.0272741281986235,2021-03-05,Muguruza G.
29975,1.43,0,2.0261447424193224,2020-02-19,Pliskova Ka.
27075,1.29,0,2.0249101607501507,2018-10-16,Gavrilova D.
21541,1.46,0,2.021847822189331,2016-08-19,Muguruza G.
31882,1.26,0,2.0179995071142915,2021-06-06,Wang Xiy.
16189,2.6,1,2.017811957995097,2014-07-07,Buyukakcay C.
21681,1.47,0,2.015221351504326,2016-09-02,Kvitova P.
25012,3.54,1,2.0104330630302427,2018-02-02,Kasatkina D.
31609,1.29,0,2.0075574564933776,2021-05-04,Sabalenka A.
18547,2.76,1,2.0058653483390803,2015-06-29,Krunic A.
33706,1.56,0,2.003478547632694,2022-03-19,Swiatek I.
32904,1.36,0,2.00159902547087,2021-10-08,Riske A.
14923,1.55,0,2.0003884190320966,2014-01-18,Cibulkova D.
15679,1.47,0,1.9984066240489484,2014-05-07,Garcia C.
16374,1.43,0,1.9980267345905305,2014-07-31,Kuznetsova S.
19454,1.36,0,1.9930733478069307,2015-10-05,Vinci R.
24518,2.92,1,1.9899304630359016,2017-10-10,Buzarnescu M.
16842,1.62,0,1.9898056390285492,2014-09-20,Ivanovic A.
26508,2.79,1,1.9895292318718774,2018-08-17,Bertens K.
29363,1.59,0,1.9890713205933572,2019-09-23,Kuzmova V.
23110,3.25,1,1.9887340404093266,2017-05-02,Maria T.
16960,1.52,0,1.9865584486722945,2014-10-06,Putintseva Y.
31947,1.56,0,1.98510895550251,2021-06-14,Garcia C.
29663,1.35,0,1.9850763066112993,2020-01-07,Osaka N.
16733,2.6,1,1.9834025883674624,2014-09-11,Hlavackova A.
30580,3.02,1,1.982519205570221,2020-09-29,Bara I.
15632,1.53,0,1.9681636723279954,2014-05-03,Arruabarrena L.
25628,1.37,0,1.962234486579895,2018-05-05,Garcia C.
23434,1.36,0,1.9603510051965714,2017-06-02,Stosur S.
18726,1.41,0,1.959239230155945,2015-07-17,Barthel M.
20979,2.52,1,1.9515706014633178,2016-06-09,Paszek T.
32443,1.65,0,1.9468613352094377,2021-08-13,Sabalenka A.
21490,1.41,0,1.9425202728807929,2016-08-04,Babos T.
14877,2.53,1,1.9404189362525937,2014-01-14,Nara K.
18589,2.82,1,1.9377001824975015,2015-06-30,Cornet A.
29680,2.8,1,1.9368765860795973,2020-01-08,Bouchard E.
23166,2.78,1,1.936790774106979,2017-05-07,Cirstea S.
24202,2.57,1,1.932149706929922,2017-09-08,Stephens S.
21494,2.58,1,1.9243508899211885,2016-08-05,Duan Y.Y.
32340,1.72,0,1.9238912209442682,2021-07-21,Korpatsch T.
17863,1.39,0,1.9235317172110078,2015-03-31,Halep S.
29144,1.53,0,1.9204241732358933,2019-09-03,Svitolina E.
19533,2.66,1,1.9197412973642352,2015-10-14,Brengle M.
32342,1.56,0,1.9179536863565445,2021-07-21,Dodin O.
31381,1.47,0,1.9163547420501712,2021-04-05,Tomljanovic A.
16047,1.45,0,1.9162205678224562,2014-06-19,Wozniacki C.
22976,1.51,0,1.9138149762153625,2017-04-10,Barthel M.
22508,1.5,0,1.9121998661756516,2017-02-03,Cibulkova D.
30523,1.5,0,1.9051612218221028,2020-09-25,Svitolina E.
29163,1.46,0,1.8981727228164673,2019-09-09,Van Uytvanck A.
24687,1.56,0,1.8945575425028802,2017-12-31,Sevastova A.
14933,3.49,1,1.8929529444128277,2014-01-20,Cibulkova D.
29386,1.44,0,1.8921221733093263,2019-09-25,Barty A.
25205,2.79,1,1.8917799031734468,2018-03-09,Brady J.
24197,1.55,0,1.8894735771417615,2017-09-05,Stephens S.
18804,2.53,1,1.8872513096034522,2015-07-27,Hlavackova A.
24673,1.46,0,1.8864166277647019,2017-11-01,Rybarikova M.
23626,2.61,1,1.886366890668869,2017-06-29,Kuznetsova S.
14984,1.6,0,1.884733377456665,2014-01-30,Flipkens K.
19746,1.61,0,1.8817890216623032,2016-01-08,Goerges J.
33524,3.08,1,1.878438937664032,2022-02-23,Gauff C.
29984,2.86,1,1.8774063040528977,2020-02-20,Rybakina E.
22444,1.51,0,1.875684415102005,2017-01-21,Konta J.
26434,1.51,0,1.8755164159536357,2018-08-08,Svitolina E.
25735,1.39,0,1.8720884035527705,2018-05-18,Halep S.
19417,2.51,1,1.871704909801483,2015-10-02,Vekic D.
17424,1.6,0,1.8699399453401568,2015-02-10,Erakovic M.
17466,1.62,0,1.8691912165709907,2015-02-13,Zahlavova Strycova B.
15742,1.6,0,1.8663659725189212,2014-05-15,Jankovic J.
