match,PSW,win0,confidence0,date,winner
17439,1.2,0,3.915716013431549,2015-02-10,Barthel M.
23975,1.21,0,3.315089025646449,2017-08-09,Muguruza G.
22152,5.23,1,3.2361904972791677,2016-10-22,Niculescu M.
31870,1.13,0,3.225532702037266,2021-06-04,Rybakina E.
30806,1.26,0,3.2166982607543466,2021-02-02,Bouzkova M.
25693,1.16,0,3.2093342645963028,2018-05-14,Kanepi K.
22079,1.21,0,3.2076785082476484,2016-10-14,Keys M.
25577,4.13,1,3.1781395934820176,2018-05-01,Dulgheru A.
27087,1.19,0,3.158267986178398,2018-10-16,Muguruza G.
22086,4.47,1,2.93435665496758,2016-10-15,Golubic V.
31866,4.22,1,2.6747512012720107,2021-06-04,Pavlyuchenkova A.
32153,1.28,0,2.5990667366981506,2021-07-01,Pavlyuchenkova A.
29120,1.29,0,2.5803984441076007,2019-08-30,Barty A.
22073,1.27,0,2.5780181550979613,2016-10-13,Cibulkova D.
19610,1.25,0,2.5731927409768103,2015-10-21,Barthel M.
31353,1.39,0,2.548685708642006,2021-03-27,Sabalenka A.
29391,3.41,1,2.5078933399915697,2019-09-25,Yastremska D.
24661,3.86,1,2.495406012892723,2017-10-26,Ostapenko J.
16201,4.25,1,2.427999636158347,2014-07-08,Bogdan A.
16358,4.99,1,2.427543702051044,2014-07-29,Zhao C.
29374,1.3,0,2.4269245982170102,2019-09-24,Pliskova Ka.
16077,1.37,0,2.4252761353765213,2014-06-23,Zahlavova Strycova B.
14473,1.36,0,2.3955508679151536,2013-09-29,Kanepi K.
19641,3.97,1,2.3864972798228266,2015-10-30,Safarova L.
25105,2.86,1,2.38169229047639,2018-02-21,Kasatkina D.
33621,1.4,0,2.3709663959344227,2022-03-09,Riske A.
14343,1.42,0,2.3559725009202954,2013-09-16,Konta J.
22922,1.31,0,2.3388906648755072,2017-04-05,Babos T.
17587,1.25,0,2.3382766899466514,2015-02-25,Rybarikova M.
22078,1.35,0,2.315113778114319,2016-10-14,Suarez Navarro C.
29984,2.86,1,2.3135132342576976,2020-02-20,Rybakina E.
29175,1.31,0,2.233138382434845,2019-09-10,Zhang S.
16493,1.41,0,2.2231538437945506,2014-08-14,Halep S.
16727,1.34,0,2.2187116742134094,2014-09-11,Zheng J.
21104,3.43,1,2.167910804152489,2016-06-24,Cibulkova D.
20023,1.35,0,2.1668471412573544,2016-02-16,Svitolina E.
21076,1.34,0,2.153635129183531,2016-06-21,Petkovic A.
27083,1.27,0,2.1338567343354224,2018-10-16,Goerges J.
25628,1.37,0,2.131698275009791,2018-05-05,Garcia C.
26852,1.46,0,2.1303845887184147,2018-09-24,Bertens K.
23904,1.28,0,2.126509011983871,2017-08-02,Mladenovic K.
31543,1.32,0,2.123158110479514,2021-04-23,Halep S.
25293,1.42,0,2.1224405171473824,2018-03-22,Niculescu M.
20485,3.31,1,2.1161609914898873,2016-04-12,Pella C.
23754,1.43,0,2.103809901092734,2017-07-13,Muguruza G.
19204,2.84,1,2.1007240514755248,2015-09-15,Crawford S.
12543,1.42,0,2.099184276908636,2013-01-31,Cirstea S.
23310,1.36,0,2.0990562113126114,2017-05-24,Garcia C.
24404,3.49,1,2.0972034384310247,2017-09-26,Kasatkina D.
29239,1.49,0,2.091541343927383,2019-09-15,Pliskova Ka.
20976,1.36,0,2.087940085530281,2016-06-08,Mladenovic K.
33679,1.25,0,2.086108505129814,2022-03-13,Swiatek I.
25013,3.54,1,2.0781478947401046,2018-02-02,Kasatkina D.
26508,2.79,1,2.0756191244295668,2018-08-17,Bertens K.
12781,1.38,0,2.074303992837667,2013-03-01,Pavlyuchenkova A.
16016,3.42,1,2.0659378749132156,2014-06-17,Giorgi C.
14049,1.47,0,2.0601021379232405,2013-08-08,Li N.
13463,1.45,0,2.0580574894944825,2013-05-31,Vinci R.
18144,1.37,0,2.056318301677704,2015-05-11,Williams V.
33665,4.28,1,2.054225268959999,2022-03-12,Saville D.
18602,1.38,0,2.0541515093190332,2015-06-30,Rodina E.
31754,1.56,0,2.036005306363106,2021-05-26,Alexandrova E.
14693,2.59,1,2.0276756513118745,2013-12-30,Golubic V.
28708,1.35,0,2.0226788630485535,2019-07-15,Gavrilova D.
30827,1.41,0,2.0154678729176525,2021-02-03,Williams S.
12409,2.84,1,2.013338250716527,2013-01-15,Gavrilova D.
12792,3.0,1,2.0122110486030578,2013-03-02,Mattek-Sands B.
18875,1.47,0,2.0118803182244305,2015-08-04,Stosur S.
26435,1.51,0,2.007368294000625,2018-08-08,Svitolina E.
15901,1.43,0,2.0070145770907404,2014-05-29,Torro Flor M.T.
17287,1.46,0,2.002918910980225,2015-01-16,Kvitova P.
30621,2.76,1,2.000096056938171,2020-10-02,Bertens K.
24121,3.73,1,1.9950098695158958,2017-08-30,Mchale C.
15991,2.9,1,1.9919165086746216,2014-06-13,Zahlavova Strycova B.
25340,2.85,1,1.9913237959146501,2018-03-26,Stephens S.
33015,3.8,1,1.9910255551338196,2021-10-22,Alexandrova E.
21902,2.5,1,1.98527280241251,2016-09-27,Schiavone F.
17517,1.36,0,1.9835527001619337,2015-02-17,Pennetta F.
13641,1.49,0,1.9693036150932315,2013-06-21,Halep S.
