match,PSW,win0,confidence0,date,winner
24602,6.14,1,3.792035380363464,2017-10-16,Cepede Royg V.
23921,1.12,0,3.7304855856299395,2017-08-03,Halep S.
31650,1.17,0,3.7249909275770188,2021-05-12,Sabalenka A.
26693,1.2,0,3.371528693139553,2018-09-11,Wang Q.
22997,1.21,0,2.9528504347801205,2017-04-11,Vondrousova M.
23779,1.19,0,2.9232766377500132,2017-07-18,Dulgheru A.
31867,4.22,1,2.835769784450531,2021-06-04,Pavlyuchenkova A.
26648,1.3,0,2.488342933356762,2018-09-01,Williams S.
26441,4.42,1,2.46089443936944,2018-08-08,Abanda F.
30835,1.41,0,2.436004622578621,2021-02-03,Williams S.
25704,4.08,1,2.364331262111664,2018-05-15,Sakkari M.
31543,1.32,0,2.349243683616321,2021-04-23,Halep S.
33011,3.8,1,2.333795151114464,2021-10-22,Alexandrova E.
25429,3.0,1,2.3305942118167877,2018-04-06,Cornet A.
28990,1.37,0,2.251159307956696,2019-08-16,Barty A.
25256,3.49,1,2.2375519440323117,2018-03-17,Osaka N.
29371,1.3,0,2.1836876528710127,2019-09-24,Pliskova Ka.
27513,2.88,1,2.1706318473815918,2019-02-15,Mertens E.
22336,1.44,0,2.1678406829833983,2017-01-16,Barty A.
29386,3.41,1,2.1392614760994912,2019-09-25,Yastremska D.
23309,1.36,0,2.133961342334747,2017-05-24,Garcia C.
24436,2.7,1,2.1290603649616244,2017-09-29,Bondarenko K.
24393,3.49,1,2.1145168461203574,2017-09-26,Kasatkina D.
25252,2.74,1,2.1100439662592754,2018-03-15,Kasatkina D.
31552,1.37,0,2.1022821407318117,2021-04-24,Barty A.
25997,2.69,1,2.084834553450346,2018-06-18,Rybarikova M.
22311,3.64,1,2.0831318151950837,2017-01-10,Duan Y.Y.
22836,2.73,1,2.033689547181129,2017-03-24,Stosur S.
26259,1.38,0,1.986217276632786,2018-07-18,Minella M.
22715,1.44,0,1.973072038590908,2017-03-09,Bencic B.
27692,3.22,1,1.9679708733558656,2019-03-10,Muguruza G.
25735,1.39,0,1.9666990381479263,2018-05-18,Halep S.
22501,1.34,0,1.9611654102802276,2017-02-02,Cibulkova D.
23784,1.47,0,1.9459665413413731,2017-07-18,Kovinic D.
28225,1.51,0,1.944138931930065,2019-05-20,Puig M.
31352,1.39,0,1.9339853212237357,2021-03-27,Sabalenka A.
25730,1.47,0,1.9337548434734348,2018-05-17,Svitolina E.
27298,1.53,0,1.9316897663474082,2019-01-11,Barty A.
33104,1.41,0,1.9273749591623037,2021-11-10,Kontaveit A.
23067,2.8,1,1.923333615064621,2017-04-27,Mladenovic K.
29389,1.44,0,1.91709494009614,2019-09-25,Barty A.
22663,2.75,1,1.9137898907065392,2017-03-01,Parmentier P.
25798,2.75,1,1.9102705741922061,2018-05-25,Pavlyuchenkova A.
26269,1.39,0,1.8927679733435312,2018-07-19,Cirstea S.
25707,1.57,0,1.88834685587883,2018-05-15,Collins D.
22510,1.5,0,1.8870572769641873,2017-02-03,Peng S.
