match,PSW,win0,confidence0,date,winner
12606,1.17,0,3.457227401,2/15/2013,Sharapova M.
34561,5.27,1,3.447388401,7/2/2022,Cornet A.
27088,1.19,0,3.436481372,10/16/2018,Muguruza G.
13252,1.18,0,3.347548501,5/11/2013,Williams S.
27405,1.2,0,3.34035443,1/18/2019,Barty A.
17439,1.2,0,3.244281739,2/10/2015,Barthel M.
33677,1.25,0,2.895366946,3/13/2022,Swiatek I.
34063,1.23,0,2.819182955,5/14/2022,Swiatek I.
32504,1.3,0,2.803724743,8/21/2021,Barty A.
34366,1.25,0,2.742365395,6/17/2022,Jabeur O.
29120,1.29,0,2.651579031,8/30/2019,Barty A.
19162,1.39,0,2.60347161,9/5/2015,Stosur S.
35486,1.28,0,2.571576726,11/3/2022,Swiatek I.
33012,3.8,1,2.542393692,10/22/2021,Alexandrova E.
21077,1.34,0,2.493188741,6/21/2016,Petkovic A.
21040,4.1,1,2.488113096,6/16/2016,Ostapenko J.
18062,3.83,1,2.465499824,4/30/2015,Babos T.
19621,1.35,0,2.465017293,10/23/2015,Pavlyuchenkova A.
33801,1.22,0,2.462749465,3/31/2022,Swiatek I.
34153,1.42,0,2.419119707,5/23/2022,Raducanu E.
33908,1.34,0,2.417798733,4/20/2022,Kontaveit A.
12664,1.42,0,2.394686965,2/20/2013,Voegele S.
27499,1.4,0,2.384473495,2/12/2019,Kontaveit A.
31543,1.32,0,2.37579829,4/23/2021,Halep S.
29987,1.39,0,2.371289536,2/21/2020,Halep S.
15579,1.21,0,2.370014787,4/24/2014,Ivanovic A.
26441,4.42,1,2.353887069,8/8/2018,Abanda F.
19200,3.29,1,2.352293829,9/15/2015,Hsieh S.W.
28988,1.37,0,2.34012125,8/16/2019,Barty A.
31561,1.2,0,2.29346676,4/29/2021,Zidansek T.
29397,3.41,1,2.282727236,9/25/2019,Yastremska D.
19680,1.39,0,2.266834693,1/4/2016,Niculescu M.
14206,1.37,0,2.261890269,8/27/2013,Vesnina E.
15189,1.37,0,2.256459576,3/6/2014,Tomljanovic A.
21071,1.33,0,2.249971434,6/21/2016,Radwanska A.
16204,1.22,0,2.243771353,7/8/2014,Errani S.
29374,1.3,0,2.22234164,9/24/2019,Pliskova Ka.
29471,1.43,0,2.217498284,10/5/2019,Barty A.
22995,1.21,0,2.212399624,4/11/2017,Vondrousova M.
24144,1.34,0,2.208468504,8/30/2017,Kuznetsova S.
21393,3.5,1,2.198545396,7/26/2016,Kucova K.
30845,3.58,1,2.194514093,2/3/2021,Begu I.
32153,1.28,0,2.184018078,7/1/2021,Pavlyuchenkova A.
16019,3.42,1,2.1683165,6/17/2014,Giorgi C.
