match,PSW,win0,confidence0,date,winner
31863,4.22,1,3.110128884,6/4/2021,Pavlyuchenkova A.
34596,1.24,0,2.915258068,7/12/2022,Danilovic O.
33801,1.22,0,2.913698029,3/31/2022,Swiatek I.
23780,1.19,0,2.891205492,7/18/2017,Dulgheru A.
33674,1.25,0,2.704844788,3/13/2022,Swiatek I.
32679,1.32,0,2.602975954,9/5/2021,Sabalenka A.
31609,1.29,0,2.577097353,5/4/2021,Sabalenka A.
22993,1.21,0,2.395668409,4/11/2017,Vondrousova M.
32153,1.28,0,2.293936665,7/1/2021,Pavlyuchenkova A.
33015,3.8,1,2.255863557,10/22/2021,Alexandrova E.
34424,3.93,1,2.251887899,6/21/2022,Kalinina A.
33754,1.41,0,2.238117848,3/24/2022,Osaka N.
24410,3.49,1,2.232281809,9/26/2017,Kasatkina D.
28205,3.53,1,2.226005789,5/18/2019,Konta J.
22344,1.44,0,2.201663342,1/16/2017,Barty A.
34140,1.47,0,2.190268685,5/22/2022,Osorio M.
34575,1.43,0,2.185327099,7/4/2022,Halep S.
29907,1.34,0,2.154765657,2/10/2020,Sanders S.
25341,2.85,1,2.15003284,3/26/2018,Stephens S.
27343,1.38,0,2.109402517,1/15/2019,Swiatek I.
31549,1.32,0,2.096303144,4/23/2021,Halep S.
26269,1.39,0,2.095568138,7/19/2018,Cirstea S.
28832,2.89,1,2.078004302,7/29/2019,Ahn K.
29389,3.41,1,2.039954172,9/25/2019,Yastremska D.
26508,2.79,1,2.038148333,8/17/2018,Bertens K.
33689,3.02,1,2.014305561,3/14/2022,Vondrousova M.
31353,1.39,0,2.01166427,3/27/2021,Sabalenka A.
33106,1.41,0,2.003381424,11/10/2021,Kontaveit A.
25923,1.45,0,1.960462428,6/6/2018,Halep S.
23197,1.47,0,1.958253589,5/9/2017,Stosur S.
35736,3.72,1,1.953519395,1/24/2023,Azarenka V.
25793,2.75,1,1.946056885,5/25/2018,Pavlyuchenkova A.
25734,1.43,0,1.940421814,5/18/2018,Svitolina E.
26970,1.44,0,1.930480421,10/7/2018,Wozniacki C.
31367,1.33,0,1.9217657,3/29/2021,Osaka N.
23785,1.47,0,1.918692483,7/18/2017,Kovinic D.
35367,3.06,1,1.91625008,10/10/2022,Trevisan M.
24498,2.82,1,1.912224084,10/6/2017,Garcia C.
26254,1.38,0,1.911060305,7/18/2018,Minella M.
35120,1.43,0,1.905316546,9/6/2022,Jabeur O.
27797,2.84,1,1.903462133,3/23/2019,Wang Q.
25081,1.55,0,1.891750196,2/19/2018,Lisicki S.
31221,1.43,0,1.883694495,3/12/2021,Muguruza G.
29980,1.43,0,1.874812163,2/19/2020,Pliskova Ka.
27825,1.46,0,1.871324585,4/1/2019,Townsend T.
30651,1.5,0,1.865908518,10/10/2020,Swiatek I.
