match,PSW,win0,confidence0,date,winner
18346,7.38,1,4.864027546,5/28/2015,Schiavone F.
26696,1.2,0,3.73084369,9/11/2018,Wang Q.
23915,1.12,0,3.58076372,8/3/2017,Halep S.
33800,1.22,0,3.545279831,3/31/2022,Swiatek I.
30806,1.26,0,3.377447277,2/2/2021,Bouzkova M.
31866,4.22,1,3.113587821,6/4/2021,Pavlyuchenkova A.
19934,5.3,1,3.010069702,1/27/2016,Kerber A.
18970,1.21,0,3.009980544,8/15/2015,Halep S.
33678,1.25,0,2.995189504,3/13/2022,Swiatek I.
27084,1.19,0,2.965327311,10/16/2018,Muguruza G.
24875,1.21,0,2.927921204,1/16/2018,Giorgi C.
35735,3.72,1,2.898502668,1/24/2023,Azarenka V.
30029,1.25,0,2.892755285,2/25/2020,Pliskova Ka.
34057,1.28,0,2.785991849,5/12/2022,Jabeur O.
25013,3.54,1,2.681648934,2/2/2018,Kasatkina D.
18925,1.21,0,2.625153084,8/11/2015,Azarenka V.
29382,1.3,0,2.599910572,9/24/2019,Pliskova Ka.
33689,3.02,1,2.588774321,3/14/2022,Vondrousova M.
22494,3.78,1,2.54962334,2/1/2017,Vikhlyantseva N.
29348,1.32,0,2.529754212,9/23/2019,Martic P.
20854,1.3,0,2.457487121,5/24/2016,Puig M.
27824,1.28,0,2.444416678,4/1/2019,Trevisan M.
33909,1.34,0,2.442494314,4/20/2022,Kontaveit A.
22045,1.33,0,2.422273538,10/12/2016,Jankovic J.
22443,1.38,0,2.42008059,1/21/2017,Strycova B.
29475,1.32,0,2.407994381,10/7/2019,Putintseva Y.
25742,1.41,0,2.401739066,5/20/2018,Rybakina E.
15576,1.38,0,2.386375213,4/23/2014,Muguruza G.
29712,1.4,0,2.376808784,1/11/2020,Williams S.
20953,1.3,0,2.371360814,6/7/2016,Barty A.
21984,1.46,0,2.366544782,10/5/2016,Garcia C.
30219,4.07,1,2.365921406,8/14/2020,Rogers S.
31543,1.32,0,2.363291668,4/23/2021,Halep S.
22310,3.64,1,2.349319264,1/10/2017,Duan Y.Y.
34410,3.93,1,2.349113513,6/21/2022,Kalinina A.
22295,1.28,0,2.345630172,1/9/2017,Tsurenko L.
21474,1.39,0,2.341654939,8/2/2016,Hibino N.
23431,1.36,0,2.301177606,6/2/2017,Stosur S.
25304,1.29,0,2.286247456,3/22/2018,Martic P.
20393,1.4,0,2.265468923,4/4/2016,Lisicki S.
24500,3.26,1,2.259853009,10/7/2017,Garcia C.
15904,1.45,0,2.257189003,5/29/2014,Kuznetsova S.
26435,1.51,0,2.24994968,8/8/2018,Svitolina E.
29129,1.32,0,2.247846548,8/31/2019,Mertens E.
19948,1.38,0,2.239017074,2/9/2016,Zheng S.
21436,1.38,0,2.230801429,7/29/2016,Keys M.
25735,1.39,0,2.225064769,5/18/2018,Halep S.
15901,1.43,0,2.221610668,5/29/2014,Torro Flor M.T.
21104,3.43,1,2.217387075,6/24/2016,Cibulkova D.
33014,3.8,1,2.202114419,10/22/2021,Alexandrova E.
18062,1.44,0,2.196540086,4/30/2015,Pliskova Ka.
35374,3.06,1,2.180555832,10/10/2022,Trevisan M.
26352,1.36,0,2.179974909,7/30/2018,Collins D.
22077,1.35,0,2.179770026,10/14/2016,Suarez Navarro C.
32904,1.36,0,2.164138336,10/8/2021,Riske A.
17114,1.41,0,2.164069397,10/22/2014,Ivanovic A.
34366,1.25,0,2.160519752,6/17/2022,Jabeur O.
21551,3.28,1,2.141591545,8/21/2016,Pliskova Ka.
14906,1.33,0,2.139716829,1/16/2014,Svitolina E.
25479,2.8,1,2.13610116,4/13/2018,Voegele S.
29982,2.86,1,2.129133328,2/20/2020,Rybakina E.
31022,1.42,0,2.118467913,2/15/2021,Wang Q.
16051,1.5,0,2.114475659,6/20/2014,Keys M.
33754,1.41,0,2.113489648,3/24/2022,Osaka N.
21909,1.47,0,2.09722646,9/27/2016,Kozlova K.
16323,3.21,1,2.093303045,7/22/2014,Eguchi M.
25827,1.4,0,2.093194119,5/28/2018,Rybarikova M.
24991,1.4,0,2.086285215,1/31/2018,Ostapenko J.
35480,3.27,1,2.078156654,10/31/2022,Sakkari M.
32261,2.92,1,2.075931408,7/14/2021,Minella M.
21902,1.41,0,2.075568743,9/27/2016,Broady N.
15439,3.01,1,2.075239344,4/4/2014,Bouchard E.
34199,2.78,1,2.073761115,5/25/2022,Parry D.
26311,1.5,0,2.07328398,7/24/2018,Ivakhnenko V.
17259,1.43,0,2.07322559,1/12/2015,Brengle M.
22715,1.44,0,2.069775026,3/9/2017,Bencic B.
26947,1.51,0,2.062968738,10/2/2018,Kerber A.
29314,1.49,0,2.06207739,9/20/2019,Alexandrova E.
19763,1.46,0,2.055204983,1/11/2016,Kerber A.
23586,1.37,0,2.048524963,6/25/2017,Riske A.
21673,1.47,0,2.048366976,9/2/2016,Kvitova P.
29390,3.41,1,2.048041619,9/25/2019,Yastremska D.
29258,3.58,1,2.046857372,9/17/2019,Peng S.
22256,2.79,1,2.039321376,1/5/2017,Svitolina E.
26459,1.56,0,2.037326972,8/11/2018,Svitolina E.
21097,3.01,1,2.036725075,6/22/2016,Konta J.
33108,1.41,0,2.035347362,11/10/2021,Kontaveit A.
29967,3.26,1,2.031906132,2/18/2020,Rybakina E.
27817,1.4,0,2.017705994,3/27/2019,Halep S.
28319,2.81,1,2.017428676,5/28/2019,Hon P.
16192,2.6,1,2.014737548,7/7/2014,Buyukakcay C.
17163,2.97,1,2.010628814,1/5/2015,Pliskova Ka.
28771,1.39,0,2.008732385,7/22/2019,Rus A.
21206,1.5,0,2.008598268,7/2/2016,Halep S.
24969,1.56,0,2.004832336,1/29/2018,Cornet A.
26970,1.44,0,2.004297061,10/7/2018,Wozniacki C.
19786,1.42,0,2.00177123,1/12/2016,Stosur S.
17527,1.36,0,2.000767087,2/17/2015,Pennetta F.
36299,1.47,0,1.998748643,4/7/2023,Maria T.
31946,1.56,0,1.99616712,6/14/2021,Garcia C.
29171,1.41,0,1.992105278,9/10/2019,Stosur S.
30015,1.47,0,1.990323963,2/24/2020,Bertens K.
31437,3.18,1,1.989418884,4/7/2021,Voegele S.
26055,1.5,0,1.98891363,6/24/2018,Collins D.R.
24755,1.51,0,1.986399245,1/4/2018,Svitolina E.
21938,2.5,1,1.980680376,9/30/2016,Kvitova P.
33954,1.39,0,1.980388581,4/28/2022,Badosa P.
29607,1.59,0,1.977914764,10/26/2019,Sabalenka A.
15625,1.52,0,1.97544335,4/30/2014,Kuznetsova S.
21923,1.47,0,1.974599108,9/28/2016,Allertova D.
16772,2.77,1,1.97366394,9/15/2014,Torro Flor M.T.
