match,PSW,win0,confidence0,date,winner
17439,1.2,0,3.695279063,2/10/2015,Barthel M.
34563,5.27,1,3.444485451,7/2/2022,Cornet A.
13251,1.18,0,3.211100883,5/11/2013,Williams S.
24880,1.21,0,3.201517054,1/16/2018,Giorgi C.
33677,1.25,0,3.1117055,3/13/2022,Swiatek I.
22176,1.22,0,3.01958294,11/3/2016,Svitolina E.
29120,1.29,0,2.912653074,8/30/2019,Barty A.
27088,1.19,0,2.830746956,10/16/2018,Muguruza G.
16202,1.22,0,2.808196564,7/8/2014,Errani S.
34063,1.23,0,2.754860374,5/14/2022,Swiatek I.
31866,4.22,1,2.70062897,6/4/2021,Pavlyuchenkova A.
32504,1.3,0,2.695661781,8/21/2021,Barty A.
22054,1.33,0,2.645678142,10/12/2016,Jankovic J.
34370,1.25,0,2.625261179,6/17/2022,Jabeur O.
22995,1.21,0,2.602518267,4/11/2017,Vondrousova M.
34170,1.26,0,2.592448552,5/24/2022,Juvan K.
29367,1.3,0,2.565566349,9/24/2019,Pliskova Ka.
32152,1.28,0,2.525674423,7/1/2021,Pavlyuchenkova A.
35485,1.28,0,2.513471093,11/3/2022,Swiatek I.
30217,4.07,1,2.48331628,8/14/2020,Rogers S.
19161,1.39,0,2.414532828,9/5/2015,Stosur S.
14764,3.34,1,2.394531631,1/6/2014,Lepchenko V.
25003,3.56,1,2.391652728,2/1/2018,Mladenovic K.
15307,1.44,0,2.369391327,3/20/2014,Lisicki S.
33909,1.34,0,2.348840826,4/20/2022,Kontaveit A.
33800,1.22,0,2.340572842,3/31/2022,Swiatek I.
12910,1.36,0,2.325449126,3/20/2013,Voegele S.
31543,1.32,0,2.320132228,4/23/2021,Halep S.
24121,3.73,1,2.303317824,8/30/2017,Mchale C.
22069,1.27,0,2.286527942,10/13/2016,Cibulkova D.
31370,1.33,0,2.279690389,3/29/2021,Osaka N.
20612,1.38,0,2.271452563,4/27/2016,Giorgi C.
17204,3.35,1,2.25526781,1/7/2015,Davis L.
29987,1.39,0,2.254323796,2/21/2020,Halep S.
33013,3.8,1,2.253023937,10/22/2021,Alexandrova E.
21919,1.22,0,2.236249309,9/28/2016,Halep S.
25742,1.41,0,2.234871151,5/20/2018,Rybakina E.
23126,1.53,0,2.22386464,5/3/2017,Barthel M.
21072,1.33,0,2.221593928,6/21/2016,Radwanska A.
18140,1.37,0,2.217755717,5/11/2015,Williams V.
14468,1.36,0,2.20678711,9/29/2013,Kanepi K.
29984,2.86,1,2.191364528,2/20/2020,Rybakina E.
34701,1.4,0,2.184963644,7/22/2022,Pera B.
29696,1.25,0,2.166139669,1/9/2020,Pliskova Ka.
31354,1.34,0,2.164398212,3/27/2021,Barty A.
16023,3.42,1,2.15286743,6/17/2014,Giorgi C.
29482,1.32,0,2.152724422,10/7/2019,Putintseva Y.
33104,1.41,0,2.149996245,11/10/2021,Kontaveit A.
22248,1.46,0,2.147837151,1/4/2017,Cibulkova D.
17862,1.39,0,2.141357412,3/31/2015,Halep S.
21077,1.34,0,2.123708868,6/21/2016,Petkovic A.
31916,1.41,0,2.120077328,6/9/2021,Zhang S.
13311,1.4,0,2.109466555,5/20/2013,Govortsova O.
34175,3.07,1,2.108654369,5/24/2022,Contreras Gomez F.
29239,1.49,0,2.094873507,9/15/2019,Pliskova Ka.
23654,1.49,0,2.088053553,7/3/2017,Wang Q.
21395,3.5,1,2.087743065,7/26/2016,Kucova K.
15818,1.53,0,2.08690509,5/25/2014,Muguruza G.
16076,1.37,0,2.081365781,6/23/2014,Zahlavova Strycova B.
31771,1.49,0,2.068678425,5/30/2021,Siniakova K.
26830,2.86,1,2.060542954,9/23/2018,Kontaveit A.
24144,1.34,0,2.060067469,8/30/2017,Kuznetsova S.
22715,1.44,0,2.056911706,3/9/2017,Bencic B.
29571,1.54,0,2.055759297,10/17/2019,Bertens K.
20317,1.34,0,2.048137508,3/23/2016,Vandeweghe C.
20760,1.36,0,2.046832633,5/16/2016,Garcia C.
12409,2.84,1,2.040935187,1/15/2013,Gavrilova D.
27297,1.53,0,2.034279157,1/11/2019,Barty A.
16166,1.49,0,2.033220459,6/28/2014,Bouchard E.
19793,1.42,0,2.03210588,1/12/2016,Stosur S.
30211,1.4,0,2.028902435,8/13/2020,Williams S.
25174,1.51,0,2.00878124,3/8/2018,Siniakova K.
16436,3.13,1,2.006478083,8/7/2014,Makarova E.
26700,1.48,0,2.00642691,9/11/2018,Zidansek T.
26030,1.4,0,1.999206765,6/21/2018,Sevastova A.
20228,1.33,0,1.996360486,3/10/2016,Strycova B.
23431,1.36,0,1.996089807,6/2/2017,Stosur S.
24282,1.51,0,1.990153795,9/18/2017,Barthel M.
33687,3.02,1,1.986351858,3/14/2022,Vondrousova M.
27499,1.4,0,1.983836174,2/12/2019,Kontaveit A.
30265,1.55,0,1.980145592,8/24/2020,Teichmann J.
20250,1.42,0,1.976896631,3/12/2016,Puig M.
31544,1.32,0,1.976770408,4/23/2021,Barty A.
25442,1.55,0,1.976656881,4/9/2018,Schmiedlova A.
26984,2.63,1,1.975176916,10/8/2018,Tomova V.
14300,1.38,0,1.975016412,9/10/2013,Safarova L.
35526,1.48,0,1.971769804,1/4/2023,Muchova K.
12792,3,1,1.970391154,3/2/2013,Mattek-Sands B.
17640,1.49,0,1.970118541,3/3/2015,Koukalova K.
31553,2.93,1,1.96328688,4/24/2021,Sabalenka A.
34424,3.93,1,1.963042931,6/21/2022,Kalinina A.
23935,2.63,1,1.958606838,8/6/2017,Keys M.
25751,1.49,0,1.947464967,5/21/2018,Stosur S.
26513,2.79,1,1.946254107,8/17/2018,Bertens K.
26970,1.44,0,1.942829835,10/7/2018,Wozniacki C.
23624,1.36,0,1.942235041,6/29/2017,Pliskova Ka.
34150,1.42,0,1.938815318,5/23/2022,Raducanu E.
15601,1.56,0,1.938121265,4/27/2014,Torro Flor M.T.
30676,1.59,0,1.935728906,10/24/2020,Azarenka V.
25164,3.18,1,1.931750638,3/7/2018,Putintseva Y.
34192,2.78,1,1.931165261,5/25/2022,Parry D.
35307,2.88,1,1.923324022,10/1/2022,Sherif M.
23100,3.25,1,1.923293352,5/2/2017,Maria T.
34057,1.28,0,1.922411299,5/12/2022,Jabeur O.
16113,2.6,1,1.91377974,6/24/2014,Lepchenko V.
19997,1.5,0,1.911920326,2/15/2016,Kostova E.
20485,3.31,1,1.905537811,4/12/2016,Pella C.
25538,1.53,0,1.903839287,4/26/2018,Svitolina E.
16835,1.38,0,1.902478419,9/19/2014,Pliskova Ka.
31350,1.39,0,1.899433535,3/27/2021,Sabalenka A.
24615,2.71,1,1.896971797,10/17/2017,Lisicki S.
16084,1.41,0,1.895534985,6/24/2014,Koukalova K.
25103,2.86,1,1.893878856,2/21/2018,Kasatkina D.
34769,1.48,0,1.892967811,7/31/2022,Garcia C.
26788,1.5,0,1.892380387,9/19/2018,Putintseva Y.
31945,1.56,0,1.889879618,6/14/2021,Garcia C.
36132,1.43,0,1.889668054,3/21/2023,Giorgi C.
25295,1.42,0,1.889132478,3/22/2018,Niculescu M.
19746,1.61,0,1.881190534,1/8/2016,Goerges J.
28768,1.39,0,1.878345587,7/22/2019,Rus A.
15206,1.43,0,1.878289618,3/7/2014,Safarova L.
22306,2.73,1,1.87571973,1/10/2017,Bouchard E.
32176,1.54,0,1.875574054,7/5/2021,Muchova K.
13770,2.83,1,1.873020519,7/6/2013,Bartoli M.
14694,2.59,1,1.871911838,12/30/2013,Golubic V.
15591,2.59,1,1.870937808,4/25/2014,Oprandi R.
23627,1.37,0,1.870893288,6/30/2017,Wozniacki C.
16047,1.45,0,1.86877771,6/19/2014,Wozniacki C.
25764,2.61,1,1.868739456,5/21/2018,Stollar F.
28481,1.47,0,1.865860596,6/18/2019,Osaka N.
30278,1.53,0,1.864595483,8/26/2020,Osaka N.
13462,1.45,0,1.864234668,5/31/2013,Vinci R.
22256,2.79,1,1.86267278,1/5/2017,Svitolina E.
29608,1.55,0,1.859792451,10/27/2019,Sabalenka A.
