match,PSW,win0,confidence0,date,winner,,,,
26292,1.16,0,4.403599254,7/23/2018,Wang Q.,-1,-50,,
26694,1.2,0,3.530578325,9/11/2018,Wang Q.,-1,-50,,
34563,5.27,1,3.350431167,7/2/2022,Cornet A.,4.27,213.5,,
31498,1.17,0,3.198541021,4/19/2021,Bencic B.,-1,-50,,
24755,1.22,0,3.186639664,1/4/2018,Sharapova M.,-1,-50,,
27086,1.19,0,3.008361674,10/16/2018,Muguruza G.,-1,-50,,
33801,1.22,0,2.881752341,3/31/2022,Swiatek I.,-1,-50,,
29655,1.24,0,2.850209883,1/7/2020,Williams S.,-1,-50,,
28699,1.28,0,2.832841916,7/9/2019,Williams S.,-1,-50,,
32574,1.23,0,2.814676831,8/30/2021,Jabeur O.,-1,-50,,
35485,1.28,0,2.775088295,11/3/2022,Swiatek I.,-1,-50,,
31867,4.22,1,2.748949578,6/4/2021,Pavlyuchenkova A.,3.22,161,,
29119,1.29,0,2.700382577,8/30/2019,Barty A.,-1,-50,,
32153,1.28,0,2.67978614,7/1/2021,Pavlyuchenkova A.,-1,-50,,
33678,1.25,0,2.668060672,3/13/2022,Swiatek I.,-1,-50,,
29376,1.3,0,2.634593249,9/24/2019,Pliskova Ka.,-1,-50,,
31353,1.39,0,2.627958194,3/27/2021,Sabalenka A.,-1,-50,,
29452,1.36,0,2.60765955,10/1/2019,Wozniacki C.,-1,-50,,
31223,1.43,0,2.601544514,3/12/2021,Muguruza G.,-1,-50,,
29349,1.32,0,2.597678621,9/23/2019,Martic P.,-1,-50,,
25011,3.54,1,2.544669847,2/2/2018,Kasatkina D.,2.54,127,,
35855,1.33,0,2.528601291,2/10/2023,Bencic B.,-1,-50,,
29663,1.35,0,2.483621011,1/7/2020,Osaka N.,-1,-50,,
31543,1.32,0,2.44093717,4/23/2021,Halep S.,-1,-50,,
33955,1.39,0,2.436988432,4/28/2022,Badosa P.,-1,-50,,
33988,3.61,1,2.431977726,5/1/2022,Sorribes Tormo S.,2.61,130.5,,
29175,1.31,0,2.430310054,9/10/2019,Zhang S.,-1,-50,,
29397,3.41,1,2.41959926,9/25/2019,Yastremska D.,2.41,120.5,,
23510,1.41,0,2.409304566,6/16/2017,Vikhlyantseva N.,-1,-50,,
