match,PSW,win0,confidence0,date,winner,,,,
14109,1.12,0,4.670369222,8/15/2013,Li N.,,,,
25693,1.16,0,3.952908257,5/14/2018,Kanepi K.,,,,
17437,1.2,0,3.680201177,2/10/2015,Barthel M.,,,,
31867,4.22,1,3.50176414,6/4/2021,Pavlyuchenkova A.,,,,
22152,5.23,1,3.459376212,10/22/2016,Niculescu M.,,,,
19624,5.73,1,3.419906956,10/23/2015,Doi M.,,,,
28502,1.21,0,3.346315246,6/20/2019,Garcia C.,,,,
29119,1.29,0,3.241015778,8/30/2019,Barty A.,,,,
16275,5.11,1,3.224677102,7/16/2014,Dabrowski G.,,,,
12196,1.12,0,3.173973642,10/24/2012,Azarenka V.,,,,
23970,1.21,0,3.16769326,8/9/2017,Muguruza G.,,,,
16211,1.22,0,3.16607981,7/8/2014,Errani S.,,,,
10902,1.18,0,3.114608559,5/18/2012,Williams S.,,,,
33801,1.22,0,3.107338584,3/31/2022,Swiatek I.,,,,
31662,4.2,1,3.104016826,5/13/2021,Gauff C.,,,,
10839,1.21,0,3.093907751,5/10/2012,Sharapova M.,,,,
21234,1.27,0,3.086057029,7/9/2016,Williams S.,,,,
29364,1.3,0,3.076466195,9/24/2019,Pliskova Ka.,,,,
28699,1.28,0,3.018277774,7/9/2019,Williams S.,,,,
35486,1.28,0,2.98763401,11/3/2022,Swiatek I.,,,,
34367,1.25,0,2.950059859,6/17/2022,Jabeur O.,,,,
28992,4.09,1,2.840921062,8/17/2019,Kuznetsova S.,,,,
12184,1.28,0,2.767244899,10/19/2012,Ivanovic A.,,,,
16253,1.25,0,2.739241894,7/15/2014,Wozniacki C.,,,,
29386,3.41,1,2.733621702,9/25/2019,Yastremska D.,,,,
10311,1.21,0,2.700762637,2/28/2012,Morita A.,,,,
28974,1.35,0,2.661453586,8/14/2019,Halep S.,,,,
15186,1.37,0,2.65577141,3/6/2014,Tomljanovic A.,,,,
28915,1.3,0,2.649710566,8/7/2019,Halep S.,,,,
23577,1.33,0,2.648252137,6/24/2017,Kvitova P.,,,,
30806,1.26,0,2.647502143,2/2/2021,Bouzkova M.,,,,
31369,1.33,0,2.632329452,3/29/2021,Osaka N.,,,,
33678,1.25,0,2.598252523,3/13/2022,Swiatek I.,,,,
21076,1.34,0,2.586951501,6/21/2016,Petkovic A.,,,,
20975,1.36,0,2.586700127,6/8/2016,Mladenovic K.,,,,
16016,3.42,1,2.568715637,6/17/2014,Giorgi C.,,,,
12638,2.97,1,2.545024902,2/19/2013,Vinci R.,,,,
9625,1.32,0,2.529375134,10/2/2011,Bartoli M.,,,,
33015,3.8,1,2.524619969,10/22/2021,Alexandrova E.,,,,
31545,1.32,0,2.516065146,4/23/2021,Halep S.,,,,
12719,2.89,1,2.512165658,2/26/2013,Mayr P.,,,,
29263,1.24,0,2.512100712,9/17/2019,Keys M.,,,,
27086,1.19,0,2.498733447,10/16/2018,Muguruza G.,,,,
29709,1.4,0,2.496916898,1/11/2020,Williams S.,,,,
25407,1.32,0,2.475643426,4/4/2018,Sevastova A.,,,,
19642,3.97,1,2.466662857,10/30/2015,Safarova L.,,,,
19179,3.92,1,2.453928789,9/9/2015,Pennetta F.,,,,
32153,1.28,0,2.419347324,7/1/2021,Pavlyuchenkova A.,,,,
30399,1.49,0,2.418444692,9/6/2020,Brady J.,,,,
14472,1.36,0,2.411692597,9/29/2013,Kanepi K.,,,,
34418,3.93,1,2.402700164,6/21/2022,Kalinina A.,,,,
13723,3.39,1,2.402327517,6/26/2013,Cetkovska P.,,,,
16200,3.52,1,2.396449474,7/8/2014,Pfizenmaier D.,,,,
9580,3.31,1,2.394179853,9/27/2011,Kirilenko M.,,,,
27755,1.3,0,2.385785459,3/21/2019,Williams V.,,,,
14026,1.38,0,2.376677457,8/6/2013,Kirilenko M.,,,,
32904,1.36,0,2.376376635,10/8/2021,Riske A.,,,,
14765,3.34,1,2.376178036,1/6/2014,Lepchenko V.,,,,
21554,1.26,0,2.368854864,8/22/2016,Konjuh A.,,,,
16314,1.4,0,2.343353394,7/22/2014,Cirstea S.,,,,
9788,1.36,0,2.331222519,10/22/2011,Cibulkova D.,,,,
29349,1.32,0,2.317042144,9/23/2019,Martic P.,,,,
23884,3.5,1,2.316850893,7/31/2017,Sabalenka A.,,,,
22053,1.33,0,2.311399693,10/12/2016,Jankovic J.,,,,
18144,1.37,0,2.310921295,5/11/2015,Williams V.,,,,
31221,1.43,0,2.30995145,3/12/2021,Muguruza G.,,,,
21104,3.43,1,2.300741038,6/24/2016,Cibulkova D.,,,,
15307,1.44,0,2.297494778,3/20/2014,Lisicki S.,,,,
12849,1.42,0,2.292729906,3/9/2013,Burdette M.,,,,
12310,1.33,0,2.286046259,1/5/2013,Li N.,,,,
34310,3.25,1,2.278815567,6/10/2022,Haddad Maia B.,,,,
33749,1.41,0,2.27261632,3/24/2022,Osaka N.,,,,
33621,1.4,0,2.271403845,3/9/2022,Riske A.,,,,
15234,3.18,1,2.268817484,3/9/2014,Wozniak A.,,,,
19790,1.42,0,2.265188284,1/12/2016,Stosur S.,,,,
10905,1.48,0,2.261620936,5/20/2012,Sharapova M.,,,,
