match,PSW,win0,confidence0,date,winner,,correct?,,
23612,1.17,0,4.486173645,6/28/2017,Halep S.,,,,
26291,1.16,0,4.401344546,7/23/2018,Wang Q.,,,,
17436,1.2,0,4.342653113,2/10/2015,Barthel M.,,,,
11367,1.18,0,4.268697319,7/7/2012,Williams S.,,,,
12607,1.17,0,4.267544003,2/15/2013,Sharapova M.,,,,
23896,1.2,0,3.859450738,8/1/2017,Halep S.,,,,
34566,5.27,1,3.824671462,7/2/2022,Cornet A.,,,,
12980,1.17,0,3.80971266,3/27/2013,Sharapova M.,,,,
15422,1.15,0,3.583133545,4/3/2014,Wozniacki C.,,,,
19622,5.73,1,3.511947077,10/23/2015,Doi M.,,,,
16203,1.22,0,3.199838181,7/8/2014,Errani S.,,,,
13303,1.26,0,3.184573758,5/17/2013,Azarenka V.,,,,
28187,4.27,1,3.172071176,5/16/2019,Sakkari M.,,,,
29614,4.15,1,3.162865997,10/29/2019,Bertens K.,,,,
28502,1.21,0,3.155450034,6/20/2019,Garcia C.,,,,
29120,1.29,0,3.154249112,8/30/2019,Barty A.,,,,
31664,4.2,1,3.13486003,5/13/2021,Gauff C.,,,,
19211,1.24,0,3.113917234,9/15/2015,Beck A.,,,,
29370,1.3,0,3.087008725,9/24/2019,Pliskova Ka.,,,,
27434,1.22,0,3.085596303,1/28/2019,Peng S.,,,,
10306,1.21,0,3.062193096,2/28/2012,Morita A.,,,,
12202,1.22,0,3.038107442,10/26/2012,Sharapova M.,,,,
23913,1.12,0,3.030723216,8/3/2017,Halep S.,,,,
35486,1.28,0,3.008575759,11/3/2022,Swiatek I.,,,,
33800,1.22,0,2.936349599,3/31/2022,Swiatek I.,,,,
31543,1.32,0,2.915009505,4/23/2021,Halep S.,,,,
33678,1.25,0,2.851250806,3/13/2022,Swiatek I.,,,,
28698,1.28,0,2.808311102,7/9/2019,Williams S.,,,,
34424,3.93,1,2.766577485,6/21/2022,Kalinina A.,,,,
18761,1.33,0,2.746870055,7/21/2015,Knapp K.,,,,
34800,4.47,1,2.699063553,8/3/2022,Saville D.,,,,
30184,1.22,0,2.678432774,8/11/2020,Pliskova Kr.,,,,
34370,1.25,0,2.64903742,6/17/2022,Jabeur O.,,,,
28163,1.26,0,2.605754662,5/13/2019,Konta J.,,,,
35909,1.33,0,2.59224537,2/20/2023,Muchova K.,,,,
12119,1.42,0,2.569967075,10/11/2012,Ivanovic A.,,,,
26441,4.42,1,2.568249284,8/8/2018,Abanda F.,,,,
31858,1.31,0,2.549322408,6/3/2021,Pegula J.,,,,
14468,1.36,0,2.533193581,9/29/2013,Kanepi K.,,,,
12432,1.28,0,2.528974617,1/15/2013,Kvitova P.,,,,
17912,1.28,0,2.524018645,4/7/2015,Brengle M.,,,,
27080,1.27,0,2.517433693,10/16/2018,Goerges J.,,,,
25012,3.54,1,2.497381439,2/2/2018,Kasatkina D.,,,,
22298,1.28,0,2.469687898,1/9/2017,Tsurenko L.,,,,
20976,1.36,0,2.434065936,6/8/2016,Mladenovic K.,,,,
28145,1.36,0,2.433637831,5/8/2019,Kvitova P.,,,,
32905,1.36,0,2.420900631,10/8/2021,Riske A.,,,,
25739,1.41,0,2.406111078,5/20/2018,Rybakina E.,,,,
