match,PSW,win0,confidence0,date,winner,,
34371,1.25,0,2.785377854,6/17/2022,Jabeur O.,-1,
13308,1.24,0,2.522842757,5/19/2013,Williams S.,,
20764,1.36,0,2.416136698,5/16/2016,Putintseva Y.,,
31549,1.32,0,2.376236601,4/23/2021,Halep S.,,
33012,3.8,1,2.289665425,10/22/2021,Alexandrova E.,,
23311,1.36,0,2.168024716,5/24/2017,Garcia C.,,
12210,1.26,0,2.146576089,10/31/2012,Petrova N.,,
14053,1.42,0,2.096929086,8/8/2013,Stosur S.,,
13114,1.42,0,2.048905949,4/23/2013,Bertens K.,,
33106,1.41,0,2.033719344,11/10/2021,Kontaveit A.,,
18516,3.64,1,2.000076766,6/23/2015,Errani S.,,
30651,1.5,0,1.952595284,10/10/2020,Swiatek I.,,
29137,2.75,1,1.948909514,9/1/2019,Konta J.,,
31352,1.39,0,1.944647806,3/27/2021,Sabalenka A.,,
13806,1.56,0,1.91887776,7/10/2013,Beck A.,,
35480,3.27,1,1.911933002,10/31/2022,Sakkari M.,2.27,
13047,1.43,0,1.908959746,4/4/2013,Wozniacki C.,,
34101,1.46,0,1.900530253,5/17/2022,Tomljanovic A.,-1,
29397,3.41,1,1.880301662,9/25/2019,Yastremska D.,,
16163,1.49,0,1.876233032,6/28/2014,Bouchard E.,,
22510,1.5,0,1.853047569,2/3/2017,Peng S.,,
23630,1.58,0,1.852972031,7/3/2017,Brady J.,,
31221,1.43,0,1.846496848,3/12/2021,Muguruza G.,,
30621,2.76,1,1.844175453,10/2/2020,Bertens K.,,
15194,2.7,1,1.841133003,3/6/2014,Lepchenko V.,,
34311,1.47,0,1.83565027,6/11/2022,Riske A.,-1,
35565,2.52,1,1.833061981,1/9/2023,Kvitova P.,1.52,30.4
26513,2.79,1,1.832270726,8/17/2018,Bertens K.,,
25672,1.56,0,1.832258943,5/9/2018,Suarez Navarro C.,,
21105,3.43,1,1.828289926,6/24/2016,Cibulkova D.,,
24337,1.57,0,1.827936416,9/21/2017,Cirstea S.,,
29982,2.86,1,1.827484947,2/20/2020,Rybakina E.,,
31615,1.43,0,1.816143242,5/5/2021,Sabalenka A.,,
13825,2.72,1,1.810159603,7/12/2013,Meusburger Y.,,
16113,2.6,1,1.801198602,6/24/2014,Lepchenko V.,,
20651,2.54,1,1.788253023,5/1/2016,Lisicki S.,,
22833,2.73,1,1.78631469,3/24/2017,Stosur S.,,
25267,2.59,1,1.785180675,3/20/2018,Mchale C.,,
14338,1.45,0,1.776977107,9/16/2013,Hsieh S.W.,,
25343,2.85,1,1.776020835,3/26/2018,Stephens S.,,
18995,1.47,0,1.773876105,8/18/2015,Stephens S.,,
26506,2.42,1,1.770113259,8/16/2018,Bertens K.,,
32812,2.6,1,1.769748259,9/28/2021,Dart H.,,
26435,1.51,0,1.769217242,8/8/2018,Svitolina E.,,
25772,2.73,1,1.769126939,5/22/2018,Flipkens K.,,
18198,3.29,1,1.757687251,5/17/2015,Razzano V.,,
18050,1.44,0,1.753869877,4/29/2015,Strycova B.,,
24498,2.82,1,1.749571847,10/6/2017,Garcia C.,,
23325,1.52,0,1.749075002,5/26/2017,Stosur S.,,
32256,2.5,1,1.74682337,7/14/2021,Kozlova K.,,
33054,1.54,0,1.73632308,10/27/2021,Yastremska D.,,
21809,2.55,1,1.73236451,9/20/2016,Kontaveit A.,,
33687,3.02,1,1.728587912,3/14/2022,Vondrousova M.,2.02,
29356,1.5,0,1.724454258,9/23/2019,Martincova T.,,
29282,2.4,1,1.723790479,9/17/2019,Paolini J.,,
26461,1.56,0,1.715978007,8/11/2018,Svitolina E.,,
22623,2.31,1,1.714630796,2/24/2017,Svitolina E.,,
35120,1.43,0,1.714052745,9/6/2022,Jabeur O.,-1,
28027,1.52,0,1.713691281,4/28/2019,Kvitova P.,,
33790,1.65,0,1.71232413,3/28/2022,Bencic B.,-1,
22667,2.75,1,1.707730185,3/1/2017,Parmentier P.,,
24579,2.83,1,1.705268369,10/13/2017,Buzarnescu M.,,
29143,1.53,0,1.700584283,9/3/2019,Svitolina E.,,
32339,1.56,0,1.699461681,7/21/2021,Dodin O.,,
23502,1.59,0,1.697046988,6/15/2017,Konjuh A.,,
21924,2.22,1,1.697044872,9/28/2016,Khromacheva I.,,
13429,1.58,0,1.69389801,5/29/2013,Cirstea S.,,
29976,1.48,0,1.693556317,2/19/2020,Rybakina E.,,
32475,2.47,1,1.692995109,8/18/2021,Ostapenko J.,,
22480,1.5,0,1.692797037,1/31/2017,Petkovic A.,,
25544,1.53,0,1.692369857,4/26/2018,Svitolina E.,,
25549,1.55,0,1.692250624,4/27/2018,Sakkari M.,,
34225,1.51,0,1.69188996,5/27/2022,Stephens S.,-1,
12118,1.42,0,1.691687592,10/11/2012,Ivanovic A.,,
20250,1.42,0,1.691402381,3/12/2016,Puig M.,,
27670,2.3,1,1.690441339,3/8/2019,Mchale C.,,
13682,1.43,0,1.688104876,6/25/2013,Riske A.,,
16789,2.63,1,1.688002429,9/16/2014,Pliskova Kr.,,
13639,2.52,1,1.687916837,6/21/2013,Hampton J.,,
27115,1.54,0,1.683139712,10/18/2018,Sevastova A.,,
16189,2.6,1,1.682003883,7/7/2014,Buyukakcay C.,,
27203,1.7,0,1.680242218,1/1/2019,Zvonareva V.,,
24402,1.52,0,1.679183878,9/26/2017,Wang Q.,,
