match,PSW,win0,confidence0,date,winner,-1
34563,5.27,1,3.022000885,7/2/2022,Cornet A.,4.27
34366,1.25,0,2.409778078,6/17/2022,Jabeur O.,-1
23314,1.36,0,2.348595366,5/24/2017,Garcia C.,
31352,1.39,0,2.336492686,3/27/2021,Sabalenka A.,
32683,1.32,0,2.306875228,9/5/2021,Sabalenka A.,
20953,1.3,0,2.203324081,6/7/2016,Barty A.,
18516,3.64,1,2.169052511,6/23/2015,Errani S.,
29979,1.43,0,2.115136846,2/19/2020,Pliskova Ka.,
25743,1.41,0,2.108672367,5/20/2018,Rybakina E.,
27818,1.4,0,2.094364278,3/27/2019,Halep S.,
30835,1.41,0,2.090457835,2/3/2021,Williams S.,
31221,1.43,0,2.031099616,3/12/2021,Muguruza G.,
23585,1.37,0,2.011816578,6/25/2017,Riske A.,
22081,1.35,0,2.004526028,10/14/2016,Suarez Navarro C.,
33012,3.8,1,1.996016969,10/22/2021,Alexandrova E.,
18370,1.44,0,1.990741662,6/1/2015,Muguruza G.,
14343,1.42,0,1.986127599,9/16/2013,Konta J.,
20617,1.43,0,1.973623718,4/28/2016,Babos T.,
35736,3.72,1,1.970407045,1/24/2023,Azarenka V.,2.72
12118,1.42,0,1.944042851,10/11/2012,Ivanovic A.,
18210,2.94,1,1.916488286,5/18/2015,Lucic M.,
35521,2.88,1,1.915694489,1/4/2023,Masarova R.,1.88
26508,2.79,1,1.913832852,8/17/2018,Bertens K.,
26305,1.37,0,1.89817823,7/24/2018,Zhang S.,
27512,2.88,1,1.893868775,2/15/2019,Mertens E.,
20596,1.35,0,1.89345698,4/26/2016,Safarova L.,
26261,1.38,0,1.889769462,7/18/2018,Minella M.,
22507,1.5,0,1.883658218,2/3/2017,Peng S.,
19790,1.42,0,1.882177207,1/12/2016,Stosur S.,
22137,1.51,0,1.87966425,10/19/2016,Niculescu M.,
29073,2.57,1,1.870889497,8/27/2019,Di Lorenzo F.,
25609,1.43,0,1.866442025,5/3/2018,Mertens E.,
10799,2.91,1,1.864570853,5/6/2012,Vinci R.,
29987,1.39,0,1.863060346,2/21/2020,Halep S.,
25098,2.86,1,1.861041131,2/21/2018,Kasatkina D.,
17143,3.09,1,1.85626714,1/4/2015,Lepchenko V.,
23754,1.43,0,1.852766511,7/13/2017,Muguruza G.,
25236,1.59,0,1.842155558,3/12/2018,Garcia C.,
12777,1.44,0,1.837914062,2/28/2013,Suarez Navarro C.,
29399,3.41,1,1.837812068,9/25/2019,Yastremska D.,
26662,1.51,0,1.836963371,9/3/2018,Stephens S.,
16170,1.45,0,1.835137606,6/30/2014,Bouchard E.,
19674,1.44,0,1.828380674,1/4/2016,Bencic B.,
33108,1.41,0,1.824647446,11/10/2021,Kontaveit A.,
29356,1.5,0,1.823649235,9/23/2019,Martincova T.,
34574,1.43,0,1.820073854,7/4/2022,Halep S.,-1
31369,1.33,0,1.819856546,3/29/2021,Osaka N.,
28706,,0,1.814258403,7/15/2019,Potapova A.,
25340,2.85,1,1.811887573,3/26/2018,Stephens S.,
10229,1.48,0,1.800420077,2/21/2012,Lepchenko V.,
33118,1.54,0,1.798963952,11/14/2021,Sabalenka A.,
29765,1.54,0,1.787685528,1/16/2020,Barty A.,
15206,1.43,0,1.787219838,3/7/2014,Safarova L.,
13809,1.56,0,1.782200314,7/10/2013,Beck A.,
18110,2.78,1,1.768409053,5/4/2015,Kuznetsova S.,
13462,1.45,0,1.759905432,5/31/2013,Vinci R.,
29982,2.86,1,1.759537028,2/20/2020,Rybakina E.,
29363,1.59,0,1.758440062,9/23/2019,Kuzmova V.,
24331,1.57,0,1.752215797,9/21/2017,Cirstea S.,
24809,1.51,0,1.751979443,1/9/2018,Tsurenko L.,
28027,1.52,0,1.742740855,4/28/2019,Kvitova P.,
34871,1.54,0,1.740554053,8/11/2022,Gauff C.,-1
25544,1.41,0,1.732252663,4/26/2018,Garcia C.,
29137,2.75,1,1.731957108,9/1/2019,Konta J.,
33069,1.58,0,1.728652527,10/28/2021,Wang Xin.,
35480,3.27,1,1.726228746,10/31/2022,Sakkari M.,2.27
35949,1.4,0,1.7260445,2/22/2023,Pliskova Ka.,-1
28688,2.62,1,1.725771445,7/8/2019,Konta J.,
26512,1.62,0,1.725535508,8/17/2018,Kvitova P.,
27671,2.3,1,1.725472387,3/8/2019,Mchale C.,
28145,1.36,0,1.723274244,5/8/2019,Kvitova P.,
29256,2.81,1,1.72184398,9/16/2019,Stosur S.,
16782,2.63,1,1.716612383,9/16/2014,Pliskova Kr.,
29277,2.4,1,1.714914751,9/17/2019,Paolini J.,
23204,2.51,1,1.713284313,5/10/2017,Vandeweghe C.,
22555,2.32,1,1.712813433,2/19/2017,Barthel M.,
29144,1.53,0,1.707874436,9/3/2019,Svitolina E.,
23782,1.47,0,1.701712314,7/18/2017,Kovinic D.,
33687,3.02,1,1.70128435,3/14/2022,Vondrousova M.,2.02
30280,1.53,0,1.699881649,8/26/2020,Osaka N.,
26434,1.51,0,1.699762529,8/8/2018,Svitolina E.,
30400,1.49,0,1.693672058,9/7/2020,Osaka N.,
18236,3.05,1,1.693111701,5/20/2015,Vesnina E.,
33821,1.71,0,1.692577824,4/4/2022,Bjorklund M.,-1
19410,2.79,1,1.691889977,10/1/2015,Hibino N.,
26460,1.56,0,1.688225023,8/11/2018,Svitolina E.,
35729,1.44,0,1.685968582,1/22/2023,Pegula J.,-1
10080,1.45,0,1.682418049,2/7/2012,Scheepers C.,
29159,1.44,0,1.682357136,9/9/2019,Garcia C.,
14850,1.5,0,1.679732683,1/14/2014,Schmiedlova A.,
22888,2.27,1,1.679549874,4/3/2017,Jabeur O.,
21572,1.44,0,1.678621946,8/25/2016,Kvitova P.,
26457,1.57,0,1.677791238,8/10/2018,Stephens S.,
15614,2.27,1,1.67704104,4/29/2014,Zahlavova Strycova B.,
11585,1.55,0,1.675300224,8/11/2012,Li N.,
16166,1.49,0,1.673934159,6/28/2014,Bouchard E.,
11240,1.46,0,1.672532907,6/23/2012,Petrova N.,
19306,1.58,0,1.671153307,9/24/2015,Cibulkova D.,
26986,2.5,1,1.669852026,10/9/2018,Teichmann J.,
27090,2.47,1,1.669290959,10/16/2018,Bouchard E.,
13688,1.43,0,1.667660753,6/25/2013,Riske A.,
30434,2.23,1,1.66647303,9/11/2020,Martincova T.,
34804,1.55,0,1.665895422,8/4/2022,Jabeur O.,-1
24233,1.49,0,1.661561195,9/13/2017,Mchale C.,
12851,1.42,0,1.661299701,3/9/2013,Burdette M.,
16410,1.51,0,1.659890001,8/5/2014,Pliskova Ka.,
34580,1.4,0,1.659748235,7/6/2022,Halep S.,-1
26311,1.5,0,1.659300442,7/24/2018,Ivakhnenko V.,
26867,1.73,0,1.659082944,9/25/2018,Kontaveit A.,
36114,1.48,0,1.658689431,3/13/2023,Garcia C.,-1
34273,1.57,0,1.657751676,6/7/2022,Flipkens K.,-1
15036,2.59,1,1.655147947,2/12/2014,Kleybanova A.,
12563,2.56,1,1.654748726,2/11/2013,Rodionova An.,
26892,2.2,1,1.654432595,9/26/2018,Potapova A.,
21705,1.62,0,1.654007363,9/10/2016,Kerber A.,
31013,1.53,0,1.652765028,2/14/2021,Osaka N.,
17137,2.82,1,1.652092967,11/1/2014,Petkovic A.,
10693,2.64,1,1.649806483,4/25/2012,Bertens K.,
12475,1.59,0,1.647280083,1/18/2013,Goerges J.,
10038,1.55,0,1.645419494,1/20/2012,Benesova I.,
15875,2.29,1,1.645186575,5/27/2014,Soler Espinosa S.,
22833,2.73,1,1.644980213,3/24/2017,Stosur S.,
29608,1.55,0,1.644558715,10/27/2019,Sabalenka A.,
20020,2.32,1,1.644295569,2/16/2016,Erakovic M.,
23394,1.52,0,1.642285675,5/30/2017,Martic P.,
21982,1.58,0,1.641675097,10/5/2016,Pliskova Ka.,
18588,2.82,1,1.639435781,6/30/2015,Cornet A.,
25409,1.78,0,1.63859067,4/5/2018,Tomljanovic A.,
25889,1.69,0,1.637175124,5/31/2018,Petkovic A.,
12624,2.37,1,1.633993199,2/18/2013,Erakovic M.,
23110,3.25,1,1.630882837,5/2/2017,Maria T.,
17029,1.63,0,1.630187684,10/9/2014,Friedsam A.L.,
12840,1.52,0,1.630059676,3/9/2013,Goerges J.,
21833,2.66,1,1.62986767,9/22/2016,Linette M.,
24578,1.61,0,1.629350347,10/13/2017,Sabalenka A.,
13245,1.57,0,1.627665442,5/9/2013,Makarova E.,
29326,1.52,0,1.623379497,9/21/2019,Osaka N.,
24498,2.82,1,1.623297166,10/6/2017,Garcia C.,
22332,2.56,1,1.621860291,1/13/2017,Konta J.,
17052,1.4,0,1.62183814,10/13/2014,Pironkova T.,
25399,1.53,0,1.620443398,4/4/2018,Errani S.,
10885,1.58,0,1.619428528,5/16/2012,Cirstea S.,
24939,1.55,0,1.61764068,1/19/2018,Mertens E.,
25254,1.61,0,1.61691317,3/16/2018,Williams V.,
10244,1.61,0,1.616874814,2/21/2012,Halep S.,
21500,1.61,0,1.616597364,8/6/2016,King V.,
12600,2.73,1,1.616157865,2/14/2013,Stosur S.,
18785,1.71,0,1.615799418,7/24/2015,Flipkens K.,
15183,1.42,0,1.615780417,3/5/2014,Peng S.,
32565,2.36,1,1.614869577,8/27/2021,Begu I.,
27101,1.54,0,1.613359404,10/17/2018,Bencic B.,
23660,1.61,0,1.613349089,7/3/2017,Pliskova Kr.,
20783,1.6,0,1.613048487,5/17/2016,Beck A.,
22952,1.68,0,1.611875408,4/7/2017,Cornet A.,
16113,2.6,1,1.611716775,6/24/2014,Lepchenko V.,
14401,1.59,0,1.611482427,9/22/2013,Bencic B.,
10433,1.57,0,1.610558974,3/12/2012,Safarova L.,
21381,1.58,0,1.608433457,7/24/2016,Wickmayer Y.,
21909,1.47,0,1.606169926,9/27/2016,Kozlova K.,
14052,1.42,0,1.605700289,8/8/2013,Stosur S.,
24350,2.72,1,1.601362655,9/23/2017,Pavlyuchenkova A.,
25705,1.57,0,1.600968511,5/15/2018,Collins D.,
20404,1.76,0,1.599126519,4/4/2016,Bondarenko K.,
29628,2.16,1,1.599102416,1/5/2020,Wang Xiy.,
34635,1.7,0,1.598489099,7/15/2022,Krunic A.,-1
25253,2.74,1,1.597492921,3/15/2018,Kasatkina D.,
35613,1.57,0,1.597429384,1/14/2023,Bencic B.,-1
10657,2.56,1,1.596299853,4/13/2012,Suarez Navarro C.,
21935,2.35,1,1.595652242,9/29/2016,Kuznetsova S.,
21762,1.74,0,1.595002346,9/17/2016,Dodin O.,
10043,1.63,0,1.591501521,1/21/2012,Errani S.,
30651,1.5,0,1.591215136,10/10/2020,Swiatek I.,
10825,2.58,1,1.590295308,5/8/2012,Wozniacki C.,
24340,1.6,0,1.588660149,9/22/2017,Wozniacki C.,
13932,1.59,0,1.587831302,7/25/2013,Svitolina E.,
14296,2.8,1,1.587809935,9/10/2013,Garcia C.,
27091,1.57,0,1.587431471,10/16/2018,Yastremska D.,
32503,1.54,0,1.587376288,8/21/2021,Pliskova Ka.,
28753,1.58,0,1.587079275,7/19/2019,Cornet A.,
14146,1.62,0,1.58545618,8/23/2013,Wozniacki C.,
25860,1.53,0,1.585006333,5/29/2018,Begu I.,
26506,2.42,1,1.584978766,8/16/2018,Bertens K.,
29362,2.54,1,1.584149762,9/23/2019,Zavatska K.,
25863,1.54,0,1.583827876,5/29/2018,Gavrilova D.,
29411,2.3,1,1.583611547,9/27/2019,Sabalenka A.,
30439,1.75,0,1.582621804,9/12/2020,Tig P.M.,
22438,1.51,0,1.581439615,1/21/2017,Konta J.,
25716,1.57,0,1.580495504,5/16/2018,Kerber A.,
13373,1.57,0,1.579468406,5/26/2013,Pfizenmaier D.,
21840,2.68,1,1.57930224,9/23/2016,Svitolina E.,
18726,2.29,1,1.578717713,7/17/2015,Larsson J.,
13751,1.7,0,1.577582351,6/29/2013,Robson L.,
21758,2.53,1,1.577002914,9/16/2016,Boserup J.,
15201,1.62,0,1.576699779,3/7/2014,Dellacqua C.,
17653,1.45,0,1.574969686,3/4/2015,Kulichkova E.,
27598,1.53,0,1.574874599,2/23/2019,Vondrousova M.,
20714,2.67,1,1.573133557,5/10/2016,Duque-Marino M.,
25160,1.52,0,1.571813886,3/2/2018,Tsurenko L.,
