match,PSW,win0,confidence0,date,winner,
24604,6.14,1,4.118853963,10/16/2017,Cepede Royg V.,
28375,5.19,1,3.788978512,6/1/2019,Kenin S.,
22886,1.18,0,3.372793583,4/3/2017,Pavlyuchenkova A.,
34572,1.2,0,3.193429148,7/3/2022,Jabeur O.,-1
31866,4.22,1,3.042781424,6/4/2021,Pavlyuchenkova A.,
34563,5.27,1,3.030480027,7/2/2022,Cornet A.,4.27
33677,1.25,0,2.835687217,3/13/2022,Swiatek I.,-1
34424,3.93,1,2.768543094,6/21/2022,Kalinina A.,2.93
33012,3.8,1,2.626820586,10/22/2021,Alexandrova E.,
28205,3.53,1,2.52745677,5/18/2019,Konta J.,
33705,1.3,0,2.490489291,3/17/2022,Swiatek I.,-1
26341,1.26,0,2.452736216,7/27/2018,Wang Q.,
28186,1.34,0,2.436200964,5/16/2019,Bertens K.,
31546,1.32,0,2.411729939,4/23/2021,Barty A.,
29387,1.44,0,2.403628014,9/25/2019,Barty A.,
29902,1.34,0,2.372295521,2/10/2020,Sanders S.,
29982,2.86,1,2.365699934,2/20/2020,Rybakina E.,
31548,1.32,0,2.342383761,4/23/2021,Halep S.,
34790,3.63,1,2.301943047,8/2/2022,Mandlik E.,2.63
34366,1.25,0,2.281160963,6/17/2022,Jabeur O.,-1
31369,1.33,0,2.279194652,3/29/2021,Osaka N.,
35911,1.33,0,2.278058828,2/20/2023,Muchova K.,-1
33526,3.08,1,2.277722697,2/23/2022,Gauff C.,2.08
27412,1.33,0,2.245508055,1/19/2019,Muguruza G.,
35736,3.72,1,2.236527191,1/24/2023,Azarenka V.,2.72
22501,1.34,0,2.201606941,2/2/2017,Cibulkova D.,
31699,2.96,1,2.199987538,5/18/2021,Jani R.L.,
26656,1.3,0,2.197869964,9/1/2018,Williams S.,
34139,1.47,0,2.17876691,5/22/2022,Osorio M.,-1
29399,3.41,1,2.151126023,9/25/2019,Yastremska D.,
33108,1.41,0,2.144712759,11/10/2021,Kontaveit A.,
32904,1.36,0,2.14069835,10/8/2021,Riske A.,
30039,1.34,0,2.120512819,2/26/2020,Barty A.,
33687,3.02,1,2.108956807,3/14/2022,Vondrousova M.,2.02
22722,2.69,1,2.107745717,3/10/2017,Bertens K.,
33946,1.45,0,2.097393055,4/24/2022,Swiatek I.,-1
31553,2.93,1,2.092464354,4/24/2021,Sabalenka A.,
29711,1.4,0,2.092256893,1/11/2020,Williams S.,
33955,1.39,0,2.082916657,4/28/2022,Badosa P.,-1
23573,1.54,0,2.071159812,6/23/2017,Garcia C.,
26460,1.56,0,2.070342432,8/11/2018,Svitolina E.,
29752,2.71,1,2.0690755,1/15/2020,Cabrera L.,
33840,1.45,0,2.057527919,4/5/2022,Yastremska D.,-1
24498,2.82,1,2.050815898,10/6/2017,Garcia C.,
30651,1.5,0,2.037157911,10/10/2020,Swiatek I.,
32702,1.54,0,2.03137619,9/13/2021,Dodin O.,
32683,1.32,0,2.030904249,9/5/2021,Sabalenka A.,
26151,1.42,0,1.99962551,7/3/2018,Gavrilova D.,
24394,3.49,1,1.988355494,9/26/2017,Kasatkina D.,
34057,1.28,0,1.988035505,5/12/2022,Jabeur O.,-1
29608,1.55,0,1.982524803,10/27/2019,Sabalenka A.,
30280,1.53,0,1.978376816,8/26/2020,Osaka N.,
24606,1.56,0,1.972541768,10/17/2017,Bertens K.,
24371,2.84,1,1.961123573,9/25/2017,Wang Q.,
26508,2.79,1,1.953055773,8/17/2018,Bertens K.,
35729,1.44,0,1.938652367,1/22/2023,Pegula J.,-1
33489,3.2,1,1.936894054,2/21/2022,Martincova T.,2.2
35968,1.51,0,1.928792986,2/24/2023,Stephens S.,-1
29381,2.86,1,1.924121457,9/24/2019,Kudermetova V.,
32500,1.44,0,1.91964319,8/20/2021,Barty A.,
26271,1.39,0,1.918124344,7/19/2018,Cirstea S.,
33706,1.56,0,1.918122324,3/19/2022,Swiatek I.,-1
31552,1.37,0,1.897618712,4/24/2021,Barty A.,
34196,2.78,1,1.893205461,5/25/2022,Parry D.,1.78
25098,2.86,1,1.888777805,2/21/2018,Kasatkina D.,
33142,2.79,1,1.887275417,1/4/2022,Petkovic A.,1.79
35550,1.39,0,1.886430341,1/7/2023,Sabalenka A.,-1
23782,1.47,0,1.884749262,7/18/2017,Kovinic D.,
22326,1.73,0,1.883896862,1/12/2017,Fett J.,
34876,1.56,0,1.88115474,8/12/2022,Halep S.,-1
29326,1.52,0,1.880872008,9/21/2019,Osaka N.,
28312,2.81,1,1.871469278,5/28/2019,Hon P.,
28688,2.62,1,1.870038068,7/8/2019,Konta J.,
27818,1.4,0,1.865942486,3/27/2019,Halep S.,
25743,1.41,0,1.865927263,5/20/2018,Rybakina E.,
32359,1.51,0,1.862125463,7/23/2021,Ruse E.G.,
30622,2.76,1,1.856139404,10/2/2020,Bertens K.,
31221,1.43,0,1.84928554,3/12/2021,Muguruza G.,
26506,2.42,1,1.849054206,8/16/2018,Bertens K.,
30278,2.28,1,1.844230877,8/26/2020,Sakkari M.,
24934,2.77,1,1.844050965,1/19/2018,Suarez Navarro C.,
30206,2.19,1,1.843916864,8/13/2020,Bouchard E.,
27064,1.57,0,1.841108374,10/15/2018,Kasatkina D.,
26845,1.46,0,1.840821117,9/24/2018,Bertens K.,
33749,1.41,0,1.83832995,3/24/2022,Osaka N.,-1
33390,2.91,1,1.836700551,1/23/2022,Krejcikova B.,1.91
22833,2.73,1,1.83599592,3/24/2017,Stosur S.,
25889,1.69,0,1.834859645,5/31/2018,Petkovic A.,
29363,1.59,0,1.833472897,9/23/2019,Kuzmova V.,
26434,1.51,0,1.831969377,8/8/2018,Svitolina E.,
25736,1.5,0,1.829564157,5/19/2018,Svitolina E.,
23804,2.73,1,1.829047731,7/20/2017,Parmentier P.,
35960,3.74,1,1.822128471,2/23/2023,Krejcikova B.,2.74
29597,1.48,0,1.818300882,10/23/2019,Mertens E.,
24579,2.83,1,1.815161879,10/13/2017,Buzarnescu M.,
28580,2.84,1,1.814610545,7/1/2019,Putintseva Y.,
22695,1.7,0,1.814490213,3/8/2017,Day K.,
25146,2.23,1,1.810026815,2/28/2018,Voegele S.,
30400,1.49,0,1.809072635,9/7/2020,Osaka N.,
22305,2.73,1,1.804552492,1/10/2017,Bouchard E.,
25371,1.45,0,1.802214654,4/3/2018,Babos T.,
28145,1.36,0,1.799978102,5/8/2019,Kvitova P.,
29609,1.7,0,1.799232789,10/27/2019,Osaka N.,
35521,2.88,1,1.797078618,1/4/2023,Masarova R.,1.88
22676,1.55,0,1.794839044,3/2/2017,Ostapenko J.,
31402,1.6,0,1.792056946,4/6/2021,Davis L.,
33515,1.6,0,1.791782098,2/22/2022,Jabeur O.,-1
25174,2.65,1,1.790059662,3/8/2018,Zhuk S.,
25015,2.65,1,1.789250188,2/3/2018,Mladenovic K.,
32638,2.69,1,1.786975945,9/1/2021,Doi M.,
25567,2.35,1,1.783235048,4/30/2018,Stosur S.,
24616,2.71,1,1.78163512,10/17/2017,Lisicki S.,
25442,1.55,0,1.781186775,4/9/2018,Schmiedlova A.,
29277,2.4,1,1.780425632,9/17/2019,Paolini J.,
27671,2.3,1,1.77967171,3/8/2019,Mchale C.,
27477,1.75,0,1.775804841,2/1/2019,Bertens K.,
22891,1.48,0,1.774957715,4/3/2017,Ostapenko J.,
35488,2.1,1,1.773505086,11/4/2022,Sabalenka A.,1.1
23647,1.49,0,1.772530301,7/3/2017,Wang Q.,
22478,1.5,0,1.771305943,1/31/2017,Petkovic A.,
27343,1.38,0,1.770285369,1/15/2019,Swiatek I.,
31950,1.55,0,1.770000429,6/14/2021,Bencic B.,
24240,1.44,0,1.768007111,9/13/2017,Abanda F.,
24489,2.3,1,1.766569642,10/5/2017,Kvitova P.,
25253,2.74,1,1.76485428,3/15/2018,Kasatkina D.,
24809,1.51,0,1.76145717,1/9/2018,Tsurenko L.,
27846,1.67,0,1.753841103,4/2/2019,Jakupovic D.,
22438,1.51,0,1.751843556,1/21/2017,Konta J.,
26436,2.58,1,1.750037088,8/8/2018,Bertens K.,
29618,1.69,0,1.750013022,10/31/2019,Barty A.,
27906,2.52,1,1.749704663,4/7/2019,Muguruza G.,
26515,2.42,1,1.749598693,8/18/2018,Bertens K.,
24662,2.73,1,1.749544583,10/26/2017,Williams V.,
30443,1.72,0,1.749289992,9/14/2020,Kovinic D.,
22332,2.56,1,1.749177132,1/13/2017,Konta J.,
26386,1.54,0,1.748547098,8/2/2018,Zheng S.,
31352,1.39,0,1.746306205,3/27/2021,Sabalenka A.,
27953,1.52,0,1.745685836,4/11/2019,Zidansek T.,
25334,1.56,0,1.740768398,3/25/2018,Konta J.,
29546,2.09,1,1.738031377,10/15/2019,Gracheva V.,
28298,2.36,1,1.737847096,5/27/2019,Zhang S.,
23490,1.54,0,1.737561112,6/14/2017,Vekic D.,
29765,1.54,0,1.736836135,1/16/2020,Barty A.,
33619,1.57,0,1.734879861,3/9/2022,Martic P.,-1
28060,2.47,1,1.734632417,5/1/2019,Korpatsch T.,
23482,1.55,0,1.73336583,6/13/2017,Kontaveit A.,
29579,1.54,0,1.729473416,10/17/2019,Bertens K.,
27594,1.56,0,1.728725049,2/22/2019,Van Uytvanck A.,
25918,2.27,1,1.726140718,6/4/2018,Kasatkina D.,
34300,1.75,0,1.723803182,6/9/2022,McNally C.,-1
35120,1.43,0,1.722267167,9/6/2022,Jabeur O.,-1
27526,1.59,0,1.720427632,2/17/2019,Tsurenko L.,
25249,2.82,1,1.719987257,3/14/2018,Kasatkina D.,
24360,1.5,0,1.719299845,9/24/2017,Barty A.,
23110,3.25,1,1.717630491,5/2/2017,Maria T.,
31896,1.83,0,1.716809616,6/7/2021,Dolehide C.,
33924,2.37,1,1.716760692,4/21/2022,Potapova A.,1.37
31367,2.85,1,1.71485857,3/29/2021,Svitolina E.,
26317,2.3,1,1.714222342,7/24/2018,Bara I.,
23259,2.64,1,1.709276242,5/18/2017,Williams V.,
26502,2.46,1,1.707950033,8/16/2018,Keys M.,
23147,2.75,1,1.703629375,5/5/2017,Pliskova Kr.,
31013,1.53,0,1.70340941,2/14/2021,Osaka N.,
23061,2.64,1,1.703230693,4/26/2017,Buyukakcay C.,
29144,1.53,0,1.701814598,9/3/2019,Svitolina E.,
28069,1.58,0,1.701485695,5/1/2019,Konta J.,
25017,1.77,0,1.700831613,2/3/2018,Kvitova P.,
28886,1.75,0,1.700743499,8/5/2019,Goerges J.,
35806,1.62,0,1.700164828,2/6/2023,Kostyuk M.,-1
28420,1.55,0,1.698200297,6/12/2019,Brady J.,
24197,1.55,0,1.69721339,9/5/2017,Stephens S.,
33698,2.44,1,1.696306061,3/15/2022,Martic P.,1.44
23730,1.5,0,1.695828206,7/7/2017,Azarenka V.,
31576,1.7,0,1.695460107,4/30/2021,Pliskova Ka.,
23054,2.8,1,1.694865102,4/26/2017,Vesnina E.,
24135,2.02,1,1.694207007,8/30/2017,Gibbs N.,
25546,2.65,1,1.693582699,4/27/2018,Garcia C.,
27968,1.53,0,1.692361545,4/14/2019,Anisimova A.,
28712,1.69,0,1.691652576,7/15/2019,Bolsova A.,
22275,1.48,0,1.689482935,1/8/2017,Kasatkina D.,
24614,1.65,0,1.688378593,10/17/2017,Petkovic A.,
22954,1.64,0,1.686914778,4/7/2017,Pavlyuchenkova A.,
35081,2.34,1,1.685674156,9/1/2022,Pliskova Ka.,1.34
30438,1.71,0,1.678677243,9/12/2020,Bouchard E.,
22703,1.74,0,1.673231014,3/9/2017,Linette M.,
30774,1.78,0,1.672576972,1/31/2021,Barthel M.,
31224,1.68,0,1.669920052,3/13/2021,Bouchard E.,
24530,2.43,1,1.669574253,10/11/2017,Golubic V.,
35073,2.3,1,1.667003307,8/31/2022,Niemeier J.,1.3
28795,2.04,1,1.666778129,7/23/2019,Paquet C.,
24863,2.64,1,1.666561967,1/15/2018,Bertens K.,
29162,1.71,0,1.664241157,9/9/2019,Hon P.,
25716,1.57,0,1.663575512,5/16/2018,Kerber A.,
29505,1.44,0,1.663338749,10/9/2019,Putintseva Y.,
25067,1.64,0,1.661743645,2/16/2018,Muguruza G.,
29651,1.35,0,1.661679357,1/7/2020,Osaka N.,
31918,2.21,1,1.661374653,6/9/2021,Boulter K.,
24958,1.73,0,1.661341992,1/24/2018,Kerber A.,
22888,2.27,1,1.661285644,4/3/2017,Jabeur O.,
35251,2.45,1,1.660106556,9/26/2022,Krejcikova B.,1.45
34224,1.66,0,1.658899804,5/27/2022,Trevisan M.,-1
31505,1.63,0,1.658799915,4/20/2021,Siegemund L.,
22715,1.56,0,1.658125019,3/9/2017,Kontaveit A.,
32697,2.37,1,1.658067671,9/13/2021,Konjuh A.,
23936,1.57,0,1.658064718,8/6/2017,Goerges J.,
24615,2.61,1,1.657875718,10/17/2017,Broady N.,
30719,1.69,0,1.65582188,1/9/2021,Sakkari M.,
29986,1.7,0,1.655632872,2/21/2020,Rybakina E.,
34811,1.73,0,1.654439101,8/5/2022,Kanepi K.,-1
34112,1.6,0,1.652615692,5/18/2022,Bronzetti L.,-1
23631,1.58,0,1.652085968,7/3/2017,Brady J.,
33700,1.35,0,1.651698768,3/16/2022,Rybakina E.,-1
26444,2.2,1,1.651185089,8/9/2018,Sevastova A.,
36013,2.43,1,1.650844262,3/2/2023,Sherif M.,1.43
32059,1.57,0,1.650621962,6/26/2021,Kerber A.,
27825,1.46,0,1.650617259,4/1/2019,Townsend T.,
22591,2.19,1,1.649494315,2/21/2017,Sasnovich A.,
29929,2.37,1,1.648740569,2/12/2020,Dodin O.,
27062,2.6,1,1.648221442,10/14/2018,Garcia C.,
23007,2.69,1,1.647377633,4/12/2017,Sorribes Tormo S.,
24343,1.71,0,1.647120795,9/22/2017,Pavlyuchenkova A.,
23568,1.61,0,1.646253608,6/23/2017,Kvitova P.,
22829,1.7,0,1.64562834,3/23/2017,Lucic-Baroni M.,
29928,1.7,0,1.645197801,2/12/2020,Bencic B.,
31881,2.18,1,1.644472197,6/6/2021,Dodin O.,
23471,1.46,0,1.644157939,6/13/2017,Hogenkamp R.,
31053,2.27,1,1.642060354,2/18/2021,Bouzkova M.,
33546,2.48,1,1.642031442,2/26/2022,Bouzkova M.,1.48
25797,2.75,1,1.640881303,5/25/2018,Pavlyuchenkova A.,
22413,2.15,1,1.640751529,1/18/2017,Jankovic J.,
29401,1.55,0,1.639748187,9/26/2019,Barty A.,
26888,2.63,1,1.639531321,9/26/2018,Barty A.,
36014,1.83,0,1.638731363,3/2/2023,Dolehide C.,-1
23741,1.6,0,1.637349392,7/8/2017,Martic P.,
28802,1.79,0,1.635985375,7/24/2019,Tig P.M.,
30159,1.78,0,1.63585413,8/6/2020,Giorgi C.,
22932,1.61,0,1.635062702,4/5/2017,Bertens K.,
35546,2.2,1,1.634619658,1/6/2023,Kovinic D.,1.2
22512,1.76,0,1.634469516,2/3/2017,Minella M.,
34010,1.43,0,1.633615777,5/7/2022,Jabeur O.,-1
27185,1.7,0,1.632877115,1/1/2019,Zvonareva V.,
33431,1.54,0,1.631597063,2/10/2022,Kontaveit A.,-1
27492,1.66,0,1.631286154,2/12/2019,Mertens E.,
25136,1.57,0,1.627729935,2/26/2018,Tsurenko L.,
23394,1.52,0,1.627651098,5/30/2017,Martic P.,
33708,1.61,0,1.626707019,3/20/2022,Swiatek I.,-1
22984,2.18,1,1.626482751,4/11/2017,Jakupovic D.,
25480,2.8,1,1.626404281,4/13/2018,Voegele S.,
25654,1.7,0,1.625634196,5/7/2018,Pliskova Ka.,
27679,1.65,0,1.625224963,3/9/2019,Tsurenko L.,
29171,2.65,1,1.624157526,9/10/2019,Stojanovic N.,
27015,2.45,1,1.623926917,10/10/2018,Kumkhum L.,
23143,2.74,1,1.623850197,5/4/2017,Errani S.,
32541,1.68,0,1.623714778,8/24/2021,Kostyuk M.,
30885,1.61,0,1.622527906,2/8/2021,Rybakina E.,
32378,1.85,0,1.622273722,8/3/2021,Riske A.,
28062,1.7,0,1.621002523,5/1/2019,Van Uytvanck A.,
35424,1.53,0,1.620361794,10/17/2022,Kvitova P.,-1
36261,2.41,1,1.619057607,3/28/2023,Arango E.,1.41
26696,2.45,1,1.617826485,9/11/2018,Hibino N.,
29309,2.52,1,1.617659354,9/19/2019,Pavlyuchenkova A.,
25254,1.61,0,1.616777435,3/16/2018,Williams V.,
23127,1.72,0,1.616230174,5/3/2017,Pavlyuchenkova A.,
35266,1.81,0,1.615690821,9/27/2022,Paoletti M.,-1
22555,2.32,1,1.615032473,2/19/2017,Barthel M.,
27134,1.65,0,1.613607559,10/27/2018,Svitolina E.,
24845,1.51,0,1.61285487,1/15/2018,Kumkhum L.,
34902,1.59,0,1.612390935,8/16/2022,Garcia C.,-1
24436,2.7,1,1.611864249,9/29/2017,Bondarenko K.,
30850,1.54,0,1.611299565,2/5/2021,Muguruza G.,
28959,1.68,0,1.611164181,8/13/2019,Alexandrova E.,
27945,2.15,1,1.61100877,4/11/2019,Osorio Serrano M.C.,
27745,1.47,0,1.610584171,3/21/2019,Niculescu M.,
25731,1.64,0,1.609346458,5/17/2018,Kerber A.,
24338,1.72,0,1.607966166,9/21/2017,Cepede Royg V.,
29237,1.49,0,1.607887289,9/15/2019,Pliskova Ka.,
26457,1.57,0,1.607447127,8/10/2018,Stephens S.,
22237,2.25,1,1.605845612,1/4/2017,Stojanovic N.,
26072,1.73,0,1.605546293,6/26/2018,Radwanska A.,
32214,2.12,1,1.604540079,7/11/2021,Ruse E.G.,
32247,1.73,0,1.603534864,7/13/2021,Bogdan A.,
34785,1.73,0,1.602810278,8/2/2022,Wang Xiy.,-1
24304,1.65,0,1.602602124,9/19/2017,Cabrera L.,
22198,1.78,0,1.602371326,1/2/2017,Muhammad A.,
33533,1.57,0,1.600689774,2/24/2022,Bouzkova M.,-1
24831,1.49,0,1.600498287,1/12/2018,Kerber A.,
31843,2.21,1,1.600496271,6/2/2021,Collins D.,
29379,1.53,0,1.598883995,9/24/2019,Bertens K.,
31545,1.68,0,1.598627515,4/23/2021,Kostyuk M.,
31719,1.72,0,1.598488075,5/20/2021,Siniakova K.,
32910,1.75,0,1.59396881,10/8/2021,Frech M.,
24993,1.71,0,1.593640246,1/31/2018,Jakupovic D.,
34516,1.59,0,1.593216477,6/28/2022,Wickmayer Y.,-1
26512,1.62,0,1.592466675,8/17/2018,Kvitova P.,
26734,1.88,0,1.59081155,9/16/2018,Parmentier P.,
26286,1.7,0,1.590242897,7/22/2018,Sevastova A.,
26078,1.65,0,1.589725975,6/26/2018,Buzarnescu M.,
25340,2.85,1,1.588832092,3/26/2018,Stephens S.,
30249,1.62,0,1.58857885,8/23/2020,Anisimova A.,
26892,2.2,1,1.588548596,9/26/2018,Potapova A.,
31233,1.62,0,1.587135304,3/15/2021,Paolini J.,
23538,1.54,0,1.585007552,6/20/2017,Cepelova J.,
27138,2.33,1,1.584415467,10/30/2018,Mertens E.,
23636,1.77,0,1.583943542,7/3/2017,Brengle M.,
30656,1.53,0,1.583208531,10/20/2020,Jabeur O.,
34987,1.66,0,1.582597856,8/25/2022,Saville D.,-1
35167,2.12,1,1.582358309,9/15/2022,Podoroska N.,1.12
