match,PSW,win0,confidence0,date,winner
33398,1.13,0,3.98090798,1/25/2022,Barty A.
23786,1.19,0,3.136399453,7/18/2017,Dulgheru A.
33678,1.25,0,3.130989388,3/13/2022,Swiatek I.
31863,4.22,1,3.052337587,6/4/2021,Pavlyuchenkova A.
34796,4.47,1,2.725260594,8/3/2022,Saville D.
34371,1.25,0,2.677186103,6/17/2022,Jabeur O.
31367,1.33,0,2.671859913,3/29/2021,Osaka N.
34410,3.93,1,2.606519655,6/21/2022,Kalinina A.
34602,1.24,0,2.448280388,7/12/2022,Danilovic O.
31548,1.32,0,2.441389295,4/23/2021,Halep S.
31665,4.2,1,2.362447278,5/13/2021,Gauff C.
29397,3.41,1,2.352074993,9/25/2019,Yastremska D.
24721,1.42,0,2.32212756,1/2/2018,Konta J.
26654,4.06,1,2.285169009,9/1/2018,Cibulkova D.
30897,1.26,0,2.279530566,2/8/2021,Marino R.
34175,3.07,1,2.27617373,5/24/2022,Contreras Gomez F.
23885,3.5,1,2.27487433,7/31/2017,Sabalenka A.
29966,3.26,1,2.274392486,2/18/2020,Rybakina E.
32683,1.32,0,2.265652939,9/5/2021,Sabalenka A.
31615,1.43,0,2.255755614,5/5/2021,Sabalenka A.
33489,3.2,1,2.247640877,2/21/2022,Martincova T.
33104,1.41,0,2.242970334,11/10/2021,Kontaveit A.
35375,3.06,1,2.220091172,10/10/2022,Trevisan M.
22479,1.38,0,2.218944198,1/31/2017,Safarova L.
31221,1.43,0,2.21557841,3/12/2021,Muguruza G.
35736,3.72,1,2.198721761,1/24/2023,Azarenka V.
34574,1.43,0,2.192124234,7/4/2022,Halep S.
29910,1.34,0,2.143652378,2/10/2020,Sanders S.
23456,1.33,0,2.129229661,6/8/2017,Halep S.
33847,1.35,0,2.106563646,4/6/2022,Kanepi K.
29060,1.29,0,2.102928004,8/27/2019,Mertens E.
25551,3.72,1,2.098987217,4/27/2018,Vandeweghe C.
25011,3.54,1,2.090099924,2/2/2018,Kasatkina D.
27818,1.4,0,2.061856562,3/27/2019,Halep S.
26263,1.38,0,2.060969953,7/18/2018,Minella M.
32500,1.44,0,2.024865595,8/20/2021,Barty A.
33689,3.02,1,2.021613311,3/14/2022,Vondrousova M.
32700,1.54,0,2.018870301,9/13/2021,Dodin O.
32357,1.51,0,2.006178409,7/23/2021,Ruse E.G.
23813,2.9,1,2.004186936,7/22/2017,Begu I.
35520,2.88,1,1.998490272,1/4/2023,Masarova R.
30150,3.36,1,1.99834401,8/4/2020,Pliskova Kr.
25737,1.5,0,1.994812171,5/19/2018,Svitolina E.
33390,2.91,1,1.992570308,1/23/2022,Krejcikova B.
33749,1.41,0,1.990052415,3/24/2022,Osaka N.
31754,1.56,0,1.980396143,5/26/2021,Alexandrova E.
25539,1.41,0,1.970376003,4/26/2018,Garcia C.
23991,1.34,0,1.963619089,8/12/2017,Halep S.
22501,1.34,0,1.962783372,2/2/2017,Cibulkova D.
26786,1.5,0,1.95489859,9/19/2018,Putintseva Y.
35906,1.31,0,1.953665956,2/20/2023,Rybakina E.
29373,1.3,0,1.942332784,9/24/2019,Pliskova Ka.
25081,1.55,0,1.940746247,2/19/2018,Lisicki S.
31135,1.37,0,1.935261508,3/5/2021,Muguruza G.
24352,2.72,1,1.90978879,9/23/2017,Pavlyuchenkova A.
26845,1.46,0,1.902471619,9/24/2018,Bertens K.
30863,2.63,1,1.902291771,2/6/2021,Mertens E.
26458,1.52,0,1.899348514,8/10/2018,Halep S.
23540,1.34,0,1.892252895,6/20/2017,Muguruza G.
24574,2.83,1,1.887278968,10/13/2017,Buzarnescu M.
22928,2.28,1,1.88443481,4/5/2017,Sevastova A.
22785,2.4,1,1.884361267,3/17/2017,Vesnina E.
30279,1.53,0,1.882137001,8/26/2020,Osaka N.
24299,1.5,0,1.877569757,9/19/2017,Gibbs N.
26461,1.56,0,1.876678796,8/11/2018,Svitolina E.
32174,1.53,0,1.875009263,7/5/2021,Sabalenka A.
32211,1.42,0,1.874869159,7/10/2021,Barty A.
29359,1.5,0,1.87349767,9/23/2019,Martincova T.
25254,1.61,0,1.872750868,3/16/2018,Williams V.
24480,1.54,0,1.870693317,10/3/2017,Sharapova M.
31207,1.6,0,1.870413758,3/10/2021,Pegula J.
23061,2.64,1,1.868549752,4/26/2017,Buyukakcay C.
26094,2.69,1,1.868152103,6/28/2018,Radwanska A.
25926,1.54,0,1.8645769,6/7/2018,Stephens S.
26968,3.09,1,1.859753736,10/6/2018,Sevastova A.
29649,2.64,1,1.856348898,1/6/2020,Pegula J.
27443,2.87,1,1.855484655,1/29/2019,Bonaventure Y.
23803,2.73,1,1.851480404,7/20/2017,Parmentier P.
28069,1.58,0,1.849513668,5/1/2019,Konta J.
23503,1.42,0,1.849472816,6/15/2017,Safarova L.
29982,2.86,1,1.848155386,2/20/2020,Rybakina E.
22306,2.73,1,1.838326023,1/10/2017,Bouchard E.
33931,1.43,0,1.83715284,4/21/2022,Sorribes Tormo S.
23409,3.44,1,1.836823552,5/31/2017,Mattek-Sands B.
27597,1.53,0,1.835699089,2/23/2019,Vondrousova M.
24239,1.44,0,1.822997519,9/13/2017,Abanda F.
32259,1.49,0,1.818162678,7/14/2021,Garcia C.
34767,1.52,0,1.817563312,7/30/2022,Garcia C.
33946,1.45,0,1.812979253,4/24/2022,Swiatek I.
25679,1.57,0,1.809814662,5/10/2018,Garcia C.
27744,1.47,0,1.808479769,3/21/2019,Niculescu M.
24331,1.57,0,1.806751702,9/21/2017,Cirstea S.
28027,1.52,0,1.806407603,4/28/2019,Kvitova P.
30400,1.49,0,1.804448595,9/7/2020,Osaka N.
28688,2.62,1,1.803295881,7/8/2019,Konta J.
30621,2.76,1,1.800065786,10/2/2020,Bertens K.
30651,1.5,0,1.796860527,10/10/2020,Swiatek I.
27807,1.58,0,1.795387146,3/25/2019,Barty A.
24356,1.57,0,1.792448539,9/24/2017,Puig M.
29199,1.6,0,1.791569199,9/11/2019,Kozlova K.
30521,1.6,0,1.789279857,9/25/2020,Sabalenka A.
27112,1.54,0,1.787749865,10/18/2018,Sevastova A.
25706,1.57,0,1.786137191,5/15/2018,Collins D.
23701,1.58,0,1.784197057,7/5/2017,Witthoeft C.
29385,1.44,0,1.784177051,9/25/2019,Barty A.
31364,2.83,1,1.784143976,3/28/2021,Jabeur O.
29362,1.59,0,1.7831563,9/23/2019,Kuzmova V.
26515,2.42,1,1.782596131,8/18/2018,Bertens K.
23737,1.6,0,1.782001754,7/8/2017,Martic P.
27960,1.65,0,1.780677155,4/12/2019,Sharma A.
22440,1.51,0,1.77766489,1/21/2017,Konta J.
27054,1.58,0,1.775297715,10/13/2018,Garcia C.
30252,1.62,0,1.774037331,8/23/2020,Anisimova A.
23346,1.72,0,1.773357477,5/28/2017,Puig M.
23262,2.64,1,1.772927873,5/18/2017,Williams V.
31546,1.32,0,1.772034457,4/23/2021,Barty A.
24671,1.46,0,1.771963373,11/1/2017,Rybarikova M.
26151,1.42,0,1.771628751,7/3/2018,Gavrilova D.
26888,2.63,1,1.768190231,9/26/2018,Barty A.
33223,2.49,1,1.767663521,1/10/2022,Parrizas Diaz N.
32332,1.81,0,1.765680274,7/20/2021,Parrizas Diaz N.
25725,1.63,0,1.758458922,5/17/2018,Ostapenko J.
27522,1.59,0,1.755396232,2/17/2019,Tsurenko L.
22506,1.5,0,1.753001385,2/3/2017,Peng S.
33275,1.64,0,1.752547421,1/15/2022,Badosa P.
31125,2.6,1,1.751045361,3/4/2021,Burel C.
25563,1.68,0,1.749578593,4/30/2018,Errani S.
32386,2.78,1,1.744967581,8/5/2021,Zhang S.
25103,2.86,1,1.743022674,2/21/2018,Kasatkina D.
35963,1.51,0,1.741129361,2/24/2023,Stephens S.
23867,2.37,1,1.737313245,7/28/2017,Hibino N.
30620,1.49,0,1.735587771,10/1/2020,Tig P.M.
22671,2.75,1,1.735421541,3/1/2017,Parmentier P.
31550,1.37,0,1.735102599,4/24/2021,Barty A.
26006,1.5,0,1.734991217,6/19/2018,Kenin S.
33273,2.42,1,1.734459839,1/14/2022,Krejcikova B.
24831,1.5,0,1.733786574,1/12/2018,Barty A.
29798,1.56,0,1.73350261,1/21/2020,Muguruza G.
30015,1.47,0,1.731605536,2/24/2020,Potapova A.
22326,1.73,0,1.730613684,1/12/2017,Fett J.
26512,1.62,0,1.729794102,8/17/2018,Kvitova P.
31549,1.63,0,1.722291538,4/23/2021,Sabalenka A.
32961,1.44,0,1.719762252,10/16/2021,Azarenka V.
26313,1.66,0,1.716828421,7/24/2018,Flink V.
22314,1.59,0,1.71272318,1/10/2017,Strycova B.
26337,2.64,1,1.705600104,7/27/2018,Zidansek T.
24937,2.77,1,1.703149713,1/19/2018,Suarez Navarro C.
31523,1.55,0,1.701229484,4/21/2021,Kontaveit A.
35791,1.82,0,1.700822519,2/3/2023,Tsurenko L.
29401,1.55,0,1.697915249,9/26/2019,Barty A.
26077,1.65,0,1.697493758,6/26/2018,Buzarnescu M.
23131,1.56,0,1.695634289,5/3/2017,Giorgi C.
33125,2.22,1,1.694360393,11/18/2021,Muguruza G.
25253,2.74,1,1.694159001,3/15/2018,Kasatkina D.
26898,1.65,0,1.693987278,9/27/2018,Gasparyan M.
24742,1.62,0,1.693684077,1/3/2018,Vickery S.
26508,2.79,1,1.689794652,8/17/2018,Bertens K.
29014,2.59,1,1.687393379,8/21/2019,Linette M.
36016,1.48,0,1.687298097,3/2/2023,Collins D.
34781,2.66,1,1.686111999,8/2/2022,Kasatkina D.
31553,2.93,1,1.685611891,4/24/2021,Sabalenka A.
26892,2.2,1,1.685431666,9/26/2018,Potapova A.
22983,2.18,1,1.68503494,4/11/2017,Jakupovic D.
33760,2.35,1,1.681173729,3/25/2022,Brengle M.
35006,1.7,0,1.67903398,8/29/2022,Marino R.
24437,2.7,1,1.677964473,9/29/2017,Bondarenko K.
34278,1.57,0,1.677040482,6/7/2022,Flipkens K.
35806,2.2,1,1.675159168,2/6/2023,Niemeier J.
30683,2.56,1,1.674719925,1/6/2021,Pera B.
