match,PSW,win0,confidence0,date,winner
24880,1.21,0,3.793453186,1/16/2018,Giorgi C.
15423,1.15,0,3.782099869,4/3/2014,Wozniacki C.
17438,1.2,0,3.703017882,2/10/2015,Barthel M.
33669,1.17,0,3.390825391,3/12/2022,Keys M.
20293,1.21,0,3.198651519,3/17/2016,Williams S.
28502,1.21,0,3.172205461,6/20/2019,Garcia C.
21942,1.24,0,3.159025612,10/1/2016,Muguruza G.
31867,4.22,1,3.021291193,6/4/2021,Pavlyuchenkova A.
33676,1.25,0,2.893298278,3/13/2022,Swiatek I.
25712,1.29,0,2.810841063,5/16/2018,Sharapova M.
29121,1.29,0,2.729400896,8/30/2019,Barty A.
21780,1.28,0,2.704601805,9/19/2016,Konjuh A.
32504,1.3,0,2.649281391,8/21/2021,Barty A.
34370,1.25,0,2.648533596,6/17/2022,Jabeur O.
34795,4.47,1,2.643716283,8/3/2022,Saville D.
29397,3.41,1,2.59918068,9/25/2019,Yastremska D.
17450,4.25,1,2.555348441,2/11/2015,De Vroome I.
32153,1.28,0,2.543339413,7/1/2021,Pavlyuchenkova A.
15454,3.69,1,2.536817111,4/7/2014,Cadantu A.
33012,3.8,1,2.525320375,10/22/2021,Alexandrova E.
14179,5,1,2.509379014,8/27/2013,Vickery S.
34564,5.27,1,2.508476042,7/2/2022,Cornet A.
19162,1.39,0,2.468370464,9/5/2015,Stosur S.
13723,3.39,1,2.453273397,6/26/2013,Cetkovska P.
14083,1.41,0,2.435043044,8/13/2013,Petkovic A.
31609,1.29,0,2.432315068,5/4/2021,Sabalenka A.
33618,1.4,0,2.385602719,3/9/2022,Riske A.
34172,3.07,1,2.370209961,5/24/2022,Contreras Gomez F.
33898,1.3,0,2.357674742,4/19/2022,Teichmann J.
31544,1.32,0,2.33229555,4/23/2021,Halep S.
19620,1.22,0,2.329068189,10/22/2015,Jankovic J.
22045,1.33,0,2.309488806,10/12/2016,Jankovic J.
16075,1.37,0,2.260007375,6/23/2014,Zahlavova Strycova B.
12703,1.4,0,2.256500896,2/24/2013,Jankovic J.
14475,1.27,0,2.25303757,9/30/2013,Errani S.
28767,1.39,0,2.248551811,7/22/2019,Rus A.
33853,1.4,0,2.232620988,4/6/2022,Bjorklund M.
19179,3.92,1,2.225759558,9/9/2015,Pennetta F.
17080,4.05,1,2.225504374,10/15/2014,Begu I.
34053,1.28,0,2.224622912,5/12/2022,Jabeur O.
24495,2.82,1,2.222891663,10/6/2017,Garcia C.
29987,1.39,0,2.219498721,2/21/2020,Halep S.
22491,3.78,1,2.207724517,2/1/2017,Vikhlyantseva N.
33497,3.2,1,2.198615646,2/21/2022,Martincova T.
25690,1.34,0,2.1937068,5/14/2018,Krunic A.
27086,1.19,0,2.193663541,10/16/2018,Muguruza G.
31191,4,1,2.193310738,3/9/2021,Kuznetsova S.
23430,1.36,0,2.191330716,6/2/2017,Stosur S.
20281,1.39,0,2.179642489,3/15/2016,Radwanska A.
17513,1.36,0,2.164974352,2/17/2015,Pennetta F.
16028,3.42,1,2.162302947,6/17/2014,Giorgi C.
16497,1.41,0,2.146620592,8/14/2014,Halep S.
20604,1.32,0,2.140401207,4/27/2016,Bacsinszky T.
30741,1.27,0,2.137484322,1/13/2021,Sabalenka A.
25104,2.86,1,2.134459032,2/21/2018,Kasatkina D.
29971,3.26,1,2.130916029,2/18/2020,Rybakina E.
29979,1.43,0,2.124059815,2/19/2020,Pliskova Ka.
18144,1.37,0,2.119238961,5/11/2015,Williams V.
22153,1.57,0,2.104867742,10/23/2016,Kerber A.
21033,1.43,0,2.092548617,6/16/2016,Pironkova T.
17603,1.46,0,2.091580039,2/26/2015,Garcia C.
26510,2.79,1,2.083659202,8/17/2018,Bertens K.
14905,1.33,0,2.081753517,1/16/2014,Svitolina E.
27343,1.38,0,2.071422651,1/15/2019,Swiatek I.
34411,3.93,1,2.068337852,6/21/2022,Kalinina A.
13462,1.45,0,2.067969472,5/31/2013,Vinci R.
21372,2.59,1,2.060806313,7/22/2016,Siniakova K.
26735,3.06,1,2.060200433,9/16/2018,Hsieh S.W.
32643,1.47,0,2.056474741,9/1/2021,Andreescu B.
19948,1.38,0,2.053451487,2/9/2016,Zheng S.
14052,1.42,0,2.047555576,8/8/2013,Stosur S.
19766,1.46,0,2.044627042,1/11/2016,Kerber A.
17862,1.39,0,2.044068216,3/31/2015,Halep S.
26441,4.42,1,2.042824827,8/8/2018,Abanda F.
19693,1.5,0,2.037007921,1/5/2016,Makarova E.
21103,3.43,1,2.032180387,6/24/2016,Cibulkova D.
23625,1.36,0,2.027509254,6/29/2017,Pliskova Ka.
